,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Loans,Change in Other Current Assets,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Decrease in Interest Bearing Depositsin Bank,Increase in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
80,3/31/2003,"-1,000","-1,000","262,000","-56,000",-,"-56,000",-,"74,000","74,000","117,000","117,000","-398,000",-,-,-,-,-,-,-,-,-,"-778,000","-778,000",-,-,-,-,"-867,000","-5,893,000","5,026,000",-,-,-,-,"-22,000",-,-,"111,000","1,204,000","1,204,000",-,"-583,000","-847,000","6,154,000","-7,001,000","264,000",-,-,"-174,000",-,-,-,-,-,"-138,000",-,-,-,-,"3,626,000","425,000","3,201,000",-,-,-,-,-,"6,154,000","-7,001,000",-,"-1,000"
81,12/31/2002,"2,131,000","2,131,000","262,000","-1,000",-,"-1,000",-,"177,000","177,000","208,000","208,000","-32,000",-,-,-,"1,517,000",-,-,-,-,-,"-1,455,000","-1,455,000",-,-,-,-,"-1,919,000","-5,823,000","3,904,000",-,-,-,-,-,-,-,"464,000","-878,000","-878,000",-,"-385,000","-483,000","5,852,000","-6,335,000",-,-,-,"-109,000",-,-,-,-,-,"-137,000",-,-,-,-,"3,201,000","-202,000","3,403,000",-,-,-,-,-,"5,852,000","-6,335,000",-,"3,807,000"
82,9/30/2002,"-1,091,000","-1,091,000","285,000","-68,000",-,"-68,000",-,"21,000","21,000","53,000","53,000","-449,000",-,-,-,-,-,-,-,-,-,"1,967,000","1,967,000",-,-,-,-,"482,000","-5,963,000","6,445,000",-,-,-,-,-,-,-,"1,485,000","-312,000","-312,000",-,"-729,000","10,977,000",-,"-5,548,000","-11,706,000",-,-,"20,000",-,-,-,-,-,"-136,000",-,-,-,-,"3,403,000","564,000","2,839,000",-,-,-,-,-,-,"-5,548,000",-,"-2,767,000"
83,6/30/2002,"1,035,000","1,035,000","320,000","-16,000",-,"-16,000",-,"34,000","34,000","101,000","101,000","596,000",-,-,-,-,-,-,-,-,-,"217,000","217,000",-,-,-,-,"-477,000","-4,355,000","3,878,000",-,-,-,-,0,-,-,"694,000","-1,199,000","-1,199,000",-,"-737,000","-12,472,000",-,"-5,660,000","11,735,000",-,-,"25,000",-,-,-,-,-,"-137,000",-,-,-,-,"2,839,000","53,000","2,786,000",-,-,-,-,-,-,"-5,660,000",-,"1,035,000"
84,3/31/2002,"578,000","578,000","317,000","-4,000",-,"-4,000",-,"10,000","10,000","125,000","125,000","130,000",-,-,-,-,-,-,-,-,-,"1,475,000","1,475,000",-,-,-,-,"2,500,000","-2,826,000","5,326,000",-,-,-,-,"-1,676,000",-,-,"651,000","-3,594,000","-3,594,000",-,"-933,000","-806,000","6,812,000","-7,618,000","-127,000",-,-,"2,000",-,-,-,-,-,"-136,000",-,-,"-133,000",-,"2,786,000","-1,541,000","4,327,000",-,-,-,-,-,"6,812,000","-7,618,000",-,"578,000"
85,12/31/2001,"924,000","924,000","-481,000","3,000",-,"3,000",-,"39,000","39,000","-293,000","-293,000","1,632,000",-,-,-,"24,000",-,-,-,-,-,"-1,125,000","-1,125,000",-,-,-,-,"-1,158,000","-5,113,000","3,955,000",-,-,-,-,-,-,-,"33,000","1,015,000","1,015,000",-,"-1,253,000","1,239,000","12,040,000","-10,801,000",-,-,-,"-43,000",-,-,-,-,-,"-140,000",-,-,"142,000",-,"4,327,000","814,000","3,513,000",-,-,-,-,-,"12,040,000","-10,801,000",-,"924,000"
86,9/30/2001,"-387,000","-387,000","263,000","-86,000",-,"-86,000",-,"54,000","54,000","74,000","74,000","-576,000",-,-,-,-,-,-,-,-,-,"702,000","702,000",-,-,-,-,"-1,192,000","-10,372,000","9,180,000",-,-,-,-,-,-,-,"1,894,000","-461,000","-461,000",-,"815,000","252,000","9,626,000","-9,374,000","563,000",-,-,"-207,000",-,-,-,-,-,"-141,000",-,-,"-97,000",-,"3,513,000","-146,000","3,659,000",-,-,-,-,-,"9,626,000","-9,374,000",-,"-387,000"
87,6/30/2001,"580,000","580,000","330,000","-17,000",-,"-17,000",-,"67,000","67,000","57,000","57,000","143,000",-,-,-,-,-,-,-,-,-,"1,847,000","1,847,000",-,-,-,-,"475,000","-5,756,000","6,231,000",-,-,-,-,-,-,-,"1,372,000","-1,766,000","-1,766,000",-,"-124,000","-367,000","9,549,000","-9,916,000","243,000",-,-,"-136,000",-,-,-,-,-,"-144,000",-,-,-,-,"3,659,000","661,000","2,998,000",-,-,-,-,-,"9,549,000","-9,916,000",-,"580,000"
88,3/31/2001,"149,000","149,000","265,000","-28,000",-,"-28,000",-,"100,000","100,000","114,000","114,000","-302,000",-,-,-,-,-,-,-,-,-,"-568,000","-568,000",-,-,-,-,"-2,134,000","-7,357,000","5,223,000",-,-,-,-,-,-,-,"1,566,000","-245,000","-245,000",-,"485,000","-1,201,000","9,411,000","-10,612,000","1,686,000",-,-,"-111,000",-,-,-,-,-,"-144,000",-,-,-,-,"2,998,000","-664,000","3,662,000",-,-,-,-,-,"9,411,000","-10,612,000",-,"149,000"
89,12/31/2000,"1,299,000","1,299,000","314,000","-23,000",-,"-23,000",-,"88,000","88,000","90,000","90,000","830,000",-,-,-,-,-,-,-,-,-,"-163,000","-163,000",-,-,-,-,"683,000","-3,337,000","4,020,000",-,-,-,-,-,-,-,"-846,000","-580,000","-580,000",-,"-581,000","-1,265,000","210,792,000","-212,057,000","684,000",-,-,"-30,000",-,-,-,-,-,"-139,000",-,-,-,-,"3,662,000","556,000","3,106,000",-,-,-,-,-,"210,792,000","-212,057,000",-,"1,299,000"
