,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Long Term Equity Investment,Derivative Assets,Net Loan,Allowance for Loans And Lease Losses,Receivables,Prepaid Assets,Net PPE,Gross PPE,Properties,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Construction in Progress,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Defined Pension Benefit,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Other Equity Interest,Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
46,6/30/2011,"2,690,987,000","103,021,000","103,021,000",-,"68,218,000","34,803,000",-,-,-,-,"18,882,000","260,672,000","1,263,931,000",-,-,"12,556,000","11,594,000",-,-,-,-,-,-,-,-,"32,028,000",-,"32,028,000",-,-,"88,555,000","2,523,450,000","1,444,466,000","385,824,000","257,025,000","202,301,000",-,"210,631,000","167,537,000","160,250,000","8,909,000","8,909,000","106,004,000","8,401,000","36,936,000","7,287,000","362,551,000","160,250,000","128,222,000","362,551,000","128,222,000","202,301,000","99,280,000","17,817,506","17,817,506",-,-
47,3/31/2011,"2,597,806,000","71,754,000","71,754,000",-,-,"71,754,000",-,-,-,-,-,"242,669,000","1,220,300,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"155,408,000","2,437,947,000","1,397,628,000","372,649,000","240,689,000",-,-,"118,053,000","159,859,000","152,546,000",-,-,-,-,-,"7,313,000",-,"152,546,000","152,546,000",-,"152,546,000",-,-,"17,706,930","17,706,930",-,-
48,12/31/2010,"2,454,689,000","81,901,000","81,901,000","57,383,000","18,446,000","6,072,000",-,-,-,-,"17,198,000","260,757,000","1,317,901,000",-,-,"11,966,000","11,521,000","22,211,000",-,"3,952,000","5,677,000","12,529,000",-,"53,000","-10,690,000","29,922,000","22,406,000","7,516,000",-,"1,991,000","20,949,000","2,299,774,000","1,509,198,000","136,341,000","258,665,000","239,650,000","9,498,000","44,610,000","154,915,000","147,667,000","8,843,000","8,843,000","97,350,000","8,454,000","5,851,000","7,248,000","386,863,000","147,667,000","117,745,000","386,863,000","117,745,000","239,650,000","157,295,000","17,686,156","17,686,156",-,-
49,6/30/2010,"2,418,454,000","101,135,000","101,135,000",-,"71,576,000","29,559,000",-,-,-,-,"15,701,000","288,279,000","1,089,633,000",-,-,"11,586,000","13,291,000",-,-,-,-,-,-,-,-,"27,859,000",-,"27,859,000",-,-,"43,210,000","2,275,131,000","1,274,637,000","274,836,000","287,014,000","280,647,000",-,"136,224,000","143,323,000","135,943,000","8,755,000","8,755,000","92,925,000","8,423,000","25,840,000","7,380,000","416,590,000","135,943,000","108,084,000","416,590,000","108,084,000","280,647,000","179,512,000","17,509,832","17,509,832",-,-
50,12/31/2009,"2,364,452,000","80,807,000","80,807,000","60,655,000","13,757,000","6,395,000",-,-,-,-,"13,011,000","250,886,000","1,239,395,000",-,-,"12,423,000","13,802,000","25,165,000",-,"3,915,000","4,462,000","11,552,000",-,"5,236,000","-11,363,000","29,994,000","23,241,000","6,753,000",-,"3,118,000","25,590,000","2,228,791,000","1,430,963,000","127,659,000","247,646,000","229,821,000","10,838,000","36,035,000","135,661,000","128,299,000","8,705,000","8,705,000","86,812,000","8,413,000","2,133,000","7,362,000","357,476,000","128,299,000","98,305,000","357,476,000","98,305,000","229,821,000","148,370,000","17,408,204","17,408,204",-,-
51,6/30/2009,"2,421,843,000","89,137,000","89,137,000",-,"56,368,000","32,769,000",-,-,-,-,"12,316,000","310,796,000","1,106,949,000",-,-,"14,486,000","14,573,000",-,-,-,-,-,-,-,-,"29,105,000",-,"29,105,000",-,-,"35,451,000","2,296,545,000","1,292,494,000","264,562,000","298,876,000","279,803,000",-,"134,316,000","125,298,000","118,355,000","8,658,000","8,658,000","79,988,000","8,390,000","21,319,000","6,943,000","398,158,000","118,355,000","89,250,000","398,158,000","89,250,000","279,803,000","190,666,000","17,314,643","17,314,643",-,-
52,12/31/2008,"2,527,465,000","64,494,000","64,494,000","52,396,000","6,095,000","6,003,000",-,-,-,-,"11,537,000","494,876,000","1,260,964,000",-,-,"15,797,000","14,025,000","23,653,000",-,"4,126,000","4,660,000","10,320,000",-,"4,547,000","-9,628,000","27,357,000","21,855,000","5,502,000",-,"2,075,000","27,629,000","2,427,236,000","1,401,619,000","98,062,000","487,060,000","260,159,000","8,216,000","40,845,000","100,229,000","93,591,000","6,053,000","6,053,000","80,689,000","8,463,000","2,133,000","6,638,000","353,187,000","93,591,000","66,234,000","353,187,000","66,234,000","260,159,000","195,102,000","27,782,310","13,891,155",-,"13,891,155"
53,6/30/2008,"2,546,678,000","30,192,000","30,192,000",-,"13,473,000","16,719,000",-,-,-,-,"11,259,000","260,664,000","1,306,181,000",-,-,-,"15,713,000","15,713,000",-,-,-,-,-,"15,713,000",0,"40,814,000","40,814,000",-,-,-,"71,914,000","2,412,667,000","1,316,075,000",-,"251,357,000","261,784,000",-,"633,691,000","134,011,000","126,785,000","6,003,000","6,003,000","82,990,000","8,097,000","2,134,000","7,226,000","388,569,000","126,785,000","85,971,000","388,569,000","85,971,000","261,784,000","231,592,000","13,776,767","13,776,767",-,-
54,12/31/2007,"2,354,266,000","40,786,000","40,786,000","21,765,000","9,244,000","9,777,000",-,-,-,-,"10,384,000","187,854,000","1,418,319,000",-,-,"20,091,000","15,694,000","26,006,000",-,"4,701,000","4,294,000","10,957,000",-,"6,054,000","-10,312,000","39,689,000","34,253,000","5,436,000",-,"2,804,000","26,130,000","2,218,850,000","1,397,695,000","152,930,000","183,393,000","328,008,000","10,255,000","43,262,000","135,416,000","128,160,000","5,915,000","5,915,000","81,097,000","8,134,000",-,"7,256,000","455,465,000","128,160,000","88,471,000","455,465,000","88,471,000","328,008,000","286,519,000","13,574,181","13,574,181",-,-
55,6/30/2007,"2,150,441,000","39,803,000","39,803,000",-,"16,651,000","23,152,000",-,-,-,-,"8,583,000","149,181,000","1,142,746,000",-,-,-,"14,982,000","14,982,000",-,-,-,-,-,"14,982,000",0,"38,445,000","38,445,000",-,-,-,"47,932,000","2,023,950,000","1,109,605,000",-,"144,284,000","252,743,000",-,"587,316,000","126,491,000","119,780,000","5,857,000","5,857,000","74,251,000","7,834,000",-,"6,711,000","372,523,000","119,780,000","81,335,000","372,523,000","81,335,000","252,743,000","212,940,000","13,440,691","13,440,691",-,-
56,12/31/2006,"1,860,758,000","30,021,000","30,021,000","12,732,000","3,145,000","14,144,000",-,-,-,-,"8,396,000","103,702,000","1,177,519,000",-,-,"14,552,000","16,424,000","25,466,000",-,"5,331,000","4,510,000","9,702,000",-,"5,923,000","-9,042,000","37,335,000","32,472,000","4,863,000",-,"1,826,000","23,083,000","1,745,830,000","1,118,311,000","105,402,000","101,478,000","299,998,000","10,062,000","38,004,000","114,928,000","108,352,000","5,786,000","5,786,000","65,397,000","7,789,000",-,"6,576,000","407,643,000","108,352,000","71,017,000","407,643,000","71,017,000","299,998,000","269,270,000","13,279,419","13,279,419",-,-
57,6/30/2006,"1,738,138,000","36,768,000","36,768,000",-,"24,343,000","12,425,000",-,-,-,-,"7,795,000","104,665,000","976,691,000",-,-,-,"15,277,000","15,277,000",-,-,-,-,-,"15,277,000",0,"34,544,000","34,544,000",-,-,-,"353,209,000","1,630,768,000","916,881,000",-,"103,660,000","229,713,000",-,"481,682,000","107,370,000","101,381,000","5,741,000","5,741,000","62,010,000","7,236,000",-,"5,989,000","331,094,000","101,381,000","66,837,000","331,094,000","66,837,000","229,713,000","192,945,000","13,174,611","13,174,611",-,-
58,12/31/2005,"1,501,970,000","25,012,000","25,012,000",-,"13,712,000","11,300,000",-,-,-,-,-,-,"878,521,000",-,-,-,"15,206,000",-,-,-,-,-,-,-,-,"33,200,000",-,"33,200,000",-,-,"127,531,000","1,403,744,000","809,146,000",-,-,"217,163,000",-,"377,435,000","98,226,000","92,432,000","5,667,000","5,667,000","56,223,000","6,896,000",-,"5,794,000","309,595,000","92,432,000","59,232,000","309,595,000","59,232,000","217,163,000","192,151,000","12,943,843","12,943,843",-,-
59,6/30/2005,"1,466,810,000","20,622,000","20,622,000",-,"8,905,000","11,717,000",-,-,-,-,"5,067,000","63,594,000","861,865,000",-,-,-,"15,032,000","15,032,000",-,-,-,-,0,"15,032,000",0,"32,500,000","32,500,000",-,-,-,"265,410,000","1,375,129,000","812,211,000",-,"62,101,000","196,679,000",-,"210,652,000","91,681,000","86,713,000","5,610,000","5,610,000","51,151,000","4,952,000",-,"4,968,000","283,392,000","86,713,000","54,213,000","283,392,000","54,213,000","196,679,000","176,057,000","12,877,414","12,877,414",-,-
60,12/31/2004,"1,276,778,000","52,034,000","9,872,000",-,-,"9,872,000",-,"42,162,000","42,162,000",-,-,-,"812,543,000","12,686,000","6,352,000",-,"18,829,000",-,-,-,-,-,-,-,-,"29,382,000",-,"29,382,000",-,-,"97,320,000","1,176,961,000","777,290,000",-,-,"235,079,000",-,"164,592,000","99,817,000","86,623,000","5,587,000","5,587,000","52,038,000","4,881,000",-,"13,194,000","321,702,000","86,623,000","57,241,000","321,702,000","57,241,000","235,079,000","225,207,000","12,820,292","12,820,292",-,-
61,6/30/2004,"1,157,108,000","18,816,000","18,816,000",-,"10,175,000","8,641,000",-,-,-,-,-,-,"740,054,000",-,-,-,"152,462,000",-,-,-,-,-,0,-,"152,462,000","31,934,000",0,"31,934,000",-,-,"41,167,000","1,067,475,000","707,404,000",-,-,"98,010,000",-,"315,500,000","89,633,000","77,066,000","5,513,000","5,513,000","46,435,000","4,459,000",-,"12,567,000","175,076,000","77,066,000","45,132,000","175,076,000","45,132,000","98,010,000","79,194,000","12,643,593","12,643,593",-,-
62,12/31/2003,"1,034,216,000","39,039,000","7,661,000",-,-,"7,661,000",-,"31,378,000","31,378,000",-,-,-,"646,150,000","13,691,000","6,628,000",-,"15,748,000",-,-,-,-,-,-,-,-,"28,640,000",-,"28,640,000",-,-,"79,410,000","948,862,000","643,556,000",-,-,"174,759,000",-,"130,547,000","85,354,000","74,473,000","5,481,000","5,481,000","42,351,000","4,406,000",-,"10,881,000","249,232,000","74,473,000","45,833,000","249,232,000","45,833,000","174,759,000","167,098,000","12,576,949","12,576,949",-,-
63,6/30/2003,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,388,253","12,388,253",-,-
64,12/31/2002,"759,246,000","35,245,000","7,659,000",-,-,"7,659,000",-,"27,586,000","27,586,000",-,-,-,"447,840,000","9,117,000","5,651,000",-,"14,181,000",-,-,-,-,-,-,-,-,"17,163,000",-,"17,163,000",-,-,"55,223,000","700,287,000","548,371,000",-,-,"53,336,000",-,"98,580,000","58,959,000","52,406,000","4,741,000","4,741,000","33,335,000","3,647,000",-,"6,553,000","105,742,000","52,406,000","35,243,000","105,742,000","35,243,000","53,336,000","45,677,000","10,879,527","10,879,527",-,-
65,6/30/2002,"750,589,810",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,197,147",-,"15,197,147",-,-,"735,392,663","750,589,810",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,843,826","10,843,826",-,-
66,12/31/2001,"695,877,000","32,793,000","6,185,000",-,-,"6,185,000",-,"26,608,000","26,608,000",-,-,-,"413,290,000",-,"5,775,000",-,"13,521,000",-,-,-,-,-,-,-,-,"14,581,000",-,"14,581,000",-,-,"47,281,000","643,408,000","507,429,000",-,-,"43,436,000",-,"92,543,000","52,469,000","45,979,000","4,678,000","4,678,000","26,887,000","3,373,000",-,"6,490,000","89,415,000","45,979,000","31,398,000","89,415,000","31,398,000","43,436,000","37,251,000","10,734,716","10,734,716",-,-
67,6/30/2001,"697,305,562",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"14,011,772",-,"14,011,772",-,-,"683,293,790","697,305,562",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,12/31/2000,"1,006,413,533","70,655,107","70,655,107",-,-,"70,655,107",-,-,-,-,"169,185,389",-,"592,270,571",-,-,-,"20,941,870",-,-,-,-,-,-,-,-,"22,537,031",-,-,-,-,-,"927,433,064","57,157,366",-,-,"24,229,297",-,-,"78,980,469","68,063,692",-,-,-,-,-,"10,916,777","92,292,989","68,063,692","45,526,661","92,292,989","45,526,661","24,229,297",-,"10,635,538","10,635,538",-,-
69,6/30/2000,"580,355,216",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,372,827",-,"6,372,827",-,-,"573,982,390","580,355,216",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,12/31/1999,"993,365,778","67,918,101","67,918,101",-,-,"67,918,101",-,-,-,-,"205,098,263",-,"597,127,080",-,-,-,"22,459,588",-,-,-,-,-,-,-,-,"11,416,565",-,-,-,-,-,"928,676,631","40,110,657",-,-,"26,919,048",-,-,"64,689,147","58,309,771",-,-,-,-,-,"6,379,376","85,228,819","58,309,771","46,893,206","85,228,819","46,893,206","26,919,048",-,"9,705,926","9,705,926",-,-
71,6/30/1999,"496,520,000","40,327,000","9,367,000",-,"2,591,000","6,776,000",-,"30,960,000","30,960,000",-,-,-,"332,261,000",-,-,-,"11,640,000",-,-,-,-,-,-,-,-,"299,000",-,"299,000",-,-,"31,335,000","461,522,000","356,649,000",-,-,"40,025,000",-,"64,848,000","34,998,000","31,642,000","3,514,000","3,514,000","24,053,000",-,"-24,053,000","3,356,000","71,667,000","31,642,000","31,343,000","71,667,000","31,343,000","40,025,000","30,658,000",-,-,-,-
