,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Fees & Commission Expense,Dividend Income,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Write Off,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Net Income from Continuing & Discontinued Operation,Normalized Income,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
38,12/31/2013,"18,620,000","9,006,000","9,006,000",-,"9,614,000","2,665,000","3,993,000",-,-,"44,000","482,000",-,-,-,-,-,"-9,360,000","3,964,000","995,000","2,720,000","2,720,000","2,969,000","2,969,000","-249,000",-,"2,720,000",0.70,0.70,"3,885,714","3,885,714","2,720,000","2,720,000",-,"2,720,000",-,-,0,0
39,9/30/2013,"19,194,000","8,714,000","8,714,000",-,"10,480,000","3,049,000","4,037,000",-,-,"171,000","629,000",0,-,-,-,-,"-9,111,000","4,530,000","1,045,000","3,200,000","3,200,000","3,485,000","3,485,000","-285,000",-,"3,200,000",0.80,0.80,"4,000,000","4,000,000","3,200,000","3,200,000",-,"3,200,000",0,0,0,0
40,6/30/2013,"18,636,000","8,851,000","16,772,000",-,"9,785,000","3,054,000","3,641,000",-,-,"73,000","678,000","82,000",-,-,-,-,"9,292,000","5,637,000","1,401,000","3,931,000","3,931,000","4,236,000","4,236,000","-305,000",-,"3,931,000",1.00,1.00,"3,931,000","3,931,000","3,931,000","3,931,000",-,"3,931,000","82,000","82,000",0,0
41,3/31/2013,"21,969,000","8,968,000","8,968,000",-,"13,001,000","3,172,000","4,245,000",-,-,"34,000","536,000",0,-,-,-,-,"-8,346,000","8,434,000","1,324,000","6,353,000","6,353,000","7,110,000","7,110,000","-757,000",-,"6,353,000",1.70,1.65,"3,737,059","3,850,303","6,353,000","6,353,000",-,"6,353,000",0,0,0,0
42,12/31/2012,"17,418,000","9,182,000","9,182,000",-,"8,236,000","3,023,000","4,066,000",-,-,"87,000","800,000","3,012,000",-,-,-,"-3,012,000","-11,444,000","4,431,000","1,028,000","3,091,000","3,403,000","3,403,000","3,403,000",-,-,"3,091,000",0.80,0.80,"3,863,750","3,863,750","3,403,000","1,089,789",-,"3,403,000","3,012,000","3,012,000",0,"698,789"
43,9/30/2012,"18,240,000","9,114,000","9,114,000",-,"9,126,000","3,325,000","4,057,000",-,-,"31,000","914,000","203,000",-,-,-,"-203,000","-10,279,000","3,481,000","658,000","2,498,000","2,498,000","2,823,000","2,823,000","-325,000",-,"2,498,000",0.65,0.65,3.843,3.843,"2,498,000","2,333,372",-,"2,498,000","203,000","203,000",0,"38,372"
44,6/30/2012,"19,423,000","9,289,000","9,289,000",-,"10,134,000","3,176,000","3,997,000",-,-,"75,000","1,003,000","3,809,000",-,-,-,"-3,809,000","-10,851,000","8,415,000","2,244,000","5,857,000","6,171,000","6,171,000","6,171,000",-,-,"5,857,000",1.60,1.55,"3,660,625","3,778,710","6,171,000","3,409,475",-,"6,171,000","3,809,000","3,809,000",0,"1,047,475"
45,3/31/2012,"20,440,000","10,087,000","10,087,000",-,"10,353,000","3,520,000","4,310,000",-,-,"28,000","840,000",-,-,-,-,-,"-10,353,000","4,322,000","1,385,000","2,581,000","2,581,000","2,937,000","2,937,000","-356,000",-,"2,581,000",0.65,0.65,3.971,3.971,"2,581,000","2,581,000",-,"2,581,000",-,-,0,0
46,12/31/2011,"19,648,000","10,057,000","10,057,000",-,"9,591,000","2,826,000","4,096,000",-,-,"36,000","741,000",-,-,-,-,-,"-11,166,000","3,243,000","582,000","2,360,000","2,360,000","2,661,000","2,661,000","-301,000",-,"2,360,000",0.60,0.60,"3,933,333","3,933,333","2,360,000","2,360,000",-,"2,360,000",-,-,0,0
47,9/30/2011,"21,502,000","10,370,000","10,370,000",-,"11,132,000","3,346,000","4,257,000",-,-,"26,000","967,000",0,-,-,-,-,"-9,869,000","7,155,000","1,634,000","5,222,000","5,222,000","5,521,000","5,521,000","-299,000",-,"5,222,000",1.45,1.40,"3,601,379","3,730,000","5,222,000","5,222,000",-,"5,222,000",0,0,0,0
48,6/30/2011,"21,868,000","10,324,000","10,324,000",-,"11,544,000","3,337,000","4,436,000",-,-,"55,000","937,000",-,-,-,-,-,"-10,141,000","6,568,000","1,221,000","5,062,000","5,062,000","5,347,000","5,347,000","-285,000",-,"5,062,000",1.40,1.35,"3,615,714","3,749,630","5,062,000","5,062,000",-,"5,062,000",-,-,0,0
49,3/31/2011,"20,443,000","9,911,000","9,911,000",-,"10,532,000","3,363,000","4,371,000",-,-,"32,000",-,-,-,-,-,-,"619,000","4,906,000","491,000","4,153,000","4,153,000","4,415,000","4,415,000","-262,000",-,"4,153,000",1.15,1.10,"3,611,304","3,775,455","4,153,000","4,153,000",-,"4,153,000",-,-,0,0
50,12/31/2010,"20,609,000","9,932,000","9,932,000",-,"10,677,000","2,831,000","4,571,000",-,-,"21,000",-,-,-,-,-,-,"655,000","4,408,000","892,000","3,242,000","3,242,000","3,516,000","3,516,000","-274,000",-,"3,242,000",0.75,0.75,"4,322,667","4,322,667","3,242,000","3,242,000",-,"3,242,000",-,-,0,0
51,6/30/2010,"21,563,000","9,734,000","18,663,000",-,"11,829,000","2,744,000","5,993,000",-,-,"39,000",-,-,-,-,-,-,-,"5,392,000","1,043,000","4,132,000","4,132,000","4,349,000","4,349,000","-217,000",-,"4,132,000",-,-,-,-,"4,132,000","4,132,000",-,"4,132,000",-,-,0,0
52,3/31/2010,"20,996,000","10,023,000","10,023,000",-,"10,973,000","2,922,000","4,412,000",-,-,"20,000",-,-,-,-,-,-,"471,000","5,712,000","2,813,000","2,631,000","2,631,000","2,899,000","2,899,000","-268,000",-,"2,631,000",0.90,0.90,"2,923,333","2,923,333","2,631,000","2,631,000",-,"2,631,000",-,-,0,0
53,6/30/2009,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00,0.00,-,-,-,-,-,-,-,-,-,-
54,12/31/2008,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,179,000","-997,000","-227,000","-227,000",-,-,"-1,179,000",-,-,-,-,"-997,000","-997,000",-,"-997,000",-,-,0,0
55,9/30/2008,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-997,000","-997,000","-997,000","-997,000",-,-,"-997,000",-0.42,-0.42,"2,362,559","2,383,457","-997,000","-997,000",-,"-997,000",-,-,0,0
