,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Fees & Commission Expense,Dividend Income,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Equipment,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Loss on Extinguishment of Debt,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Minority Interests,Preferred Stock Dividends,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
35,9/30/2014,"19,604,000","12,187,000","15,512,000","11,187,000","11,187,000","3,207,000","235,000","567,000","215,000","3,325,000","1,417,000","141,000","1,318,000","411,000","38,000","7,417,000","530,000","4,309,000","4,309,000","1,029,000","1,029,000",-,"570,000","3,280,000",-,"101,000","931,000","1,549,000",-,"45,000","45,000",-,"984,000","-1,545,000","12,560,000","804,000","804,000","6,761,000","6,319,000","6,114,000","205,000","1,630,000","442,000","4,995,000",-,-,-,-,-,-,-,"5,499,000","1,985,000","3,439,000","3,439,000","3,498,000","3,514,000","-16,000",-,"-59,000","128,000",0,"3,439,000",0.88,0.88,"3,029,500","3,034,800","10,642,000","3,439,000","3,455,000","802,000","934,000","3,455,000",-,-,0,0
36,6/30/2014,"19,342,000","11,946,000","15,561,000","11,361,000","11,361,000","3,145,000","250,000","592,000","97,000","3,615,000","1,469,000","162,000","1,399,000","537,000","48,000","7,396,000","488,000","4,520,000","4,520,000","1,029,000","1,029,000",-,"1,084,000","3,491,000",-,"116,000","564,000","1,843,000",-,"47,000","47,000",-,"498,000","-1,548,000","15,703,000","819,000","819,000","6,670,000","6,210,000","6,028,000","182,000","1,619,000","460,000","8,214,000",-,-,-,-,-,-,-,"2,091,000","1,838,000","181,000","181,000","231,000","253,000","-22,000",-,"-50,000","100,000",0,"181,000",0.03,0.03,"3,033,800","3,038,300","10,398,000","181,000","203,000","842,000","896,000","203,000",-,-,0,0
37,3/31/2014,"20,124,000","11,759,000","15,350,000","11,181,000","11,181,000","3,117,000","252,000","594,000","80,000","3,591,000","1,449,000","137,000","1,439,000","525,000","41,000","8,365,000","595,000","4,143,000","4,143,000","1,009,000","1,009,000",-,"563,000","3,134,000",-,"126,000","834,000","2,888,000",-,"-73,000","-73,000",-,"812,000","-1,766,000","12,357,000","805,000","805,000","6,676,000","6,218,000","6,010,000","208,000","1,530,000","458,000","4,876,000",-,-,-,-,-,-,-,"6,001,000","2,050,000","3,943,000","3,943,000","3,988,000","3,951,000","37,000",-,"-45,000","124,000",0,"3,943,000",1.24,1.23,"3,037,400","3,043,300","9,993,000","3,943,000","3,906,000","846,000","843,000","3,906,000",-,-,0,0
38,12/31/2013,"17,780,000","11,970,000","15,707,000","11,547,000","11,547,000","3,122,000","263,000","559,000","110,000","3,737,000","355,000","136,000","1,537,000","539,000","38,000","5,810,000","552,000","4,165,000","4,165,000","970,000","970,000",-,"607,000","3,195,000",-,"106,000","834,000","933,000",-,"-89,000","-89,000",-,"249,000","-1,877,000","12,128,000","796,000","796,000","6,465,000","5,964,000","5,769,000","195,000","1,552,000","501,000","4,867,000",-,-,-,-,-,-,-,"3,775,000","1,215,000","2,691,000","2,691,000","2,741,000","2,560,000","181,000",-,"-50,000","71,000","-1,000","2,691,000",0.89,0.79,"3,028,000","3,034,600","10,093,000","2,691,000","2,510,000","822,000","852,000","2,510,000",-,-,0,0
39,9/30/2013,"17,880,000","11,511,000","15,463,000","11,308,000","11,308,000","3,077,000","255,000","617,000","103,000","3,952,000","1,490,000","150,000","1,705,000","561,000","46,000","6,369,000","556,000","4,063,000","4,063,000","968,000","968,000",-,"609,000","3,095,000",-,"103,000","712,000","1,101,000",-,"24,000","24,000",-,"625,000","-1,755,000","11,859,000","763,000","763,000","6,490,000","6,032,000","5,828,000","204,000","1,568,000","458,000","4,606,000",-,-,-,-,-,-,-,"4,266,000","1,080,000","3,227,000","3,227,000","3,278,000","3,186,000","92,000",-,"-51,000","110,000",0,"3,227,000",1.01,1.01,"3,034,300","3,040,900","9,756,000","3,227,000","3,135,000","872,000","1,233,000","3,135,000",-,-,0,0
40,6/30/2013,"20,479,000","11,682,000","15,840,000","11,300,000","11,300,000","3,248,000","252,000","702,000","230,000","4,158,000","1,583,000","148,000","1,754,000","630,000","43,000","8,797,000","582,000","4,427,000","4,427,000","1,083,000","1,083,000",-,"632,000","3,344,000",-,"108,000","841,000","2,640,000",-,"89,000","89,000",-,"1,059,000","-1,824,000","12,340,000","762,000","762,000","6,755,000","6,275,000","6,075,000","200,000","1,486,000","480,000","4,823,000",-,-,-,-,-,-,-,"6,315,000","2,127,000","4,182,000","4,182,000","4,218,000","4,188,000","30,000",-,"-36,000","9,000","1,000","4,182,000",1.35,1.34,"3,040,700","3,046,300","9,858,000","4,182,000","4,152,000","954,000","615,000","4,152,000",-,-,0,0
41,3/31/2013,"20,491,000","11,884,000","16,165,000","11,628,000","11,628,000","3,312,000","258,000","688,000","159,000","4,281,000","1,627,000","163,000","1,840,000","609,000","42,000","8,607,000","611,000","4,600,000","4,600,000","1,068,000","1,068,000",-,"685,000","3,532,000",-,"120,000","925,000","2,447,000",-,"189,000","189,000",-,"760,000","-2,309,000","12,629,000","849,000","849,000","7,039,000","6,579,000","6,348,000","231,000","1,550,000","460,000","4,741,000",-,-,-,-,-,-,-,"5,553,000","1,588,000","3,808,000","3,808,000","3,898,000","3,965,000","-67,000",-,"-90,000","4,000",0,"3,808,000",1.23,1.23,"3,040,100","3,044,700","9,575,000","3,808,000","3,875,000","946,000","603,000","3,875,000",-,-,0,0
42,12/31/2012,"18,174,000","12,150,000","16,778,000","11,916,000","11,916,000","3,340,000","275,000","748,000","166,000","4,628,000","531,000","163,000","1,826,000","656,000",-,"6,024,000","604,000","4,425,000","4,425,000","1,020,000","1,020,000",-,-,"3,405,000",-,-,-,"234,000",-,"370,000","370,000",-,"391,000","-2,980,000","14,064,000","831,000","831,000","7,304,000","6,779,000","6,560,000","219,000","1,586,000","525,000","5,929,000",-,-,-,-,-,-,-,"1,130,000","-206,000","1,196,000","1,196,000","1,224,000","1,336,000","-112,000",-,"-28,000","9,000",-,"1,196,000",0.41,0.41,"2,942,700","3,017,000","9,170,000","1,196,000","1,308,000","1,023,000","243,000","1,308,000",-,-,0,0
43,9/30/2012,"13,951,000","11,913,000","16,934,000","12,171,000","12,171,000","3,498,000","296,000","825,000","144,000","5,021,000","1,912,000","173,000","2,223,000","713,000",-,"2,038,000","616,000","4,278,000","4,278,000",-,"974,000",-,-,"4,278,000",-,-,-,"976,000",-,"-2,855,000","-2,855,000",-,"-977,000","-2,695,000","12,220,000","846,000","846,000","8,202,000","7,597,000","6,132,000",-,"1,465,000","605,000","3,172,000",-,-,-,-,-,-,-,"-964,000","-1,488,000","468,000","468,000","493,000","524,000","-31,000",-,"-25,000","4,000",-,"468,000",0.15,0.15,"2,926,800","3,015,300","9,218,000","468,000","499,000","1,121,000","752,000","499,000",-,-,0,0
44,6/30/2012,"18,642,000","11,593,000","17,034,000","11,975,000","11,975,000","3,549,000","331,000","1,047,000","132,000","5,441,000","1,886,000","183,000","2,474,000","898,000",-,"7,049,000","621,000","4,116,000","4,116,000",-,-,-,-,"4,116,000",-,-,-,"1,640,000",-,"273,000","273,000",-,"399,000","-2,585,000","12,355,000","806,000",-,"6,932,000","6,341,000","6,127,000","214,000","1,481,000","591,000","4,617,000",-,-,-,-,-,-,-,"3,702,000","715,000","2,946,000","2,946,000","2,986,000","2,987,000","-1,000",-,"-40,000","9,000",-,"2,946,000",0.98,0.95,"2,926,600","3,015,000","9,008,000","2,946,000","2,947,000","1,378,000","774,000","2,947,000",-,-,0,0
45,3/31/2012,"19,406,000","11,947,000","17,537,000","12,482,000","12,482,000","3,607,000","367,000","943,000","138,000","5,590,000","2,022,000","208,000","2,612,000","695,000","53,000","7,459,000","635,000","4,119,000","4,119,000",-,-,-,-,-,-,-,-,"1,931,000",-,"2,002,000","2,002,000",-,"-1,228,000","-2,828,000","12,319,000","799,000",-,"6,888,000","6,385,000","6,385,000",-,"1,382,000","503,000","4,632,000",-,-,-,-,-,-,-,"4,068,000","1,006,000","2,931,000","2,931,000","3,057,000","3,062,000","-5,000",-,"-126,000","4,000",-,"2,931,000",0.98,0.95,"2,926,200","3,014,500","9,119,000","2,931,000","2,936,000","1,310,000","738,000","2,936,000",-,-,0,0
46,12/31/2011,"17,174,000","12,083,000","17,795,000","12,553,000","12,553,000","3,752,000","408,000","942,000","140,000","5,712,000","784,000","157,000","2,675,000","731,000","65,000","5,091,000","633,000","3,767,000","3,767,000","885,000","885,000",-,-,"2,882,000",-,-,-,"-652,000",-,"-161,000","-161,000",-,"1,504,000","-2,640,000","13,170,000","809,000",-,"7,308,000","6,621,000","6,387,000","234,000","1,338,000","687,000","5,053,000",-,-,-,-,-,-,-,"1,364,000","157,000","1,165,000","1,165,000","1,207,000","1,207,000",0,-,"-42,000","9,000",-,"1,165,000",0.40,0.38,"2,915,200","3,003,000","9,443,000","1,165,000","1,165,000","1,350,000","737,000","1,165,000",-,-,0,0
47,9/30/2011,"20,831,000","12,114,000","18,145,000","12,671,000","12,671,000","3,997,000","423,000","948,000","106,000","6,031,000","2,228,000","155,000","2,761,000","796,000","91,000","8,717,000","658,000","3,988,000","3,988,000",-,"945,000",-,-,"3,043,000",-,-,-,"2,103,000",-,"619,000","619,000",-,"1,349,000","-3,351,000","12,460,000","860,000",-,"6,858,000","6,223,000","6,223,000",-,"1,306,000","635,000","4,742,000",-,-,-,-,-,-,-,"5,020,000","1,278,000","3,771,000","3,771,000","3,743,000","3,742,000","1,000",-,"28,000","4,000",-,"3,771,000",1.27,1.23,"2,910,800","2,998,600","8,763,000","3,771,000","3,770,000","1,371,000","744,000","3,770,000",-,-,0,0
48,6/30/2011,"20,622,000","12,148,000","18,586,000","12,771,000","12,771,000","4,336,000","460,000","903,000","116,000","6,438,000","2,230,000","168,000","2,939,000","933,000","168,000","8,474,000","684,000","4,625,000","4,625,000",-,"1,068,000",-,-,"3,557,000",-,-,-,"2,616,000",-,"412,000","412,000",-,"137,000","-3,387,000","12,936,000","832,000",-,"7,296,000","6,669,000","6,669,000",-,"1,275,000","627,000","4,808,000",-,-,-,-,-,-,-,"4,299,000","967,000","3,341,000","3,341,000","3,403,000","3,332,000","71,000",-,"-62,000","9,000",-,"3,341,000",1.12,1.09,"2,908,600","2,997,000","8,761,000","3,341,000","3,270,000","1,363,000","720,000","3,270,000",-,-,0,0
49,3/31/2011,"19,726,000","12,224,000","18,200,000","12,286,000","12,286,000","4,466,000","459,000","838,000","151,000","5,976,000","2,014,000","170,000","2,971,000","737,000","84,000","7,502,000","672,000","4,465,000","4,465,000",-,"1,097,000",-,-,"3,368,000",-,-,-,"3,167,000",-,"-1,127,000","-1,127,000",-,"325,000","-2,899,000","12,326,000","825,000",-,"6,806,000","6,409,000","6,409,000",-,"1,214,000","397,000","4,695,000","6,269,000",-,-,-,"-6,269,000",-,"-6,269,000","4,216,000","1,185,000","2,999,000","2,999,000","3,071,000","3,031,000","40,000",-,"-72,000","4,000",-,"2,999,000",1.02,0.99,"2,904,400","2,996,600","9,325,000","2,999,000","-1,547,959","1,297,000","671,000","2,959,000","6,269,000","6,269,000",0,"1,762,041"
50,12/31/2010,"18,371,000","12,806,000","18,875,000","12,824,000","12,824,000","4,382,000","353,000","816,000","180,000","6,069,000","1,144,000","-64,000","2,943,000","686,000",-,"5,565,000","645,000","4,633,000","4,633,000","1,097,000","1,097,000",-,-,"3,536,000",-,-,-,"-1,046,000",-,"158,000","158,000",-,"1,175,000","-4,602,000","12,709,000","839,000",-,"6,946,000","6,428,000","6,190,000","238,000","1,273,000","518,000","4,924,000","1,178,000",-,"3,000",-,-,-,-,"1,060,000","-313,000","1,309,000","1,309,000","1,471,000","1,373,000","98,000",-,"-162,000",-,-,"1,309,000",0.45,0.40,"2,893,290","2,984,780","8,204,000","1,309,000","1,211,000","1,169,000","1,285,000","1,211,000","1,178,000","1,178,000",0,0
51,9/30/2010,"20,738,000","13,246,000","19,371,000","13,332,000","13,332,000","4,637,000","318,000","807,000","277,000","6,125,000","2,130,000","321,000","3,003,000","671,000",-,"7,492,000","655,000","4,224,000","4,224,000",-,"976,000",-,-,"3,248,000",-,-,-,"1,528,000",-,"742,000","742,000",-,"343,000","-5,919,000","11,520,000","964,000",-,"7,706,000","7,248,000","6,117,000",-,"1,131,000","458,000","2,850,000",0,-,0,"220,000",-,-,"220,000","3,299,000","698,000","2,168,000","2,168,000","2,227,000","2,601,000","-374,000",-,"-59,000",-,-,"2,168,000",0.74,0.72,"2,887,800","2,977,800","7,327,000","2,168,000","2,542,000","1,125,000","136,000","2,542,000",0,0,0,0
52,6/30/2010,"25,421,000","14,561,000","20,852,000","14,227,000","14,227,000","4,997,000","291,000","781,000","122,000","6,291,000","2,036,000","321,000","3,225,000","797,000",-,"10,860,000","748,000","4,667,000","4,667,000",-,"910,000",-,-,"3,229,000",-,-,-,"4,153,000",-,"31,000","31,000",-,"1,261,000","-8,618,000","11,521,000","965,000",-,"7,528,000","7,226,000","6,162,000",-,"1,064,000","302,000","3,028,000","3,000",-,"-3,000",-,-,-,-,"5,285,000","1,036,000","4,428,000","4,428,000","4,460,000","4,249,000","211,000",-,"-32,000",-,-,"4,428,000",0.93,0.90,"2,884,900","2,975,300","5,943,000","4,428,000","4,214,588","1,072,000","620,000","4,217,000","3,000","3,000",0,588.0795
53,3/31/2010,"19,478,000","14,561,000","20,852,000","14,673,000","14,673,000","4,981,000","290,000","752,000","156,000","6,291,000","2,080,000","339,000","3,218,000","654,000",-,"4,917,000","748,000","4,782,000","4,782,000",-,"1,022,000",-,-,"3,760,000",-,-,-,"4,051,000",-,"31,000","31,000",-,"-4,695,000","-8,618,000","11,521,000","965,000",-,"7,528,000","7,226,000","6,162,000",-,"1,064,000","302,000","3,028,000","3,000",-,"-3,000",-,-,-,-,"5,285,000","1,036,000","4,428,000","4,428,000","4,460,000","4,249,000","211,000",-,"-32,000",-,-,"4,428,000",1.50,1.50,"2,844,430","2,933,350","5,943,000","4,428,000","4,214,588","1,042,000","623,000","4,217,000","3,000","3,000",0,588.0795
54,12/31/2009,"14,977,000","11,161,000","17,703,000","11,072,000","11,072,000","5,137,000","352,000","677,000","180,000","6,542,000","2,160,000","77,000","3,390,000","626,000",-,"3,816,000","757,000","5,325,000","5,325,000","1,032,000","1,032,000",-,-,"4,293,000",-,-,-,"-1,831,000",-,"-435,000","-435,000",-,"-9,572,000","-7,890,000","22,214,000","1,130,000",-,"6,964,000","6,551,000","6,257,000","294,000","1,163,000","413,000","14,120,000","34,000",-,"-34,000",-,-,-,-,"-15,093,000","-7,353,000","-7,579,000","-7,579,000","-7,508,000","-7,740,000","232,000",-,"-71,000",0,-,"-7,579,000",-3.24,-3.30,"2,338,440","2,426,000","3,271,000","-7,579,000","-7,833,100","1,029,000","1,563,000","-7,811,000","34,000","34,000",0,"11,900"
55,9/30/2009,"20,390,000","11,998,000","18,678,000","11,601,000","11,601,000","5,937,000","313,000","728,000","99,000","6,680,000","2,298,000","393,000","3,217,000","772,000",-,"8,392,000","763,000","4,303,000","4,303,000",-,"1,085,000",-,-,"3,218,000",-,-,-,"1,660,000",-,"-285,000","-285,000",-,"1,951,000","-9,095,000","11,858,000","1,035,000",-,"7,567,000","7,250,000","6,136,000",-,"1,114,000","317,000","3,256,000","34,000",-,"-34,000",-,-,-,-,"-529,000","-1,122,000","-3,242,000","101,000","175,000","593,000","-418,000",-,"-74,000","272,000",-,"-3,242,000",-2.70,-2.70,"1,210,430","1,221,600","2,903,000","101,000","496,900","1,041,000","431,000","519,000","34,000","34,000",0,"11,900"
56,6/30/2009,"29,969,000","12,829,000","19,671,000","11,929,000","11,929,000","6,356,000","377,000","794,000","215,000","6,842,000","2,840,000","384,000","2,687,000","931,000",-,"17,140,000","745,000","6,909,000","6,909,000",-,"1,472,000",-,-,"5,437,000",-,-,-,"433,000",-,"-160,000","-160,000",-,"9,213,000","-12,676,000","12,031,000","1,091,000",-,"7,864,000","7,513,000","6,359,000",-,"1,154,000","351,000","3,076,000","32,000",-,"-32,000",-,-,-,-,"5,294,000","907,000","4,279,000","4,279,000","4,245,000","4,387,000","-142,000",-,"34,000","1,495,000",-,"4,279,000",4.90,4.90,"539,950","596,780","153,000","4,279,000","4,394,482","1,171,000","846,000","4,421,000","32,000","32,000",0,"5,482"
57,3/31/2009,"24,789,000","12,898,000","20,609,000","12,855,000","12,855,000","6,134,000","432,000","888,000","300,000","7,711,000","2,848,000","610,000","3,134,000","1,119,000",-,"11,891,000","755,000","5,988,000","5,988,000",-,"1,662,000",-,-,"4,326,000",-,-,-,"3,794,000",-,"9,000","9,000",-,"1,345,000","-10,307,000","12,100,000","1,144,000",-,"7,941,000","7,598,000","6,419,000",-,"1,179,000","343,000","3,015,000","13,000",-,"-13,000",-,-,-,-,"2,395,000","785,000","-966,000","-2,187,000","1,577,000","1,610,000","-33,000",-,"16,000","-1,221,000",-,"-966,000",-1.80,-1.80,"538,500","595,330","2,591,000","-2,187,000","-2,162,739","1,320,000","13,000","-2,154,000","13,000","13,000",0,"4,261"
58,12/31/2008,"5,595,000","12,778,000","23,436,000","14,453,000","14,453,000","6,303,000","759,000","1,404,000","517,000","10,658,000","4,080,000","-8,893,000","3,943,000",-,"198,000","-7,183,000","708,000","6,459,000","13,066,000",-,-,-,-,-,-,-,-,-,-,"13,958,000","13,095,000",-,"-8,879,000","-11,292,000","24,906,000","1,737,000",-,"8,478,000","7,985,000","6,582,000",-,-,"493,000","14,691,000","-1,787,000",-,"1,787,000",-,-,-,-,"-32,430,000","-10,975,000","-18,162,000","-17,263,000","-17,572,000","-21,455,000","3,843,000",-,"309,000","899,000",-,"-17,285,000",-,-,-,-,"1,486,000","-17,263,000","-20,494,701","2,163,000","513,000","-21,106,000","-924,000","-924,000",0,"-312,701"
59,9/30/2008,"16,680,000","13,406,000","26,182,000","15,528,000","15,528,000","6,751,000","803,000","2,222,000","878,000","12,776,000","4,915,000","3,690,000","3,881,000",-,"290,000","3,274,000","823,000","3,425,000","3,425,000",-,-,-,-,-,-,-,-,-,-,"-3,509,000","-2,904,000","-605,000","2,535,000","-9,067,000","14,417,000","1,771,000",-,"8,380,000","7,865,000","7,865,000",-,-,"515,000","4,266,000","-8,000",-,"8,000",-,-,-,-,"-6,717,000","-3,294,000","-2,815,000","-2,815,000","-2,910,000","-3,423,000","608,000",-,"95,000",-,-,"-2,815,000",-6.10,-6.10,"534,180","583,110","4,339,000","-2,815,000","-3,024,550","3,025,000","376,000","-3,423,000","-613,000","-613,000",0,"-214,550"
60,6/30/2008,"18,652,000","14,305,000","27,902,000","16,431,000","16,431,000","7,200,000","805,000","2,377,000","1,089,000","13,597,000","5,195,000","4,029,000","3,917,000",-,"456,000","4,347,000","985,000","8,438,000","8,438,000",-,"6,134,000",-,-,"2,304,000",-,-,-,-,-,"-5,725,000","-5,586,000","-139,000","649,000","-7,187,000","15,987,000","1,844,000",-,"9,871,000","9,185,000","9,185,000",-,-,"686,000","4,272,000","44,000",-,"-44,000",-,-,-,-,"-4,554,000","-2,337,000","-2,856,000","-2,495,000","-2,419,000","-2,217,000","-278,000",-,"-76,000","361,000",-,"-2,856,000",-5.50,-5.50,"528,740","577,680","7,118,000","-2,495,000","-2,155,250","3,182,000","684,000","-2,217,000","-95,000","-95,000",0,"-33,250"
61,3/31/2008,"13,219,000","13,473,000","29,950,000","17,141,000","17,141,000","7,498,000","805,000","3,172,000","1,334,000","16,477,000","6,300,000","5,353,000","4,491,000",-,"333,000","-254,000","983,000","3,988,000","3,988,000",-,"2,317,000",-,-,"1,671,000",-,-,-,-,-,"-6,780,000","-6,780,000",-,"1,555,000","-5,751,000","16,476,000","1,788,000",-,"9,759,000","9,080,000","9,080,000",-,-,"679,000","4,929,000","-15,000",-,"15,000",-,-,-,-,"-9,002,000","-3,891,000","-5,194,000","-5,111,000","-5,132,000","-5,111,000",-,-,"21,000","83,000",-,"-5,194,000",-10.30,-10.30,"508,560","557,570","7,722,000","-5,111,000","-5,101,250","3,977,000","893,000","-5,111,000","-15,000","-15,000",0,"-5,250"
62,12/31/2007,"7,216,000","12,426,000","32,419,000","17,609,000","17,609,000","7,692,000","825,000","4,313,000","1,980,000","19,993,000","7,705,000","7,116,000","4,790,000",-,"382,000","-5,210,000","957,000","2,131,000","2,798,000",-,"2,514,000",-,-,"-11,031,000",-,-,-,-,-,"-5,240,000","-5,240,000",-,"3,436,000","-7,572,000","16,639,000","1,800,000",-,"10,076,000","9,325,000","9,084,000","241,000",-,"751,000","4,763,000","-53,000",-,"53,000",-,-,-,-,"-16,858,000","-7,310,000","-9,833,000","-9,833,000","-9,738,000","-9,548,000",-,-,"-95,000",0,-,"-9,833,000",-,-,-,-,"4,854,000","-9,833,000","-9,798,550","5,138,000","332,000","-9,833,000","-53,000","-53,000",0,"-18,550"
63,9/30/2007,"22,393,000","12,157,000","32,961,000","17,397,000","17,397,000","8,513,000","874,000","5,090,000","1,087,000","20,804,000","7,539,000","8,480,000","4,414,000",-,"371,000","10,236,000","893,000","6,521,000","6,521,000",-,"2,468,000",-,-,"4,053,000",-,-,-,-,-,"19,000","19,000",-,"2,803,000","-4,776,000","14,812,000","1,748,000",-,"8,766,000","7,966,000","7,730,000","236,000",-,"800,000","4,298,000","-35,000",-,"35,000",-,-,-,-,"2,750,000","538,000","2,206,000","2,212,000","2,232,000","2,212,000",-,-,"-20,000","6,000",-,"2,206,000",4.50,4.40,"491,610","501,090","7,381,000","2,212,000","2,240,153","5,964,000","767,000","2,212,000","-35,000","-35,000",0,"-6,847"
64,6/30/2007,"26,630,000","11,426,000","30,598,000","16,253,000","16,253,000","7,962,000","792,000","4,662,000","929,000","19,172,000","6,939,000","7,849,000","4,004,000",-,"380,000","15,204,000","846,000","8,715,000","8,715,000",-,"2,241,000",-,-,"6,474,000",-,-,-,-,-,"2,906,000","2,906,000",-,"2,737,000","-2,520,000","14,989,000","1,603,000",-,"9,886,000","9,119,000","8,922,000","197,000",-,"767,000","3,500,000","-63,000",-,"63,000",-,-,-,-,"8,935,000","2,709,000","6,212,000","6,226,000","6,349,000","6,226,000",-,-,"-123,000","14,000",-,"6,212,000",12.70,12.40,"489,830","499,290","8,906,000","6,226,000","6,269,899","5,454,000","670,000","6,226,000","-63,000","-63,000",0,"-19,101"
65,3/31/2007,"25,459,000","10,570,000","28,132,000","14,935,000","14,935,000","7,470,000","709,000","4,289,000","729,000","17,562,000","6,558,000","6,947,000","3,750,000",-,"307,000","14,889,000","838,000","7,722,000","7,722,000",-,"1,949,000",-,-,"5,773,000",-,-,-,-,-,"3,470,000","3,470,000",-,"2,859,000","-2,706,000","14,455,000","1,529,000",-,"9,577,000","8,960,000","8,699,000","261,000",-,"617,000","3,349,000","-1,377,000",-,"1,377,000",-,-,-,-,"6,874,000","1,862,000","4,996,000","5,012,000","5,059,000","5,012,000",-,-,"-47,000","16,000",-,"4,996,000",10.20,10.10,"487,700","496,790","7,864,000","5,012,000","6,016,004","4,998,000","652,000","5,012,000","-1,377,000","-1,377,000",0,"-372,996"
66,12/31/2006,"23,828,000","9,455,000","25,673,000","14,171,000","14,171,000","6,758,000","361,000","3,884,000","499,000","16,218,000","6,177,000","5,622,000","3,471,000",-,"948,000","14,373,000","813,000","2,477,000","2,477,000",-,"1,852,000",-,-,"-10,848,000",-,-,-,-,-,"-4,941,000","-4,941,000",-,"3,348,000","-2,363,000","14,193,000","1,613,000",-,"8,891,000","8,157,000","7,922,000","235,000",-,"734,000","3,689,000",0,-,-,-,-,-,-,"7,659,000","2,241,000","5,113,000","5,129,000","5,281,000","5,418,000",0,-,"-152,000","16,000",-,"5,113,000",-,-,-,-,"7,092,000","5,129,000","5,129,000","4,245,000","458,000","5,129,000",0,0,0,0
67,9/30/2006,"21,422,000","9,828,000","24,729,000","14,390,000","14,390,000","5,164,000","713,000","3,713,000","749,000","14,901,000","5,771,000","5,914,000","3,160,000",-,"56,000","11,594,000","819,000","5,677,000","5,677,000",-,"1,670,000",-,-,"4,007,000",-,-,-,-,-,"2,231,000","2,231,000",-,"2,867,000","-1,793,000","12,210,000","1,435,000",-,"7,566,000","6,992,000","6,718,000","274,000",-,"574,000","3,209,000","-50,000",-,-,-,-,-,-,"7,323,000","2,020,000","5,489,000","5,505,000","5,551,000","5,303,000","202,000",-,"-46,000","16,000",-,"5,489,000",11.30,11.00,"487,550","497,860","8,035,000","5,505,000","5,339,208","4,426,000","688,000","5,303,000","-50,000","-50,000",0,"-13,792"
68,6/30/2006,"22,182,000","9,810,000","23,527,000","13,598,000","13,598,000",-,-,-,"9,929,000","13,717,000",-,-,-,-,-,"12,372,000","800,000","7,038,000","7,038,000",-,"1,707,000",-,-,"5,331,000",-,-,-,-,-,"2,005,000","2,005,000",-,"2,529,000","-1,436,000","13,000,000","1,411,000",-,"8,257,000","7,605,000","7,374,000","231,000",-,"652,000","3,332,000","-150,000",-,-,-,-,-,-,"7,565,000","2,303,000","5,249,000","5,265,000","5,296,000","5,262,000","3,000",-,"-31,000","16,000",-,"5,249,000",10.70,10.50,"489,900","499,000","8,374,000","5,265,000","5,366,336",-,"688,000","5,262,000","-150,000","-150,000",0,"-45,664"
