,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Derivative Assets,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Provisions,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
35,6/30/2014,"65,325,000","3,894,000","3,894,000","1,226,000",-,"2,668,000",-,-,-,-,"9,643,000",-,-,-,"9,643,000",-,"46,469,000","47,060,000","30,986,000","687,000","14,035,000","1,352,000","591,000",-,"4,757,000",-,-,"4,757,000",-,"562,000",-,-,-,-,-,-,-,-,-,"57,956,000","54,170,000","29,396,000",-,"29,396,000","24,774,000",-,"990,000",-,-,-,"990,000","176,000","176,000","349,000","176,000",-,"2,620,000","2,620,000",-,-,-,"7,369,000","7,369,000","1,141,000",-,"1,141,000","6,520,000","2,175,000","2,163,000","-304,000",-,"9,989,000",-,"7,369,000","7,369,000","10,165,000","7,369,000","2,796,000",-,"228,165","180,970",-,"47,194"
36,3/31/2014,"65,681,000","5,620,000","5,620,000","1,186,000",-,"4,434,000",-,-,-,-,"9,592,000",-,-,-,"9,592,000",-,"45,046,000","45,640,000","29,774,000","684,000","13,932,000","1,250,000","594,000",-,"4,840,000",-,-,"4,840,000",-,"583,000",-,-,-,-,-,-,-,-,-,"58,398,000","53,750,000","29,795,000",-,"29,795,000","23,955,000",-,"954,000",-,-,-,"954,000","160,000","160,000",-,"160,000",-,"3,534,000","3,534,000",-,-,-,"7,283,000","7,283,000","1,141,000",-,"1,141,000","6,414,000","2,182,000","2,129,000","-325,000",-,"10,817,000",-,"7,283,000","7,283,000","10,977,000","7,283,000","3,694,000",-,"228,165","181,672",-,"46,493"
37,12/31/2013,"65,227,000","6,451,000","6,451,000","1,140,000",-,"5,311,000",-,0,0,-,"9,419,000",-,-,-,"9,419,000",-,"44,027,000","44,625,000","28,815,000","720,000","13,763,000","1,327,000","598,000",-,"4,736,000",-,-,"4,736,000",-,"594,000","1,435,000","90,000","830,000","515,000","-841,000",-,-,-,-,"58,074,000","53,292,000","29,417,000",-,"29,417,000","23,875,000",-,"986,000",-,-,-,"986,000","253,000","253,000",-,"253,000",-,"3,543,000","3,543,000","1,000,000",-,-,"7,153,000","7,153,000","1,141,000",-,"1,141,000","6,321,000","2,179,000","2,097,000","-391,000",-,"10,696,000",-,"7,153,000","7,153,000","10,949,000","7,153,000","3,796,000",-,"228,165","182,304",-,"45,861"
38,9/30/2013,"64,670,000","7,088,000","7,088,000","1,384,000",-,"5,704,000",-,0,0,-,"9,594,000",-,-,-,"9,594,000",-,"42,718,000","43,322,000","27,897,000","651,000","13,488,000","1,286,000","604,000",-,"4,666,000",-,-,"4,666,000",-,"604,000",-,-,-,-,-,-,-,-,-,"57,701,000","52,909,000","29,013,000",-,"29,013,000","23,896,000",-,"1,001,000",-,-,-,"1,001,000","226,000","226,000",-,"226,000",-,"3,565,000","3,565,000","1,000,000",-,-,"6,969,000","6,969,000","1,141,000",-,"1,141,000","6,239,000","2,171,000","2,041,000","-541,000",-,"10,534,000",-,"6,969,000","6,969,000","10,760,000","6,969,000","3,791,000",-,"228,165","183,681",-,"44,484"
39,6/30/2013,"62,947,000","3,925,000","3,894,000","1,016,000",-,"2,878,000","31,000","31,000","31,000",-,"9,750,000",-,-,-,"9,750,000",-,"44,003,000","44,616,000","29,186,000","650,000","13,571,000","1,209,000","613,000",-,"4,665,000",-,-,"4,665,000",-,"604,000",-,-,-,-,-,-,-,-,-,"56,036,000","51,255,000","29,385,000",-,"29,385,000","21,870,000",-,"1,049,000",-,-,-,"1,049,000","131,000","131,000",-,"131,000",-,"3,601,000","3,601,000","1,000,000",-,-,"6,911,000","6,911,000","1,141,000",-,"1,141,000","6,127,000","2,160,000","1,979,000","-538,000",-,"10,512,000",-,"6,911,000","6,911,000","10,643,000","6,911,000","3,732,000",-,"228,165","185,166",-,"42,999"
40,3/31/2013,"64,885,000","5,597,000","5,597,000","877,000",-,"4,720,000",-,0,0,-,"10,401,000",-,-,-,"10,401,000",-,"43,597,000","44,214,000","28,508,000","658,000","13,779,000","1,269,000","617,000",-,"4,672,000",-,-,"4,672,000",-,"618,000",-,-,-,-,-,-,-,-,-,"57,897,000","52,117,000","29,340,000",-,"29,340,000","22,777,000",-,"1,023,000",-,-,-,"1,023,000","58,000","58,000",-,"58,000",-,"4,699,000","4,699,000","2,000,000",-,-,"6,988,000","6,988,000","1,141,000",-,"1,141,000","6,020,000","2,157,000","1,920,000","-410,000",-,"11,687,000",-,"6,988,000","6,988,000","11,745,000","6,988,000","4,757,000",-,"228,165","186,803",-,"41,362"
41,12/31/2012,"65,359,000","4,534,000","4,434,000","1,395,000",-,"3,039,000","100,000","100,000","100,000",-,"10,422,000",-,-,-,"10,422,000",-,"44,569,000","45,198,000","29,513,000","616,000","13,776,000","1,293,000","629,000",-,"5,212,000",-,-,"5,212,000",-,"622,000","1,415,000","90,000","816,000","509,000","-793,000","655,000","635,000","20,000",-,"58,417,000","52,202,000","28,923,000",-,"28,923,000","23,279,000",-,"1,385,000",-,-,-,"1,385,000","110,000","110,000",-,"110,000",-,"4,720,000","4,720,000","2,000,000",-,-,"6,942,000","6,942,000","1,141,000",-,"1,141,000","5,931,000","2,162,000","1,879,000","-413,000",-,"11,662,000",-,"6,942,000","6,942,000","11,772,000","6,942,000","4,830,000","396,000","228,165","188,275",-,"39,890"
42,9/30/2012,"63,314,000","3,938,000","3,938,000","933,000",-,"3,005,000",-,-,-,-,"10,715,000",-,"10,569,000",-,"10,715,000",-,"43,547,000","44,194,000","27,460,000","2,174,000","12,446,000","44,194,000","647,000",-,"4,489,000",-,-,"4,489,000","4,489,000","625,000",-,-,-,-,-,"660,000","635,000","25,000",-,"56,230,000","49,977,000","28,224,000",-,"28,224,000","21,753,000",-,"1,450,000",-,-,-,"1,450,000","63,000","63,000",-,"63,000",-,"4,740,000","4,740,000",-,-,-,"7,084,000","7,084,000","1,141,000",-,"1,141,000","5,831,000","2,153,000","1,788,000","-253,000",-,"11,824,000",-,"7,084,000","7,084,000","11,887,000","7,084,000","4,803,000","865,000","228,165","191,375",-,"36,790"
43,6/30/2012,"62,650,000","4,141,000","4,141,000","1,076,000",-,"3,065,000",-,-,-,-,"10,110,000",-,"9,940,000",-,"10,110,000",-,"43,325,000","43,992,000","27,016,000","2,218,000","12,676,000","43,992,000","667,000",-,"4,407,000",-,-,"4,407,000","4,407,000","667,000",-,-,-,-,-,"663,000","635,000","28,000",-,"55,622,000","49,388,000","28,058,000",-,"28,058,000","21,330,000",-,"1,409,000",-,-,-,"1,409,000","83,000","83,000",-,"83,000",-,"4,742,000","4,742,000",-,-,-,"7,028,000","7,028,000","1,141,000",-,"1,141,000","5,744,000","2,144,000","1,700,000","-301,000",-,"11,770,000",-,"7,028,000","7,028,000","11,853,000","7,028,000","4,825,000","684,000","228,165","194,275",-,"33,889"
44,3/31/2012,"62,593,000","3,960,000","3,950,000",-,-,"3,950,000","10,000","10,000","10,000",-,"10,241,000",-,"10,061,000",-,"180,000",-,"42,308,000","43,012,000","35,719,000","3,494,000","2,927,000","872,000","704,000",-,"4,749,000",-,-,"4,749,000","5,414,000","670,000",-,-,-,-,-,"665,000","635,000","30,000",-,"55,608,000","49,306,000","28,565,000",-,"28,565,000","20,741,000",-,"1,301,000",-,-,-,"1,301,000","82,000","82,000",-,"82,000",-,"4,919,000","4,919,000",-,-,-,"6,985,000","6,985,000","1,141,000",-,"1,141,000","5,630,000","2,154,000","1,614,000","-326,000",-,"11,904,000",-,"6,985,000","6,985,000","11,986,000","6,985,000","5,001,000","1,051,000","228,165","197,132",-,"31,033"
45,12/31/2011,"61,008,000","3,556,000","3,556,000","982,000",-,"2,574,000",-,-,-,-,"10,253,000",-,"10,104,000",-,"10,253,000",-,"41,953,000","42,679,000","24,996,000","2,285,000","13,323,000","42,679,000","726,000",-,"4,549,000",-,-,"4,549,000",-,"675,000","1,451,000","94,000","830,000","527,000","-776,000","667,000","635,000","32,000","22,000","54,140,000","47,755,000","27,991,000",-,"27,991,000","19,764,000",-,"1,349,000",-,-,-,"1,349,000","70,000","70,000",-,"70,000",-,"4,944,000","4,944,000","2,000,000",-,"22,000","6,868,000","6,868,000","1,141,000",-,"1,141,000","5,546,000","2,170,000","1,633,000","-356,000",-,"11,812,000",-,"6,868,000","6,868,000","11,882,000","6,868,000","5,014,000","1,458,000","228,165","197,334",-,"30,831"
46,9/30/2011,"60,888,000","5,198,000","5,198,000",-,-,"5,198,000",-,-,-,"8,000","9,869,000",-,"9,732,000",-,"137,000",-,"40,458,000","41,225,000","23,113,000","3,355,000","13,830,000","927,000","767,000",-,"4,000,000",-,-,"4,000,000","4,670,000","685,000",-,-,-,-,-,"670,000","635,000","35,000",-,"53,937,000","47,452,000","28,336,000",-,"28,336,000","19,116,000",-,"1,304,000",-,-,-,"1,304,000","164,000","164,000",-,"164,000",-,"5,009,000","5,009,000",-,-,"8,000","6,951,000","6,951,000","1,141,000",-,"1,141,000","5,471,000","2,162,000","1,593,000","-230,000",-,"11,960,000",-,"6,951,000","6,951,000","12,124,000","6,951,000","5,173,000",-,"228,165","198,926",-,"29,238"
47,6/30/2011,"54,141,000","3,466,000","3,466,000",-,-,"3,466,000",-,-,-,"10,000","7,661,000",-,"7,537,000",-,"124,000",-,"38,387,000","39,193,000","22,052,000","3,394,000","12,798,000","949,000","806,000",-,"3,822,000",-,-,"3,822,000","3,976,000","641,000",-,-,-,-,-,"154,000","150,000","4,000",-,"48,103,000","41,758,000","25,414,000",-,"25,414,000","16,344,000",-,"1,062,000",-,-,-,"1,062,000","67,000","67,000",-,"67,000",-,"5,206,000","5,206,000",-,-,"10,000","6,038,000","6,038,000","1,019,000",-,"1,019,000","5,395,000","1,472,000","1,540,000","-308,000",-,"11,244,000",-,"6,038,000","6,038,000","11,311,000","6,038,000","5,273,000","1,807,000","203,878","176,786",-,"27,092"
48,3/31/2011,"55,017,000","4,445,000","4,445,000",-,-,"4,445,000",-,-,-,"14,000","7,560,000",-,"7,406,000",-,"154,000",-,"38,327,000","39,176,000","21,360,000","3,588,000","13,270,000","958,000","849,000",-,"3,879,000",-,-,"3,879,000","4,034,000","637,000",-,-,-,-,-,"155,000","150,000","5,000",-,"49,140,000","41,873,000","25,516,000",-,"25,516,000","16,357,000",-,"1,076,000",-,-,-,"1,076,000","61,000","61,000",-,"61,000",-,"6,116,000","6,116,000",-,-,"14,000","5,877,000","5,877,000","1,019,000",-,"1,019,000","5,317,000","1,464,000","1,541,000","-382,000",-,"11,993,000",-,"5,877,000","5,877,000","12,054,000","5,877,000","6,177,000","1,732,000","203,878","176,774",-,"27,104"
49,12/31/2010,"53,667,000","2,083,000","2,083,000","668,000",-,"1,415,000",-,-,-,"9,000","7,701,000",-,"7,560,000",-,"7,701,000",-,"39,335,000","40,236,000","22,145,000","2,311,000","13,639,000","40,236,000","901,000",-,"3,909,000",-,-,"3,909,000",-,"630,000","1,373,000","92,000","778,000","503,000","-743,000","156,000","150,000","6,000","9,000","47,874,000","40,471,000","24,933,000",-,"24,933,000","15,538,000",-,"1,126,000",-,-,-,"1,126,000","130,000","130,000",-,"130,000",-,"6,138,000","6,138,000","2,500,000",-,"9,000","5,793,000","5,793,000","1,019,000",0,"1,019,000","5,247,000","1,481,000","1,565,000","-389,000",-,"11,931,000",-,"5,793,000","5,793,000","12,061,000","5,793,000","6,268,000","4,185,000","203,878","176,536","2,250","27,343"
50,9/30/2010,"55,004,000","3,994,000","3,894,000",-,-,"3,894,000","100,000","100,000",-,"13,000","6,931,000",-,"6,816,000",-,"115,000",-,"39,323,000","40,280,000","31,612,000","3,585,000","4,030,000","1,053,000","957,000",-,-,-,-,-,"4,104,000","639,000",-,-,-,-,-,-,-,-,-,"49,147,000","40,631,000","24,868,000",-,"24,868,000","15,763,000",-,"1,085,000",-,-,-,"1,085,000","179,000","179,000",-,"179,000",-,"7,239,000","7,239,000",-,-,"13,000","5,857,000","5,857,000","1,019,000",0,"1,019,000","5,171,000","1,473,000","1,568,000","-238,000",-,"13,096,000",-,"5,857,000","5,857,000","13,275,000","5,857,000","7,418,000","3,524,000","203,878","176,483","2,250","27,395"
51,6/30/2010,"55,885,000","4,225,000","4,225,000",-,-,"4,225,000",-,-,-,"24,000","7,322,000",-,"7,188,000",-,"134,000",-,"39,635,000","40,602,000","31,469,000","3,669,000","4,380,000","1,084,000","967,000",-,-,-,-,-,"4,045,000","634,000",-,-,-,-,-,-,-,-,-,"50,093,000","39,780,000","24,011,000",-,"24,011,000","15,769,000",-,"1,048,000",-,-,-,"1,048,000","200,000","200,000",-,"200,000",-,"9,041,000","9,041,000",-,-,"24,000","5,792,000","5,792,000","1,019,000",0,"1,019,000","5,124,000","1,467,000","1,578,000","-240,000",-,"14,833,000",-,"5,792,000","5,792,000","15,033,000","5,792,000","9,241,000","5,016,000","203,878","176,317","2,250","27,561"
52,3/31/2010,"57,106,000","4,629,000","4,629,000",-,-,"4,629,000",-,-,-,"21,000","7,511,000",-,"7,346,000",-,"165,000",-,"39,858,000","40,845,000","31,114,000","3,778,000","4,833,000","1,120,000","987,000",-,-,-,-,-,"4,450,000","637,000",-,-,-,-,-,-,-,-,-,"51,438,000","39,966,000","24,676,000",-,"24,676,000","15,290,000",-,"1,047,000",-,-,-,"1,047,000","489,000","489,000",-,"489,000",-,"9,915,000","9,915,000",-,-,"21,000","5,668,000","5,668,000","1,019,000",0,"1,019,000","5,064,000","1,468,000","1,580,000","-303,000",-,"15,583,000",-,"5,668,000","5,668,000","16,072,000","5,668,000","10,404,000","5,775,000","203,878","176,303","2,250","27,575"
53,12/31/2009,"59,263,000","5,617,000","5,617,000","774,000",-,"4,843,000",-,0,0,"11,000","7,554,000",-,"7,416,000",-,"7,554,000",-,"41,176,000","42,161,000","21,690,000","2,511,000","15,569,000","42,161,000","985,000",-,"4,261,000",-,-,"4,261,000","4,247,000","644,000","1,355,000","93,000","754,000","508,000","-711,000",-,-,-,"11,000","52,234,000","39,665,000","23,794,000",-,"23,794,000","15,871,000",-,"1,036,000",-,-,-,"1,036,000","462,000","462,000",-,"462,000",-,"11,060,000","11,060,000","6,000,000",-,"11,000","7,029,000","7,029,000","3,045,000","2,151,000","894,000","5,161,000","740,000","1,581,000","-336,000",-,"18,089,000","2,151,000","4,878,000","7,029,000","16,400,000","4,878,000","11,522,000","5,905,000","178,735","151,180","2,250","27,556"
54,9/30/2009,"59,590,000","3,018,000","3,018,000",-,-,"3,018,000",-,-,-,"12,000","9,024,000",-,"8,882,000",-,"142,000",-,"42,618,000","43,571,000","32,926,000","3,899,000","5,549,000","1,197,000","953,000",-,-,-,-,-,"4,261,000","657,000",-,-,-,-,-,-,-,-,-,"52,555,000","39,614,000","25,726,000",-,"25,726,000","13,888,000",-,"1,252,000",-,-,-,"1,252,000","425,000","425,000",-,"425,000",-,"11,252,000","11,252,000",-,-,"12,000","7,035,000","7,035,000","3,039,000","2,145,000","894,000","5,205,000","738,000","1,586,000","-361,000",-,"18,287,000","2,145,000","4,890,000","7,035,000","16,567,000","4,890,000","11,677,000","8,659,000","178,735","151,115","2,250","27,621"
55,6/30/2009,"63,630,000","5,140,000","4,490,000",-,-,"4,490,000","650,000","650,000",-,"7,000","7,886,000",-,"7,757,000",-,"129,000",-,"45,672,000","46,552,000","35,322,000","4,085,000","5,911,000","1,234,000","880,000",-,-,-,-,-,"4,258,000","667,000",-,-,-,-,-,-,-,-,-,"56,537,000","40,991,000","27,433,000",-,"27,433,000","13,558,000",-,"1,478,000",-,-,-,"1,478,000","490,000","490,000",-,"490,000",-,"13,571,000","13,571,000",-,-,"7,000","7,093,000","7,093,000","3,034,000","2,140,000","894,000","5,257,000","731,000","1,587,000","-342,000",-,"20,664,000","2,140,000","4,953,000","7,093,000","19,014,000","4,953,000","14,061,000","9,571,000","178,735","151,115","2,250","27,620"
56,3/31/2009,"67,370,000","3,510,000","3,510,000",-,-,"3,510,000",-,-,-,"10,000","11,092,000",-,"10,844,000",-,"248,000",-,"47,808,000","48,624,000","36,945,000","4,232,000","6,215,000","1,232,000","816,000",-,-,-,-,-,"4,274,000","676,000",-,-,-,-,-,-,-,-,-,"60,187,000","41,894,000","29,249,000",-,"29,249,000","12,645,000",-,"1,464,000",-,-,-,"1,464,000","2,207,000","2,207,000",-,"2,207,000",-,"14,612,000","14,612,000",-,-,"10,000","7,183,000","7,183,000","3,028,000","2,134,000","894,000","5,252,000","727,000","1,586,000","-238,000",-,"21,795,000","2,134,000","5,049,000","7,183,000","21,868,000","5,049,000","16,819,000","13,309,000","178,035","150,454","2,250","27,581"
57,12/31/2008,"67,548,000","3,423,000","3,221,000","913,000",-,"2,308,000","202,000","202,000","202,000","14,000","9,359,000",-,"9,201,000",-,"9,359,000",-,"49,735,000","50,505,000","27,999,000","2,592,000","16,818,000","50,505,000","770,000",-,"4,334,000",-,-,"4,334,000","4,334,000","683,000","1,339,000","92,000","753,000","494,000","-656,000",-,-,-,"14,000","60,396,000","41,955,000","30,254,000",-,"30,254,000","11,701,000",-,"1,625,000",-,-,-,"1,625,000","1,749,000","1,749,000",-,"1,749,000",-,"15,053,000","15,053,000","8,000,000",-,"14,000","7,152,000","7,152,000","3,023,000","2,129,000","894,000","5,345,000","722,000","1,629,000","-309,000",-,"22,205,000","2,129,000","5,023,000","7,152,000","21,825,000","5,023,000","16,802,000","13,581,000","178,699","150,454","2,250","28,245"
58,9/30/2008,"65,153,000","1,407,000","1,404,000",-,-,"1,404,000","3,000","3,000",-,"21,000","8,405,000",-,"8,405,000",-,-,-,"50,843,000","51,555,000",-,-,-,"51,555,000","712,000",-,-,-,-,-,-,"668,000",-,-,-,-,-,-,-,-,"3,809,000","60,053,000","39,545,000","27,451,000",-,"27,451,000","12,094,000",-,-,-,-,-,-,"3,625,000","3,625,000",-,"3,625,000",-,"15,376,000","15,376,000",-,-,"1,507,000","5,100,000","5,100,000","894,000",-,"894,000","5,379,000","586,000","1,630,000","-129,000",-,"20,476,000",-,"5,100,000","5,100,000","24,101,000","5,100,000","19,001,000","17,597,000","178,703","150,454",-,"28,249"
59,6/30/2008,"66,003,000","1,775,000","1,698,000",-,-,"1,698,000","77,000","77,000",-,"15,000","8,492,000",-,"8,492,000",-,-,-,"51,088,000","51,751,000",-,-,-,"51,751,000","663,000",-,-,-,-,-,-,"674,000",-,-,-,-,-,-,-,-,"3,959,000","60,921,000","42,322,000","30,462,000",-,"30,462,000","11,860,000",-,-,-,-,-,-,"4,075,000","4,075,000",-,"4,075,000",-,"12,858,000","12,858,000",-,-,"1,666,000","5,082,000","5,082,000","894,000",-,"894,000","5,451,000","576,000","1,632,000","-207,000",-,"17,940,000",-,"5,082,000","5,082,000","22,015,000","5,082,000","16,933,000","15,235,000","150,454","150,454",-,-
60,3/31/2008,"67,017,000","1,974,000","1,929,000",-,-,"1,929,000","45,000","45,000",-,"28,000","8,919,000",-,"8,919,000",-,-,-,"51,747,000","52,352,000",-,-,-,"52,352,000","605,000",-,-,-,-,-,-,"670,000",-,-,-,-,-,-,-,-,"3,679,000","61,760,000","46,819,000","34,027,000",-,"34,027,000","12,792,000",-,-,-,-,-,-,"2,434,000","2,434,000",-,"2,434,000",-,"10,800,000","10,800,000",-,-,"1,707,000","5,257,000","5,257,000","894,000",-,"894,000","5,496,000","565,000","1,631,000","-67,000",-,"16,057,000",-,"5,257,000","5,257,000","18,491,000","5,257,000","13,234,000","11,305,000","150,501","150,501",-,-
61,12/31/2007,"62,331,000","1,476,000","1,440,000","1,440,000",-,"1,440,000","36,000","36,000","36,000","48,000","6,669,000",-,"6,669,000",-,"6,669,000",-,"50,186,000","50,743,000","28,223,000","2,464,000","16,779,000","50,743,000","557,000",-,"3,302,000",-,-,"3,302,000",-,"650,000","1,267,000","95,000","707,000","465,000","-617,000",-,-,-,"48,000","57,214,000","44,278,000","32,358,000","6,147,000","26,211,000","11,920,000",-,"1,260,000",-,-,-,"1,260,000","2,807,000","2,807,000",-,"2,807,000",-,"8,821,000","8,821,000",-,-,"48,000","5,117,000","5,117,000","894,000",-,"894,000","5,497,000","564,000","1,661,000","-177,000",-,"13,938,000",-,"5,117,000","5,117,000","16,745,000","5,117,000","11,628,000","10,188,000","150,514","150,514",-,-
62,9/30/2007,"60,022,000","1,400,000","1,271,000",-,-,"1,271,000","129,000","129,000",-,"39,000","5,235,000",-,"5,235,000",-,-,-,"49,084,000","49,596,000",-,-,-,"49,596,000","512,000",-,-,-,-,-,-,"635,000",-,-,-,-,-,-,-,-,"3,629,000","54,945,000","41,920,000","30,630,000",-,"30,630,000","11,290,000",-,-,-,-,-,-,"2,813,000","2,813,000",-,"2,813,000",-,"8,906,000","8,906,000",-,-,"1,306,000","5,077,000","5,077,000","894,000",-,"894,000","5,484,000","551,000","1,614,000","-238,000",-,"13,983,000",-,"5,077,000","5,077,000","16,796,000","5,077,000","11,719,000","10,448,000","151,018","151,018",-,-
63,6/30/2007,"58,570,000","2,589,000","1,372,000",-,-,"1,372,000","1,217,000","1,217,000",-,"40,000","4,619,000",-,"4,619,000",-,-,-,"48,258,000","48,765,000",-,-,-,"48,765,000","507,000",-,-,-,-,-,-,"616,000",-,-,-,-,-,-,-,-,"2,448,000","53,552,000","43,207,000","30,444,000",-,"30,444,000","12,763,000",-,-,-,-,-,-,"297,000","297,000",-,"297,000",-,"8,748,000","8,748,000",-,-,"1,300,000","5,018,000","5,018,000","894,000",-,"894,000","5,400,000","539,000","1,507,000","-308,000",-,"13,766,000",-,"5,018,000","5,018,000","14,063,000","5,018,000","9,045,000","7,673,000","153,019","153,019",-,-
64,3/31/2007,"57,527,000","2,791,000","1,334,000",-,-,"1,334,000","1,457,000","1,457,000",-,"55,000","4,209,000",-,"4,209,000",-,-,-,"47,489,000","47,989,000",-,-,-,"47,989,000","500,000",-,-,-,-,-,-,"596,000",-,-,-,-,-,-,-,-,"2,387,000","52,407,000","43,670,000","30,086,000",-,"30,086,000","13,584,000",-,-,-,-,-,-,"329,000","329,000",-,"329,000",-,"7,148,000","7,148,000",-,-,"1,260,000","5,120,000","5,120,000","894,000",-,"894,000","5,311,000","524,000","1,325,000","-284,000",-,"12,268,000",-,"5,120,000","5,120,000","12,597,000","5,120,000","7,477,000","6,143,000","155,945","155,945",-,-
65,12/31/2006,"58,001,000","4,066,000","1,434,000","1,434,000",-,"1,434,000","2,632,000","2,632,000","2,632,000","56,000","3,989,000",-,"3,989,000",-,"3,989,000",-,"46,938,000","47,431,000","26,265,000","2,423,000","15,539,000","47,431,000","493,000",-,"2,384,000",-,-,"2,384,000",-,"568,000","1,149,000","91,000","631,000","427,000","-581,000",-,-,-,"56,000","52,848,000","44,927,000","31,026,000",-,"31,026,000","13,901,000",-,"1,281,000",-,-,-,"1,281,000","635,000","635,000",-,"635,000",-,"5,949,000","5,949,000",-,-,"56,000","5,153,000","5,153,000","894,000",-,"894,000","5,282,000","520,000","1,219,000","-324,000",-,"11,102,000",-,"5,153,000","5,153,000","11,737,000","5,153,000","6,584,000","5,150,000","157,574","157,574",-,-
66,9/30/2006,"58,474,000","1,456,000","1,456,000",-,-,"1,456,000",-,-,-,"64,000","7,663,000",-,"7,663,000",-,-,-,"46,022,000","46,515,000",-,-,-,"46,515,000","493,000",-,-,-,-,-,-,"540,000",-,-,-,-,-,-,-,-,"2,729,000","53,266,000","44,930,000","29,798,000",-,"29,798,000","15,132,000",-,-,-,-,-,-,"225,000","225,000",-,"225,000",-,"6,755,000","6,755,000",-,-,"1,356,000","5,208,000","5,208,000","894,000",-,"894,000","5,079,000","507,000","1,144,000","-128,000",-,"11,963,000",-,"5,208,000","5,208,000","12,188,000","5,208,000","6,980,000","5,524,000","158,843","158,843",-,-
67,6/30/2006,"57,080,000","1,664,000","1,664,000",-,-,"1,664,000",-,-,-,"74,000","6,361,000",-,"6,361,000",-,-,-,"45,918,000","46,399,000",-,-,-,"46,399,000","481,000",-,-,-,-,-,-,"522,000",-,-,-,-,-,-,-,-,"2,541,000","51,891,000","44,126,000","28,927,000",-,"28,927,000","15,199,000",-,-,-,-,-,-,"442,000","442,000",-,"442,000",-,"6,087,000","6,087,000",-,-,"1,236,000","5,189,000","5,189,000","894,000",-,"894,000","4,978,000","494,000","951,000","-226,000",-,"11,276,000",-,"5,189,000","5,189,000","11,718,000","5,189,000","6,529,000","4,865,000","162,201","162,201",-,-
68,3/31/2006,"56,441,000","1,685,000","1,685,000",-,-,"1,685,000",-,-,-,"60,000","7,278,000",-,"7,278,000",-,-,-,"44,267,000","44,739,000",-,-,-,"44,739,000","472,000",-,-,-,-,-,-,"516,000",-,-,-,-,-,-,-,-,"2,635,000","51,347,000","44,096,000","28,324,000",-,"28,324,000","15,772,000",-,-,-,-,-,-,"1,901,000","1,901,000",-,"1,901,000",-,"4,062,000","4,062,000",-,-,"1,288,000","5,094,000","5,094,000","894,000",-,"894,000","4,880,000","466,000","948,000","-198,000",-,"9,156,000",-,"5,094,000","5,094,000","11,057,000","5,094,000","5,963,000","4,278,000","162,274","162,274",-,-
69,12/31/2005,"53,013,000","1,609,000","1,609,000",-,-,"1,609,000",-,-,-,"59,000","5,399,000",-,"5,399,000",-,-,-,"42,731,000","43,247,000",-,-,-,"43,247,000","516,000",-,-,-,-,-,-,"510,000",-,-,-,-,-,-,-,-,"2,705,000","47,945,000","42,431,000","26,765,000",-,"26,765,000","15,666,000",-,-,-,-,-,-,"302,000","302,000",-,"302,000",-,"3,961,000","3,961,000",-,-,"1,251,000","5,068,000","5,068,000","894,000",-,"894,000","4,796,000","461,000","913,000","-170,000",-,"9,029,000",-,"5,068,000","5,068,000","9,331,000","5,068,000","4,263,000","2,654,000","162,900","162,900",-,-
