,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Customer Acceptances,Foreclosed Assets,Other Real Estate Owned,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Other Payable,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
31,6/30/2015,"25,239,767","1,513,230","619,200","274,256",-,"274,256","344,944","894,030","894,030","77,039","816,991",-,"40,268",-,"4,786,656","1,133,490","3,653,166","4,306","3,648,860","115,230","16,842,617","17,063,968","127,196","9,832,563","345,544","6,758,665","16,936,772","221,351",-,"91,069","91,069","91,069","269,507",-,-,-,-,-,-,-,"172,854","145,932","26,922","1,408,336","22,721,862","18,674,473","13,307,537","13,307,537","5,366,936","868,622","556,862","311,760","54,301","54,301",-,"54,301","150,350","150,350",-,"150,350","732,564","109,815","1,557,647","1,557,647",-,-,"574,090","2,517,905","2,222,474","241,887","95,624","146,263","797,123","1,371,712",-,"-188,248",-,"295,431","3,780,121","95,624","2,126,850","2,049,620","3,834,847","1,953,996","1,707,997","1,088,797","234,021","234,021","4,000"
32,3/31/2015,"25,715,888","1,596,026","721,433","282,800",-,"282,800","438,633","874,593","874,593","43,052","831,541",-,"39,776",-,"5,209,093","1,532,463","3,676,630","4,299","3,672,331","148,153","16,637,753","16,866,081","133,958","9,638,355","338,346","6,755,422","16,732,123","228,328",-,"190,662",-,"190,662","301,069",-,-,-,-,-,-,-,"174,152","145,932","28,220","1,419,204","23,216,631","18,638,554","13,577,657","13,577,657","5,060,897","1,012,649","703,352","309,297","91,176","91,176",-,"91,176","158,745","158,745",-,"158,745","813,141","133,273","1,573,215","1,573,215",-,-,"795,878","2,499,257","2,203,826","241,561","95,624","145,937","760,713","1,370,711",-,"-169,159",-,"295,431","3,777,041","95,624","2,108,202","2,029,674","3,840,162","1,934,050","1,731,960","1,010,527","233,499","233,499","4,000"
33,12/31/2014,"25,672,887","2,693,372","1,971,138","349,171",-,"349,171","1,621,967","722,234","722,234","63,080","659,154",-,"39,922",-,"4,755,296","1,194,391","3,560,905","4,292","3,556,613","134,088","16,139,003","16,371,451","141,285","9,007,286","358,131","6,864,749","16,230,166","232,448",-,"42,488",-,"42,488","302,996","670,647","76,667","360,133","201,443","32,404",-,"-367,651","177,967","145,932","32,035","1,387,755","23,081,919","18,068,939","12,873,283","12,873,283","5,195,656","1,599,266","1,037,052","562,214","18,157","18,157",-,"18,157","157,218","157,218",-,"157,218","594,314","119,239","1,880,105","1,880,105",-,"45,896","644,681","2,590,968","2,295,537","242,011","95,624","146,387","860,963","1,380,809",-,"-188,246",-,"295,431","4,175,642","95,624","2,199,913","2,117,570","4,237,236","2,021,946","2,037,323","66,185","234,220","234,220","4,000"
34,9/30/2014,"23,986,787","1,185,216","568,172","292,687",-,"292,687","275,485","617,044","617,044","55,242","561,802",-,"47,996",-,"4,876,979","1,338,022","3,538,957","4,286","3,534,671","137,742","15,725,291","15,963,932","151,915","8,477,329","352,517","6,982,171","15,812,017","238,641",-,"197,507",-,"197,507","295,833",-,-,-,-,-,-,-,"163,867","141,943","21,924","1,356,356","21,364,846","16,144,771","11,540,945","11,540,945","4,603,826","1,407,543","928,159","479,384","329,960","329,960",-,"329,960","790,080","790,080",-,"790,080","532,234","123,442","1,491,138","1,491,138",-,-,"545,678","2,621,941","2,326,510","242,654","95,624","147,030","826,610","1,390,081",-,"-132,835",-,"295,431","3,817,648","95,624","2,230,886","2,162,643","4,512,104","2,067,019","2,281,218","1,713,046","235,249","235,249","4,000"
35,6/30/2014,"24,222,750","1,349,042","673,028","417,108",-,"417,108","255,920","676,014","676,014","51,537","624,477",-,"57,552",-,"4,731,101","1,150,280","3,580,821","4,279","3,576,542","162,067","15,911,026","16,154,654","358,945","8,402,836","348,429","7,044,444","15,795,709","243,628",-,"174,224",-,"174,224","300,533",-,-,-,-,-,-,-,"165,165","141,943","23,222","1,372,040","21,596,599","16,157,487","11,643,687","11,643,687","4,513,800","1,423,476","947,946","475,530","95,299","95,299",-,"95,299","1,073,250","1,073,250",-,"1,073,250","706,119","138,336","1,501,209","1,501,209",-,-,"501,423","2,626,151","2,330,720","243,841","95,624","148,217","792,978","1,416,012",-,"-122,111",-,"295,431","3,831,929","95,624","2,235,096","2,165,555","4,809,555","2,069,931","2,574,459","1,901,431","237,147","237,147","4,000"
36,3/31/2014,"23,941,989","1,757,641","1,135,810","450,270",-,"450,270","685,540","621,831","621,831","16,555","605,276",-,"66,035",-,"4,770,202","1,194,749","3,575,453","4,274","3,571,179","166,465","15,233,574","15,480,820","361,359","7,752,995","333,792","7,032,674","15,119,461","247,246",-,"51,082",-,"51,082","299,183",-,-,-,-,-,-,-,"167,637","141,943","25,694","1,430,170","21,397,852","16,672,743","12,138,498","12,138,498","4,534,245","1,547,460","1,135,665","411,795","39,510","39,510",-,"39,510","204,023","204,023",-,"204,023","667,257","137,863","1,507,048","1,507,048",-,-,"621,948","2,544,137","2,248,706","243,490","95,624","147,866","728,165","1,417,170",-,"-140,119",-,"295,431","3,755,754","95,624","2,153,082","2,081,069","3,864,153","1,985,445","1,711,071","575,261","236,586","236,586","4,000"
37,12/31/2013,"23,792,576","1,558,206","1,079,513","349,216",-,"349,216","730,297","478,693","478,693","66,079","412,614",-,"71,562",-,"4,200,175","801,718","3,398,457",-,"3,398,457","181,866","15,505,417","15,759,226","370,152","7,923,576","336,606","7,128,892","15,389,074","253,809",-,"45,255",-,"45,255","305,244","670,068",-,-,-,-,-,"-364,824","236,724","141,943","94,781","1,688,127","21,292,083","16,734,956","12,097,117","12,097,117","4,637,839","1,485,422","1,042,633","442,789","21,173","21,173",-,"21,173","181,146","181,146",-,"181,146","368,348","154,280","1,739,859","1,739,859","2,390","45,828","606,899","2,500,493","2,205,062","243,355","95,624","147,731","694,949","1,416,767",-,"-150,009",-,"295,431","3,944,921","95,624","2,109,438","1,968,338","4,030,443","1,872,714","1,921,005","841,492","236,370","236,370","4,000"
38,9/30/2013,"24,193,341","1,208,995","579,810","395,631",-,"395,631","184,179","629,185","629,185","52,830","576,355",-,"71,626",-,"4,530,077","1,343,134","3,186,943",-,"3,186,943","215,116","15,524,486","15,780,196","371,640","7,746,942","332,162","7,329,452","15,408,556","255,710",-,"417,743",-,"417,743","308,779",-,-,-,-,-,-,-,"279,381","140,479","138,902","1,637,138","21,760,048","16,283,909","11,849,163","11,849,163","4,434,746","1,490,133","1,062,901","427,232","388,373","388,373",-,"388,373","303,686","303,686",-,"303,686","585,969","165,918","1,771,288","1,771,288",-,-,"770,772","2,433,293","2,137,862","243,329","95,624","147,705","657,676","1,413,248",-,"-176,391",-,"295,431","3,909,150","95,624","2,042,238","1,858,481","4,117,212","1,762,857","2,074,974","1,495,164","236,328","236,328","4,000"
39,6/30/2013,"25,133,274","1,381,046","726,751","382,601",-,"382,601","344,150","654,295","654,295","52,169","602,126",-,"70,368",-,"4,496,419","1,267,348","3,229,071",-,"3,229,071","235,759","16,320,217","16,582,151","385,105","8,367,161","316,085","7,513,800","16,197,046","261,934",-,"429,801",-,"429,801","310,016",-,-,-,-,-,-,-,"284,759","147,762","136,997","1,604,889","22,586,923","17,011,884","12,407,930","12,407,930","4,603,954","1,576,510","1,142,749","433,761","368,372","368,372",-,"368,372","446,909","446,909",-,"446,909","596,869","198,489","1,800,255","1,800,255",-,-,"587,635","2,546,351","2,250,977","245,971","95,624","150,347","777,108","1,416,563",-,"-188,665",-,"295,374","4,051,232","95,624","2,155,353","1,966,218","4,402,517","1,870,594","2,247,164","1,520,413","240,555","240,555","4,000"
40,3/31/2013,"25,166,427","1,472,878","706,444","275,262",-,"275,262","431,182","766,434","766,434","33,738","732,696",-,"54,672",-,"4,587,965","1,397,746",-,-,"3,190,219","274,332","16,015,326","16,280,544","390,874","8,091,186","299,143","7,499,341",-,"265,218",-,"533,306",-,"533,306","299,740",-,-,-,-,-,-,-,"265,116","134,242","130,874","1,663,092","22,566,700","16,204,467","11,750,422","11,750,422","4,454,045","1,849,680","1,361,670","488,010","461,333","461,333",-,"461,333","186,898","186,898",-,"186,898","781,306","199,999","2,197,864","2,197,864",-,-,"685,153","2,599,727","2,304,470","246,390","95,624","150,766","748,427","1,461,292",-,"-151,639",-,"295,257","4,502,334","95,624","2,208,846","2,039,354","4,593,608","1,943,730","2,384,762","1,678,318","241,225","241,225","4,000"
41,12/31/2012,"25,520,140","1,459,635","823,252","469,879",-,"469,879","353,373","636,383","636,383","636,383",-,-,"60,690",-,"4,324,528","1,262,720","3,061,808",-,"3,061,808",-,"16,833,556","17,110,519","401,937","8,796,956","289,105","7,622,521","16,708,582","276,963",-,"303,893",-,"303,893","303,273","655,978","69,916","337,587","206,033","42,442",-,"-352,705","271,253","134,242","137,011","1,963,312","23,010,934","16,629,709","12,027,237","12,027,237","4,602,472","1,906,461","1,906,461",-,"296,450","296,450",-,"296,450","441,201","441,201",-,"441,201","564,429",-,"2,226,482","2,226,482","2,554","45,760","946,202","2,509,206","2,214,041","152,249",-,"152,249","719,672","1,488,463",-,"-146,343",-,"295,165","4,440,523",-,"2,214,041","1,942,788","4,881,724","1,942,788","2,667,683","1,844,431","243,598","243,598",-
42,9/30/2012,"25,739,830","1,326,582","796,894",-,-,"796,894",-,"529,688","529,688",-,-,-,"70,779",-,"4,327,995","1,204,366","3,123,629",-,-,-,"16,652,589","16,934,333","410,550","8,466,450","5,750,144","2,021,126","286,063","281,744",-,"791,190",-,-,"305,346",-,-,-,-,-,-,-,"278,458","134,242","144,216","1,986,891","23,207,942","16,228,111","11,658,998","11,658,998","4,569,113","1,794,176",-,-,"574,201","574,201","574,201",-,"856,958","856,958",-,"856,958","516,970",-,"2,263,238","2,263,238",-,-,"974,288","2,531,888","2,236,723","154,459",-,"154,459","681,460","1,517,488",-,"-116,684",-,"295,165","4,499,961",-,"2,236,723","1,958,265","5,356,919","1,958,265","3,120,196","2,323,302","247,134","247,134",-
43,6/30/2012,"25,492,955","1,340,865","815,361",-,-,"815,361",-,"525,504","525,504",-,-,-,"69,603",-,"4,626,583","1,361,717","3,264,866",-,-,-,"16,288,763","16,609,814","424,051","7,981,365","6,151,463","2,052,935","16,185,763","321,051",-,"377,496",-,-,"311,753",-,-,-,-,-,-,-,"288,192","134,242","153,950","2,189,700","22,978,549","16,117,443","11,283,449","11,283,449","4,833,994","1,780,990",-,-,"203,548","203,548","203,548",-,"1,094,179","1,094,179",-,"1,094,179","470,631",-,"2,294,224","2,294,224",-,-,"1,017,534","2,514,406","2,219,241","155,506",-,"155,506","658,157","1,528,161",-,"-122,583",-,"295,165","4,513,465",-,"2,219,241","1,931,049","5,607,644","1,931,049","3,388,403","2,573,042","248,810","248,810",-
44,3/31/2012,"25,678,969","1,725,407","1,110,702",-,-,"1,110,702",-,"614,705","614,705",-,-,-,"78,947",-,"4,534,644","1,238,041","3,296,603",-,-,-,"16,057,219","16,403,235","431,905","7,705,153","5,391,801","2,097,649","15,971,330","346,016",-,"522,001",-,-,"314,903",-,-,-,-,-,-,-,"302,836","134,242","168,594","2,143,012","23,004,796","16,935,170","11,965,573","11,965,573","4,969,597","1,801,234",-,-,"361,018","361,018","361,018",-,"2,522,276","2,522,276",-,"2,522,276","567,571",-,"2,340,706","2,340,706",-,-,"817,527","2,674,173","2,379,008","157,917",-,"157,917","785,361","1,560,343",-,"-124,613",-,"295,165","4,719,714",-,"2,379,008","2,076,172","4,901,284","2,076,172","2,522,276","1,411,574","252,667","252,667",-
45,12/31/2011,"24,789,384","1,281,111","837,523",-,-,"837,523",-,"443,588","443,588",-,-,-,"85,244",-,"4,054,489","988,217","3,066,272",-,-,-,"16,426,673","16,811,024","413,897","8,014,927","5,291,364","2,806,785","284,051","384,351",-,"164,987",-,-,"321,253","679,054","71,376","341,727","221,544","44,407",-,"-357,801","303,971","133,659","170,312","2,151,656","22,104,747","16,213,009","11,599,995","11,599,995","4,613,014","1,887,052",-,-,"164,708","164,708",-,-,"172,550","172,550",-,"172,550","347,285",-,"2,481,660","2,481,660",-,-,"838,483","2,684,637","2,389,472","160,918",-,"160,918","757,364","1,601,346",-,"-130,156",-,"295,165","4,871,132",-,"2,389,472","2,085,501","5,043,682","2,085,501","2,654,210","1,816,687","257,468","257,468",-
46,9/30/2011,"25,571,469","1,417,832","698,432",-,-,"698,432",-,"719,400","719,400",-,-,-,"91,492",-,"4,555,043","1,227,197","3,327,846",-,-,-,"16,177,904","16,627,549","386,147","7,705,749","5,305,005","2,932,104","298,544","449,645",-,"521,198",-,-,"326,667",-,-,-,-,-,-,-,"311,705","133,659","178,046","2,169,628","22,828,239","15,698,255","11,285,880","11,285,880","4,412,375","2,101,953",-,-,"509,164","509,164",-,-,"621,998","621,998",-,"621,998","471,120",-,"2,509,804","2,509,804",-,-,"915,945","2,743,230","2,448,065","164,762",0,"164,762","724,977","1,641,878",-,"-83,552",-,"295,165","4,957,869",-,"2,448,065","2,136,360","5,579,867","2,136,360","3,131,802","2,433,370","263,619","263,619",-
47,6/30/2011,"25,054,066","1,174,857","576,857",-,-,"576,857",-,"598,000","598,000",-,-,-,"92,662",-,"4,426,857","1,196,380","3,230,477",-,-,-,"15,935,486","16,459,577","397,931","7,180,261","5,383,223","3,202,789","295,373","524,091",-,"625,243",-,-,"330,392",-,-,-,-,-,-,-,"351,025","135,683","215,342","2,117,544","22,372,684","15,896,027","10,958,924","10,958,924","4,937,103","2,005,999",-,-,"464,993","464,993",-,-,"187,902","187,902",-,"187,902","498,915",-,-,-,-,-,"3,318,848","2,681,382","2,386,217","164,812",0,"164,812","691,490","1,638,423",-,"-108,508",-,"295,165",-,-,"2,386,217","2,035,192","2,574,119","2,035,192","187,902",-,"263,699","263,699",-
48,3/31/2011,"24,438,344","1,173,201","645,638",-,-,"645,638",-,"527,563","527,563",-,-,-,"110,127",-,"4,010,332","924,854","3,085,478",-,-,-,"15,753,731","16,342,859","370,487","6,808,163","5,487,370","3,378,782","298,057","589,128",-,"595,594",-,-,"320,871",-,-,-,-,-,-,-,"391,373","152,080","239,293","2,083,115","21,798,287","15,350,967","10,870,554","10,870,554","4,480,413","2,125,793",-,-,"413,334","413,334","413,334",-,"237,583","237,583",-,"237,583","384,250",-,"2,514,754","2,514,754",-,-,"771,606","2,640,057","2,344,892","164,584",0,"164,584","674,064","1,636,623",-,"-130,379",-,"295,165","4,859,646",-,"2,344,892","1,953,519","5,097,229","1,953,519","2,752,337","2,106,699","263,335","263,335",-
49,12/31/2010,"24,698,952","1,286,513","862,123",-,-,"862,123",-,"424,390","424,390",-,-,-,"125,401",-,"3,801,680","769,750","3,031,930",-,-,-,"16,493,062","17,157,861","375,289","9,008,679","7,773,893",-,-,"664,799",-,"146,091",-,-,"322,319","663,143","66,914","338,060","213,289","44,880",-,"-340,824","402,380","162,180","240,200","2,121,506","22,020,947","15,208,231","10,831,946","10,831,946","4,376,285","2,114,908",-,-,-,-,-,-,"246,241","246,241",-,"246,241","361,920",-,"3,228,070","3,228,070",-,-,"861,577","2,678,005","2,382,840","164,604",0,"164,604","631,712","1,714,070",-,"-127,546",-,"295,165","5,610,910",-,"2,382,840","1,980,460","5,857,151","1,980,460","3,474,311","2,612,188","263,366","263,366",-
50,9/30/2010,"25,384,181","1,200,619","598,212",-,-,"598,212",-,"602,407","602,407",-,-,-,"139,359",-,"3,826,055","1,214,595","2,611,460",-,-,-,"16,753,849","17,473,748","414,259","9,179,653","7,879,836",-,"17,059,489","719,899",-,"564,879",-,-,"311,947",-,-,-,-,-,-,-,"388,386","162,180","226,206","2,199,087","22,077,293","14,975,920","10,582,813","10,582,813","4,393,107","2,439,542",-,-,-,-,-,-,"572,887","572,887",-,"572,887","414,666",-,"2,805,731","2,805,731",-,-,"868,547","3,306,888","3,011,723","956,500","810,974","145,526","737,014","1,428,167",-,"-109,958",-,"295,165","5,817,454","810,974","2,200,749","2,623,337","5,579,367","1,812,363","3,378,618","2,780,406","237,060","237,060",866.54
51,6/30/2010,"26,254,226","1,242,915","640,005",-,-,"640,005",-,"602,910","602,910",-,-,-,"122,548",-,"4,296,608","1,806,789","2,489,819",-,-,-,"16,878,018","17,659,287","505,237","9,064,028","7,256,192",-,"17,154,050","781,269",-,"828,866",-,-,"307,452",-,-,-,-,-,-,-,"399,571","162,180","237,391","2,178,248","22,966,993","15,201,816","10,792,311","10,792,311","4,409,505","2,278,890",-,-,-,-,-,-,"1,241,528","1,241,528",-,"1,241,528","481,477",-,"2,926,675","2,926,675",-,-,"836,607","3,287,233","2,992,068","949,877","806,856","143,021","767,769","1,380,344",-,"-105,922",-,"295,165","5,918,743","806,856","2,185,212","2,592,497","6,353,415","1,785,641","4,168,203","3,528,198","236,840","236,840",866.54
52,3/31/2010,"25,923,576","1,186,538","663,301",-,-,"663,301",-,"523,237","523,237",-,-,-,"122,060",-,"3,662,519","964,800","2,697,719",-,-,-,"17,145,958","17,990,018","505,794",-,-,-,"17,484,224","844,060",-,"743,514",-,-,"308,714",-,-,-,-,-,-,-,"464,166","162,180","301,986","2,290,107","22,652,634","15,069,700","10,608,650","10,608,650","4,461,050","2,635,423",-,-,-,-,-,-,"908,360","908,360",-,"908,360","357,919",-,"2,932,524","2,932,524",-,-,"748,708","3,270,942","2,975,777","943,808","802,760","141,048","809,624","1,335,636",-,"-113,291",-,"295,165","5,908,301","802,760","2,173,017","2,511,611","6,013,901","1,708,851","3,840,884","3,177,583","236,586","236,586",866.54
53,12/31/2009,"26,068,678","1,457,895","1,005,012",-,-,"1,005,012",-,"452,883","452,883",-,-,-,"125,190",-,"3,394,368","699,900","2,694,468",-,-,-,"17,679,471","18,576,385","452,501",-,-,-,"18,123,884","896,914",-,"334,404",-,-,"313,824","633,942","67,047","333,450","190,289","43,156",-,"-320,118","506,395","165,528","340,867","2,257,131","22,766,210","14,867,215","10,473,119","10,473,119","4,394,096","2,874,353",-,-,-,-,-,-,"1,054,733","1,054,733",-,"1,054,733","293,387",-,"2,891,133","2,891,133",-,-,"785,389","3,302,468","3,007,303","937,423","798,685","138,738","891,580","1,292,509",-,"-114,209",-,"295,165","5,898,436","798,685","2,208,618","2,500,908","6,154,484","1,702,223","3,945,866","2,940,854","229,747","229,747",866.54
54,9/30/2009,"26,465,852","1,117,235","494,502",-,-,"494,502",-,"622,733","622,733",-,-,-,"111,389",-,"3,347,073","701,151","2,645,922",-,-,-,"18,082,607","19,027,372","502,687",-,-,-,"18,524,685","944,765",-,"797,949",-,-,"321,788",-,-,-,-,-,-,-,"508,161","178,381","329,780","2,179,650","23,095,643","14,234,983","9,998,279","9,998,279","4,236,704","2,267,644",-,-,-,-,-,-,"2,282,031","2,282,031",-,"2,282,031","415,293",-,"3,079,468","3,079,468",-,-,"816,224","3,370,209","3,075,044","931,289","794,630","136,659","1,005,244","1,254,776",-,"-116,265",-,"295,165","6,154,512","794,630","2,280,414","2,566,883","7,641,913","1,772,253","5,361,499","4,866,997","229,224","229,224",866.54
55,6/30/2009,"28,758,943","1,623,887","1,092,249",-,-,"1,092,249",-,"531,638","531,638",-,-,-,"116,584",-,"3,938,291","1,117,212","2,821,079",0,-,-,"19,105,629","20,067,111","481,284",-,-,-,"19,585,827","961,482",-,"959,514",-,-,"325,666",-,-,-,-,-,-,-,"571,441","192,408","379,033","2,117,931","25,364,961","14,977,461","10,287,822","10,287,822","4,689,639","2,404,985",-,-,-,-,-,-,"3,521,146","3,521,146",-,"3,521,146","286,282",-,"3,235,351","3,235,351",-,-,"939,736","3,393,982","3,098,817","925,101","790,596","134,505","1,100,462","1,212,146",-,"-138,892",-,"295,165","6,334,168","790,596","2,308,221","2,527,376","9,064,718","1,736,780","6,756,497","5,664,248","236,017","236,017",866.54
56,3/31/2009,"31,208,024","2,128,481","1,612,623",-,-,"1,612,623",-,"515,858","515,858",-,-,-,"132,653",-,"3,949,329","933,316","3,016,013",-,-,-,"20,275,063","21,215,995","643,518","10,768,855","9,030,640",-,"772,982","940,932",-,"1,502,033",-,-,"330,299",-,-,-,-,-,-,-,"616,878","192,408","424,470","2,273,288","27,700,348","14,910,055","10,001,880","10,001,880","4,908,175","2,264,077",-,-,-,-,-,-,"5,210,725","5,210,725",-,"5,210,725","288,029",-,"4,089,636","4,089,636",-,-,"937,826","3,507,676","3,212,511","918,829","786,582","132,247","1,265,073","1,171,112",-,"-142,503",-,"295,165","7,302,147","786,582","2,425,929","2,595,633","11,726,290","1,809,051","9,300,361","7,687,738","235,716","235,716",866.54
57,12/31/2008,"31,021,980","1,532,572","760,215",-,"552,423","207,792",-,"772,357","772,357",-,-,-,-,-,"4,070,919","945,766","3,125,153",-,-,-,"20,995,634","21,844,844",-,-,-,-,"21,844,844","849,210",-,"1,178,932",-,-,"333,931",-,-,-,-,-,-,-,"237,490",-,-,"2,672,502","27,742,513","14,241,814","10,285,181","10,285,181","3,956,633","1,751,079",-,-,"1,115,428","1,115,428",-,-,"4,279,689","4,279,689",-,"4,279,689",-,-,"4,767,660","4,767,660",-,-,"1,586,843","3,279,467","3,279,467","910,982","782,680","128,302","1,387,854","1,048,602",-,"-67,971",-,-,"8,047,127","782,680","2,496,787","3,041,977","11,544,136","2,259,297","9,047,349","8,287,134","235,077","235,077",866.54
58,9/30/2008,"32,804,376","1,774,776","853,481",-,"815,935","37,546",-,"921,295","921,295",-,-,-,-,-,"4,401,763","1,561,024","2,840,739",-,-,-,"21,559,471","22,319,927",-,-,-,-,"22,319,927","760,456",-,"1,651,547",-,-,"336,078",-,-,-,-,-,-,-,"1,037,786",-,-,"2,042,955","29,931,458","13,778,235","9,969,996","9,969,996","3,808,239","1,890,681",-,-,"1,645,118","1,645,118",-,-,"6,149,073","6,149,073",-,"6,149,073",-,-,"5,295,588","5,295,588",-,-,"1,172,763","2,872,918","2,872,918","421,273","295,277","125,996","1,483,184","1,016,498",-,"-48,037",-,-,"8,168,506","295,277","2,577,641","1,835,132","14,022,302","1,539,855","11,444,661","10,591,180","234,800","234,800",-
59,6/30/2008,"35,549,961","2,045,187","878,205",-,"838,376","39,829",-,"1,166,982","1,166,982",-,-,-,-,-,"4,459,982","1,563,054","2,896,928",-,-,-,"24,204,113","24,779,262",-,-,-,-,"24,779,262","575,149",-,"994,571",-,-,"344,410",-,-,-,-,-,-,-,"241,023",-,-,"3,260,675","32,852,515","15,093,947","10,343,983","10,343,983","4,749,964","2,620,014",-,-,"868,883","868,883",-,-,"6,463,035","6,463,035",-,"6,463,035",-,-,"6,550,417","6,550,417",-,-,"1,256,219","2,697,446","2,697,446","122,345",-,"122,345","1,646,272","980,428",-,"-51,599",-,-,"9,247,863",-,"2,697,446","2,456,423","15,710,898","2,456,423","13,013,452","12,135,247","234,974","234,974",-
60,3/31/2008,"37,267,945","1,796,872","898,257",-,"851,875","46,382",-,"898,615","898,615",-,-,-,-,-,"4,587,851","1,553,053","3,034,798",-,-,-,"25,272,507","25,755,710",-,-,-,-,"25,755,710","483,203",-,"1,680,057",-,-,"382,488",-,-,-,-,-,-,-,"1,140,348",-,-,"2,407,822","35,155,718","16,188,542","11,174,649","11,174,649","5,013,893","3,689,789",-,-,-,-,-,-,"4,753,582","4,753,582",-,"4,753,582",-,-,"6,870,068","6,870,068",-,-,"3,653,737","2,112,227","2,112,227","79,242",-,"79,242","1,704,559","362,823",-,"-34,397",-,-,"8,982,295",-,"2,112,227","971,879","13,735,877","971,879","11,623,650","10,725,393","152,191","152,191",-
61,12/31/2007,"37,015,461","2,299,137","1,209,642",-,"1,170,220","39,422",-,"1,089,495","1,089,495",-,-,-,-,-,"4,801,554","1,768,763","3,032,791",-,-,-,"25,512,765","25,855,106",-,-,-,-,"25,855,106","342,341",-,"524,419",-,-,"399,305",-,-,-,-,-,-,-,"1,409,135",-,-,"2,069,146","34,879,865","17,032,285","11,977,118","11,977,118","5,055,167","4,850,596",-,-,"586,358","586,358",-,-,"3,979,139","3,979,139",-,"3,979,139",-,-,"6,828,417","6,828,417",-,-,"1,603,070","2,135,596","2,135,596","78,979",-,"78,979","1,742,892","361,826",-,"-48,101",-,-,"8,964,013",-,"2,135,596","726,461","12,943,152","726,461","10,807,556","9,597,914","151,686","151,686",-
