,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Federal Home Loan Bank Stock,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Gross Accounts Receivable,Prepaid Assets,Net PPE,Gross PPE,Properties,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Employee Benefits,Current Deferred Liabilities,Current Deferred Taxes Liabilities,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
20,12/31/2002,"4,183,181","442,589","239,927",-,-,"239,927","202,662","202,662",-,-,"1,535,694","1,535,694",-,-,-,-,"2,015,580","2,086,080",-,-,-,"2,086,080","70,500","70,883","70,883","70,883",-,"17,886",-,-,-,-,-,-,-,"100,549",-,-,-,-,-,"3,510,201","3,436,127","1,544,002","1,544,002","1,892,125",-,-,-,-,-,"9,127","9,127","9,127",-,"17,397","17,397",-,-,-,-,-,-,-,-,"47,550","672,980","590,350",41,-,41,"476,610","99,979","13,720",-,"82,630","607,747",-,"590,350",-,"489,801","616,874","489,801","26,524",-,"40,578","40,578",-
21,12/31/2001,"4,172,077","440,532","228,318",-,-,"228,318","212,214","212,214",-,-,"1,833,162","1,833,162",-,-,-,-,"1,694,663","1,767,038",-,-,-,"1,767,038","72,375","85,621","85,621","85,621",-,"21,719",-,-,-,-,-,-,-,"96,380",-,-,-,-,-,"3,477,646","3,380,977","1,643,314","1,643,314","1,737,663",-,-,-,-,-,"41,203","41,203","41,203",-,"25,685","25,685",-,-,-,-,-,-,-,-,"29,781","694,431","627,515",45,-,45,"423,252","196,143","8,075",-,"66,916","653,200",-,"627,515",-,"531,135","694,403","531,135","66,888",-,"45,390","45,390",-
22,12/31/2000,"5,626,775","1,722,366","332,632",-,-,"332,632","1,389,734","1,389,734",-,-,"2,107,590","2,107,590",-,-,-,-,"1,642,749","1,716,549",-,-,-,"1,716,549","73,800","135,577","135,577","135,577",-,"18,493",-,-,-,-,-,-,-,-,-,-,-,-,-,"4,943,397","4,862,259","2,413,501","2,413,501","2,448,758",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"81,138","683,378","614,121",49,-,49,"335,098","280,008","-1,034",-,"69,257",-,-,"614,121",-,"614,121",-,"614,121",-,-,"48,978","48,978",-
23,12/31/1999,"4,596,400","1,176,100","1,176,100",-,-,"1,176,100",-,-,-,-,"1,747,400","1,747,400",-,-,-,-,"1,551,200","1,623,000",-,-,-,"1,623,000","71,800","110,900","110,900","110,900",-,"10,700",-,-,-,-,-,-,-,-,-,-,-,-,100,"4,189,000","4,109,400","2,181,300","2,181,300","1,928,100",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"79,600","407,400","368,900",-,-,-,"176,100","153,400","39,400",-,"38,500",-,-,"368,900",-,"368,900",-,"368,900",-,-,"44,800","44,800",-
24,12/31/1998,"3,545,500","522,200","522,200",-,-,"522,200",-,-,-,-,"1,397,500","1,397,500",-,-,-,-,"1,565,900","1,611,900",-,-,-,"1,611,900","46,000","47,800","47,800","47,800",-,"11,400",-,-,-,-,-,-,-,-,-,-,-,-,700,"3,291,100","3,269,800","2,348,000","2,348,000","921,800",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"21,300","254,400","215,900",-,-,-,"123,900",-,"2,100","89,900","38,500",-,-,"215,900",-,"215,900",-,"215,900",-,-,"41,424","41,424",-
25,12/31/1997,"2,625,100","426,800","426,800",-,-,"426,800",-,-,-,-,"1,013,900","1,013,900",-,-,-,-,"1,136,900","1,174,600",-,-,-,"1,174,600","37,700","42,300","42,300","42,300",-,"4,500",-,-,-,-,-,-,-,-,-,-,-,-,700,"2,450,600","2,432,400","1,644,000","1,644,000","788,400",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"18,200","174,500","174,500",-,-,-,"95,000",-,"2,400","77,100",-,-,-,"174,500",-,"174,500",-,"174,500",-,-,"39,880","39,880",-
26,12/31/1996,"1,924,500","433,200","433,200",-,-,"433,200",-,-,-,-,"625,000","625,000",-,-,-,-,"830,800","863,500",-,-,-,"863,500","32,700","29,500","29,500","29,500",-,"4,200",-,-,-,-,-,-,-,-,-,-,-,-,"1,800","1,789,100","1,774,300","1,175,000","1,175,000","599,300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"14,800","135,400","135,400",-,-,-,"67,300",-,"2,500","65,600",-,-,-,"135,400",-,"135,400",-,"135,400",-,-,"37,320","37,320",-
27,12/31/1995,"1,407,600","342,300","342,300",-,-,"342,300",-,-,-,-,"321,300","321,300",-,-,-,-,"708,700","738,400",-,-,-,"738,400","29,700","25,600","25,600","25,600",-,"4,700",-,-,-,-,-,-,-,-,-,-,-,-,"5,000","1,302,600","1,290,000","838,700","838,700","451,300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,600","105,000","105,000",-,-,-,"45,900",-,-200,"59,300",-,-,-,"105,000",-,"105,000",-,"105,000",-,-,"35,856","35,856",-
28,12/31/1994,"1,161,500","289,800","289,800",-,-,"289,800",-,-,-,-,"156,500","156,500",-,-,-,-,"682,400","702,400",-,-,-,"702,400","20,000","22,100","22,100","22,100",-,"2,200",-,-,-,-,-,-,-,-,-,-,-,-,"8,500","1,084,200","1,075,400","673,900","673,900","401,500",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,800","77,300","77,300",-,-,-,"27,700",-,"4,200","45,400",-,-,-,"77,300",-,"77,300",-,"77,300",-,-,"34,036","34,036",-
29,12/31/1993,"992,300","155,000","155,000",-,-,"155,000",-,-,-,-,"262,000","262,000",-,-,-,-,"525,700","550,700",-,-,-,"550,700","25,000","19,000","19,000","19,000",-,"30,600",-,-,-,-,-,-,-,-,-,-,-,-,-,"922,000","914,900","558,100","558,100","356,800",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,100","70,300","70,300",-,-,-,"18,600",-,-,"51,700",-,-,-,"70,300",-,"70,300",-,"70,300",-,-,"33,164","33,164",-
30,12/31/1992,"959,300","184,000","184,000",-,"183,500",500,-,-,-,-,"135,300","135,300",-,-,-,-,"581,600","603,600",-,-,-,"603,600","22,000","19,300","19,300","19,300",-,"1,000",-,-,-,-,-,-,-,-,-,-,-,-,"38,100","893,300","888,100","558,800","558,800","329,300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,200","66,000","66,000",-,-,-,"17,000",-,-,"49,000",-,-,-,"66,000",-,"66,000",-,"66,000",-,-,"31,568","31,568",-
31,12/31/1991,"869,500","128,200","128,200",-,"126,000","2,200",-,-,-,-,"143,400","143,400",-,-,-,-,"581,900","593,300",-,-,-,"593,300","11,400","14,800","14,800","14,800",-,"1,200",-,-,-,-,-,-,-,-,-,-,-,-,-,"803,100","798,900","537,300","537,300","261,600",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,200","66,400","66,400",-,-,-,"23,900",-,-,"42,500",-,-,-,"66,400",-,"66,400",-,"66,400",-,-,"31,000","31,000",-
