,,Unnamed: 0,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
CMA,136,CMA,6/30/1989,844.73M,,7.77,,,,,,
CMA,137,CMA,3/31/1989,742.84M,,7.09,,,,,,
CMA,138,CMA,12/31/1988,717.80M,,7.31,,,,,,
CMA,139,CMA,9/30/1988,775.64M,,7.91,,,,,,
CMA,140,CMA,6/30/1988,713.17M,,7.64,,,,,,
CMA,141,CMA,3/31/1988,656.18M,,9.56,,,,,,
CMA,142,CMA,12/31/1987,602.10M,,9.69,,,,,,
CMA,143,CMA,9/30/1987,460.77M,,11.58,,,,,,
CMA,144,CMA,6/30/1987,419.19M,,12.19,,,,,,
CMA,145,CMA,3/31/1987,408.36M,,9.73,,,,,,
CMA,146,CMA,12/31/1986,501.97M,,9.02,,,,,,
CMA,147,CMA,9/30/1986,496.79M,,10.5,,,,,,
CMA,148,CMA,6/30/1986,590.86M,,14.95,,,,,,
CMA,149,CMA,3/31/1986,484.98M,,11.29,,,,,,
CMA,150,CMA,12/31/1985,469.34M,,10.44,,,,,,
CMA,151,CMA,9/30/1985,383.36M,,7.83,,,,,,
HSBC,0,HSBC,As of Date: 5/4/2023Current,150.78B,,6.82,6.82,0.79,2.14,0.8,,
HSBC,1,HSBC,3/31/2023,136.02B,,9.22,6.37,0.8,2.04,0.73,,
HSBC,2,HSBC,12/31/2022,124.14B,,10.56,6.23,0.58,2.03,0.7,,
HSBC,3,HSBC,9/30/2022,104.20B,,7.78,5.43,0.41,1.72,0.55,,
HSBC,4,HSBC,6/30/2022,132.37B,,11.46,9.17,0.71,2.11,0.68,,
HSBC,5,HSBC,3/31/2022,137.81B,,11.04,9.51,0.8,2.16,0.69,,
HSBC,6,HSBC,12/31/2021,124.93B,,10.77,9.13,0.26,3.33,0.63,,
HSBC,7,HSBC,9/30/2021,105.80B,,11.62,8.24,0.23,1.63,0.53,,
HSBC,8,HSBC,6/30/2021,116.80B,,19.9,10.07,0.28,1.78,0.59,,
HSBC,9,HSBC,3/31/2021,118.80B,,30.67,11.65,0.32,1.88,0.61,,
HSBC,10,HSBC,12/31/2020,105.16B,,,11.07,0.54,2.96,0.55,,
HSBC,11,HSBC,9/30/2020,78.99B,,,8.51,0.42,1.24,0.43,,
HSBC,12,HSBC,6/30/2020,94.91B,,25.92,13.66,0.64,1.45,0.5,,
HSBC,13,HSBC,3/31/2020,114.43B,,18.67,10.18,0.44,1.6,0.62,,
HSBC,14,HSBC,12/31/2019,160.17B,,12.22,11.15,1.74,3.96,0.85,,
HSBC,15,HSBC,9/30/2019,155.55B,,11.09,10.42,1.63,2.27,0.8,,
HSBC,16,HSBC,6/30/2019,168.47B,,12.1,11.44,1.36,2.5,0.9,,
HSBC,17,HSBC,3/31/2019,163.49B,,12.88,11.12,1.37,2.54,0.88,,
HSBC,18,HSBC,12/31/2018,164.46B,,15.51,,,4.43,0.89,,
HSBC,19,HSBC,9/30/2018,174.51B,,17.96,11.43,0.16,2.72,0.95,,
HSBC,20,HSBC,6/30/2018,185.69B,,20.06,12.25,0.17,2.99,0.96,,
HSBC,21,HSBC,3/31/2018,187.14B,,19.86,12.69,0.18,2.98,1.0,,
HSBC,22,HSBC,12/31/2017,206.08B,,36.89,13.81,0.19,3.36,1.1,,
HSBC,23,HSBC,9/30/2017,198.61B,,98.82,13.91,0.19,3.44,1.05,,
HSBC,24,HSBC,6/30/2017,188.67B,,927.8,14.24,0.21,3.14,1.06,,
HSBC,25,HSBC,3/31/2017,161.06B,,116.63,13.11,0.18,2.65,0.92,,
HSBC,26,HSBC,12/31/2016,160.32B,,38.27,12.56,1.06,2.78,0.86,,
HSBC,27,HSBC,9/30/2016,150.43B,,15.67,12.44,1.05,2.21,0.78,,
HSBC,28,HSBC,6/30/2016,123.21B,,10.8,9.35,0.77,1.78,0.65,,
HSBC,29,HSBC,3/31/2016,123.13B,,9.72,7.75,0.6,1.68,0.65,,
HSBC,30,HSBC,12/31/2015,156.37B,,10.67,9.39,0.73,2.11,0.81,,
HSBC,31,HSBC,9/30/2015,147.84B,,11.31,43.48,2.98,1.91,0.77,,
HSBC,32,HSBC,6/30/2015,174.96B,,13.18,46.51,3.67,2.33,0.93,,
HSBC,33,HSBC,3/31/2015,163.84B,,12.34,44.84,3.54,2.21,0.86,,
HSBC,34,HSBC,12/31/2014,182.04B,,11.66,43.86,3.45,2.42,0.94,,
HSBC,35,HSBC,9/30/2014,194.75B,,12.72,44.44,2.48,2.55,1.02,,
HSBC,36,HSBC,6/30/2014,192.58B,,13.19,32.47,2.22,2.55,1.05,,
HSBC,37,HSBC,3/31/2014,190.95B,,12.1,30.4,1.88,2.46,1.06,,
HSBC,38,HSBC,12/31/2013,205.68B,,12.82,37.74,2.33,4.72,1.16,,
HSBC,39,HSBC,9/30/2013,201.90B,,13.07,35.09,2.16,2.79,1.16,,
HSBC,40,HSBC,6/30/2013,193.78B,,11.04,32.68,1.92,3.14,1.1,,
HSBC,41,HSBC,3/31/2013,198.18B,,14.42,35.09,2.07,2.58,1.13,,
HSBC,42,HSBC,12/31/2012,193.15B,,14.34,37.88,4.03,2.57,1.12,,
HSBC,43,HSBC,9/30/2012,170.17B,,10.8,31.35,3.04,1.96,1.03,,
HSBC,44,HSBC,6/30/2012,160.31B,,10.76,28.65,2.55,1.94,0.98,,
HSBC,45,HSBC,3/31/2012,160.92B,,9.76,,,1.91,1.01,,
HSBC,46,HSBC,12/31/2011,136.15B,,9.07,,,1.69,0.85,,
HSBC,47,HSBC,9/30/2011,135.78B,,9.06,,,1.69,0.85,,
HSBC,48,HSBC,6/30/2011,176.82B,,11.81,,,2.2,1.1,,
HSBC,49,HSBC,3/31/2011,183.44B,,13.63,,,2.47,1.2,,
HSBC,50,HSBC,12/31/2010,180.54B,,14.18,,,2.36,1.22,,
HSBC,51,HSBC,6/30/2010,159.65B,,17.88,,,2.07,1.17,,
HSBC,52,HSBC,3/31/2010,176.66B,,29.82,,,2.16,1.38,,
HSBC,53,HSBC,12/31/2008,135.22B,,27.24,,,1.19,1.44,,
HSBC,54,HSBC,9/30/2008,223.63B,,18.69,,,2.01,1.76,,
HSBC,55,HSBC,6/30/2008,211.34B,,15.86,,,2.29,1.67,,
HSBC,56,HSBC,3/31/2008,224.16B,,12.37,,,2.06,1.75,,
HSBC,57,HSBC,12/31/2007,227.26B,,11.79,,,2.14,1.77,,
HSBC,58,HSBC,9/30/2007,250.20B,,13.62,,,3.06,2.09,,
HSBC,59,HSBC,6/30/2007,246.69B,,14.22,,,3.0,2.28,,
HSBC,60,HSBC,3/31/2007,233.51B,,14.5,,,2.83,2.16,,
HSBC,61,HSBC,12/31/2006,243.41B,,15.19,,,3.36,2.4,,
HSBC,62,HSBC,9/30/2006,241.17B,,14.59,,,3.35,2.38,,
HSBC,63,HSBC,6/30/2006,232.80B,,14.08,,,3.23,2.3,,
HSBC,64,HSBC,3/31/2006,217.92B,,13.78,,,3.03,2.36,,
HSBC,65,HSBC,12/31/2005,208.32B,,14.66,,,3.32,2.4,,
HSBC,66,HSBC,9/30/2005,209.86B,,14.8,,,3.35,2.42,,
HSBC,67,HSBC,6/30/2005,205.14B,,3.01,,,3.29,2.37,,
HSBC,68,HSBC,3/31/2005,203.86B,,16.27,,,3.3,2.38,,
HSBC,69,HSBC,12/31/2004,218.30B,,16.7,,,3.47,2.55,,
HSBC,70,HSBC,9/30/2004,202.94B,,17.61,,,,2.63,,
HSBC,71,HSBC,6/30/2004,189.43B,,0.27,,,,2.46,,
HSBC,72,HSBC,3/31/2004,188.75B,,18.66,,,,2.53,,
HSBC,73,HSBC,12/31/2003,198.26B,,18.26,,,,2.66,,
HSBC,74,HSBC,9/30/2003,164.65B,,19.67,,,561.03,3.14,,
HSBC,75,HSBC,6/30/2003,146.45B,,20.54,,,479.53,2.79,,
HSBC,76,HSBC,3/31/2003,126.17B,,17.13,,,407.07,2.41,,
HSBC,77,HSBC,12/31/2002,119.63B,,19.11,,,444.2,2.28,,
HSBC,78,HSBC,9/30/2002,111.68B,,19.69,,,8.3,2.43,,
HSBC,79,HSBC,6/30/2002,126.22B,,27.91,,,669.75,2.75,,
HSBC,80,HSBC,3/31/2002,125.12B,,25.28,,,694.52,2.72,,
HSBC,81,HSBC,12/31/2001,128.19B,,25.9,,,711.56,2.79,,
HSBC,82,HSBC,9/30/2001,114.23B,,11.0,,,,1.68,,
HSBC,83,HSBC,6/30/2001,127.41B,,11.55,,,,1.87,,
HSBC,84,HSBC,3/31/2001,126.88B,,12.22,,,,1.86,,
HSBC,85,HSBC,12/31/2000,156.56B,,14.8,,,,2.68,,
HSBC,86,HSBC,9/30/2000,138.60B,,22.58,,,,2.38,,
HSBC,87,HSBC,6/30/2000,112.22B,,18.29,,,,1.92,,
HSBC,88,HSBC,3/31/2000,118.29B,,12.81,,,,2.03,,
HSBC,89,HSBC,12/31/1999,138.55B,,15.58,,,62.51,2.38,,
HSBC,90,HSBC,9/30/1999,107.90B,,15.09,,,49.8,3.41,,
HSBC,91,HSBC,6/30/1999,114.29B,,15.98,,,52.75,3.61,,
HSBC,92,HSBC,3/31/1999,97.56B,,13.64,,,45.03,2.14,,
SBNY,0,SBNY,As of Date: 4/10/2023Current,8.94M,,0.01,0.01,,0.0,0.0,,
SBNY,1,SBNY,12/31/2022,7.25B,,5.63,6.47,0.19,2.76,0.94,,
SBNY,2,SBNY,9/30/2022,9.50B,,8.04,6.61,0.2,3.9,1.18,,
SBNY,3,SBNY,6/30/2022,11.28B,,10.49,7.91,,4.97,1.38,,
SBNY,4,SBNY,3/31/2022,18.51B,,19.53,14.58,,8.58,2.36,,
SBNY,5,SBNY,12/31/2021,19.61B,,23.2,19.12,,9.89,2.55,,
SBNY,6,SBNY,9/30/2021,16.51B,,21.49,16.69,,8.52,2.41,,
SBNY,7,SBNY,6/30/2021,14.19B,,21.7,19.72,,7.88,2.14,,
SBNY,8,SBNY,3/31/2021,13.07B,,22.7,19.38,,7.5,2.24,,
SBNY,9,SBNY,12/31/2020,7.25B,,14.24,11.72,,4.79,1.45,,
SBNY,10,SBNY,9/30/2020,4.45B,,8.62,7.34,,3.1,0.91,,
SBNY,11,SBNY,6/30/2020,5.73B,,10.57,12.11,,4.19,1.2,,
SBNY,12,SBNY,3/31/2020,4.31B,,7.4,7.59,,3.24,0.9,,
SBNY,13,SBNY,12/31/2019,7.31B,,12.39,12.53,,5.56,1.54,,
SBNY,14,SBNY,9/30/2019,6.47B,,10.72,10.02,,4.89,1.39,,
SBNY,15,SBNY,6/30/2019,6.66B,,10.74,10.8,,4.99,1.46,,
SBNY,16,SBNY,3/31/2019,7.06B,,13.88,11.06,,5.29,1.6,,
SBNY,17,SBNY,12/31/2018,5.66B,,12.22,9.01,,4.29,1.34,,
SBNY,18,SBNY,9/30/2018,6.36B,,14.61,10.32,,4.83,1.53,,
SBNY,19,SBNY,6/30/2018,7.08B,,24.27,11.31,,5.41,1.77,,
SBNY,20,SBNY,3/31/2018,7.81B,,19.94,12.8,,6.07,1.95,,
SBNY,21,SBNY,12/31/2017,7.55B,,19.28,13.83,0.95,5.95,1.92,,
SBNY,22,SBNY,9/30/2017,6.99B,,20.52,13.62,0.94,5.61,1.85,,
SBNY,23,SBNY,6/30/2017,7.84B,,18.21,15.82,1.18,6.39,2.08,,
SBNY,24,SBNY,3/31/2017,8.10B,,20.13,14.53,1.09,6.71,2.24,,
SBNY,25,SBNY,12/31/2016,8.20B,,20.69,16.1,1.68,6.88,2.3,,
SBNY,26,SBNY,9/30/2016,6.47B,,15.32,12.47,0.83,5.57,1.85,,
SBNY,27,SBNY,6/30/2016,6.71B,,16.44,15.15,1.0,6.06,1.99,,
SBNY,28,SBNY,3/31/2016,7.30B,,18.72,13.48,,6.89,2.52,,
SBNY,29,SBNY,12/31/2015,7.81B,,22.39,18.05,,8.2,2.77,,
SBNY,30,SBNY,9/30/2015,7.00B,,21.16,16.89,,7.69,2.59,,
SBNY,31,SBNY,6/30/2015,7.59B,,23.54,17.92,,8.46,2.9,,
SBNY,32,SBNY,3/31/2015,6.57B,,21.78,16.34,1.09,7.73,2.63,,
SBNY,33,SBNY,12/31/2014,6.34B,,22.1,18.9,1.26,7.75,2.64,,
SBNY,34,SBNY,9/30/2014,5.64B,,20.64,16.53,1.1,7.13,2.46,,
SBNY,35,SBNY,6/30/2014,6.31B,,24.89,19.57,1.3,8.46,3.3,,
SBNY,36,SBNY,3/31/2014,5.98B,,26.38,18.83,1.26,8.87,3.32,,
SBNY,37,SBNY,12/31/2013,5.08B,,23.98,19.88,1.53,7.89,2.89,,
SBNY,38,SBNY,9/30/2013,4.33B,,21.64,17.89,1.38,6.97,2.54,,
SBNY,39,SBNY,6/30/2013,3.92B,,20.4,17.24,1.72,6.51,2.29,,
SBNY,40,SBNY,3/31/2013,3.72B,,20.14,16.16,1.61,6.37,2.26,,
SBNY,41,SBNY,12/31/2012,3.37B,,18.25,16.56,1.66,5.77,2.04,,
SBNY,42,SBNY,9/30/2012,3.14B,,18.95,15.55,1.37,5.83,2.07,,
SBNY,43,SBNY,6/30/2012,2.83B,,17.67,13.79,1.21,5.36,1.94,,
SBNY,44,SBNY,3/31/2012,2.91B,,18.71,15.02,1.16,5.58,2.08,,
SBNY,45,SBNY,12/31/2011,2.77B,,18.46,16.34,1.17,5.44,2.03,,
SBNY,46,SBNY,9/30/2011,2.20B,,14.68,12.87,0.91,4.32,1.61,,
SBNY,47,SBNY,6/30/2011,2.37B,,18.57,15.29,1.08,5.34,2.24,,
SBNY,48,SBNY,3/31/2011,2.33B,,20.58,15.7,1.15,5.65,2.35,,
SBNY,49,SBNY,12/31/2010,2.07B,,20.35,18.38,1.35,5.36,2.19,,
SBNY,50,SBNY,9/30/2010,1.59B,,17.26,,,4.24,1.73,,
SBNY,51,SBNY,6/30/2010,1.56B,,19.29,,,4.45,1.76,,
SBNY,52,SBNY,3/31/2010,1.51B,,20.93,,,4.37,1.81,,
SBNY,53,SBNY,12/31/2009,1.30B,,24.54,,,4.16,1.61,,
SBNY,54,SBNY,9/30/2009,1.18B,,193.33,,,3.83,1.52,,
SBNY,55,SBNY,6/30/2009,1.11B,,454.5,,,3.55,1.5,,
SBNY,56,SBNY,3/31/2009,994.96M,,313.67,,,3.66,1.71,,
SBNY,57,SBNY,12/31/2008,1.01B,,81.97,,,3.81,1.72,,
SBNY,58,SBNY,9/30/2008,1.23B,,39.64,,,17.66,2.16,,
SBNY,59,SBNY,6/30/2008,767.10M,,27.12,,,17.57,1.8,,
SBNY,60,SBNY,3/31/2008,759.23M,,27.42,,,23.64,1.75,,
SBNY,61,SBNY,12/31/2007,1.00B,,37.09,,,48.04,2.35,,
SBNY,62,SBNY,9/30/2007,1.05B,,28.64,,,6.59,2.57,,
SBNY,63,SBNY,6/30/2007,1.01B,,29.4,,,6.81,2.48,,
SBNY,64,SBNY,3/31/2007,965.55M,,29.05,,,6.76,2.46,,
SBNY,65,SBNY,12/31/2006,924.22M,,29.42,,,6.87,2.45,,
SBNY,66,SBNY,9/30/2006,915.40M,,30.93,,,7.07,2.57,,
SBNY,67,SBNY,6/30/2006,954.40M,,32.38,,,7.4,2.68,,
SBNY,68,SBNY,3/31/2006,960.12M,,53.43,,,7.74,2.72,,
SBNY,69,SBNY,12/31/2005,824.65M,,65.28,,,7.55,2.37,,
SBNY,70,SBNY,9/30/2005,792.38M,,62.77,,,7.26,2.28,,
SBNY,71,SBNY,6/30/2005,716.32M,,73.94,,,6.92,2.05,,
SBNY,72,SBNY,3/31/2005,778.15M,,21.91,,,7.57,2.31,,
SBNY,73,SBNY,12/31/2004,948.63M,,28.14,,,9.33,2.8,,
SBNY,74,SBNY,9/30/2004,784.18M,,30.03,,,8.51,2.33,,
SBNY,75,SBNY,6/30/2004,622.49M,,27.36,,,8.52,2.41,,
SBNY,76,SBNY,3/31/2004,548.84M,,106.3,,,10.72,2.12,,
ZION,0,ZION,As of Date: 4/18/2023Current,4.85B,,5.65,4.88,0.71,1.56,1.09,,
ZION,1,ZION,3/31/2023,4.43B,,5.17,4.47,,1.43,1.0,,
ZION,2,ZION,12/31/2022,7.36B,,9.24,7.07,0.56,2.47,1.72,,
ZION,3,ZION,9/30/2022,7.61B,,9.47,7.67,0.63,2.73,1.47,,
ZION,4,ZION,6/30/2022,7.66B,,8.26,9.11,30.37,2.79,1.31,,
ZION,5,ZION,3/31/2022,9.92B,,9.66,12.58,31.43,3.62,1.41,,
ZION,6,ZION,12/31/2021,9.58B,,8.93,13.44,0.91,3.57,1.31,,
ZION,7,ZION,9/30/2021,9.69B,,9.33,13.61,1.12,3.48,1.28,,
ZION,8,ZION,6/30/2021,8.58B,,10.83,11.07,1.32,3.06,1.16,,
ZION,9,ZION,3/31/2021,9.00B,,18.2,12.22,1.55,3.26,1.23,,
ZION,10,ZION,12/31/2020,7.13B,,18.56,12.63,3.08,2.64,1.0,,
ZION,11,ZION,9/30/2020,4.79B,,11.73,8.22,1.37,1.83,0.68,,
ZION,12,ZION,6/30/2020,5.58B,,10.76,16.31,2.59,2.19,0.81,,
ZION,13,ZION,3/31/2020,4.38B,,6.43,6.92,1.23,1.76,0.65,,
ZION,14,ZION,12/31/2019,8.57B,,12.16,11.29,2.69,3.51,1.23,,
ZION,15,ZION,9/30/2019,7.59B,,10.73,9.68,2.62,3.12,1.08,,
ZION,16,ZION,6/30/2019,8.39B,,11.41,10.3,2.1,3.32,1.16,,
ZION,17,ZION,3/31/2019,8.29B,,11.13,10.2,1.73,3.37,1.18,,
ZION,18,ZION,12/31/2018,7.64B,,11.48,9.56,0.9,3.12,1.09,,
ZION,19,ZION,9/30/2018,9.75B,,15.53,12.17,1.02,3.91,1.37,,
ZION,20,ZION,6/30/2018,10.39B,,17.11,13.44,1.12,4.14,1.45,,
ZION,21,ZION,3/31/2018,10.39B,,20.28,14.68,1.25,4.24,1.46,,
ZION,22,ZION,12/31/2017,10.15B,,19.11,16.16,1.14,4.14,1.4,,
ZION,23,ZION,9/30/2017,9.54B,,18.8,15.22,1.07,3.9,1.31,,
ZION,24,ZION,6/30/2017,8.88B,,19.78,17.24,1.29,3.71,1.26,,
ZION,25,ZION,3/31/2017,8.51B,,21.11,16.98,0.85,3.6,1.23,,
ZION,26,ZION,12/31/2016,8.77B,,23.65,18.25,0.91,3.72,1.25,,
ZION,27,ZION,9/30/2016,6.32B,,18.69,13.7,0.91,2.76,0.91,,
ZION,28,ZION,6/30/2016,5.15B,,20.77,14.37,1.15,2.41,0.76,,
ZION,29,ZION,3/31/2016,4.95B,,20.18,11.19,0.9,2.36,0.74,,
ZION,30,ZION,12/31/2015,5.58B,,25.05,13.99,1.72,2.67,0.84,,
ZION,31,ZION,9/30/2015,5.63B,,25.74,13.68,1.57,2.7,0.86,,
ZION,32,ZION,6/30/2015,6.47B,,19.35,16.03,1.84,2.88,1.0,,
ZION,33,ZION,3/31/2015,5.49B,,16.07,13.93,1.51,2.38,0.86,,
ZION,34,ZION,12/31/2014,5.79B,,27.41,16.45,1.5,2.64,0.92,,
ZION,35,ZION,9/30/2014,5.90B,,16.42,16.42,1.53,2.64,1.04,,
ZION,36,ZION,6/30/2014,5.46B,,19.52,14.68,0.82,2.66,0.98,,
ZION,37,ZION,3/31/2014,5.73B,,19.61,14.6,0.82,2.81,1.05,,
ZION,38,ZION,12/31/2013,5.53B,,14.27,15.02,0.78,2.6,1.04,,
ZION,39,ZION,9/30/2013,5.06B,,21.09,14.16,0.74,2.35,0.99,,
ZION,40,ZION,6/30/2013,5.33B,,22.08,14.84,0.77,2.48,1.06,,
ZION,41,ZION,3/31/2013,4.60B,,25.76,13.12,0.68,2.13,0.94,,
ZION,42,ZION,12/31/2012,3.94B,,22.06,12.41,0.65,1.82,0.8,,
ZION,43,ZION,9/30/2012,3.80B,,20.06,12.05,0.63,1.67,0.81,,
ZION,44,ZION,6/30/2012,3.58B,,21.82,10.81,0.52,1.58,0.77,,
ZION,45,ZION,3/31/2012,3.95B,,25.86,11.55,1.03,1.74,0.86,,
ZION,46,ZION,12/31/2011,3.00B,,,10.06,1.2,1.37,0.66,,
ZION,47,ZION,9/30/2011,2.59B,,,8.27,1.0,1.19,0.57,,
ZION,48,ZION,6/30/2011,4.43B,,,13.37,1.62,3.04,0.97,,
ZION,49,ZION,3/31/2011,4.24B,,,13.33,1.63,1.88,0.92,,
ZION,50,ZION,12/31/2010,4.43B,,,75.19,9.19,1.82,0.96,,
ZION,51,ZION,9/30/2010,3.79B,,,43.1,4.92,1.78,0.82,,
ZION,52,ZION,6/30/2010,3.74B,,,21.69,2.33,1.5,0.81,,
ZION,53,ZION,3/31/2010,3.50B,,,22.42,2.74,1.08,0.81,,
ZION,54,ZION,12/31/2009,1.93B,,,,,0.63,0.46,,
ZION,55,ZION,9/30/2009,2.45B,,,,-1.66,0.77,0.62,,
ZION,56,ZION,6/30/2009,1.45B,,,,-1.57,0.53,0.36,,
ZION,57,ZION,3/31/2009,1.13B,,,,-1.33,0.56,0.29,,
ZION,58,ZION,12/31/2008,2.83B,,,,,1.24,0.54,,
ZION,59,ZION,9/30/2008,4.46B,,16.54,,,1.89,0.85,,
ZION,60,ZION,6/30/2008,3.39B,,9.63,,,1.51,0.67,,
ZION,61,ZION,3/31/2008,4.88B,,11.27,,,2.1,0.96,,
ZION,62,ZION,12/31/2007,5.00B,,10.56,,,2.21,0.99,,
ZION,63,ZION,9/30/2007,7.35B,,12.44,,,3.11,1.47,,
ZION,64,ZION,6/30/2007,8.42B,,14.38,,,3.59,1.68,,
ZION,65,ZION,3/31/2007,9.14B,,15.77,,,3.94,1.92,,
ZION,66,ZION,12/31/2006,8.80B,,15.38,,,3.92,1.89,,
ZION,67,ZION,9/30/2006,8.52B,,15.12,,,3.9,1.92,,
ZION,68,ZION,6/30/2006,8.31B,,14.76,,,3.81,1.87,,
ZION,69,ZION,3/31/2006,8.78B,,15.79,,,4.15,2.02,,
ZION,70,ZION,12/31/2005,7.94B,,15.11,,,4.03,2.65,,
ZION,71,ZION,9/30/2005,6.41B,,14.24,,,3.8,2.14,,
ZION,72,ZION,6/30/2005,6.62B,,15.38,,,4.02,2.25,,
ZION,73,ZION,3/31/2005,6.20B,,15.1,,,3.87,2.2,,
ZION,74,ZION,12/31/2004,6.11B,,15.22,,,3.88,2.19,,
ZION,75,ZION,9/30/2004,5.47B,,14.0,,,3.54,2.01,,
ZION,76,ZION,6/30/2004,5.52B,,15.56,,,3.43,2.09,,
ZION,77,ZION,3/31/2004,5.12B,,14.72,,,3.22,1.95,,
ZION,78,ZION,12/31/2003,5.51B,,16.4,,,3.51,2.17,,
ZION,79,ZION,9/30/2003,5.03B,,15.51,,,3.24,2.02,,
ZION,80,ZION,6/30/2003,4.54B,,14.02,,,3.2,1.83,,
ZION,81,ZION,3/31/2003,3.86B,,12.19,,,2.75,1.6,,
ZION,82,ZION,12/31/2002,3.57B,,11.44,,,2.57,1.5,,
ZION,83,ZION,9/30/2002,3.97B,,13.44,,,2.86,1.68,,
ZION,84,ZION,6/30/2002,4.78B,,16.23,,,3.48,2.06,,
ZION,85,ZION,3/31/2002,5.45B,,18.82,,,3.99,2.39,,
ZION,86,ZION,12/31/2001,4.82B,,16.69,,,3.54,2.11,,
ZION,87,ZION,9/30/2001,4.97B,,17.48,,,3.92,2.26,,
ZION,88,ZION,6/30/2001,5.45B,,19.73,,,4.74,2.57,,
ZION,89,ZION,3/31/2001,4.61B,,28.44,,,4.22,2.59,,
ZION,90,ZION,12/31/2000,5.44B,,39.27,,,5.1,3.17,,
ZION,91,ZION,9/30/2000,4.45B,,34.54,,,4.27,2.72,,
ZION,92,ZION,6/30/2000,3.93B,,31.0,,,3.83,2.41,,
ZION,93,ZION,3/31/2000,3.57B,,30.16,,,3.52,2.25,,
ZION,94,ZION,12/31/1999,5.07B,,26.19,,,5.04,3.05,,
ZION,95,ZION,9/30/1999,4.35B,,23.26,,,4.71,3.91,,
ZION,96,ZION,6/30/1999,5.02B,,29.53,,,5.92,4.6,,
ZION,97,ZION,3/31/1999,5.25B,,33.25,,,6.43,4.95,,
ZION,98,ZION,12/31/1998,4.90B,,32.66,,,6.45,4.84,,
ZION,99,ZION,9/30/1998,3.17B,,20.51,,,4.61,3.24,,
ZION,100,ZION,6/30/1998,3.99B,,26.56,,,6.23,4.31,,
ZION,101,ZION,3/31/1998,3.64B,,26.85,,,6.48,5.02,,
ZION,102,ZION,12/31/1997,2.90B,,24.01,,,5.94,4.43,,
ZION,103,ZION,9/30/1997,2.23B,,20.16,,,5.24,3.83,,
ZION,104,ZION,6/30/1997,2.26B,,20.9,,,5.56,3.83,,
ZION,105,ZION,3/31/1997,1.73B,,16.87,,,4.57,3.43,,
ZION,106,ZION,12/31/1996,1.53B,,15.2,,,4.15,3.02,,
ZION,107,ZION,9/30/1996,1.31B,,13.47,,,3.68,2.66,,
ZION,108,ZION,6/30/1996,1.07B,,12.03,,,3.24,2.45,,
ZION,109,ZION,3/31/1996,1.03B,,12.79,,,3.32,2.4,,
ZION,110,ZION,12/31/1995,1.17B,,15.52,,,3.93,2.85,,
ZION,111,ZION,9/30/1995,890.54M,,12.63,,,3.11,2.27,,
ZION,112,ZION,6/30/1995,727.15M,,10.31,,,2.54,1.85,,
ZION,113,ZION,3/31/1995,551.93M,,8.26,,,1.99,1.45,,
ZION,114,ZION,12/31/1994,522.35M,,8.15,,,1.91,1.47,,
ZION,115,ZION,9/30/1994,574.96M,,8.98,,,2.11,1.62,,
ZION,116,ZION,6/30/1994,578.20M,,9.29,,,2.13,1.69,,
ZION,117,ZION,3/31/1994,525.73M,,8.49,,,1.96,1.65,,
ZION,118,ZION,12/31/1993,471.56M,,9.07,,,1.99,1.62,,
ZION,119,ZION,9/30/1993,522.55M,,10.46,,,2.32,1.92,,
ZION,120,ZION,6/30/1993,493.20M,,10.2,,,2.28,1.88,,
ZION,121,ZION,3/31/1993,590.59M,,13.79,,,2.9,2.37,,
ZION,122,ZION,12/31/1992,466.37M,,10.8,,,2.28,1.92,,
ZION,123,ZION,9/30/1992,367.56M,,10.0,,,1.86,1.59,,
ZION,124,ZION,6/30/1992,347.31M,,10.75,,,1.77,1.57,,
ZION,125,ZION,3/31/1992,298.85M,,9.88,,,1.52,1.4,,
ZION,126,ZION,12/31/1991,261.18M,,8.96,,,1.37,1.26,,
ZION,127,ZION,9/30/1991,270.92M,,9.32,,,1.43,1.35,,
ZION,128,ZION,6/30/1991,241.06M,,8.77,,,1.31,1.28,,
ZION,129,ZION,3/31/1991,217.36M,,8.09,,,1.21,1.18,,
ZION,130,ZION,12/31/1990,190.30M,,7.09,,,1.06,1.04,,
ZION,131,ZION,9/30/1990,149.09M,,6.91,,,0.87,0.86,,
ZION,132,ZION,6/30/1990,171.23M,,9.17,,,1.07,1.02,,
ZION,133,ZION,3/31/1990,162.45M,,11.35,,,1.0,0.99,,
ZION,134,ZION,12/31/1989,165.10M,,,,,,1.03,,
ZION,135,ZION,9/30/1989,184.11M,,,,,,1.18,,
ZION,136,ZION,6/30/1989,148.19M,,,,,,0.95,,
ZION,137,ZION,3/31/1989,133.80M,,,,,,,,
ZION,138,ZION,12/31/1988,129.36M,,,,,,,,
ZION,139,ZION,9/30/1988,138.23M,,,,,,,,
ZION,140,ZION,6/30/1988,151.46M,,,,,,,,
ZION,141,ZION,3/31/1988,148.47M,,,,,,,,
ZION,142,ZION,12/31/1987,131.57M,,,,,,,,
ZION,143,ZION,9/30/1987,223.00M,,,,,,,,
ZION,144,ZION,6/30/1987,243.01M,,,,,,,,
ZION,145,ZION,3/31/1987,262.34M,,14.74,,,,,,
