,,Unnamed: 0,Breakdown,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow,Other Cash Adjustment Inside Change in Cash,Cash Flow from Discontinued Operation
MS,83,MS,8/31/2002,"22,021,000","-1,933,000","-14,335,000","27,965,000",-,-,"-223,000",-,"497,000","-1,643,000",-,"21,798,000",-,
MS,84,MS,5/31/2002,"-11,929,000","-286,000","8,952,000","22,212,000",-,-,"-276,000",-,"7,023,000","-1,965,000",-,"-12,205,000",-,
MS,85,MS,2/28/2002,"-7,239,000","-1,345,000","7,463,000","25,475,000",-,-,"-358,000",-,"2,818,000","-2,326,000",-,"-7,597,000",-,
MS,86,MS,11/30/2001,"20,237,000","-844,000","-16,963,000","26,596,000",-,-,"-1,312,000",-,"726,000","-1,064,000",-,"18,925,000",-,
MS,87,MS,8/31/2001,"-1,484,000","248,000","-1,694,000","24,166,000",-,-,"-249,000",-,"1,610,000","-2,874,000",-,"-1,733,000",-,
MS,88,MS,5/31/2001,"-35,133,000","-68,000","40,619,000","27,096,000",-,-,"-233,000",-,"13,119,000","-4,304,000",-,"-35,366,000",-,
MS,89,MS,2/28/2001,"-7,711,000","-223,000","10,793,000","21,678,000",-,-,"-204,000",-,"3,043,000","-2,959,000",-,"-7,915,000",-,
MS,90,MS,11/30/2000,"-5,179,000","-2,735,000","9,478,000","18,819,000",-,-,"-484,000",-,"1,283,000","673,000",-,"-5,663,000",-,
MS,91,MS,8/31/2000,"-5,974,000","2,291,000","4,982,000","17,255,000",-,-,"-231,000",-,"8,570,000","-5,441,000",-,"-6,205,000",-,
MS,92,MS,5/31/2000,"12,006,000","841,000","-12,220,000","15,956,000",-,-,"-9,000",-,"6,595,000","-2,812,000",-,"11,997,000",-,
MS,93,MS,2/29/2000,"-3,237,000","-3,082,000","9,323,000","15,329,000",-,-,"-112,000",-,"6,027,000","-1,771,000",-,"-3,349,000",-,
MS,94,MS,11/30/1999,"-22,550,000","-4,711,000","26,204,000","12,325,000",-,-,-,-,"325,000","-1,056,000",-,"-22,423,000",-,
MS,95,MS,8/31/1999,"891,000","-2,250,000","4,130,000","13,382,000",-,-,"-106,000",-,"674,000","-619,000",-,"785,000",-,
MS,96,MS,5/31/1999,"15,796,000","440,000","-11,850,000",0,-,-,"-320,000",-,"3,497,000","-1,883,000",-,"15,476,000",-,
MS,97,MS,2/28/1999,"-23,408,000","-130,000","12,885,000",0,-,-,"-357,000",-,"3,056,000","-3,060,000",-,"-23,765,000",-,
MS,98,MS,11/30/1998,"18,781,000","1,190,000","-12,913,000",0,-,-,-,-,"526,000","-1,455,000",-,"19,064,000",-,
MS,99,MS,8/31/1998,"-148,000","-113,000","810,000",0,-,-,"-90,000",-,"1,343,000","-1,430,000",-,"-238,000",-,
MS,100,MS,5/31/1998,"10,967,000","2,526,000","-10,420,000",0,-,-,"-108,000",-,"4,985,000","-2,526,000",-,"10,859,000",-,
MS,101,MS,2/28/1998,"-14,231,000","-410,000","12,584,000",0,-,-,"-85,000",-,"2,917,000","-1,658,000",-,"-14,316,000",-,
MS,102,MS,11/30/1997,"-4,607,000","121,000","4,513,000",0,-,-,"-209,000",-,"244,000","-566,000",-,"-4,816,000",-,
MS,103,MS,8/31/1997,"4,352,000","-795,000","1,498,000",0,-,-,"-40,000",-,"763,000","1,410,000",-,"4,312,000",-,
MS,104,MS,3/31/1997,"360,700","819,100","-1,994,100",0,-,-,-,-,-,"-418,100",-,"360,700",-,
MS,105,MS,12/31/1996,"641,600","-3,176,400","3,431,800",0,-,-,-,-,"-673,400",-,-,"641,600",-,
MS,106,MS,9/30/1996,"1,571,400","-1,081,100","-386,600",0,-,-,-,-,"939,700",-,-,"1,571,400",-,
MS,107,MS,6/30/1996,"-96,100","-993,100","1,156,400",0,-,-,-,-,"-109,900",-,-,"-96,100",-,
MS,108,MS,3/31/1996,"91,500","2,451,900","-3,076,600",0,-,-,-,-,"1,263,700","-2,936,500",-,"91,500",-,
MS,109,MS,12/31/1995,"689,400","-4,331,100","4,173,200",0,-,-,-,-,"-141,200",-,-,"689,400",-,
MS,110,MS,9/30/1995,"-681,300","-873,600","1,690,200",0,-,-,-,-,"704,600",-,-,"-681,300",-,
MS,111,MS,6/30/1995,"1,624,700","-1,033,600","-554,300",0,-,-,-,-,"496,800",-,-,"1,624,700",-,
MS,112,MS,3/31/1995,"-156,000","213,300","-630,500",0,-,-,-,-,"373,300",-,-,"-156,000",-,
MS,113,MS,12/31/1994,"494,400","-1,756,900","1,892,500",0,-,-,-,-,"1,046,800",-,-,"494,400",-,
MS,114,MS,9/30/1994,"1,381,800","-1,261,000","14,000",0,-,-,-,-,"430,400",-,-,"1,381,800",-,
MS,115,MS,6/30/1994,"327,900","-1,412,700","822,000",0,-,-,-,-,"280,600",-,-,"327,900",-,
MS,116,MS,3/31/1994,"690,000","29,900","-718,100",0,-,-,-,-,"578,300",-,-,"690,000",-,
MS,117,MS,12/31/1993,"826,400","-883,700","381,800",0,-,-,-,-,"3,084,500",-,-,"826,400",-,
MS,118,MS,9/30/1993,"-1,547,500","-1,088,300","2,604,600",0,-,-,-,-,0,-,-,"-1,547,500",-,
MS,119,MS,6/30/1993,"1,805,800","-2,272,200","549,800",0,-,-,-,-,"346,700",-,-,"1,805,800",-,
MS,120,MS,3/31/1993,"265,900","1,471,700","-2,419,300",0,-,-,-,-,"1,881,600",-,-,"265,900",-,
MS,121,MS,1/31/1993,"-1,848,800","-20,800","1,659,700",-,-,-,"-20,800",-100,-,-,-,"-1,869,600",-,
MS,122,MS,10/31/1992,"-2,898,300","-5,200","2,217,600",-,-,-,"-5,200",0,-,-,-,"-2,903,500",-,
MS,123,MS,7/31/1992,"7,343,000","-18,900","-5,431,100",-,-,-,"-18,900","-125,000",-,-,-,"7,324,100",-,
MS,124,MS,4/30/1992,"2,203,400","-21,400","-2,277,900",-,-,-,"-21,400","20,500",-,-,-,"2,182,000",-,
MS,125,MS,12/31/1991,"5,861,500","-61,900","-3,928,700",-,-,-,"-61,900","189,300",-,-,-,"5,799,600",-,
MS,126,MS,9/30/1991,"-13,279,500","-49,800","13,092,900",-,-,-,"-49,800",-,-,-,-,"-13,329,300",-,
MS,127,MS,6/30/1991,"2,896,800","-55,400","-3,191,800",-,-,-,"-55,400",-,-,-,-,"2,841,400",-,
MS,128,MS,3/31/1991,"1,764,600","-44,300","-1,602,800",-,-,-,"-44,300",-,-,-,-,"1,720,300",-,
MS,129,MS,12/31/1990,"-5,233,300","-50,300","4,688,500",-,-,-,"-50,300",-,-,-,-,"-5,283,600",-,
MS,130,MS,9/30/1990,"5,623,500","-44,900","-4,518,700",-,-,-,"-44,900",-,-,-,-,"5,578,600",0,
MS,131,MS,6/30/1990,"-1,535,900","-41,900","1,468,200",-,-,-,"-41,900",-,-,-,-,"-1,577,800",-,
MS,132,MS,3/31/1990,"-3,533,700","-28,200","3,892,400",-,-,-,"-28,200",-,-,-,-,"-3,561,900",-,
MS,133,MS,12/31/1989,"-2,946,100","-27,100","2,917,300",-,-,-,"-27,100",-,-,-,-,"-2,973,200",-,
MS,134,MS,9/30/1989,"-3,494,000","-21,200","3,080,900",-,-,-,"-21,200",-,-,-,-,"-3,515,200",-,
MCBC,0,MCBC,ttm,"34,800","-402,480","-28,938","755,170","6,500","4,717",-796,-,"25,000","-80,000",-207,"34,004",,
MCBC,1,MCBC,3/31/2023,"12,729","-60,166","-286,995","420,738",-,"4,307",-496,-,0,0,-15,"12,233",,
MCBC,2,MCBC,12/31/2022,"14,670","-82,096","56,044","755,170","1,500","2,513",-191,-,0,0,-172,"14,479",,
MCBC,3,MCBC,9/30/2022,"9,099","-61,618","58,869","766,552","2,000","1,098",-139,-,0,0,-15,"8,960",,
MCBC,4,MCBC,6/30/2022,"4,876","-210,165","-145,449","760,202","3,000",625,-231,-,0,"-55,000",-7,"4,645",,
MCBC,5,MCBC,3/31/2022,"6,155","-48,601","1,598","1,110,940",0,481,-235,-,"25,000","-25,000",-13,"5,920",,
MCBC,6,MCBC,12/31/2021,"7,180","-147,293","21,963","1,151,788",900,508,-58,-,0,0,-96,"7,122",,
MCBC,7,MCBC,9/30/2021,"11,820","83,068","-45,267","1,269,938",750,692,-74,-,"25,000","-20,619",-22,"11,746",,
MCBC,8,MCBC,6/30/2021,"12,237","96,794","199,401","1,220,317","4,000",749,-403,-,0,-,-7,"11,834",,
MCBC,9,MCBC,3/31/2021,"4,687","36,832","86,630","911,885",0,786,-458,-,0,-,-5,"4,229",,
MCBC,10,MCBC,12/31/2020,"9,752","115,758","125,226","783,736",0,920,-171,-,0,0,-62,"9,581",,
MCBC,11,MCBC,9/30/2020,"5,116","18,324","49,555","533,000","1,800","1,250","-1,298",-,0,0,-13,"3,818",,
MCBC,12,MCBC,6/30/2020,"5,782","-163,163","410,191","460,005","3,515","1,559",-181,-,0,0,0,"5,601",,
MCBC,13,MCBC,3/31/2020,"9,925","-34,535","-40,645","207,195",0,"2,234",-624,-,"10,000",0,-11,"9,301",,
MCBC,14,MCBC,12/31/2019,"6,682","-14,729","-89,939","272,450","2,100","2,794",-40,-,0,"-20,619",-96,"6,642",,
MCBC,15,MCBC,9/30/2019,"6,907","-24,016","156,662","370,436",-,-,-160,-,0,0,0,"6,747",,
MCBC,16,MCBC,6/30/2019,"7,459","38,584","40,854","230,883",-,-,-273,-,0,0,-5,"7,186",,
MCBC,17,MCBC,3/31/2019,"8,672","25,283","-61,253","143,986",-,-,-568,-,"10,000","-10,000",0,"8,104",,
MCBC,18,MCBC,12/31/2018,"7,920","-66,303","46,491","171,284",-,-,-389,-,0,"-10,000",-131,"7,531",,
MCBC,19,MCBC,9/30/2018,"7,858","-8,793","39,590","183,176",-,-,-330,-,"15,000","-10,667",0,"7,528",,
MCBC,20,MCBC,6/30/2018,"6,269","4,852","2,548","144,521","1,100","2,092",-422,-,-,"-20,000",0,"5,847",,
MCBC,21,MCBC,3/31/2018,"7,588","-6,954","-31,249","130,852",0,"1,828",-142,-,-,"-11,451",-5,"7,446",,
MCBC,22,MCBC,12/31/2017,"3,847","-93,266","90,997","161,467","1,200","1,583",-457,34,"20,000",0,-178,"3,390",,
MCBC,23,MCBC,9/30/2017,"8,659","-27,898","33,859","159,889",-,-,-166,-,0,"-10,667",-,"8,493",,
MCBC,24,MCBC,6/30/2017,"4,879","21,146","5,495","145,269",-,-,-106,-,0,"-20,000",-,"4,773",,
MCBC,25,MCBC,3/31/2017,"5,394","16,859","1,677","113,749",-,-,-462,-,"20,000","-1,388",-,"4,932",,
MCBC,26,MCBC,12/31/2016,"3,270","-59,911","88,709","89,819",-,-,-514,-,0,0,-238,"2,756",,
MCBC,27,MCBC,9/30/2016,"3,725","-52,760","-18,147","57,751",-,-,-173,-,0,"-20,667",-12,"3,552",,
MCBC,28,MCBC,6/30/2016,"4,830","2,288","23,212","124,933",-,-,-347,-,-,0,-,"4,483",,
MCBC,29,MCBC,3/31/2016,"5,103","5,043","-97,019","94,603",-,-,-154,-,-,"-1,329",-,"4,949",,
MCBC,30,MCBC,12/31/2015,"6,222","-15,929","67,430","181,476",-,-,-395,-,0,0,-,"5,827",,
MCBC,31,MCBC,9/30/2015,"5,573","-60,752","37,358","123,753",-,-,-246,-,0,-667,-,"5,327",,
MCBC,32,MCBC,6/30/2015,"1,479",-276,"6,292","141,574",-,-,-279,-,0,0,-,"1,200",,
MCBC,33,MCBC,3/31/2015,727,"-18,346","22,243","134,079",-,-,-250,-,"10,000","-1,271",-,477,,
MCBC,34,MCBC,12/31/2014,"3,508","-62,998","89,406","129,455",0,"1,361",-241,0,-,0,-,"3,267",,
MCBC,35,MCBC,9/30/2014,"2,262","-19,714",-974,"99,539",40,"1,381",-615,-,-,-667,-,"1,647",,
MCBC,36,MCBC,6/30/2014,"4,013","-11,602","-1,729","117,965",50,"1,384",-318,-,-,0,-,"3,695",,
MCBC,37,MCBC,3/31/2014,"6,835","-1,492","-34,952","127,283",0,"1,489",-592,-,-,"-1,217",-,"6,243",,
MCBC,38,MCBC,12/31/2013,337,"-14,214","-43,086","156,892",25,"4,344","-1,320",-,-,0,-,-983,,
MCBC,39,MCBC,9/30/2013,"3,485","-33,230","86,146","213,855",40,"4,481",-198,-,-,"-2,317",-,"3,287",,
MCBC,40,MCBC,6/30/2013,"6,296","33,643","-31,812","157,454",55,"1,495",-607,-,-,0,-,"5,689",,
MCBC,41,MCBC,3/31/2013,"6,194","-27,190","-56,035","149,327",0,"1,566",-282,-,-,"-1,164",-,"5,912",,
MCBC,42,MCBC,12/31/2012,"7,382","-36,466","21,191","226,358",175,"1,719",-185,-,-,"-20,322",-,"7,197",,
MCBC,43,MCBC,9/30/2012,"2,466","-6,173","-6,436","234,251",0,"2,027",-115,-,-,"-15,667",-,"2,351",,
MCBC,44,MCBC,6/30/2012,"4,973","21,735","11,046","244,394",-,"2,265",-324,-,-,"-10,000",-,"4,649",,
MCBC,45,MCBC,3/31/2012,"-1,326","-23,144","-11,932","206,640",-,"2,462",-83,-,-,"-11,114",-,"-1,409",,
MCBC,46,MCBC,12/31/2011,"6,130","-6,339","-10,308","243,042",-,-,-397,-39,0,"-25,000",-,"5,733",,
MCBC,47,MCBC,9/30/2011,"-2,969","-7,444","-2,733","253,559",-,"3,143",-101,-68,0,-667,-,"-3,070",,
MCBC,48,MCBC,6/30/2011,"5,959","39,802","-41,683","266,705",-,"3,496",-421,-,-,"-10,000",-,"5,538",,
MCBC,49,MCBC,3/31/2011,"3,033","46,488","-23,021","262,627",-,"3,950",-112,-,-,"-11,066",-,"2,921",,
MCBC,50,MCBC,12/31/2010,"10,420","61,159","-34,090","236,127",-,-,-134,-,"30,000","-61,000",-,"10,286",,
MCBC,51,MCBC,9/30/2010,"15,466","76,694","-38,658","198,638",-,"5,795",-199,-,0,"-5,667",-,"15,267",,
MCBC,52,MCBC,6/30/2010,"5,983","157,614","-68,066","145,136",-,"6,639",-86,-,"70,000","-80,000",-,"5,897",,
MCBC,53,MCBC,3/31/2010,"1,664","60,782","-91,590","49,605",-,"7,805",-201,-,"20,000","-66,020",-,"1,463",,
MCBC,54,MCBC,12/31/2009,"11,939","37,756","-140,914","78,749",-,-,-79,0,"20,000","-30,000",-,"11,860",,
MCBC,55,MCBC,9/30/2009,-876,"62,163","-10,389","169,968",0,"10,645",-233,310,"25,700","-5,667",-,"-1,109",,
MCBC,56,MCBC,6/30/2009,"4,206","64,840","-45,581","119,070",0,"10,536",-165,-,"20,950","-20,000",-,"4,041",,
MCBC,57,MCBC,3/31/2009,"9,720","74,768","-57,167","95,605",0,"14,641",-323,-,"20,000","-36,100",-,"9,397",,
MCBC,58,MCBC,12/31/2008,"-6,751","-44,991","-7,482","68,284",-,-,-176,-,"150,000","-160,319",-,"-6,927",,
MCBC,59,MCBC,9/30/2008,"12,519","-14,487","80,456","127,508",-,-,-716,-,"27,000","-27,666",-,"11,803",,
MCBC,60,MCBC,6/30/2008,"5,262","17,539","-15,478","49,020",-,-,"-1,000",-,"105,000","-143,001",-,"4,262",,
MCBC,61,MCBC,3/31/2008,"9,932","-13,475","-4,576","41,697",-,-,-430,-,"123,000","-143,276",-,"9,502",,
MCBC,62,MCBC,12/31/2007,"1,529","-17,555","32,656","49,816",-,-,"-1,418",-,"295,000","-240,041",-,111,,
MCBC,63,MCBC,9/30/2007,"11,054","-19,024","-22,159","33,186",-,-,-688,-,"60,000","-5,667",-,"10,366",,
MCBC,64,MCBC,6/30/2007,"5,264","-7,700","-3,651","63,315",-,-,"-1,534",-,"9,122","-32,000",-,"3,730",,
MCBC,65,MCBC,3/31/2007,"7,701","-11,578","33,397","69,402",-,-,"-3,483",-,"75,878",-258,-,"4,218",,
MCBC,66,MCBC,12/31/2006,"5,509","-42,949","34,949","39,882",-,-,"-3,596",-,"20,000","-10,037",-,"1,913",,
MCBC,67,MCBC,9/30/2006,"7,970","-55,551","46,608","42,373",-,-,"-2,039",-,0,"-5,667",-,"5,931",,
MCBC,68,MCBC,6/30/2006,"5,121","-68,908","75,831","43,346",-,-,"-2,858",-,"70,000","-22,000",-,"2,263",,
MCBC,69,MCBC,3/31/2006,"6,739","-53,430","28,892","31,302",-,-,"-2,159",-,"5,000","-10,439",-,"4,580",,
MCBC,70,MCBC,12/31/2005,"15,910","-44,583","41,007","49,101",-,-,"-2,402",-,"80,000","-82,035",-,"13,508",,
MCBC,71,MCBC,9/30/2005,"1,485","-41,313","38,938","36,767",-,-,"-4,429",-,"35,000","-103,368",-,"-2,944",,
MCBC,72,MCBC,6/30/2005,"7,478","-54,268","50,144","37,657",-,-,"-2,339",-,"220,000","-171,999",-,"5,139",,
MCBC,73,MCBC,3/31/2005,"7,942","-50,988","45,638","34,303",-,-,-787,-,"140,000","-96,422",-,"7,155",,
MCBC,74,MCBC,12/31/2004,"4,897","-67,075","52,309","31,711",-,-,"-1,865",-,"155,000","-152,630",-,"3,032",,
MCBC,75,MCBC,9/30/2004,"6,166","-83,569","83,822","41,580",-,-,"-3,651",-,"90,000","-146,132",-,"2,515",,
MCBC,76,MCBC,6/30/2004,"4,655","-77,647","77,162","35,161",-,-,"-2,294",-,"69,000","-37,073",-,"2,361",,
MCBC,77,MCBC,3/31/2004,"6,377","-82,201","46,768","30,991",-,-,"-1,807",-,"46,583","-24,860",-,"4,570",,
MCBC,78,MCBC,12/31/2003,"7,605","-80,566","99,593","60,047",-,-,"-2,527",-,"40,003","-32,437",-,"5,078",,
MCBC,79,MCBC,9/30/2003,"14,819","-62,485","40,800","33,415",-,-,"-2,925",-,"65,652","-44,527",-,"11,894",,
MCBC,80,MCBC,6/30/2003,"-2,562","-37,083","43,949","40,281",-,-,"-4,441",-,"41,000","-13,072",-,"-7,003",,
MCBC,81,MCBC,3/31/2003,"10,121","-56,660","34,642","35,977",-,-,"-5,371",-,"1,500","-4,617",-,"4,750",,
MCBC,82,MCBC,12/31/2002,"-3,303","-43,518","59,457","47,874",-,-,"-5,384",-,-,-,-,"-8,687",,
MCBC,83,MCBC,9/30/2002,"-2,920","-35,726","19,816","35,238",-,-,"-2,368",-,-,-,-,"-5,288",,
MCBC,84,MCBC,6/30/2002,"1,319","-40,708","65,731","54,068",-,-,"-2,637",-,-,-,-,"-1,318",,
MCBC,85,MCBC,3/31/2002,"9,746","-51,161","34,943","27,726",-,-,"-1,720",-,"5,264","-5,590",-,"8,026",,
MCBC,86,MCBC,12/31/2001,"-7,737","-40,889","36,329","34,198",-,-,"-1,039",-,"18,314","-5,264",-,"-8,776",,
MCBC,87,MCBC,9/30/2001,"1,252","-40,002","45,801","46,496",-,-,-628.388,-,0,0,-,623.158,,
MCBC,88,MCBC,6/30/2001,"1,831","-42,913","57,023","39,445",-,-,"-2,149",-,0,"-4,000",-,-318.541,,
MCBC,89,MCBC,3/31/2001,"3,215","-31,247","25,232","23,505",-,-,-174.905,-,"16,852","-5,264",-,"3,040",,
MCBC,90,MCBC,12/31/2000,864.722,"-42,556","46,956","26,305",-,-,-209.345,-,"11,000",0,-,655.377,,
MCBC,91,MCBC,9/30/2000,"1,325","-34,244","31,606","21,041",-,-,-820.679,-,"5,000","-5,000",-,504.1,,
MCBC,92,MCBC,6/30/2000,"1,153","-28,070","24,426","22,353",-,-,-580.217,-,"15,000","-10,000",-,573.009,,
MCBC,93,MCBC,3/31/2000,969.081,"-43,874","47,195","24,845",-,-,"-1,924",-,"25,000","-20,000",-,-954.814,,
Bk,0,Bk,ttm,"15,068,000","19,874,000","-33,654,000","11,529,000","449,000","3,307,000","-1,346,000","14,000","9,929,000","-4,000,000","-124,000","13,722,000",-,
Bk,1,Bk,12/31/2022,"2,924,000","25,124,000","-26,150,000","11,529,000","130,000","1,952,000","-357,000","4,000","3,245,000","-750,000","-2,000","2,567,000",-,
Bk,2,Bk,9/30/2022,"3,725,000","19,345,000","-23,061,000","4,707,000","57,000","981,000","-118,000","4,000","1,745,000","-1,000,000","-1,000","3,607,000",-,
Bk,3,Bk,6/30/2022,"4,990,000","9,306,000","-14,538,000","5,185,000","137,000","267,000","-600,000","-124,000","3,644,000","-1,000,000","-3,000","4,390,000",-,
Bk,4,Bk,3/31/2022,"3,429,000","-33,901,000","30,095,000","9,544,000","125,000","107,000","-271,000","130,000","1,295,000","-1,250,000","-118,000","3,158,000",-,
Bk,5,Bk,12/31/2021,"3,129,000","19,931,000","-24,127,000","9,883,000","97,000","7,000","-374,000","1,290,000","1,497,000","-400,000","-2,249,000","2,755,000",-,
Bk,6,Bk,9/30/2021,"54,000","-4,158,000","5,626,000","6,752,000","110,000","81,000","-376,000","4,000","998,000","-1,500,000","-2,001,000","-322,000",-,
Bk,7,Bk,6/30/2021,"2,829,000","-779,000","-1,941,000","5,154,000","144,000","19,000","-245,000","3,000","1,495,000","-1,250,000","-618,000","2,584,000",-,
Bk,8,Bk,3/31/2021,"-3,174,000","4,678,000","-1,520,000","9,370,000","122,000","126,000","-220,000","3,000","1,196,000","-1,500,000","-699,000","-3,394,000",-,
Bk,9,Bk,12/31/2020,"-865,000","-34,155,000","37,373,000","9,419,000","229,000","70,000","-266,000","580,000","748,000","-800,000","-584,000","-1,131,000",-,
Bk,10,Bk,9/30/2020,"778,000","14,446,000","-15,255,000","6,995,000","356,000","153,000","-333,000","3,000","-1,000","-1,400,000",0,"445,000",-,
Bk,11,Bk,6/30/2020,"6,810,000","19,855,000","-29,490,000","6,986,000","571,000","162,000","-359,000","993,000","1,248,000","-1,250,000","-3,000","6,451,000",-,
Bk,12,Bk,3/31/2020,"-1,685,000","-78,601,000","82,880,000","9,805,000","185,000","851,000","-264,000","3,000","998,000","-1,750,000","-985,000","-1,949,000",-,
Bk,13,Bk,12/31/2019,"-2,471,000","-5,318,000","6,005,000","7,267,000","292,000","872,000","-98,000","2,000","747,000","-1,000,000","-1,041,000","-2,569,000",-,
Bk,14,Bk,9/30/2019,"5,081,000","6,156,000","-9,791,000","8,992,000","236,000","1,290,000","-395,000","3,000","998,000","-1,500,000","-981,000","4,686,000",-,
Bk,15,Bk,6/30/2019,"-1,565,000","-32,196,000","33,082,000","7,592,000","361,000","1,116,000","-453,000","3,000","1,248,000","-1,250,000","-750,000","-2,018,000",-,
Bk,16,Bk,3/31/2019,"-949,000","20,810,000","-19,837,000","8,293,000","100,000","1,122,000","-264,000","13,000",0,"-1,500,000","-555,000","-1,213,000",-,
Bk,17,Bk,12/31/2018,"3,184,000","-14,718,000","13,458,000","8,258,000","284,000","916,000","-289,000","10,000","999,000","-250,000","-1,372,000","2,895,000",-,
Bk,18,Bk,9/30/2018,"1,244,000","2,803,000","-4,721,000","6,349,000","263,000","749,000","-314,000","10,000","1,153,000","-1,200,000","-602,000","930,000",-,
Bk,19,Bk,6/30/2018,"2,420,000","16,644,000","-17,806,000","7,020,000","322,000","563,000","-332,000","8,000","1,246,000","724,000","-651,000","2,088,000",-,
Bk,20,Bk,3/31/2018,"-852,000","-1,430,000","971,000","5,872,000","114,000","483,000","-173,000","12,000","1,745,000","-2,924,000","-644,000","-1,025,000",-,
Bk,21,Bk,12/31/2017,"1,291,000","-17,047,000","15,549,000","5,382,000","182,000","312,000","-264,000","10,000","-1,000","-250,000","-651,000","1,027,000",-,
Bk,22,Bk,9/30/2017,"5,205,000","-575,000","-3,842,000","5,557,000","96,000","336,000","-211,000","10,000","749,000",0,"-650,000","4,994,000",-,
Bk,23,Bk,6/30/2017,"-622,000","-11,137,000","11,041,000","4,725,000","120,000","174,000","-436,000","7,000","1,747,000","-500,000","-506,000","-1,058,000",-,
Bk,24,Bk,3/31/2017,"-1,233,000","-2,291,000","4,032,000","5,366,000","100,000","211,000","-286,000","7,000","2,243,000","-296,000","-879,000","-1,519,000",-,
Bk,25,Bk,12/31/2016,"4,689,000","30,145,000","-34,872,000","4,822,000","413,000","35,000","-330,000","7,000","1,247,000","-500,000","-848,000","4,359,000",-,
Bk,26,Bk,9/30/2016,"95,000","-4,638,000","3,528,000","4,957,000","374,000","130,000","-146,000","997,000","1,992,000","-1,003,000","-464,000","-51,000",-,
Bk,27,Bk,6/30/2016,"-332,000","5,616,000","-3,219,000","5,809,000","140,000","71,000","-201,000","7,000","1,993,000","-250,000","-509,000","-533,000",-,
Bk,28,Bk,3/31/2016,"1,794,000","20,080,000","-24,487,000","3,928,000","83,000","170,000","-148,000","6,000","997,000","-1,200,000","-577,000","1,646,000",-,
Bk,29,Bk,12/31/2015,"142,000","-19,539,000","17,700,000","6,537,000","269,000","10,000","-174,000","6,000","796,000","-577,000","-431,000","-32,000",-,
Bk,30,Bk,9/30/2015,"1,351,000","17,802,000","-19,344,000","8,234,000","98,000","126,000","-115,000","7,000","1,398,000","-693,000","-690,000","1,236,000",-,
Bk,31,Bk,6/30/2015,"2,698,000","-7,747,000","6,242,000","8,353,000","110,000","25,000","-150,000","997,000","799,000","-778,000","-834,000","2,548,000",-,
Bk,32,Bk,3/31/2015,"-64,000","-10,303,000","10,587,000","7,167,000","538,000","134,000","-162,000","6,000","1,993,000","-2,005,000","-400,000","-226,000",-,
Bk,33,Bk,12/31/2014,"1,186,000","-1,016,000","418,000","6,970,000","849,000","53,000","-196,000","6,000",0,"-1,455,000","-432,000","990,000",-,
Bk,34,Bk,9/30/2014,"913,000","15,659,000","-16,224,000","6,410,000","246,000","122,000","-215,000","7,000","1,995,000","-600,000","-431,000","698,000",-,
Bk,35,Bk,6/30/2014,"3,440,000","-33,719,000","30,352,000","6,173,000","194,000","72,000","-179,000","7,000","1,246,000","-1,617,000","-431,000","3,261,000",-,
Bk,36,Bk,3/31/2014,"-1,055,000","7,401,000","-6,717,000","6,092,000","74,000","97,000","-201,000","6,000","1,445,000","-704,000","-375,000","-1,256,000",-,
Bk,37,Bk,12/31/2013,"-587,000","-4,663,000","4,377,000","6,460,000","95,000","61,000","-237,000","6,000","1,196,000","-238,000","-321,000","-824,000",-,
Bk,38,Bk,9/30/2013,"904,000","-7,905,000","7,313,000","7,304,000","130,000","108,000","-114,000","7,000","1,199,000","-1,037,000","-122,000","790,000",-,
Bk,39,Bk,6/30/2013,"1,785,000","-7,893,000","8,686,000","6,940,000","111,000","83,000","-132,000","500,000",0,"-1,389,000","-331,000","1,653,000",-,
