,,Unnamed: 0,Breakdown,Total Revenue,Pretax Income,Tax Provision,Net Income Common Stockholders,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items,Credit Losses Provision,Non Interest Expense,Special Income Charges,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Total Money Market Investments,Income from Associates & Other Participating Interests,Rent Expense Supplemental,Other Non Operating Income Expenses,Earnings from Equity Interest Net of Tax,Operating Income
FCNCA,62,FCNCA,12/31/2007,"198,164","40,083","13,920","26,163",,"26,163",-,-,-,-,"26,163","26,163","230,827","109,197","121,630","12,736","26,163",-,-,0,0,,,,,,,-,,,
FCNCA,63,FCNCA,9/30/2007,"198,220","33,981","11,362","22,619",,"22,619",2.17,2.17,"10,434","10,434","22,619","22,619","232,120","111,185","120,935","12,617","22,619",-,-,0,0,,,,,,,-,,,
FCNCA,64,FCNCA,6/30/2007,"192,900","48,397","17,546","30,851",,"30,851",2.96,2.96,"10,434","10,434","30,851","30,851","221,932","103,884","118,048","12,393","30,851",-,-,0,0,,,,,,,-,,,
FCNCA,65,FCNCA,3/31/2007,"187,815","45,093","16,109","28,984",,"28,984",2.78,2.78,"10,434","10,434","28,984","28,984","216,061","99,448","116,613","12,043","28,984",-,-,0,0,,,,,,,-,,,
FCNCA,66,FCNCA,12/31/2006,"188,268","48,662","15,467","33,195",,"33,195",-,-,-,-,"33,195","33,195","218,102","101,215","116,887","11,641","33,195",-,-,0,0,,,,,,,-,,,
FCNCA,67,FCNCA,9/30/2006,"190,482","51,804","18,877","32,927",,"32,927",3.16,3.16,"10,434","10,434","32,927","32,927","214,650","96,773","117,877","11,298","32,927",-,-,0,0,,,,,,,-,,,
FCNCA,68,FCNCA,6/30/2006,"188,542","50,362","18,650","31,712",,"31,712",3.04,3.04,"10,434","10,434","31,712","31,712","202,499","83,566","118,933","11,309","31,712",-,-,0,0,,,,,,,-,,,
FCNCA,69,FCNCA,3/31/2006,"183,567","45,118","16,461","28,657",,"28,657",2.75,2.75,"10,434","10,434","28,657","28,657","190,001","72,183","117,818","11,049","28,657",-,-,0,0,,,,,,,-,,,
FCNCA,70,FCNCA,12/31/2005,"182,675","43,702","15,866","27,836",,"27,836",-,-,-,-,"27,836","27,836","183,949","66,731","117,218","12,489","27,836",-,-,0,0,,,,,,,-,,,
FCNCA,71,FCNCA,9/30/2005,"182,334","46,458","16,505","29,953",,"29,953",2.87,2.87,"10,434","10,434","29,953","29,953","173,534","59,306","114,228","11,282","29,953",-,-,0,0,,,,,,,-,,,
FCNCA,72,FCNCA,6/30/2005,"179,236","48,291","18,215","30,076",,"30,076",2.88,2.88,"10,434","10,434","30,076","30,076","160,206","49,536","110,670","11,852","30,076",-,-,0,0,,,,,,,-,,,
FCNCA,73,FCNCA,3/31/2005,"166,890","40,219","15,222","24,997",,"24,997",2.40,2.40,"10,434","10,434","24,997","24,997","148,245","42,578","105,667","11,905","24,997",-,-,0,0,,,,,,,-,,,
FCNCA,74,FCNCA,12/31/2004,"166,071","38,380","13,608","24,772",,"24,772",-,-,-,-,"24,772","24,772","141,352","38,159","103,193","12,541","24,772",-,-,0,0,,,,,,,-,,,
FCNCA,75,FCNCA,9/30/2004,"161,725","33,372","16,504","16,868",,"16,868",1.62,1.62,"10,434","10,434","16,868","16,868","131,411","33,320","98,091","12,664","16,868",-,-,0,0,,,,,,,-,,,
FCNCA,76,FCNCA,6/30/2004,"156,441","25,176","9,304","15,872",,"15,872",1.52,1.52,"10,436","10,436","15,872","15,872","124,660","31,120","93,540","13,412","15,872",-,-,0,0,,,,,,,-,,,
FCNCA,77,FCNCA,3/31/2004,"154,010","27,267","9,936","17,331",,"17,331",1.66,1.66,"10,436","10,436","17,331","17,331","123,694","31,227","92,467","14,507","17,331",-,-,0,0,,,,,,,-,,,
FCNCA,78,FCNCA,12/31/2003,"150,438","26,475","9,901","16,574",,"16,574",-,-,-,-,"16,574","16,574","125,343","32,301","93,042","14,515","16,574",0,0,0,0,,,,,,,-,,,
FCNCA,79,FCNCA,9/30/2003,"153,519","28,219","8,672","19,547",,"19,547",1.87,1.87,"10,436","10,436","19,547","19,547","124,887","34,573","90,314","15,662","19,547",-,-,0,0,,,,,,,-,,,
FCNCA,80,FCNCA,6/30/2003,"156,616","33,449","12,677","20,772",,"20,772",1.98,1.98,"10,466","10,466","20,772","17,226","129,173","39,505","89,668","15,967","20,772","5,710","5,710",0,"2,164",,,,,,,-,,,
FCNCA,81,FCNCA,3/31/2003,"145,303","28,458","10,164","18,294",,"18,294",1.75,1.75,"10,472","10,472","18,294","18,294","131,074","42,158","88,916","15,867","18,294",-,-,0,0,,,,,,,-,,,
FCNCA,82,FCNCA,12/31/2002,"149,414","37,452","13,142","24,310",,"24,310",-,-,-,-,"24,310","24,310","140,508","47,712","92,796","9,256","24,310",-,-,0,0,,,,,,,-,,,
FCNCA,83,FCNCA,9/30/2002,"150,897","34,393","12,275","22,118",,"22,118",2.27,2.27,"10,478","10,478","22,118","22,118","147,742","52,127","95,615","42,184","22,118",-,-,0,0,,,,,,,-,,,
FCNCA,84,FCNCA,6/30/2002,"151,988","35,874","12,744","23,130",,"23,130",2.37,2.37,"10,465","10,465","23,130","23,130","151,771","55,042","96,729","-4,663","23,130",-,-,0,0,,,,,,,-,,,
FCNCA,85,FCNCA,3/31/2002,"151,241","35,824","12,626","23,198",,"23,198",2.37,2.37,"10,482","10,482","23,198","23,198","156,148","59,137","97,011","18,200","23,198",-,-,0,0,,,,,,,-,,,
FCNCA,86,FCNCA,12/31/2001,"147,933","33,577","12,260","21,317",,"21,317",-,-,-,-,"21,317","21,317","167,032","74,113","92,919","18,665","21,317",-,-,0,0,,,,,,,-,,,
FCNCA,87,FCNCA,9/30/2001,"145,316","32,733","11,977","20,756",,"20,756",1.98,1.98,"10,508","10,508","20,756","20,756","176,709","84,482","92,227","13,153","20,756",-,-,0,0,,,,,,,-,,,
FCNCA,88,FCNCA,6/30/2001,"145,829","34,513","12,509","22,004",,"22,004",2.09,2.09,"10,511","10,511","22,004","22,004","182,660","91,472","91,188","13,524","22,004",-,-,0,0,,,,,,,-,,,
FCNCA,89,FCNCA,3/31/2001,"145,394","36,918","14,059","22,859",,"22,859",2.17,2.17,"10,521","10,521","22,859","22,859","189,026","96,443","92,583","10,655","22,859",-,-,0,0,,,,,,,-,,,
FCNCA,90,FCNCA,12/31/2000,"141,958","37,814","13,826","23,988",,"23,988",-,-,-,-,"23,988","23,988","189,328","96,754","92,574","9,312","23,988",-,-,0,0,,,,,,,-,,,
FCNCA,91,FCNCA,9/30/2000,"158,815","53,361","20,006","33,355",,"33,355",3.17,3.17,"10,534","10,534","33,355","33,355","182,966","91,509","91,457","10,556","33,355",-,-,0,0,,,,,,,-,,,
FCNCA,92,FCNCA,6/30/2000,"135,803","34,875","13,421","21,454",,"21,454",2.03,2.03,"10,568","10,568","21,454","21,454","171,890","80,184","91,706","9,347","21,454",-,-,0,0,,,,,,,-,,,
FCNCA,93,FCNCA,3/31/2000,"130,956","31,210","11,696","19,514",,"19,514",1.84,1.84,"10,592","10,592","19,514","19,514","163,986","74,381","89,605","11,441","19,514",-,-,0,0,,,,,,,-,,,
FCNCA,94,FCNCA,12/31/1999,"130,600","31,300","12,000","19,300",,"19,300",-,-,-,-,"19,300","18,868","161,300","72,600","88,700","14,000","19,300",700,700,0,268.3706,,,,,,,-,,,
FCNCA,95,FCNCA,9/30/1999,"135,600","37,200","14,100","23,100",,"23,100",2.18,2.18,"10,596","10,596","23,100","20,368","160,200","70,500","89,700","13,700","23,100","4,400","4,400",0,"1,668",,,,,,,-,,,
FCNCA,96,FCNCA,6/30/1999,"127,400","31,800","11,500","20,300",,"20,300",1.91,1.91,"10,628","10,628","20,300","19,981","157,000","68,900","88,100","13,900","20,300",500,500,0,180.8176,,,,,,,-,,,
FCNCA,97,FCNCA,3/31/1999,"123,900","30,000","11,000","19,000",,"19,000",1.79,1.79,"10,615","10,615","19,000","17,987","155,500","69,800","85,700","13,700","19,000","1,600","1,600",0,586.6667,,,,,,,-,,,
FCNCA,98,FCNCA,12/31/1998,"127,600","31,300","11,600","19,700",,"19,700",-,-,-,-,"19,700","19,700","158,100","73,100","85,000","13,000","19,700",-,-,0,0,,,,,,,-,,,
FCNCA,99,FCNCA,9/30/1998,"119,700","28,000","9,900","18,100",,"18,100",1.70,1.70,"10,647","10,647","18,100","17,454","157,400","73,900","83,500","17,100","18,100","1,000","1,000",0,353.5714,,,,,,,-,,,
FCNCA,100,FCNCA,6/30/1998,"116,300","26,800","9,300","17,500",,"17,500",1.68,1.68,"10,417","10,417","17,500","16,782","154,500","73,600","80,900","7,300","17,500","1,100","1,100",0,381.7164,,,,,,,-,,,
FCNCA,101,FCNCA,3/31/1998,"109,900","24,500","8,800","15,700",,"15,700",1.39,1.39,"11,295","11,295","15,700","14,995","149,500","71,500","78,000","11,300","15,700","1,100","1,100",0,395.102,,,,,,,-,,,
FCNCA,102,FCNCA,12/31/1997,"109,300","26,800","9,400","17,400",,"17,400",-,-,-,-,"17,400","17,400","150,200","72,800","77,400","2,100","17,400",-,-,0,0,,,,,,,-,,,
FCNCA,103,FCNCA,9/30/1997,"107,600","29,700","10,700","19,000",,"19,000",1.67,1.67,"11,377","11,377","19,000","19,000","145,500","69,000","76,500","9,500","19,000",-,-,0,0,,,,,,,-,,,
FCNCA,104,FCNCA,6/30/1997,"104,500","27,600","10,000","17,600",,"17,600",1.54,1.54,"11,429","11,429","17,600","17,600","140,100","64,500","75,600","8,500","17,600",-,-,0,0,,,,,,,-,,,
FCNCA,105,FCNCA,3/31/1997,"98,100","26,000","9,400","16,600",,"16,600",1.46,1.46,"11,370","11,370","16,600","16,600","136,400","61,700","74,700","8,200","16,600",-,-,0,0,,,,,,,-,,,
FCNCA,106,FCNCA,12/31/1996,"102,700","30,500","10,600","19,900",,"19,900",-,-,-,-,"19,900","19,900","137,600","63,000","74,600","8,400","19,900",-,-,0,0,,,,,,,-,,,
FCNCA,107,FCNCA,9/30/1996,"99,000","19,000","6,600","12,400",,"12,400",1.08,1.08,"11,481","11,481","12,400","12,400","134,300","61,400","72,900","8,800","12,400",-,-,0,0,,,,,,,-,,,
FCNCA,108,FCNCA,6/30/1996,"96,500","26,000","9,600","16,400",,"16,400",1.43,1.43,"11,469","11,469","16,400","16,400","132,700","61,500","71,200","13,600","16,400",-,-,0,0,,,,,,,-,,,
FCNCA,109,FCNCA,3/31/1996,"91,000","26,200","9,400","16,800",,"16,800",1.52,1.52,"11,053","11,053","16,800","16,800","129,600","62,500","67,100","6,000","16,800",-,-,0,0,,,,,,,-,,,
FCNCA,110,FCNCA,12/31/1995,"87,200","24,700","8,400","16,300",,"16,300",-,-,-,-,"16,300","16,300","126,400","63,000","63,400","10,700","16,300",-,-,0,0,,,,,,,-,,,
FCNCA,111,FCNCA,9/30/1995,"86,000","24,500","8,700","15,800",,"15,800",1.49,1.49,"10,604","10,604","15,800","15,800","122,300","59,900","62,400","10,800","15,800",-,-,0,0,,,,,,,-,,,
FCNCA,112,FCNCA,6/30/1995,"83,800","19,400","6,800","12,600",,"12,600",1.19,1.19,"10,588","10,588","12,600","12,600","116,300","55,600","60,700","10,600","12,600",-,-,0,0,,,,,,,-,,,
FCNCA,113,FCNCA,3/31/1995,"81,600","18,700","6,500","12,200",,"12,200",1.17,1.17,"10,427","10,427","12,200","12,200","106,200","46,300","59,900","10,300","12,200",-,-,0,0,,,,,,,-,,,
FCNCA,114,FCNCA,12/31/1994,"80,700","19,800","6,800","13,000",,"13,000",-,-,-,-,"13,000","13,000","100,200","40,600","59,600","11,400","13,000",-,-,0,0,,,,,,,-,,,
FCNCA,115,FCNCA,9/30/1994,"79,400","20,800","7,100","13,700",,"13,700",1.37,1.37,"10,000","10,000","13,700","13,700","95,300","37,300","58,000","26,300","13,700",-,-,0,0,,,,,,,-,,,
FCNCA,116,FCNCA,6/30/1994,"76,500","20,500","7,100","13,400",,"13,400",1.36,1.36,"9,853","9,853","13,400","13,400","91,400","35,400","56,000","-1,900","13,400",-,-,0,0,,,,,,,-,,,
FCNCA,117,FCNCA,3/31/1994,"74,700","16,800","5,800","11,000",,"11,000",1.13,1.13,"9,735","9,735","11,000","11,000","89,200","34,900","54,300","11,500","11,000",-,-,0,0,,,,,,,-,,,
FCNCA,118,FCNCA,12/31/1993,"81,200","20,500","7,100","13,400",,"13,400",-,-,-,-,"13,400","13,400","93,700","36,700","57,000","10,700","13,400",-,-,0,0,,,,,,,-,,,
FCNCA,119,FCNCA,9/30/1993,"76,100","19,000","6,500","12,500",,"12,500",1.28,1.28,"9,766","9,766","12,500","12,500","90,900","34,000","56,900","15,400","12,500",-,-,0,0,,,,,,,-,,,
FCNCA,120,FCNCA,6/30/1993,"80,000","22,600","7,600","15,000",,"15,000",1.54,1.54,"9,740","9,740","15,000","15,000","89,600","33,500","56,100","3,900","15,000",-,-,0,0,,,,,,,-,,,
FCNCA,121,FCNCA,3/31/1993,"75,100","22,100","7,400","14,700",,"14,700",1.53,1.53,"9,608","9,608","14,700","14,700","90,600","33,800","56,800","3,800","14,700",-,-,0,0,,,,,,,-,,,
FCNCA,122,FCNCA,12/31/1992,"75,100","18,100","6,100","12,000",,"12,000",-,-,-,-,"12,000","12,000","93,100","35,700","57,400","3,100","12,000",-,-,0,0,,,,,,,-,,,
FCNCA,123,FCNCA,9/30/1992,"74,400","20,800","6,800","14,000",,"14,000",1.47,1.47,"9,524","9,524","14,000","14,000","95,800","40,000","55,800","3,200","14,000",-,-,0,0,,,,,,,-,,,
FCNCA,124,FCNCA,6/30/1992,"73,200","20,000","6,600","13,400",,"13,400",1.41,1.41,"9,504","9,504","13,400","13,400","99,600","44,400","55,200","2,400","13,400",-,-,0,0,,,,,,,-,,,
FCNCA,125,FCNCA,3/31/1992,"71,400","18,600","6,200","12,400",,"12,400",1.32,1.32,"9,394","9,394","12,400","12,400","101,900","50,500","51,400","4,000","12,400",-,-,0,0,,,,,,,-,,,
FCNCA,126,FCNCA,12/31/1991,"66,200","12,000","3,900","8,100",,"8,100",-,-,-,-,"8,100","8,100","108,100","61,100","47,000","6,500","8,100",-,-,0,0,,,,,,,-,,,
FCNCA,127,FCNCA,9/30/1991,"65,900","14,100","4,600","9,500",,"9,500",1.00,1.00,"9,500","9,500","9,500","9,500","110,200","63,200","47,000","3,300","9,500",-,-,0,0,,,,,,,-,,,
FCNCA,128,FCNCA,6/30/1991,"59,900","10,600","3,500","7,100",,"7,100",0.77,0.77,"9,221","9,221","7,100","7,100","101,000","59,200","41,800","2,800","7,100",-,-,0,0,,,,,,,-,,,
FCNCA,129,FCNCA,3/31/1991,"54,500","6,600","2,100","4,500",,"4,500",0.49,0.49,"9,184","9,184","4,500","4,500","102,700","62,300","40,400","2,700","4,500",-,-,0,0,,,,,,,-,,,
FCNCA,130,FCNCA,12/31/1990,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,,
FCNCA,131,FCNCA,9/30/1990,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,,
FCNCA,132,FCNCA,6/30/1990,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,,
FCNCA,133,FCNCA,3/31/1990,-,-,-,-,,-,0.77,0.77,"9,327","9,327",-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,,
OVLY,0,OVLY,ttm,"65,647","29,689","6,787","22,902",,"22,902",-,-,-,-,"22,902","22,902",,,,"1,151","22,902",-,-,0,0.0,"1,350","37,308",-,"61,426","8,153",,,,,
OVLY,1,OVLY,3/31/2023,"21,198","11,901","2,676","9,225",,"9,225",1.13,1.12,"8,183","8,227","9,225","9,225",,,,-,"9,225",-,-,0,0.0,460,"9,757",-,"20,003",-,,,,,
OVLY,2,OVLY,12/31/2022,"20,534","12,473","2,998","9,475",,"9,475",1.16,1.15,"8,176","8,214","9,475","9,475",,,,163,"9,475",-,-,0,0.0,"1,550","9,611",-,"20,663","4,115",,,,,
OVLY,3,OVLY,9/30/2022,"18,383","8,813","2,013","6,800",,"6,800",0.83,0.83,"8,173","8,206","6,800","6,800",,,,321,"6,800",-,-,0,0.0,-200,"9,370",-,"16,572","2,920",,,,,
OVLY,4,OVLY,6/30/2022,"14,604","5,399","1,141","4,258",,"4,258",0.52,0.52,"8,170","8,201","4,258","4,258",,,,334,"4,258",-,-,0,0.0,0,"9,205",-,"13,233",853,,,,,
OVLY,5,OVLY,3/31/2022,"12,126","3,004",635,"2,369",,"2,369",0.29,0.29,"8,158","8,197","2,369","2,369",,,,333,"2,369",-,-,0,0.0,0,"9,122",-,"10,958",266,,,,,
OVLY,6,OVLY,12/31/2021,"12,851","4,609","1,143","3,466",,"3,466",0.43,0.42,"8,060","8,252","3,466","3,466",,,,333,"3,466",-,-,0,0.0,635,"8,877",-,"11,944",280,,,,,
OVLY,7,OVLY,9/30/2021,"14,599","6,192","1,638","4,554",,"4,554",0.56,0.56,"8,148","8,183","4,554","4,554",,,,325,"4,554",-,-,0,0.0,0,"8,407",-,"13,296",217,,,,,
OVLY,8,OVLY,6/30/2021,"13,393","5,178","1,218","3,960",,"3,960",0.49,0.48,"8,146","8,178","3,960","3,960",,,,334,"3,960",-,-,0,0.0,0,"8,215",-,"11,988",83,,,,,
OVLY,9,OVLY,3/31/2021,"13,418","5,698","1,341","4,357",,"4,357",0.54,0.53,"8,135","8,166","4,357","4,357",,,,334,"4,357",-,-,0,0.0,0,"7,720",-,"12,242",55,,,,,
OVLY,10,OVLY,12/31/2020,"13,408","5,706","1,057","4,649",,"4,649",0.57,0.57,"8,129","8,156","4,649","4,649",,,,329,"4,649",-,-,0,0.0,338,"8,040",-,"12,466",46,,,,,
OVLY,11,OVLY,9/30/2020,"12,683","4,989","1,241","3,748",,"3,748",0.46,0.46,"8,126","8,134","3,748","3,748",,,,296,"3,748",-,-,0,0.0,-193,"7,501",-,"11,262",29,,,,,
OVLY,12,OVLY,6/30/2020,"12,169","3,435",854,"2,581",,"2,581",0.32,0.32,"8,124","8,130","2,581","2,581",,,,309,"2,581",-,-,0,0.0,"-1,860","6,874",-,"9,286",33,,,,,
OVLY,13,OVLY,3/31/2020,"11,512","3,613",904,"2,709",,"2,709",0.33,0.33,"8,115","8,135","2,709","2,709",,,,265,"2,709",-,-,0,0.0,-450,"7,449",-,"9,778",409,,,,,
OVLY,14,OVLY,12/31/2019,"11,604","4,248","1,057","3,191",,"3,191",0.39,0.39,"8,108","8,127","3,191","3,191",,,,275,"3,191",0,0,0,0.0,-210,"7,146",-,"10,140",490,,,,,
OVLY,15,OVLY,9/30/2019,"11,720","4,323","1,092","3,231",,"3,231",0.40,0.40,"8,105","8,120","3,231","3,231",,,,276,"3,231",0,0,0,0.0,-240,"7,157",-,"10,205",488,,,,,
OVLY,16,OVLY,6/30/2019,"11,370","3,965","1,002","2,963",,"2,963",0.37,0.37,"8,103","8,117","2,963","2,963",,,,268,"2,963",0,0,0,0.0,-95,"7,310",-,"10,033",371,,,,,
OVLY,17,OVLY,3/31/2019,"11,386","4,153","1,049","3,104",,"3,104",0.38,0.38,"8,093","8,102","3,104","3,104",,,,272,"3,104",0,0,0,0.0,0,"7,233",-,"10,111",567,,,,,
OVLY,18,OVLY,12/31/2018,"11,411","3,935",956,"2,979",,"2,979",0.37,0.37,"8,087","8,097","2,979","2,979",,,,273,"2,979",0,0,0,0.0,-555,"6,921",-,"9,624",825,,,,,
OVLY,19,OVLY,9/30/2018,"11,081","4,261","1,096","3,165",,"3,165",0.39,0.39,"8,084","8,104","3,165","3,165",,,,297,"3,165",0,0,0,0.0,0,"6,820",-,"9,944",762,,,,,
OVLY,20,OVLY,6/30/2018,"10,338","3,433",842,"2,591",,"2,591",0.32,0.32,"8,080","8,098","2,591","2,591",,,,311,"2,591",0,0,0,0.0,0,"6,905",-,"9,327",641,,,,,
OVLY,21,OVLY,3/31/2018,"10,449","3,717",915,"2,802",,"2,802",0.35,0.35,"8,075","8,077","2,802","2,802",,,,306,"2,802",193,193,0,0.0,0,"6,732",-,"9,117",608,,,,,
OVLY,22,OVLY,12/31/2017,"10,216","3,749","2,160","1,589",,"1,589",0.20,0.20,"7,945","7,945","1,589","1,589",,,,277,"1,589",-,-,0,0.0,-245,"6,222",-,"8,778",448,,,,,
OVLY,23,OVLY,9/30/2017,"9,896","3,766","1,298","2,468",,"2,468",0.31,0.31,"8,065","8,083","2,468","2,468",,,,287,"2,468",-,-,0,0.0,-70,"6,060",-,"8,550",456,,,,,
OVLY,24,OVLY,6/30/2017,"10,491","4,380","1,550","2,830",,"2,830",0.35,0.35,"8,062","8,080","2,830","2,830",,,,268,"2,830",-,-,0,0.0,-35,"6,076",-,"8,420",393,,,,,
OVLY,25,OVLY,3/31/2017,"9,553","3,346","1,139","2,207",,"2,207",0.27,0.27,"8,042","8,072","2,207","2,207",,,,292,"2,207",-,-,0,0.0,0,"6,207",-,"8,082",316,,,,,
OVLY,26,OVLY,12/31/2016,"9,291","3,205",883,"2,322",,"2,322",0.29,0.29,"8,032","8,067","2,322","2,322",,,,304,"2,322",-,-,0,0.0,-69,"6,017",-,"7,980",192,,,,,
OVLY,27,OVLY,9/30/2016,"8,906","2,892",962,"1,930",,"1,930",0.24,0.24,"8,031","8,063","1,930","1,930",,,,302,"1,930",-,-,0,0.0,-90,"5,924",-,"7,739",173,,,,,
OVLY,28,OVLY,6/30/2016,"9,162","2,850",946,"1,904",,"1,904",0.24,0.24,"8,028","8,060","1,904","1,904",,,,319,"1,904",-,-,0,0.0,-125,"6,187",-,"7,981",152,,,,,
OVLY,29,OVLY,3/31/2016,"8,579","2,192",683,"1,509",,"1,509",0.19,0.19,"8,009","8,052","1,509","1,509",,,,327,"1,509",-,-,0,0.0,-200,"6,187",-,"7,342",185,,,,,
OVLY,30,OVLY,12/31/2015,"7,609",524,34,490,,490,0.06,0.06,"7,997","8,045",490,490,,,,315,490,-,-,0,0.0,0,"7,085",-,"6,647",102,,,,,
OVLY,31,OVLY,9/30/2015,"7,319","2,020",638,"1,382",,"1,382",0.17,0.17,"7,995","8,041","1,382","1,382",,,,304,"1,382",-155,-155,0,0.0,0,"5,299",-155,"6,354",80,,,,,
OVLY,32,OVLY,6/30/2015,"7,356","2,163",653,"1,510",,"1,510",0.19,0.19,"7,992","8,037","1,510","1,510",,,,292,"1,510",-,-,0,0.0,0,"5,193",-,"6,200",81,,,,,
OVLY,33,OVLY,3/31/2015,"7,228","2,254",728,"1,526",,"1,526",0.19,0.19,"7,972","8,025","1,526","1,526",,,,296,"1,526",-,-,0,0.0,125,"5,099",-,"6,326",74,,,,,
OVLY,34,OVLY,12/31/2014,"7,707","2,455",813,"1,642",,"1,642",0.21,0.20,"7,960","8,016","1,642","1,642",,,,703,"1,642",-,-,0,0.0,0,"5,252",-,"6,621",53,,,,,
OVLY,35,OVLY,9/30/2014,"7,329","2,217",682,"1,535",,"1,535",0.19,0.19,"7,959","8,011","1,535","1,535",,,,172,"1,535",-,-,0,0.0,0,"5,112",-,"6,389",45,,,,,
OVLY,36,OVLY,6/30/2014,"7,102","3,990","1,453","2,537",,"2,537",0.32,0.32,"7,953","8,002","2,537","2,537",,,,-5.143,"2,537",-,-,0,0.0,"1,877","4,989",-,"8,052",61,,,,,
OVLY,37,OVLY,3/31/2014,"6,915","2,033",625.25,"1,408",,"1,408",0.18,0.18,"7,878","7,941","1,408","1,408",,,,304.143,"1,408",-,-,0,0.0,0,"4,881",-,"6,104",56.826,,,,,
OVLY,38,OVLY,12/31/2013,"7,184","2,516",809,"1,707",,"1,707",0.22,0.22,"7,803","7,859","1,707","1,707",,,,299.067,"1,707",-,-,0,0.0,0,"4,668",-,"6,372",58.072,,,,,
OVLY,39,OVLY,9/30/2013,"6,896","2,177",672,"1,505",,"1,505",0.19,0.19,"7,803","7,851","1,505","1,505",,,,283.259,"1,505",-,-,0,0.0,-100,"4,619",-,"5,930",54.583,,,,,
OVLY,40,OVLY,6/30/2013,"6,842","2,008",634,"1,374",,"1,374",0.18,0.18,"7,802","7,843","1,374","1,374",,,,287.583,"1,374",-,-,0,0.0,-100,"4,734",-,"5,924",59.108,,,,,
OVLY,41,OVLY,3/31/2013,"6,634","1,895",595,"1,232",,"1,232",0.16,0.16,"7,778","7,830","1,300","1,300",,,,289.782,"1,300",-,-,0,0.0,-100,"4,639",-,"5,749",64.13,,,,,
OVLY,42,OVLY,12/31/2012,"6,970","2,207",718,"1,405",,"1,405",0.18,0.18,"7,762","7,794","1,489","1,489",,,,290.004,"1,489",-,-,0,0.0,-250,"4,513",-,"5,865",64.519,,,,,
OVLY,43,OVLY,9/30/2012,"7,044","2,217",738,"1,395",,"1,395",0.18,0.18,"7,751","7,778","1,479","1,479",,,,283.566,"1,479",-,-,0,0.0,-300,"4,527",-,"5,954",34.895,,,,,
OVLY,44,OVLY,6/30/2012,"6,884","1,972",620.409,"1,238",,"1,238",0.16,0.16,"7,728","7,751","1,352","1,431",,,,244.308,"1,352",-116,-116,0,-36.4878,-300,"4,496",-116,"5,912",29.538,,,,,
OVLY,45,OVLY,3/31/2012,"7,095","2,198",737.234,"1,292",,"1,292",0.17,0.17,"7,723","7,744","1,461","1,461",,,,320.307,"1,461",-,-,0,0.0,-300,"4,597",-,"5,964",34.873,,,,,
OVLY,46,OVLY,12/31/2011,"6,971","2,412",915.381,"1,328",,"1,328",-,-,-,-,"1,497","1,497",,,,279.854,"1,497",-,-,0,0.0,-300,"4,259",-,"6,035",42.696,,,,,
OVLY,47,OVLY,9/30/2011,"7,103","2,595",845.565,"1,177",,"1,177",0.15,0.15,"7,705","7,731","1,749","1,749",,,,262.579,"1,749",-,-,0,0.0,-300,"4,208",-,"6,039",32.455,,,,,
OVLY,48,OVLY,6/30/2011,"6,980","2,279",829,"1,239",,"1,239",0.16,0.16,"7,714","7,745","1,450","1,450",,,,229.578,"1,450","-1,004","-1,004",0,0.0,-300,"4,401","-1,004","6,000",35.093,,,,,
OVLY,49,OVLY,3/31/2011,"6,877","1,751",585.376,955.065,,955.065,0.12,0.12,"7,711","7,742","1,165","1,331",,,,226.003,"1,165",-248.778,-248.778,0,-83.1759,-600,"4,277",-248.778,"5,605",31.889,,,,,
OVLY,50,OVLY,12/31/2010,"7,058","2,227",727.038,"1,290",,"1,290",-,-,-,-,"1,500","1,500",,,,236.063,"1,500",-,-,0,0.0,"-1,005","3,826",-,"5,338",32.35,,,,,
OVLY,51,OVLY,9/30/2010,"7,035","1,842",700.7,930.511,,930.511,0.12,0.12,"7,693","7,729","1,141","1,141",,,,249.474,"1,141",-,-,0,0.0,"-1,005","4,188",-,"5,354",16.716,,,,,
OVLY,52,OVLY,6/30/2010,"6,976","1,655",616.073,828.374,,828.374,0.11,0.11,"7,682","7,720","1,039","1,039",,,,234.928,"1,039",-,-,0,0.0,"-1,005","4,316",-,"5,239",5.823,,,,,
OVLY,53,OVLY,3/31/2010,"6,707","1,257",309.448,737.23,,737.23,0.10,0.10,"7,682","7,705",947.641,947.641,,,,236.89,947.641,-,-,0,0.0,"-1,005","4,445",-,"5,056",5.839,,,,,
OVLY,54,OVLY,12/31/2009,"6,697","1,048",312.595,524.919,,524.919,-,-,-,-,735.33,735.33,,,,258.436,735.33,-,-,0,0.0,-900,"4,749",-,"5,179",3.819,,,,,
