,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Home Loan Bank Stock,Customer Acceptances,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Defined Pension Benefit,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Other Payable,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,3/31/2023,"214,658,000","40,120,000","40,120,000","1,598,000",-,"38,522,000",-,-,"393,000",-,-,-,"530,000","19,527,000","85,000","10,381,000","9,061,000","134,520,000","136,125,000",-,"76,463,000","2,084,000","57,578,000",-,"1,605,000","2,163,000","772,000","2,163,000",-,"10,074,000","10,074,000",-,-,-,-,"10,074,000",-,"710,000","346,000","364,000","359,000","94,000","7,450,000","195,442,000","140,050,000","85,401,000","85,401,000","54,649,000","509,000",-,-,-,-,-,"1,009,000","1,009,000",-,"1,009,000","45,085,000","45,085,000",-,"7,000","9,298,000","19,216,000","19,216,000","896,000","881,000","15,000","14,885,000","4,104,000","-669,000",-,"64,301,000","881,000","18,335,000","7,000","18,506,000","64,429,000","17,625,000","46,094,000","5,974,000","14,520","14,520","8,345",-
1,12/31/2022,"109,298,000","5,543,000","5,543,000","518,000",-,"5,025,000",-,-,"197,000",-,-,-,"586,000","20,348,000","1,074,000","10,279,000","8,995,000","67,688,000","68,610,000",-,"24,105,000","2,066,000","42,439,000",-,"922,000","2,873,000","329,000","2,544,000",-,"9,957,000","11,151,000","352,000","1,458,000","840,000",-,"8,501,000","-1,194,000","511,000","346,000","165,000","343,000","60,000","1,192,000","99,636,000","89,408,000","64,486,000","64,486,000","24,922,000","436,000",-,-,-,-,-,"1,750,000","1,750,000",-,"1,750,000","4,459,000","4,459,000",-,-,"3,583,000","9,662,000","9,662,000","896,000","881,000","15,000","5,392,000","4,109,000","-735,000",-,"14,121,000","881,000","8,781,000",-,"9,151,000","14,990,000","8,270,000","6,209,000","666,000","14,506","14,506","8,345",-
2,9/30/2022,"109,310,000","6,653,000","6,653,000","481,000",-,"6,172,000",-,-,-,-,-,-,"1,342,000","18,841,000","92,000","9,661,000","9,088,000","66,724,000","67,606,000",-,"24,288,000","1,997,000","41,321,000",-,"882,000","2,184,000",-,"2,184,000",-,"9,394,000","9,394,000",-,-,-,-,"9,394,000",-,"491,000","346,000","145,000",-,"21,000","3,660,000","99,477,000","87,553,000","60,966,000","60,966,000","26,587,000","578,000",-,-,-,-,-,"2,550,000","2,550,000",-,"2,550,000","5,215,000","5,207,000","3,250,000","8,000","3,581,000","9,833,000","9,833,000","896,000","881,000","15,000","5,160,000","4,506,000","-729,000",-,"15,040,000","881,000","8,952,000","8,000","9,342,000","16,709,000","8,461,000","7,765,000","1,104,000","14,976","14,976","8,345",-
3,6/30/2022,"107,673,000","7,059,000","7,059,000","583,000",-,"6,476,000",-,-,-,-,-,-,"1,334,000","19,136,000","94,000","9,832,000","9,210,000","64,707,000","65,557,000",-,"23,554,000","1,924,000","40,079,000",-,"850,000","2,178,000",-,"2,178,000",-,"9,386,000","9,386,000",-,-,-,-,"9,386,000",-,"496,000","346,000","150,000",-,"38,000","3,339,000","97,031,000","89,329,000","62,684,000","62,684,000","26,645,000","646,000",-,"646,000",-,-,-,-,-,-,-,"3,813,000","3,813,000","1,785,000",-,"3,243,000","10,642,000","10,642,000","897,000","881,000","16,000","4,865,000","5,345,000","-465,000",-,"14,455,000","881,000","9,761,000",-,"10,146,000","13,574,000","9,265,000","3,813,000",-,"16,002","16,002","8,345",-
4,3/31/2022,"108,597,000","9,808,000","9,808,000","523,000",-,"9,285,000",-,-,-,-,-,-,"1,326,000","19,469,000","100,000","10,074,000","9,295,000","62,456,000","63,304,000",-,"22,402,000","1,872,000","39,030,000",-,"848,000","2,220,000",-,"2,220,000",-,"9,403,000","9,403,000",-,-,-,-,"9,403,000",-,"502,000","346,000","156,000",-,"83,000","3,330,000","98,027,000","91,597,000","65,699,000","65,699,000","25,898,000","616,000",-,"616,000",-,-,-,-,-,-,-,"2,676,000","2,676,000","639,000",-,"3,138,000","10,570,000","10,570,000","897,000","881,000","16,000","4,634,000","5,344,000","-305,000",-,"13,246,000","881,000","9,689,000",-,"10,068,000","12,365,000","9,187,000","2,676,000",-,"16,002","16,002","21,800",-
5,12/31/2021,"58,308,140","337,814","337,814",-,-,"337,814",-,-,"40,450",-,"39,328",-,"113,391","22,225,068","97,528","3,809,453","18,318,087","32,291,770","32,470,263","98,741","6,204,473","1,879,116","23,950,309","32,371,522","178,493","134,237",-,"134,237","37,660","1,233,418","2,376,256","334,375","1,307,502","671,172",-,"63,207","-1,079,631","389,149","346,064","43,085","289,030",-,"1,657,356","53,570,899","51,406,094","30,001,286","30,001,286","21,404,808","589,101",-,"589,101",0,0,-,-,-,-,-,"1,194,378","1,194,378","644,659","4,311","381,326","4,737,241","4,737,241","349,753","339,937","9,816","4,377,712",-,"9,776",-,"5,931,619","339,937","4,397,304","4,311","4,348,092","5,591,682","4,008,155","1,194,378","856,564","9,816","9,816","13,800",-
6,9/30/2021,"56,901,977","337,450","337,450",-,-,"337,450",-,-,-,-,"40,649",-,-,"20,750,417","123,147","3,381,078","17,246,192","32,431,446","32,614,640","98,451","6,353,183","1,985,785","23,803,966","32,516,189","183,194","132,911",-,"132,911",-,"1,230,572",-,-,-,-,-,-,-,"394,440","350,298","44,142",-,-,"1,584,092","52,320,682","50,065,762","28,551,355","28,551,355","21,514,407","663,575",-,"663,575",0,0,-,-,-,-,-,"1,219,229","1,219,229","645,663",-,"372,116","4,581,295","4,581,295","349,753","339,937","9,816","4,263,679",-,"-32,137",-,"5,800,524","339,937","4,241,358",-,"4,186,855","5,460,587","3,846,918","1,219,229","881,779","9,816","9,816",345,"8,184"
7,6/30/2021,"55,175,318","395,364","395,364",-,-,"395,364",-,-,-,-,"43,685",-,-,"18,765,609","118,540","3,394,604","15,252,465","32,608,326","32,797,420","107,768","6,765,579","1,888,656","23,638,911","396,506","189,094","133,043",-,"133,043",-,"1,237,860",-,-,-,-,-,-,-,"397,737","350,298","47,439",-,-,"1,593,694","50,698,828","48,410,596","27,436,485","27,436,485","20,974,111","692,604",-,"692,604",0,0,-,-,-,-,-,"1,224,488","1,224,488","646,667",-,"371,140","4,476,490","4,476,490","349,753","339,937","9,816","4,148,857",-,"-22,120",-,"5,700,978","339,937","4,136,553",-,"4,078,753","5,361,041","3,738,816","1,224,488","829,124","9,816","9,816",345,-
8,3/31/2021,"53,908,606","410,495","410,495",-,-,"410,495",-,-,-,-,"48,512",-,-,"17,810,864","10,222,107","2,808,099","7,588,757","32,970,200","33,180,851","129,334","7,716,351","1,810,263","23,221,464","33,180,851","210,651","148,022",-,"148,022",-,"1,238,874",-,-,-,-,-,-,-,"401,845","350,298","51,547",-,-,"2,717,047","49,587,206","47,330,997","26,815,855","26,815,855","20,515,142","680,705",-,"680,705",0,0,-,-,-,-,-,"1,230,326","1,230,326","648,671",-,"2,256,209","4,321,400","4,321,400","349,753","339,937","9,816","4,005,318",-,"-33,671",-,"5,551,726","339,937","4,321,400",-,"4,321,400","5,211,789","4,321,400","1,230,326","819,831","18,000","9,816",345,"8,184"
9,12/31/2020,"49,957,680","362,048","362,048",-,-,"362,048",-,-,-,-,"50,890",-,-,"14,270,241","9,922,905","2,816,982","4,347,336","32,567,661","32,791,975","124,837","7,419,935","1,808,370","23,100,788","32,791,975","224,314","145,694",-,"145,694",-,"1,251,283","2,261,459","336,258","1,286,092","639,109",-,-,"-1,010,176","401,073","350,298","50,775",-,-,"2,757,730","45,728,412","43,431,609","25,417,580","25,417,580","18,014,029","641,487",-,"641,487","15,601","15,601","15,601",-,-,-,-,"1,248,163","1,248,163","655,175",-,"2,296,803","4,229,268","4,229,268","349,753","339,937","9,816","3,867,252",0,"12,263",-,"5,477,431","339,937","4,229,268",-,"4,229,268","5,137,494","4,229,268","1,248,163","886,115","18,000","9,816",345,"8,184"
10,9/30/2020,"48,666,873","352,419","352,419",-,-,"352,419",-,-,-,-,"52,789",-,-,"12,998,539","93,074","747,732","12,157,733","32,741,513","32,965,449","120,305","7,910,020","1,778,332","22,660,914","495,878","223,936","151,737",-,"151,737",-,"1,255,250",-,-,-,-,-,-,-,"404,468","350,298","54,170",-,-,"48,314,454","44,647,798","41,905,844","24,016,045","24,016,045","18,234,561","693,889",-,"693,889","15,313","15,313","15,313",-,-,-,-,"1,252,016","1,252,016","655,179",-,"2,741,954","4,019,075","4,019,075","349,753","339,937","9,816","3,738,417",0,"-13,756",-,"5,326,430","339,937","4,019,075",-,"4,019,075","4,986,493","4,019,075","1,252,016","899,597","9,816","9,816",345,"8,184"
11,6/30/2020,"47,866,194","389,233","389,233","389,233",-,"389,233",-,-,-,-,"53,850",-,-,"12,616,051","114,316","774,878","11,726,857","32,303,856","32,526,306","107,881","7,735,388","1,738,859","22,413,527","530,651","222,450","175,496",-,"175,496",-,"1,255,688",-,-,-,-,-,-,-,"408,904","350,298","58,606",-,-,"47,476,961","43,874,750","41,479,245","23,329,779","23,329,779","18,149,466","740,276",-,"740,276","15,025","15,025","15,025",-,-,-,-,"1,258,719","1,258,719","657,682",-,"2,395,505","3,991,444","3,991,444","349,871","339,937","9,934","3,651,237",0,"-9,664",-,"5,250,163","339,937","3,991,444",-,"3,991,444","4,910,226","3,991,444","1,258,719","869,486","9,934","9,934",345,-
12,3/31/2020,"41,594,453","454,220","454,220","454,220",-,"454,220",-,-,-,-,"55,707","55,707",-,"9,533,715","8,845,197","740,662","688,518","29,031,700","29,240,959","76,347","4,738,098","1,768,879","22,173,630","29,240,959","209,259","125,626",-,"125,626",-,"1,251,702",-,-,-,-,-,-,-,"413,968","350,084","63,884",-,-,"41,140,233","37,636,933","35,346,711","21,657,967","21,657,967","13,688,744","540,362",-,"540,362","14,737","14,737","14,737",-,-,-,-,"1,402,132","1,402,132","792,684",-,"2,290,222","3,957,520","3,957,520","10,283",3,"10,280","3,632,894","339,955","-25,612",-,"5,359,652",3,"3,957,520",-,"3,957,520","5,359,649","3,957,520","1,402,132","947,912","10,280","10,280",345,-
13,12/31/2019,"39,824,496","376,719","376,719","376,719",-,"376,719",-,-,-,-,"46,591","46,591",-,"8,280,847","82,333","30,996","1,107,844","28,724,224","28,949,365","67,869","4,713,885","1,780,404","21,828,491","558,716","225,141","123,154",-,"123,154",-,"1,244,396","2,159,367","335,093","1,228,588","595,686",-,-,"-914,971","417,674","349,398","68,276",-,-,"39,447,777","36,253,624","33,295,141","21,504,440","21,504,440","12,926,796","442,956",-,"442,956","112,395","112,395","112,395",-,-,-,-,"883,915","883,915","572,185",-,"2,958,483","3,570,872","3,570,872","10,629",0,"10,629","3,658,197","44,081","-126,723",-,"4,470,099",-,"3,570,872",-,"3,570,872","4,470,099","3,570,872","883,915","507,196","10,629","10,629",-,-
14,9/30/2019,"37,748,324","288,933","288,933","288,933",-,"288,933",-,-,-,-,"46,253","46,253",-,"8,117,579","116,854","2,145,943","949,899","27,052,942","27,279,767","83,256","4,431,175","1,757,235","20,494,512","513,589","226,825","117,123",-,"117,123",-,"1,222,659",-,-,-,-,-,-,-,"361,911","296,764","65,147",-,-,"37,459,391","34,168,089","32,647,264","19,776,387","19,776,387","12,966,890","522,195",-,"522,195","110,586","110,586","110,586",-,-,-,-,"453,876","453,876","192,672",-,"1,520,825","3,580,235","3,580,235","10,884",0,"10,884","3,560,580","168,790","-171,772",-,"4,022,358",-,"3,580,235",-,"3,580,235","4,022,358","3,580,235","453,876","164,943","10,884","10,884",-,-
15,6/30/2019,"37,655,094","284,147","284,147","284,147",-,"284,147",-,-,-,-,"46,236","46,236",-,"8,335,842","111,489","2,218,048","1,640,264","26,501,654","26,728,237","52,837","4,281,850","1,755,602","20,139,338","26,728,237","226,583","115,303",-,"115,303",-,"1,213,296",-,-,-,-,-,-,-,"366,339","296,764","69,575",-,-,"37,370,947","34,080,481","32,719,671","19,769,277","19,769,277","12,950,394","544,527",-,"544,527","108,892","108,892","108,892",-,-,-,-,"369,854","369,854","197,131",-,"1,360,810","3,574,613","3,574,613","11,180",0,"11,180","3,440,284","303,880","-180,731",-,"3,944,467",-,"3,574,613",-,"3,574,613","3,944,467","3,574,613","369,854","85,707","11,180","11,180",-,-
16,3/31/2019,"35,961,670","268,599","268,599","268,599",-,"268,599",-,-,-,-,"43,306","43,306",-,"8,301,038","6,914,513","2,214,829","1,386,525","25,235,010","25,463,785","53,232","4,160,423","1,734,415","19,011,591","25,463,785","228,775","113,812",-,"113,812",-,"1,203,674",-,-,-,-,-,-,-,"303,400","236,347","67,053",-,-,"2,157,023","32,438,361","31,198,093","18,821,180","18,821,180","12,376,913","508,508",-,"508,508","107,256","107,256","107,256",-,-,-,-,"341,108","341,108","189,594",-,"1,240,268","3,523,309","3,523,309","11,385",0,"11,385","3,325,335","393,449","-206,860",-,"3,864,417",-,"3,523,309",-,"3,523,309","3,864,417","3,523,309","341,108","72,509","11,385","11,385",-,-
17,12/31/2018,"35,408,629","327,440","327,440","327,440",-,"327,440",-,-,-,-,"48,030","48,030",-,"7,539,169","6,741,763","2,184,653","797,406","25,299,564","25,523,276","45,505","4,235,154","1,713,781","18,967,765","25,523,276","223,712","109,903",-,"109,903",-,"1,204,179","2,096,239","306,734","1,228,582","560,923",-,-,"-892,060","308,645","236,347","72,298",-,-,"2,242,456","31,919,675","30,672,460","18,789,790","18,789,790","11,882,670","543,936",0,"543,936","105,618","105,618","105,618","28,351","28,351",-,"28,351","319,867","306,707","165,205","13,160","1,247,215","3,488,954","3,488,954","11,628",0,"11,628","3,218,551","493,962","-235,187",-,"3,795,661",-,"3,488,954","13,160","3,488,954","3,824,012","3,488,954","348,218","7,618","11,628","11,628",-,-
18,9/30/2018,"34,954,659","262,525","262,525","262,525",-,"262,525",-,-,-,-,"43,601","43,601",-,"7,983,699","7,040,674","2,253,416","943,025","24,667,150","24,886,347","46,082","4,103,276","1,623,179","18,521,874","24,886,347","219,197","105,616",-,"105,616",-,"1,167,329",-,-,-,-,-,-,-,"280,965","208,217","72,748",-,-,"2,041,285","31,455,646","30,163,537","17,951,393","17,951,393","12,212,144",-,-,-,"104,576","104,576","104,576","687,749","687,749",-,"687,749","297,487","297,487",-,-,"1,292,109","3,499,013","3,499,013","11,885",0,"11,885","3,133,746","600,957","-247,575",-,"3,796,500",-,"3,499,013",-,"3,499,013","4,484,249","3,499,013","985,236","722,711","11,971","11,971",-,-
19,6/30/2018,"35,088,566","260,525","260,525","260,525",-,"260,525",-,-,-,-,"46,633","46,633",-,"8,413,856","7,190,545","2,299,774","1,223,311","24,313,572","24,538,437","58,961","4,007,532","1,552,928","18,303,708","24,538,437","224,865","99,567",-,"99,567",-,"1,167,532",-,-,-,-,-,-,-,"285,587","208,217","77,370",-,-,"2,100,613","31,641,680","30,408,884","18,227,167","18,227,167","12,181,717",-,-,-,"103,487","103,487","103,487","613,993","613,993",-,"613,993","241,360","241,360",-,-,"1,232,796","3,446,886","3,446,886","12,010",0,"12,010","3,020,596","658,918","-244,638",-,"3,688,246",-,"3,446,886",-,"3,446,886","4,302,239","3,446,886","855,353","594,828","12,010","12,010",-,-
20,3/31/2018,"34,436,437","248,139","248,139","248,139",-,"248,139",-,-,-,-,"48,089","48,089",-,"8,914,803","6,967,921",74,"1,946,882","23,388,861","23,611,977","46,660","3,892,639","1,556,202","18,163,136","23,611,977","223,116","96,607",-,"96,607",-,"1,140,820",-,-,-,-,-,-,-,"219,269","150,601","68,668",-,-,"1,884,634","31,064,323","29,969,245","17,968,504","17,968,504","12,000,741",-,-,-,"102,466","102,466","102,466","554,758","554,758",-,"554,758","194,413","194,413",-,-,"1,095,078","3,372,114","3,372,114","12,010",0,"12,010","2,931,509","658,918","-230,323",-,"3,566,527",-,"3,372,114",-,"3,372,114","4,121,285","3,372,114","749,171","501,032","12,010","12,010",-,-
21,12/31/2017,"34,527,512","336,150","336,150","336,150",-,"336,150",-,-,-,-,"51,097","51,097",-,"8,568,183","7,180,256",76,"1,387,927","23,374,932","23,596,825","51,179","3,935,441","1,563,363","18,098,021","23,596,825","221,893","95,249",-,"95,249",-,"1,138,431","1,938,756","290,990","1,158,699","489,067",-,-,"-800,325","223,697","150,601","73,096",-,-,"2,248,247","31,193,448","29,266,275","18,028,900","18,028,900","11,237,375","588,722","2,551","586,171","101,342","101,342","101,342","90,085","90,085",-,"90,085","885,240","877,445","745,221","7,795","1,927,173","3,334,064","3,334,064","12,010",-,"12,010","2,785,430","658,918","-122,294",-,"4,211,509",-,"3,334,064","7,795","3,334,064","4,301,594","3,334,064","975,325","631,380","12,010","12,010",-,-
22,9/30/2017,"34,584,154","296,386","296,386","296,386",-,"296,386",-,-,-,-,"53,988","53,988",-,"9,425,188","6,992,955",78,"2,432,233","22,917,231","23,149,073","70,803","3,851,904","1,513,824","17,783,345","23,149,073","231,842","90,821",-,"90,821",-,"1,131,558",-,-,-,-,-,-,-,"228,092","150,601","77,491",-,-,"1,945,349","31,270,323","29,333,949","17,850,916","17,850,916","11,483,033",-,-,-,"100,203","100,203","100,203","679,280","679,280",-,"679,280","866,123","866,123",-,-,"1,936,374","3,313,831","3,313,831","12,010",0,"12,010","2,735,227","658,918","-92,324",-,"4,179,954",-,"3,313,831",-,"3,313,831","4,859,234","3,313,831","1,545,403","1,249,017","12,010","12,010",-,-
23,6/30/2017,"34,769,850","556,772","556,772","556,772",-,"556,772",-,-,-,-,"60,781","60,781",-,"9,479,319","6,596,530",80,"2,882,789","22,642,667","22,871,465","154,534","3,904,338","1,477,229","17,489,898","22,871,465","228,798","86,640",-,"86,640",-,"1,129,993",-,-,-,-,-,-,-,"231,145","150,601","80,544",-,-,"2,091,092","31,529,999","29,456,338","18,280,757","18,280,757","11,175,581",-,-,-,"99,126","99,126","99,126","784,517","784,517",-,"784,517","879,957","879,957",-,-,"2,073,661","3,239,851","3,239,851","12,010",0,"12,010","2,671,766","658,918","-102,843",-,"4,119,808",-,"3,239,851",-,"3,239,851","4,904,325","3,239,851","1,664,474","1,107,702","12,010","12,010",-,-
24,3/31/2017,"34,018,405","502,273","502,273","502,273",-,"502,273",-,-,-,-,"56,491","56,491",-,"9,856,458","7,119,944",83,"2,736,514","21,685,506","21,906,449","49,952","3,668,502","1,431,373","16,806,574","21,906,449","220,943","80,456",-,"80,456",-,"1,123,838",-,-,-,-,-,-,-,"225,926","150,601","75,325",-,-,"1,974,168","30,917,709","29,002,768","18,205,155","18,205,155","10,797,613",-,-,-,"98,013","98,013","98,013","795,587","795,587",-,"795,587","727,500","727,500",-,-,"1,914,941","3,100,696","3,100,696","12,010",0,"12,010","2,540,709","658,918","-110,941",-,"3,828,196",-,"3,100,696",-,"3,100,696","4,623,783","3,100,696","1,523,087","1,020,814","12,010","12,010",-,-
25,12/31/2016,"32,990,836","539,741","539,741","539,741",-,"539,741",-,-,-,-,"61,231","61,231",-,"8,879,272","7,006,678",98,"1,872,594","21,519,083","21,737,878","74,401","3,747,581","1,447,910","16,542,387","21,737,878","218,795","4,172",-,"4,172",-,"1,133,044","1,859,822","285,612","1,130,650","443,560",-,-,"-726,778","228,641","150,601","78,040",-,-,"2,052,740","29,978,409","28,161,343","18,030,794","18,030,794","10,130,549","593,323","2,551","590,772","97,008","97,008","97,008","10,164","10,164",0,"10,164","832,942","827,241","660,237","5,701","1,817,066","3,012,427","3,012,427","12,010",0,"12,010","2,476,691","658,918","-135,192",-,"3,839,668",-,"3,012,427","5,701","3,012,427","3,849,832","3,012,427","843,106","297,664","12,010","12,010",-,-
26,9/30/2016,"32,971,910","495,705","495,705","495,705",-,"495,705",-,-,-,-,"68,964","68,964",-,"9,382,026","6,384,940",125,"2,997,086","21,085,030","21,296,980","95,910","3,651,720","1,404,992","16,240,268","21,296,980","211,950","3,108",-,"3,108",-,"1,134,562",-,-,-,-,-,-,-,"230,151","150,601","79,550",-,-,"2,009,149","29,888,162","27,925,253","17,679,579","17,679,579","10,245,674",-,-,-,"95,779","95,779","95,779","730,214","730,214",-,"730,214","840,266","840,266",-,-,"1,962,909","3,083,748","3,083,748","12,010",-,"12,010","2,427,604","658,918","-14,784",-,"3,924,014",-,"3,083,748",-,"3,083,748","4,654,228","3,083,748","1,570,480","1,074,775","12,010","12,010",-,-
27,6/30/2016,"32,230,403","507,569","507,569","507,569",-,"507,569",-,-,-,-,"67,089","67,089",-,"8,833,816","6,557,736",156,"2,276,080","20,534,563","20,742,571","84,795","3,552,302","1,281,622","15,908,647","20,742,571","208,008","5,281",-,"5,281",-,"1,120,970",-,-,-,-,-,-,-,"220,328","139,773","80,555",-,-,"2,354,455","29,194,699","27,257,774","17,477,848","17,477,848","9,779,926",-,-,-,"94,252","94,252","94,252","728,562","728,562",-,"728,562","850,504","850,504",-,-,"1,936,925","3,035,704","3,035,704","12,010",-,"12,010","2,379,803","658,918","-15,027",-,"3,886,208",-,"3,035,704",-,"3,035,704","4,614,770","3,035,704","1,579,066","1,071,497","12,010","12,010",-,-
28,3/31/2016,"32,195,657","457,758","457,758","457,758",-,"457,758",-,-,-,-,"65,068","65,068",-,"9,558,588","6,687,483",194,"2,871,105","20,210,906","20,417,689","66,988","3,501,717","1,230,969","15,685,003","20,417,689","206,783","7,474",-,"7,474",-,"1,127,371",-,-,-,-,-,-,-,"224,516","139,773","84,743",-,-,"1,968,405","29,234,463","27,365,245","17,703,804","17,703,804","9,661,441",-,-,-,"128,243","128,243","128,243","689,236","689,236",-,"689,236","779,087","779,087",-,-,"1,869,218","2,961,194","2,961,194","12,010",-,"12,010","2,314,090","658,918","-23,824",-,"3,740,281",-,"2,961,194",-,"2,961,194","4,429,517","2,961,194","1,468,323","1,010,565","12,010","12,010",-,-
29,12/31/2015,"31,475,934","534,086","534,086","534,086",-,"534,086",-,-,-,-,"65,559","65,559",-,"8,924,680","6,861,548",255,"2,063,132","20,033,774","20,239,990","59,766","3,431,758","1,222,094","15,586,138","20,239,990","206,216","4,054",-,"4,054",-,"1,135,829","1,810,954","279,932","1,089,644","441,378",-,-,"-675,125","230,759","139,773","90,986",-,-,"1,983,394","28,603,825","26,930,755","17,656,285","17,656,285","9,274,470","594,733","2,551","592,182","126,453","126,453","126,453",-,-,-,-,"704,155","694,929","520,252","9,226","1,673,070","2,872,109","2,872,109","12,010",-,"12,010","2,265,621","658,918","-64,440",-,"3,567,038",-,"2,872,109","9,226","2,872,109","3,567,038","2,872,109","704,155","160,843","12,010","12,010",-,-
30,9/30/2015,"31,449,824","546,444","546,444","546,444",-,"546,444",-,-,-,-,"69,859","69,859",-,"9,059,011","6,690,879",301,"2,368,132","19,650,343","19,855,806","71,874","3,280,758","1,194,555","15,380,493","19,855,806","205,463","9,276",-,"9,276",-,"1,123,828",-,-,-,-,-,-,-,"235,308","139,773","95,535",-,-,"2,194,026","28,587,296","26,719,375","17,547,846","17,547,846","9,171,529",-,-,-,"124,038","124,038","124,038","759,757","759,757",-,"759,757","705,418","705,418",-,-,"1,867,921","2,862,528","2,862,528","12,010",-,"12,010","2,226,476","658,918","-34,876",-,"3,567,946",-,"2,862,528",-,"2,862,528","4,327,703","2,862,528","1,465,175","918,731","12,010","12,010",-,-
31,6/30/2015,"30,896,855","514,404","514,404","514,404",-,"514,404",-,-,-,-,"73,248","73,248",-,"9,053,886","7,350,545",351,"1,703,341","19,311,868","19,520,185","85,040","3,204,467","1,167,425","15,148,293","19,520,185","208,317","5,808",-,"5,808",-,"1,121,421",-,-,-,-,-,-,-,"238,771","139,773","98,998",-,-,"2,016,697","28,102,965","26,511,896","17,541,840","17,541,840","8,970,056",-,-,-,"122,038","122,038","122,038","723,225","723,225",-,"723,225","475,568","475,568",-,-,"1,591,069","2,793,890","2,793,890","12,010",-,"12,010","2,174,121","658,918","-51,159",-,"3,269,458",-,"2,793,890",-,"2,793,890","3,992,683","2,793,890","1,198,793","684,389","12,010","12,010",-,-
32,3/31/2015,"30,853,649","495,901","495,901","495,901",-,"495,901",-,-,-,-,"89,992","89,992",-,"9,504,473","7,045,109",441,"9,504,032","18,952,712","19,158,265","66,508","3,057,884","1,131,802","14,902,071",-,"205,553","63,165",-,"63,165",-,"1,116,293",-,-,-,-,-,-,-,"241,677","139,773","101,904",-,-,"389,436","28,088,272","26,300,830","17,816,638","17,816,638","8,484,192",-,-,-,"118,645","118,645","118,645","941,850","941,850",-,"941,850","468,180","468,180",-,-,"258,767","2,765,377","2,765,377","12,010",-,"12,010","2,129,860","658,918","-35,411",-,"3,233,557",-,"2,765,377",-,"2,523,700","4,175,407","2,523,700","1,410,030","914,129","12,010","12,010",-,-
