,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Rental & Landing Fees,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Rent Expense Supplemental,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
38,12/31/2013,"3,484,000","761,000","846,000","210,000","210,000","503,000","119,000","14,000",-,"85,000","22,000","3,000","52,000","-3,000","11,000","2,723,000",-,"2,708,000","2,818,000","1,914,000","904,000","43,000","110,000",-,-,"146,000","15,000","15,000",-,-,"-6,000","2,765,000","395,000","154,000","241,000","344,000","1,522,000","1,522,000","1,522,000",-,"96,000",-,"82,000","82,000","82,000","82,000","422,000",-,"-2,000","2,000",-,-,"711,000","155,000","503,000","539,000","556,000","556,000",-,-,"-17,000","26,000","503,000",0.44,0.44,"1,142,861","1,147,961",-,"755,000","539,000","540,564","133,000","82,000","539,000","-2,000","-2,000",0,-436
39,9/30/2013,"3,659,000","772,000","855,000","210,000","210,000","523,000","109,000","13,000",-,"83,000","26,000","1,000","49,000","-4,000","11,000","2,887,000",-,"2,698,000","2,806,000","1,985,000","821,000","44,000","108,000",-,-,"160,000","189,000","189,000",-,-,"-2,000","2,655,000","379,000","153,000","226,000","296,000","1,516,000","1,516,000","1,516,000",-,"63,000",-,"81,000","81,000","81,000","81,000","383,000",-,"-16,000","16,000",-,-,"986,000","-2,000","949,000","980,000","988,000","988,000",-,-,"-8,000","13,000","949,000",0.82,0.82,"1,148,724","1,152,679",-,"770,000","980,000","990,400","122,000","81,000","980,000","-16,000","-16,000",0,"-5,600"
40,6/30/2013,"3,898,000","757,000","836,000","211,000","211,000","516,000","99,000","10,000",-,"79,000","27,000","1,000","44,000","-6,000","13,000","3,141,000",-,"2,775,000","2,886,000","2,038,000","848,000","44,000","111,000",-,-,"207,000","366,000","366,000",-,-,"19,000","2,698,000","397,000","159,000","238,000","317,000","1,509,000","1,509,000","1,509,000",-,"90,000",-,"93,000","93,000","93,000","93,000","382,000",-,"-13,000","13,000",-,-,"1,206,000","321,000","818,000","845,000","885,000","885,000",-,-,"-40,000","12,000","818,000",0.71,0.71,"1,152,545","1,155,981",-,"776,000","845,000","854,490","109,000","93,000","845,000","-13,000","-13,000",0,"-3,510"
41,3/31/2013,"3,507,000","719,000","815,000","203,000","203,000","500,000","102,000","10,000",-,"96,000","30,000","2,000","56,000","-3,000","11,000","2,788,000",-,"2,618,000","2,724,000","1,902,000","822,000","41,000","106,000",-,-,"161,000","170,000","170,000",-,-,"24,000","2,683,000","391,000","163,000","228,000","295,000","1,472,000","1,472,000","1,472,000",-,"68,000",-,"86,000","86,000","86,000","86,000","439,000",-,"-39,000","39,000",-,-,"809,000","1,046,000","-269,000","-253,000","-237,000","-237,000",-,-,"-16,000","13,000","-269,000",-0.23,-0.23,"1,158,819","1,158,819",-,"743,000","-253,000","-223,360","112,000","86,000","-253,000","-39,000","-39,000",0,"-9,360"
42,12/31/2012,"3,617,000","725,000","725,000","208,000","208,000","507,000","119,000","9,000",-,"118,000","32,000","4,000","71,000","2,000","9,000","2,892,000",-,"2,684,000","2,684,000","1,831,000","853,000","45,000","108,000",-,-,"139,000","208,000","208,000",-,-,"61,000","2,779,000","389,000","156,000","233,000","322,000","1,457,000","1,457,000","1,457,000",-,"88,000",-,"96,000","96,000","96,000","96,000","2,683,000",-,"-46,000","46,000",-,-,"853,000","207,000","622,000","635,000","646,000","646,000",0,-,"-11,000","13,000","622,000",0.53,0.53,"1,161,212","1,163,753",-,"786,000","635,000","669,822","128,000","96,000","635,000","-46,000","-46,000",0,"-11,178"
43,9/30/2012,"3,566,000","749,000","877,000","209,000","209,000","528,000","132,000","8,000",-,"128,000","36,000","2,000","85,000","-2,000","7,000","2,817,000",-,"2,624,000","2,733,000","1,954,000","779,000","46,000","109,000","47,000",-,"182,000","193,000","193,000",-,"124,000","5,000","2,570,000","357,000","149,000","208,000","292,000","1,436,000","1,436,000","1,436,000",-,"60,000","109,000","95,000","95,000","95,000","95,000","390,000",-,"-26,000","26,000",-,-,"975,000","225,000","709,000","725,000","750,000","750,000",-,-,"-25,000","5,000","709,000",0.61,0.61,"1,169,674","1,171,534",-,"754,000","725,000","745,000","140,000","95,000","725,000","-26,000","-26,000",0,"-6,000"
44,6/30/2012,"3,617,000","734,000","875,000","211,000","211,000","523,000","132,000","9,000",-,"141,000","43,000","14,000","84,000",-,-,"2,883,000",-,"2,548,000","2,548,000",-,"797,000","1,751,000",-,"57,000",-,"180,000","50,000","50,000",-,"48,000","19,000","2,669,000","141,000","141,000","82,000","309,000","1,727,000","1,727,000","1,415,000",-,"312,000","103,000","97,000","97,000","97,000","97,000","395,000",-,"-378,000","378,000",-,-,"589,000","93,000","458,000","466,000","496,000","496,000",-,-,"-30,000",-,"458,000",0.39,0.39,"1,181,350","1,182,985",-,"753,000","466,000","784,316","141,000","97,000","466,000","-378,000","-378,000",0,"-59,684"
45,3/31/2012,"3,646,000","765,000","912,000","211,000","211,000","535,000","157,000","9,000",-,"147,000","43,000","2,000","98,000",0,"4,000","2,881,000",-,"2,468,000","2,468,000",-,"745,000","1,723,000",-,"43,000",-,"191,000","40,000","40,000",-,"182,000","-5,000","2,747,000","147,000","147,000","86,000","299,000","1,658,000","1,658,000","1,453,000",-,"205,000","101,000","96,000","96,000","96,000","96,000","547,000",-,"-9,000","9,000",-,-,"885,000","254,000","617,000","619,000","631,000","631,000",-,-,"-12,000",-,"617,000",0.52,0.52,"1,193,931","1,195,558",-,"760,000","619,000","625,417","166,000","96,000","619,000","-9,000","-9,000",0,"-2,583"
46,12/31/2011,"3,444,000","780,000","925,000","209,000","209,000","532,000","176,000","8,000",-,"145,000","59,000","-28,000","76,000","-1,000",-,"2,664,000",-,"2,526,000","2,622,000","1,892,000","730,000","2,652,000","96,000",-,-,"228,000","138,000","138,000",-,-,"-23,000","2,593,000","372,000","159,000","213,000","322,000","1,382,000","1,382,000","1,382,000",-,"-95,000","96,000","106,000","106,000","106,000","106,000","411,000",-,"-139,000","139,000",-,-,"689,000","211,000","500,000","505,000","478,000","478,000",0,-,"27,000",-,"500,000",0.42,0.42,"1,204,994","1,205,586",-,"757,000","505,000","601,433","184,000","106,000","505,000","-139,000","-139,000",0,"-42,567"
47,9/30/2011,"3,694,000","775,000","928,000","200,000","200,000","519,000","200,000","9,000",-,"153,000","66,000","12,000","74,000","1,000",-,"2,919,000",-,"2,695,000","2,695,000",-,"729,000","1,966,000",-,"32,000",-,"194,000","-2,000","-2,000",-,-,"22,000","2,754,000","231,000","151,000","80,000","311,000","1,670,000","1,570,000","1,457,000",-,"113,000","100,000","106,000","106,000","106,000","106,000","436,000",-,"-17,000","17,000",-,-,"945,000","281,000","640,000","651,000","664,000","664,000",0,-,"-13,000","11,000","640,000",0.53,0.53,"1,214,126","1,214,126",-,"797,000","651,000","662,945","209,000","191,000","651,000","-17,000","-17,000",0,"-5,055"
48,6/30/2011,"4,066,000","731,000","926,000","204,000","204,000","508,000","209,000","5,000",-,"195,000","106,000","15,000","72,000","2,000",-,"3,335,000",-,"2,641,000","2,641,000",-,"779,000","1,862,000",-,"171,000",-,"222,000","48,000","48,000",-,"253,000",0,"2,798,000","161,000","161,000","82,000","301,000","1,666,000","1,666,000","1,463,000",-,"203,000","109,000","108,000","108,000","108,000","108,000","562,000",-,"-18,000","18,000",-,"-7,000","1,034,000","277,000","735,000","735,000","757,000","757,000",0,-,"-22,000",-,"735,000",0.59,0.59,"1,230,406","1,233,710",-,"731,000","735,000","748,178","214,000","108,000","735,000","-18,000","-18,000",0,"-4,822"
49,3/31/2011,"3,646,000","698,000","867,000","198,000","198,000","500,000","163,000","6,000",-,"169,000","67,000","2,000","91,000","1,000","8,000","2,948,000",-,"2,635,000","2,635,000",-,"764,000","1,871,000",-,-,-,"198,000","115,000","115,000",-,-,0,"2,686,000","237,000","153,000","84,000","283,000","1,713,000","1,602,000","1,424,000",-,"178,000","111,000","108,000","108,000","108,000","108,000","345,000",-,"-11,000","11,000",-,-,"949,000","279,000","625,000","625,000","670,000","670,000",0,-,"-45,000",-,"625,000",0.50,0.50,"1,234,076","1,238,284",-,"698,000","625,000","632,766","169,000","183,000","625,000","-11,000","-11,000",0,"-3,234"
50,12/31/2010,"3,647,000","720,000","913,000","200,000","200,000","511,000","158,000","44,000",-,"193,000","62,000","40,000","25,000","39,000",-,"2,927,000",-,"2,787,000","2,891,000","2,091,000","800,000","1,690,000","104,000",-,-,"258,000","140,000","140,000",-,"61,000","22,000","2,635,000","365,000","158,000","207,000","320,000","1,417,000","1,417,000","1,417,000",-,"-22,000","104,000","115,000","115,000","115,000","115,000","418,000",-,"-64,000","64,000",-,-,"970,000","265,000","665,000","665,000","680,000","705,000","-25,000",-,"-15,000",-,"665,000",0.55,0.54,"1,232,568","1,235,670",-,"742,000","665,000","736,515","202,000","115,000","690,000","-64,000","-64,000",0,"-17,485"
51,9/30/2010,"3,467,000","718,000","875,000","207,000","207,000","511,000","136,000","5,000",-,"157,000","35,000","18,000","87,000","1,000",-,"2,749,000",-,"2,662,000","2,662,000","696,000","696,000","1,966,000",-,"37,000",-,"146,000","6,000","6,000",-,"44,000","-22,000","2,540,000","150,000","150,000","79,000","282,000","1,907,000","1,813,000","1,344,000",-,"469,000","94,000","111,000","111,000","111,000","111,000","372,000",-,"-71,000","71,000",-,-,"834,000","220,000","622,000","622,000","611,000","614,000","-3,000",-,"11,000","5,000","622,000",0.51,0.51,"1,210,534","1,212,684",-,"696,000","622,000","677,271","141,000","111,000","625,000","-71,000","-71,000",0,"-18,729"
52,6/30/2010,"3,358,000","722,000","862,000","211,000","211,000","502,000","142,000","7,000",-,"140,000","43,000","2,000","93,000","2,000",-,"2,636,000",-,"2,558,000","2,558,000","676,000",-,"1,882,000",-,"65,000",-,"220,000","13,000","13,000",-,-,"-20,000","2,333,000","214,000","143,000","71,000",-,"1,596,000","1,490,000","1,234,000",-,"256,000","106,000","98,000","98,000","98,000","98,000","425,000",-,"1,000","-1,000",-,-,"1,006,000","304,000","658,000","658,000","692,000","702,000","-10,000",-,"-34,000",-,"658,000",0.54,0.54,"1,204,557","1,208,830",-,"702,000","658,000","667,302","149,000","98,000","668,000","1,000","1,000",0,302.1869
53,3/31/2010,"3,385,000","765,000","883,000","208,000","208,000","516,000","152,000","7,000",-,"118,000",-,"1,000","77,000","1,000","39,000","2,620,000",-,"2,561,000","2,561,000","696,000",-,"1,865,000",-,"52,000",-,"262,000","7,000","7,000",-,"268,000","-35,000","2,428,000","212,000","137,000","75,000",-,"1,571,000","1,462,000","1,220,000",-,"242,000","109,000","97,000","97,000","97,000","97,000","548,000",-,"-33,000","33,000",-,-,"889,000","257,000","559,000","559,000","590,000","632,000","-42,000",-,"-31,000",-,"559,000",0.46,0.46,"1,202,533","1,206,286",-,"730,000","559,000","624,460","159,000","97,000","601,000","-33,000","-33,000",0,"-9,540"
54,12/31/2009,"2,862,000","724,000","854,000","210,000","210,000","476,000","161,000","7,000",-,"130,000","30,000","30,000","63,000","1,000",-,"2,138,000",-,"1,827,000","2,253,000",-,"736,000","2,890,000",-,-,-,"60,000","-8,000","-84,000",-,"-14,000","-65,000","1,965,000","588,000","141,000","447,000",-,"165,000","482,000","1,221,000",-,"278,000","109,000","107,000","107,000","107,000","107,000","88,000",-,"-191,000","191,000",-,-,"672,000","-41,000","593,000","593,000","594,000","713,000","-119,000",-,"-1,000",0,"593,000",-,-,-,-,-,"659,000","593,000","786,750","168,000","191,000","712,000","-115,000","-115,000",0,"-40,250"
55,9/30/2009,"-1,604,000","716,000","829,000","228,000","228,000","437,000","154,000","10,000",-,"113,000","25,000","2,000","84,000","2,000",-,"-2,320,000",-,"2,308,000","2,412,000","1,762,000","650,000","1,967,000","104,000","121,000",-,"246,000","-4,712,000","-4,712,000",-,"84,000","-147,000","2,165,000","313,000","142,000","171,000","265,000","1,157,000","1,157,000","1,157,000",-,"265,000","104,000","104,000","104,000","104,000","104,000","326,000",-,"-49,000","49,000",-,-,"-3,965,000","-1,527,000","-2,458,000","-2,458,000","-2,457,000","-2,438,000","-19,000",-,"-1,000",-,"-2,458,000",-2.06,-2.06,"1,197,414","1,197,414",-,"569,000","-2,458,000","-2,408,871","164,000","104,000","-2,439,000","-49,000","-49,000",0,"-18,871"
56,6/30/2009,"2,851,000","700,000","845,000","249,000","249,000","414,000","173,000","9,000",-,"145,000","40,000","1,000","107,000","-3,000",-,"2,151,000",-,"2,354,000","2,460,000","1,823,000","637,000","1,876,000","106,000",-,-,"237,000","-212,000","-212,000",-,"9,000","-61,000","2,212,000","311,000","142,000","169,000","237,000","1,153,000","1,153,000","1,153,000",-,"237,000","106,000","108,000","108,000","108,000","108,000","403,000",-,"-65,000","65,000",-,-,"513,000","12,000","176,000","412,000","410,000","501,000","-91,000",-,"2,000","236,000","176,000",0.15,0.15,"1,171,081","1,174,466",-,"639,000","412,000","566,480","182,000","108,000","503,000","-65,000","-65,000",0,"-1,520"
57,3/31/2009,"2,930,000","792,000","998,000","271,000","271,000","484,000","238,000","5,000",-,"206,000","77,000","9,000","119,000","1,000",-,"2,138,000",-,"2,433,000","2,433,000","609,000",-,"1,824,000",-,-,-,-,"-295,000","-295,000",-,-,"-80,000","2,264,000","217,000","140,000","77,000",-,"1,520,000","1,413,000","1,151,000",-,"262,000","107,000","108,000","108,000","108,000","108,000","419,000",-,"-78,000","78,000",-,-,"508,000","138,000","322,000","369,000","370,000","370,000",0,-,"-1,000","47,000","322,000",0.28,0.28,"1,146,070","1,146,943",-,"712,000","369,000","425,811","243,000","152,000","369,000","-78,000","-78,000",0,"-21,189"
58,12/31/2008,"2,763,000","1,070,000","1,551,000","382,000","382,000","631,000","524,000","14,000",-,"481,000","252,000","14,000","202,000","4,000","9,000","1,693,000",-,"2,831,000","2,954,000","2,297,000","657,000",-,"123,000",-,-,"510,000","-1,214,000","-1,214,000",-,"76,000","-60,000","2,474,000","315,000","143,000","172,000","307,000","1,154,000","1,154,000","1,154,000",-,"76,000",-,"116,000","116,000","116,000","116,000","582,000",-,"-278,000","278,000",-,-,"-49,000","-135,000","28,000","61,000","61,000","86,000","1,000","-26,000",-,"33,000","28,000",0.02,0.02,"1,144,839","1,150,753",-,"1,010,000","87,000","266,700","538,000","116,000","86,000","-278,000","-278,000",0,"-97,300"
59,9/30/2008,"3,626,000","703,000","1,339,000","301,000","301,000","572,000","431,000","35,000",-,"636,000","432,000","24,000","146,000","16,000","18,000","2,923,000",-,"2,382,000","2,382,000",-,"792,000","1,590,000",-,-,-,-,"-162,000","-162,000",-,"703,000","-30,000","3,221,000","244,000",-,-,-,"1,218,000","1,218,000","1,218,000",-,-,-,-,-,-,-,"1,759,000",-,"-111,000","111,000",-,-,"264,000","-41,000","303,000","303,000","303,000","305,000","-2,000",-,-,-,"303,000",0.26,0.26,"1,143,445","1,147,586",-,"673,000","303,000","377,150","466,000","223,000","305,000","-111,000","-111,000",0,"-38,850"
60,6/30/2008,"3,397,000","411,000","1,092,000","69,000","69,000","574,000","412,000","37,000",-,"681,000","477,000","23,000","152,000","11,000","18,000","2,986,000",-,"2,682,000","2,682,000",-,-,-,-,-,-,-,"-152,000","-152,000",-,"456,000","-25,000","2,609,000","218,000",-,-,-,"1,391,000","1,391,000","1,391,000",-,-,-,-,-,-,-,"1,000,000",-,"-149,000","149,000",-,-,"614,000","312,000","309,000","309,000","309,000","302,000","7,000",-,-,-,"309,000",0.27,0.27,"1,135,153","1,142,936",-,"386,000","309,000","398,850","449,000","243,000","302,000","-149,000","-149,000",0,"-52,150"
61,3/31/2008,"3,745,000","767,000","1,656,000",-,-,-,-,-,-,"889,000",-,-,-,-,-,"2,978,000",-,"2,672,000","2,672,000",-,"842,000","1,830,000",-,-,-,"259,000","-50,000","-50,000",-,"97,000","-16,000","2,255,000","287,000","129,000","158,000","252,000","1,528,000","1,398,000","1,352,000",-,"46,000","130,000","122,000","122,000","122,000","122,000","66,000",-,"-364,000",-,-,"364,000","1,110,000","361,000","746,000","746,000","746,000","749,000","-3,000",0,-,-,"746,000",0.65,0.65,"1,134,280","1,143,761",-,"751,000","746,000","994,618",-,"231,000","749,000","-364,000","-364,000",0,"-118,382"
62,12/31/2007,"3,471,000","752,000","1,790,000","600,000","600,000","663,000","444,000","83,000",-,"1,038,000","730,000","19,000","209,000","40,000","40,000","2,719,000",-,"2,653,000","2,921,000",-,-,-,-,-,-,-,"81,000","72,000",-,"-742,000","-20,000","2,357,000","508,000",-,-,-,"1,368,000","1,368,000","1,368,000",-,-,-,-,-,-,-,"-619,000",-,"-124,000","124,000",-,-,"1,028,000","328,000","520,000","520,000","520,000","700,000",0,-,-,-,"520,000",-,-,-,-,-,"732,000","700,000","778,307","527,000","376,000","700,000","-115,000","-115,000",0,"-36,693"
63,9/30/2007,"3,600,000","669,000","1,778,000","618,000","618,000","668,000","419,000","73,000",-,"1,109,000","772,000","35,000","204,000","50,000","48,000","2,931,000",-,"2,484,000","2,484,000",-,-,-,-,-,-,-,"-9,000","-9,000",-,"456,000",-,"2,488,000","224,000",-,-,-,"1,280,000","1,280,000","1,280,000",-,-,-,-,-,-,-,"984,000",-,"-218,000","218,000",-,-,"894,000","252,000","640,000","640,000","640,000","642,000","-2,000",-,-,-,"640,000",0.57,0.56,"1,125,165","1,140,797",-,"669,000","640,000","798,550","492,000","224,000","642,000","-218,000","-218,000",0,"-61,450"
64,6/30/2007,"2,032,000","452,000","1,162,000","507,000","507,000","345,000","233,000","77,000",-,"710,000","487,000","24,000","136,000","16,000","47,000","1,580,000",-,"1,335,000","1,335,000",-,-,-,-,-,-,-,"-2,000","-2,000",-,"247,000","15,000","1,342,000","135,000",-,-,-,"752,000","752,000","752,000",-,-,-,-,-,-,-,"455,000",-,"-47,000","47,000",-,-,"658,000","210,000","445,000","445,000","445,000","448,000","-3,000",-,-,-,"445,000",0.63,0.62,"709,783","722,661",-,"467,000","445,000","480,000","310,000","99,000","448,000","-47,000","-47,000",0,"-15,000"
65,3/31/2007,"1,902,000","427,000","1,021,000","491,000","491,000","327,000","146,000","57,000",-,"594,000","400,000",-,"133,000","19,000","42,000","1,475,000",-,"1,259,000","1,259,000",-,-,-,-,-,-,-,"2,000","2,000",-,"214,000","15,000","1,257,000","129,000",-,-,-,"720,000","720,000","720,000",-,-,-,-,-,-,-,"408,000",-,"-15,000","15,000",-,-,"645,000","208,000","434,000","434,000","434,000","437,000","-3,000",-,-,-,"434,000",0.61,0.60,"710,147","719,976",-,"442,000","434,000","447,163","203,000","127,000","437,000","-15,000","-15,000",0,"-4,837"
66,12/31/2006,"-272,000","451,000","1,057,000","505,000","505,000","308,000","166,000","78,000",-,"606,000","397,000","31,000","119,000","16,000","43,000","-723,000",-,"1,661,000","1,661,000",-,-,-,-,-,-,-,"27,000","27,000",-,"-2,411,000","15,000","1,197,000","338,000",-,-,-,"736,000","736,000","736,000",-,-,-,-,-,-,-,"47,000",-,"2,076,000","17,000",-,-,"622,000","195,000","1,789,000","1,789,000","1,789,000","427,000","1,362,000",-,-,-,"1,789,000",-,-,-,-,-,"466,000","1,789,000","-998,164","244,000","144,000","427,000","2,076,000","2,076,000",0,"650,836"
67,9/30/2006,"1,610,000","351,000","960,000","452,000","452,000","320,000","166,000","22,000",-,"609,000","391,000","27,000","115,000","34,000","42,000","1,259,000",-,"1,091,000","1,091,000",-,-,-,-,-,-,-,"21,000","21,000",-,"147,000","4,000","1,103,000","116,000",-,-,-,"644,000","644,000","644,000",-,-,-,-,-,-,-,"343,000",-,"-89,000","89,000",-,-,"422,000","124,000","352,000","352,000","352,000","298,000","54,000",-,-,-,"352,000",0.49,0.49,"713,946","723,272",-,"355,000","352,000","360,848","188,000","131,000","298,000","-89,000","-89,000",0,"-26,152"
68,6/30/2006,"1,724,000","358,000","910,000","435,000","435,000","340,000","120,000","15,000",-,"552,000","348,000","22,000","106,000","34,000","42,000","1,366,000",-,"1,163,000","1,163,000",-,-,-,-,-,-,-,"23,000","23,000",-,"180,000","1,000","1,134,000","116,000",-,-,-,"656,000","656,000","656,000",-,-,-,-,-,-,-,"362,000",-,-,-,-,-,"591,000","200,000","448,000","448,000","448,000","391,000","57,000",-,-,-,"448,000",0.59,0.59,"756,000","765,000",-,"359,000","448,000","391,000","135,000","102,000","391,000",-,-,0,0
69,3/31/2006,"1,820,000","488,000","998,000","518,000","518,000","359,000","86,000","35,000",-,"510,000","334,000","20,000","96,000","20,000","40,000","1,332,000",-,"1,131,000","1,131,000",-,-,-,-,-,-,-,"17,000","17,000",-,"184,000","-5,000","1,178,000","141,000",-,-,-,"668,000","668,000","668,000",-,-,-,-,-,-,-,"369,000",-,-,-,-,-,"637,000","215,000","422,000","422,000","422,000","422,000",-,-,-,-,"422,000",0.55,0.55,"763,851","773,630",-,"483,000","422,000","422,000","121,000","117,000","422,000",-,-,0,0
70,12/31/2005,"1,766,000","492,000","956,000","502,000","502,000","346,000","68,000","40,000",-,"464,000","305,000","25,000","82,000","12,000","40,000","1,274,000",-,"1,104,000","1,104,000",-,-,-,-,-,-,-,"18,000","18,000",-,"152,000","-10,000","1,148,000","137,000",-,-,-,"647,000","647,000","647,000",-,-,-,-,-,-,-,"364,000",-,-,-,-,-,"608,000","203,000","405,000","405,000","405,000","405,000",-,-,-,-,"405,000",-,-,-,-,-,"482,000","405,000","405,000","108,000","123,000","405,000",-,-,0,0
