,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Accrued Expense,Change in Deferred Charges,Change in Loans,Change in Other Current Assets,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
35,9/30/2014,"15,062,000","15,062,000","5,955,000",-,-,"630,000","630,000",-,-,"-8,374,000","-156,000","381,000","-48,000","368,000","16,306,000","-551,000","-551,000","7,163,000","-88,000","-88,000","7,251,000","1,139,000",-,"-1,012,000","9,567,000","-42,530,000","-42,530,000","-21,614,000","-12,776,000","-26,840,000","14,064,000","1,696,000","1,696,000","-9,629,000","7,839,000","-17,468,000",-,-,0,0,"1,489,000","24,865,000","24,865,000","16,306,000","16,730,000","19,869,000","-3,139,000","-424,000",-,-,"-2,166,000","324,000","-2,490,000","780,000","780,000",-,"-2,145,000","-1,787,000","-358,000",-,"42,000","18,032,000","-2,603,000","20,635,000",-,"2,163,000","1,111,000",-,"1,104,000","19,869,000","-3,139,000","-2,490,000","15,062,000"
36,6/30/2014,"-3,239,000","-3,239,000","5,786,000",-,-,"732,000","732,000",-,-,"-9,785,000","630,000","452,000","-61,000","217,000","-1,210,000","142,000","142,000","3,662,000","105,000","105,000","3,557,000","-878,000",-,"-2,625,000","-1,511,000","-34,520,000","-34,520,000","-14,789,000","-6,290,000","-18,757,000","12,467,000","2,087,000","2,087,000","-15,265,000","8,806,000","-24,071,000",-,-,-,-,"1,998,000","38,663,000","38,663,000","17,022,000","12,864,000","15,383,000","-2,519,000","4,158,000",-,-,"-2,519,000","435,000","-2,954,000","1,995,000","1,995,000",-,"-2,020,000","-1,802,000","-218,000",-,"184,000","20,635,000","904,000","19,731,000",-,"4,010,000","897,000",-,"2,430,000","15,383,000","-2,519,000","-2,954,000","-3,239,000"
37,3/31/2014,"2,841,000","2,841,000","6,075,000",-,-,"571,000","571,000",-,-,"-3,644,000","410,000","692,000","-269,000","325,000","-1,319,000","-139,000","-139,000","-2,233,000","221,000","221,000","-2,454,000","408,000",-,"-3,545,000","4,190,000","-18,225,000","-18,225,000","-8,878,000","-3,304,000","-14,399,000","11,095,000","2,212,000","2,212,000","-7,895,000","6,858,000","-14,753,000",-,-,-,-,"1,852,000","15,196,000","15,196,000","2,704,000","-1,104,000","3,110,000","-4,214,000","3,808,000",-,-,"-408,000","617,000","-1,025,000",0,0,-,"-1,897,000","-1,545,000","-352,000",-,"-602,000","19,731,000","-188,000","19,919,000",-,"81,000","776,000",-,"617,000","3,110,000","-4,214,000","-1,025,000","2,841,000"
38,12/31/2013,"14,423,000","14,423,000","5,713,000",-,-,"785,000","785,000",-,-,"1,633,000","-827,000","385,000","-39,000","363,000","6,410,000","202,000","202,000","-8,127,000","-42,000","-42,000","-8,085,000","2,175,000",-,"7,655,000","4,505,000","-50,737,000","-50,737,000","-31,765,000","-6,341,000","-17,609,000","11,268,000","4,765,000","4,765,000","-17,044,000","5,553,000","-22,597,000",-,-,0,0,"4,413,000","37,305,000","37,305,000","1,993,000","2,048,000","8,744,000","-6,696,000","-55,000",-,-,"-1,089,000","289,000","-1,378,000","828,000","828,000",-,"-1,748,000","-1,544,000","-204,000",-,"15,000","19,919,000","991,000","18,928,000",-,"1,589,000","1,075,000",-,"1,117,000","8,744,000","-6,696,000","-1,378,000","14,423,000"
39,9/30/2013,"21,103,000","21,103,000","5,683,000",-,-,"865,000","865,000",-,-,"2,407,000","-133,000","396,000","-74,000","75,000","11,884,000","-29,000","-29,000","1,878,000","-188,000","-188,000","2,066,000","632,000",-,"-1,806,000","11,209,000","-61,779,000","-61,779,000","-33,372,000","-13,791,000","-27,684,000","13,893,000","2,251,000","2,251,000","-16,568,000","5,392,000","-21,960,000",-,-,0,0,"1,952,000","41,665,000","41,665,000","22,988,000","26,120,000","28,771,000","-2,651,000","-3,132,000",-,-,"-1,542,000","598,000","-2,140,000","1,707,000","1,707,000",-,"-1,886,000","-1,559,000","-327,000",-,"112,000","18,928,000","989,000","17,939,000",-,"660,000","1,216,000",-,"2,305,000","28,771,000","-2,651,000","-2,140,000","21,103,000"
40,6/30/2013,"12,978,000","12,978,000","5,608,000",-,-,"809,000","809,000",-,-,"-3,188,000","-1,285,000","514,000","-72,000","652,000","9,940,000","102,000","102,000","-2,620,000","42,000","42,000","-2,662,000","1,935,000",-,"-4,266,000","14,789,000","-14,819,000","-14,819,000","-4,861,000","-4,539,000","-20,671,000","16,132,000","2,004,000","2,004,000","-7,303,000","8,112,000","-15,415,000",-,-,0,0,"1,884,000","3,563,000","3,563,000","-4,760,000","-1,050,000","7,892,000","-8,942,000","-3,710,000",-,-,"-762,000","693,000","-1,455,000",0,0,-,"-1,746,000","-1,566,000","-180,000",-,"-21,000","17,939,000","1,722,000","16,217,000",-,"4,506,000","1,035,000",-,"693,000","7,892,000","-8,942,000","-1,455,000","12,978,000"
41,3/31/2013,"9,137,000","9,137,000","5,220,000",-,-,"834,000","834,000",-,-,"-15,575,000","-984,000","625,000","-86,000","1,219,000","17,884,000","-288,000","-288,000","1,692,000","156,000","156,000","1,536,000","235,000",-,"3,110,000","13,135,000","-26,157,000","-26,157,000","-8,186,000","-17,677,000","-32,565,000","14,888,000","2,001,000","2,001,000","-4,054,000","8,592,000","-12,646,000",-,-,0,0,"3,760,000","11,377,000","11,377,000","4,193,000","686,000","7,820,000","-7,134,000","3,507,000",-,-,"261,000","644,000","-383,000","610,000","610,000",-,"-1,590,000","-1,284,000","-306,000",-,"5,000","16,217,000","-5,643,000","21,860,000",-,"377,000","995,000",-,"1,254,000","7,820,000","-7,134,000","-383,000","9,137,000"
42,12/31/2012,"8,351,000","8,351,000","5,297,000",-,-,"724,000","724,000",-,-,"-63,822,000",-,"1,233,000","-33,000","1,831,000","12,895,000","296,000","296,000","-11,778,000","-165,000","-165,000","-11,613,000",-,-,"-79,766,000",-,"-54,114,000","-54,114,000","-36,871,000","149,000","-15,053,000","15,202,000",-,-,"-20,583,000","38,879,000","-59,462,000",-,-,"-3,000","-3,000","10,621,000","50,637,000","50,637,000","2,094,000","-3,124,000","2,696,000","-5,820,000","5,218,000",-,-,"-1,230,000","91,000","-1,321,000","635,000","635,000",-,"-1,231,000","-1,065,000","-166,000",-,"-226,000","21,860,000","4,874,000","16,986,000",-,"3,323,000","1,379,000",-,"726,000","2,696,000","-5,820,000","-1,321,000","8,351,000"
43,9/30/2012,"14,808,000","14,808,000","5,030,000","-11,273,000",-,"699,000","699,000",-,-,"-383,000",-,"103,000","-68,000","1,591,000","19,109,000","-43,000","-43,000","4,700,000","7,000","7,000","4,693,000",-,-,"14,452,000",-,"-38,057,000","-38,057,000","-25,807,000","-413,000","-11,050,000","10,637,000",-,-,"-13,215,000","-8,262,000","-4,953,000","2,440,000","2,440,000","-244,000","-244,000","-818,000","23,424,000","23,424,000","648,000","4,714,000","7,866,000","-3,152,000","-4,066,000",-,-,"193,000","689,000","-496,000","742,000",-,-,"-1,451,000","-1,164,000","-287,000",-,"-14,000","16,986,000","175,000","16,811,000",-,"1,851,000","1,256,000",-,"1,431,000","7,866,000","-3,152,000","-496,000","14,808,000"
44,6/30/2012,"19,476,000","19,476,000","4,721,000","-9,846,000",-,"735,000","735,000",-,-,"2,125,000",-,"93,000","-27,000","1,800,000","19,875,000","153,000",-,"1,472,000","-110,000","-110,000","1,582,000",-,-,"18,250,000",-,"-14,758,000","-14,758,000","-492,000","2,041,000","-20,483,000","22,524,000",-,-,"-14,376,000","181,000","-14,557,000","2,622,000","2,622,000","-3,649,000","-3,649,000","-904,000","-4,907,000","-4,907,000","-691,000","-5,750,000","8,134,000","-13,884,000","5,059,000",-,-,"-1,605,000","432,000","-2,037,000",0,-,-,"-1,324,000","-1,171,000","-153,000",-,"47,000","16,811,000","-189,000","17,000,000",-,"2,517,000","1,427,000",-,"432,000","8,134,000","-13,884,000","-2,037,000","19,476,000"
45,3/31/2012,"15,905,000","15,905,000","4,320,000","-31,414,000",-,"649,000","649,000",-,-,"-2,400,000",-,"269,000","-98,000","1,995,000","42,584,000","-113,000",-,"-6,431,000","184,000","184,000","-6,615,000",-,-,"49,128,000",-,"-32,961,000","-32,961,000","-29,776,000","-1,611,000","-18,170,000","16,559,000",-,-,"-2,950,000","1,093,000","-4,043,000","2,365,000","2,365,000","-426,000","-426,000","-563,000","14,616,000","14,616,000","5,250,000","3,762,000","8,999,000","-5,237,000","1,488,000",-,-,"815,000","879,000","-64,000",0,-,-,"-1,451,000","-1,165,000","-286,000",-,"-192,000","17,000,000","-2,440,000","19,440,000",-,"333,000","1,183,000",-,"879,000","8,999,000","-5,237,000","-64,000","15,905,000"
46,12/31/2011,"-24,124,000","-24,124,000","4,183,000","-45,713,000",-,"725,000","725,000",-,-,"-53,263,000",-,"1,034,000","-9,000","2,040,000","20,704,000","-124,000","-124,000","-7,852,000","-237,000","-237,000","-4,615,000","1,743,000",-,"18,981,000",-,"16,725,000","16,725,000","45,437,000","-16,784,000","-36,976,000","20,192,000",-,-,"-12,023,000","28,881,000","-40,904,000",-,-,"-108,000","-108,000","203,000","8,525,000","8,525,000","-14,895,000","-13,211,000","3,908,000","-17,119,000","-1,684,000",-,-,"-372,000","282,000","-654,000",0,0,-,"-785,000","-632,000","-153,000",-,"-63,000","19,440,000","1,126,000","18,314,000",-,"1,977,000","1,723,000",-,"282,000","3,908,000","-12,572,000","-654,000","-24,124,000"
47,9/30/2011,"9,228,000","9,228,000","4,142,000","-8,893,000",-,"515,000","515,000",-,-,"1,364,000",-,"78,000","-6,000","1,811,000","10,217,000","-163,000",-,"15,306,000","-82,000","-82,000","15,388,000",-,-,"-6,756,000",-,"-41,506,000","-41,506,000","-1,398,000","-23,445,000","-39,053,000","15,608,000",-,-,"-20,693,000","-15,776,000","-4,917,000",-,-,-,-,"4,275,000","26,533,000","26,533,000","-13,774,000","-10,668,000","1,077,000","-11,745,000","-3,106,000",-,"-3,106,000","-477,000","213,000","-690,000",0,0,-,"-923,000","-636,000","-287,000",-,"-86,000","18,314,000","-5,745,000","24,059,000",-,"317,000","1,718,000",-,"213,000","1,077,000","-14,851,000","-690,000","9,228,000"
48,6/30/2011,"11,350,000","11,350,000","4,072,000","-725,000",-,"491,000","491,000",-,-,"1,620,000",-,"115,000","-9,000","1,838,000","3,948,000","42,000",-,"-2,308,000","-57,000","-57,000","-2,251,000",-,-,"6,214,000",-,"-11,495,000","-11,495,000","4,635,000","-13,462,000","-26,330,000","12,868,000",-,-,"-4,982,000","-1,265,000","-3,717,000",-,-,-,-,"2,314,000","7,226,000","7,226,000","-7,050,000","-6,273,000","1,485,000","-7,758,000","-777,000",-,"-777,000","-850,000","167,000","-1,017,000",0,0,-,"-788,000","-635,000","-153,000",-,"-59,000","24,059,000","7,081,000","16,978,000",-,"2,437,000","1,763,000",-,"167,000","1,485,000","-8,535,000","-1,017,000","11,350,000"
49,3/31/2011,"17,211,000","17,211,000","3,814,000","8,861,000",-,"477,000","477,000",-,-,"-1,447,000",-,"261,000","-55,000","2,210,000","3,090,000","-156,000",-,"-5,508,000","14,000","14,000","-5,522,000",-,-,"8,754,000",-,"1,232,000","1,232,000","-12,404,000","8,136,000","-18,876,000","27,012,000",-,-,"1,949,000","4,497,000","-2,548,000",-,-,-,-,"3,551,000","-17,509,000","-17,509,000","-9,380,000","-8,716,000","5,217,000","-13,933,000","-664,000",-,"-664,000","579,000","634,000","-55,000","2,501,000","2,501,000",-,"-885,000","-634,000","-251,000",-,"-44,000","16,978,000","934,000","16,044,000",-,"144,000","1,807,000",-,"3,135,000","5,217,000","-14,597,000","-55,000","17,211,000"
50,12/31/2010,"-4,028,000","-4,028,000","3,493,000","-17,871,000",-,"422,000","422,000",-,-,"-30,943,000",-,"1,139,000","-19,000","2,989,000","28,699,000","280,000",-,"4,630,000","-30,000","-30,000","2,931,000",-,-,"4,158,000",-,"-29,211,000","-29,211,000","-24,088,000","1,837,000","-16,276,000","18,113,000",-,-,"-9,630,000","-6,130,000","-3,500,000","1,775,000","1,775,000","-13,000","-13,000","6,352,000","33,282,000","33,282,000","10,000","-4,676,000","851,000","-5,527,000","4,686,000",-,"4,686,000","305,000","325,000","-20,000",-,-,-,"-379,000","358,000",-,"-624,000","540,000","16,044,000","43,000","16,001,000",-,"270,000","1,936,000",-,"325,000","851,000","-12,149,000","-20,000","-4,028,000"
51,9/30/2010,"5,946,000","5,946,000","3,425,000","-3,275,000",-,"167,000","167,000",-,-,"-473,000",-,"26,000","-4,000","3,445,000","2,635,000","44,000",-,"3,620,000","-182,000","-182,000","3,802,000",-,-,"-1,029,000",-,"13,816,000","13,816,000","17,349,000","-14,328,000","-26,080,000","11,752,000",-,-,"8,487,000","11,610,000","-3,123,000",-,-,"-12,000","-12,000","-1,349,000","-21,332,000","-21,332,000","-19,864,000","-25,392,000","473,000","-25,865,000","5,528,000",-,"5,528,000","182,000","185,000","-3,000",-,-,-,"-514,000","-514,000",-,"4,000","-29,000","16,001,000","-1,570,000","17,571,000",-,"292,000","2,214,000",-,"185,000","473,000","-20,337,000","-3,000","5,946,000"
52,6/30/2010,"7,973,000","7,973,000","3,145,000","1,253,000",-,"622,000","622,000",-,-,"5,020,000",-,"34,000","-24,000","3,989,000","-6,066,000","37,000",-,"810,000","86,000","86,000","724,000",-,-,"-6,913,000",-,"-975,000","-975,000","-19,706,000","8,721,000","-6,911,000","15,632,000",-,-,"8,224,000","11,307,000","-3,083,000",-,-,"-11,000",-,"1,797,000","-5,728,000","-5,728,000","-15,813,000","-14,667,000","750,000","-15,417,000","-1,146,000",-,-,"371,000","401,000","-30,000",-,-,-,"-378,000","-629,000",-,"24,000","-662,000","17,571,000","1,270,000","16,301,000",-,"300,000","1,937,000",-,"401,000","-1,490,000","-14,323,000","-30,000","7,973,000"
53,3/31/2010,"8,881,000","8,881,000","2,600,000","10,805,000",-,"713,000","713,000",-,-,"-2,707,000",-,"33,000","-51,000","5,330,000","-7,842,000","690,000",-,"-9,328,000","-142,000","-142,000","-9,186,000",-,-,"796,000",-,"12,695,000","12,695,000","-13,307,000","6,891,000","-4,199,000","11,090,000",-,-,"17,732,000","21,159,000","-3,427,000",-,-,0,-,"1,379,000","-32,355,000","-32,355,000","-12,853,000","-15,093,000","1,415,000","-16,508,000","2,240,000","2,240,000",-,"426,000","464,000","-38,000",-,-,-,"-511,000","-260,000","-251,000","51,000","-343,000","16,301,000","-10,779,000","27,080,000",-,"325,000","2,220,000",-,"464,000","3,655,000","-16,508,000","-38,000","8,881,000"
54,12/31/2009,"3,363,000","3,363,000","3,013,000","3,625,000",-,"404,000","404,000",-,-,"-23,733,000",-,"147,000","-9,000","5,913,000","10,647,000","-1,241,000",-,"962,000","129,000","129,000","2,927,000",-,-,"-4,092,000",-,"-3,014,000","-3,014,000","-23,394,000","10,885,000","-5,881,000","16,766,000",-,-,"9,500,000","13,700,000","-4,200,000",-,-,"-6,000","-6,000","1,000","9,498,000","9,498,000","831,000","-7,335,000","3,593,000","-10,928,000","8,166,000",-,"8,166,000","12,246,000","12,386,000","-140,000",-,-,-,"-796,000",-,-,"-9,000",-,"27,080,000","9,847,000","17,233,000",-,"208,000","2,063,000",-,"12,386,000","3,593,000","66,346,000","-25,140,000","3,363,000"
55,9/30/2009,"7,401,000","7,401,000","3,316,000","9,687,000",-,"897,000","897,000",-,-,"-2,065,000",-,"42,000","-6,000","6,111,000","-10,581,000","664,000",-,"-6,210,000","-526,000","-526,000","-5,684,000",-,-,"-5,035,000",-,"50,632,000","50,632,000","-1,515,000","29,256,000","-8,472,000","37,728,000",-,-,"17,768,000","21,010,000","-3,242,000",-,-,0,0,"5,123,000","-61,432,000","-61,432,000","-43,926,000","-19,243,000","927,000","-20,170,000","-24,683,000",-,"-24,683,000","265,000","282,000","-17,000",-,-,-,"-797,000",-,-,"6,000",-,"17,233,000","-3,399,000","20,632,000",-,"1,772,000","2,810,000",-,"282,000","927,000","-44,853,000","-17,000","7,401,000"
56,6/30/2009,"2,014,000","2,014,000","3,293,000","-887,000","-12,836,000","559,000","559,000",-,-,"-5,835,000",-,"43,000","-3,000","5,086,000","-242,000","-390,000",-,"-831,000","136,000","136,000","-967,000",-,-,"979,000",-,"5,652,000","5,652,000","2,649,000","-22,503,000","-41,755,000","19,252,000",-,-,"20,032,000","23,618,000","-3,586,000",-,-,"-9,000","-9,000","5,483,000","-9,220,000","-9,220,000","-33,821,000","-17,220,000","65,000","-17,285,000","-16,601,000",-,"-16,601,000","8,775,000","8,784,000","-9,000",-,-,-,"-644,000","-214,000","-430,000","3,000",-,"20,632,000","-1,554,000","22,186,000",-,"813,000","2,401,000",-,"8,784,000","65,000","-33,886,000","-9,000","2,014,000"
57,3/31/2009,"15,835,000","15,835,000","3,045,000","-15,801,000","26,100,000","981,000","981,000",-,-,"666,000",-,"95,000",0,"4,558,000","22,291,000","674,000",-,"5,051,000","-767,000","-767,000","5,818,000",-,-,"16,566,000",-,"18,515,000","18,515,000","30,808,000","-21,074,000","-39,177,000","18,103,000",-,-,"12,206,000","14,502,000","-2,296,000",-,-,"-123,000","-123,000","-3,302,000","-35,927,000","-35,927,000","-50,056,000","-14,066,000","3,811,000","-17,877,000","-35,990,000",-,"-35,990,000","470,000","524,000","-54,000",-,-,-,"-2,066,000","-1,443,000","-623,000",0,-,"22,186,000","-1,577,000","23,763,000",-,"249,000","3,704,000",-,"524,000","3,811,000","-53,867,000","-54,000","15,835,000"
58,12/31/2008,"-16,982,000","-16,982,000","-2,734,000","3,064,000",-,"515,000","515,000","-2,788,000","-2,788,000","-30,173,000",-,-,-,-,"-4,715,000",-,-,-,-,-,-,-,-,-,-,"39,389,000","39,389,000",-,"3,887,000","-25,659,000","29,546,000",-,-,-,-,-,-,-,"11,793,000",-,"29,127,000","-11,505,000","-11,505,000","-48,156,000","-1,470,000","51,140,000","-52,610,000","-46,686,000",-,-,"12,441,000",-,-,-,-,-,"-1,134,000",-,-,-,"17,000","23,763,000","10,902,000","12,861,000",-,-,-,-,-,"51,140,000","-52,610,000",-,"-16,982,000"
59,9/30/2008,"-590,000","-590,000","1,637,000","-411,000",-,"406,000","406,000","941,000","941,000","3,001,000",-,-,-,-,"-6,164,000",-,-,-,-,-,-,-,-,-,-,"-15,547,000","-15,547,000",-,"-2,107,000","-26,151,000","24,044,000",-,-,-,-,-,-,-,"-204,000",-,"-12,359,000","15,388,000","15,388,000","3,706,000","4,792,000","-27,922,000","32,714,000","-1,086,000",-,-,"19,000",-,-,-,-,-,"-1,128,000",-,-,-,"85,000","12,861,000","-749,000","13,610,000",-,-,-,-,-,"-27,922,000","32,714,000",-,"-590,000"
60,6/30/2008,"13,131,000","13,131,000","1,753,000",-,-,"380,000","380,000","405,000","405,000","-263,000",-,-,-,-,"11,444,000",-,-,-,-,-,-,-,-,-,-,"-23,593,000","-23,593,000",-,"-11,313,000","-21,167,000","9,854,000",-,-,-,-,-,-,-,"-340,000",-,"-12,817,000","10,926,000","10,926,000","34,108,000","1,952,000","4,346,000","-2,394,000","32,156,000",-,-,"122,000",-,-,-,-,-,"-1,026,000",-,-,-,"-3,258,000","13,610,000","464,000","13,146,000",-,-,-,-,-,"4,346,000","-2,394,000",-,"13,131,000"
61,3/31/2008,"-390,000","-390,000","1,999,000",-,-,"368,000","368,000","-200,000","-200,000","3,872,000",-,-,-,-,"-6,429,000",-,-,-,-,-,-,-,-,-,-,"-18,420,000","-18,420,000",-,"-10,685,000","-32,364,000","21,679,000",-,-,-,-,-,-,-,"-46,000",-,"-7,689,000","17,199,000","17,199,000","1,296,000","568,000","8,137,000","-7,569,000","728,000",-,-,"-34,000",-,-,-,-,-,"-1,024,000",-,-,-,"3,277,000","13,146,000","-1,611,000","14,757,000",-,-,-,-,-,"8,137,000","-7,569,000",-,"-390,000"
62,12/31/2007,"5,385,000","5,385,000","1,251,000","-70,000",-,"391,000","391,000","-663,000","-663,000","-7,323,000",-,-,-,-,"2,460,000",-,-,-,-,-,-,-,-,-,-,"-17,919,000","-17,919,000",-,"-10,146,000","-20,937,000","10,791,000",-,-,-,-,-,-,-,"51,000",-,"46,143,000","15,091,000","15,091,000","14,454,000","3,387,000","6,791,000","-3,404,000","11,067,000",-,-,"-2,308,000",-,-,-,-,-,"-1,036,000",-,-,-,"-123,000","14,757,000","2,557,000","12,200,000",-,-,-,-,-,"6,791,000","-3,404,000",-,"5,385,000"
63,9/30/2007,"-5,231,000","-5,231,000","2,283,000","114,000",-,"377,000","377,000","173,000","173,000","1,942,000",-,-,-,-,"-10,120,000",-,-,-,-,-,-,-,-,-,-,"-5,009,000","-5,009,000",-,"20,788,000","-11,030,000","31,818,000",-,-,-,-,-,-,-,"-37,000",-,"-25,760,000","9,726,000","9,726,000","2,352,000","1,461,000","7,664,000","-6,203,000","891,000",-,-,"-1,540,000",-,-,-,-,-,"-1,034,000",-,-,-,"-265,000","12,200,000","-514,000","12,714,000",-,-,-,-,-,"7,664,000","-6,203,000",-,"-5,231,000"
64,6/30/2007,"3,253,000","3,253,000","2,279,000","-938,000",-,"382,000","382,000","275,000","275,000","-313,000",-,-,-,-,"1,568,000",-,-,-,-,-,-,-,-,-,-,"-43,897,000","-43,897,000",-,"-27,962,000","-33,649,000","5,687,000",-,-,-,-,-,-,-,-,-,"-13,110,000","40,873,000","40,873,000","30,599,000","3,082,000","5,369,000","-2,287,000","27,517,000",-,-,"-511,000",-,-,-,-,-,"-937,000",-,-,-,"-105,000","12,714,000","229,000","12,485,000",-,-,-,-,-,"5,369,000","-2,287,000",-,"3,253,000"
65,3/31/2007,"5,671,000","5,671,000","2,244,000","-513,000","-513,000","382,000","382,000","184,000","184,000","1,417,000",-,-,-,-,"1,957,000",-,-,-,-,-,-,-,-,-,-,"-10,490,000","-10,490,000",-,"-1,314,000","-9,513,000","8,199,000",-,-,-,-,-,-,-,-,-,"-9,176,000","2,276,000","2,276,000","3,532,000","3,180,000","9,536,000","-6,356,000","352,000",-,-,"-1,183,000",-,-,-,-,-,"-948,000",-,-,-,"-39,000","12,485,000","-2,543,000","15,028,000",-,-,-,-,-,"9,536,000","-6,356,000",-,"5,671,000"
66,12/31/2006,"13,794,000","13,794,000","2,181,000","-1,020,000","-209,000","971,000","971,000","-284,000","-284,000","10,134,000",-,-,-,-,"-2,514,000",-,-,-,-,-,-,-,-,-,-,"-8,368,000","-8,368,000",-,"8,575,000","-1,115,000","9,690,000",-,-,-,-,-,-,-,"-100,000",-,"-8,348,000","-2,989,000","-2,989,000","2,274,000","3,291,000","5,268,000","-1,977,000","-1,017,000",-,-,"-54,000",-,-,-,-,-,"-946,000",-,-,-,"-187,000","15,028,000","2,437,000","12,591,000",-,-,-,-,-,"5,268,000","-1,977,000",-,"13,794,000"
67,9/30/2006,"-2,091,000","-2,091,000","2,194,000","1,315,000","-128,000","976,000","976,000","394,000","394,000","-1,208,000",-,-,-,-,"-5,762,000",-,-,-,-,-,-,-,-,-,-,"12,085,000","12,085,000",-,"20,632,000","-990,000","21,622,000",-,-,-,-,-,-,-,"-194,000",-,"-8,353,000","-11,472,000","-11,472,000","570,000","390,000","3,063,000","-2,673,000","180,000",-,-,"107,000",-,-,-,-,-,"-3,000",-,-,-,"2,000","12,591,000","-1,478,000","14,069,000",-,-,-,-,-,"3,063,000","-2,673,000",-,"-2,091,000"
68,6/30/2006,"3,644,000","3,644,000","2,089,000","-118,000","97,000","734,000","734,000","277,000","277,000","-2,016,000",-,-,-,-,"2,678,000",-,-,-,-,-,-,-,-,-,-,"-10,406,000","-10,406,000",-,"-21,625,000","-31,960,000","10,335,000",-,-,-,-,-,-,-,"-66,000",-,"10,472,000","7,607,000","7,607,000","-8,665,000","-888,000","3,425,000","-4,313,000","-7,777,000",-,-,"-93,000",-,-,-,-,-,"-1,818,000",-,-,-,"195,000","14,069,000","845,000","13,224,000",-,-,-,-,-,"3,425,000","-4,313,000",-,"4,457,000"
69,3/31/2006,"16,747,000","16,747,000","2,018,000","-503,000","-86,000","540,000","540,000","206,000","206,000","2,969,000",-,-,-,-,"11,517,000",-,-,-,-,-,-,-,-,-,-,"-14,011,000","-14,011,000",-,"-9,419,000","-28,397,000","18,978,000",-,-,-,-,-,"-813,000",-,"-266,000",-,"-3,513,000","-4,909,000","-4,909,000","2,311,000","4,853,000","8,499,000","-3,646,000","-2,542,000",-,-,"-161,000",-,-,-,-,-,"-874,000",-,-,-,"31,000","13,224,000","-2,173,000","15,397,000",-,-,-,"-813,000",-,"8,499,000","-3,646,000",-,"15,934,000"
70,12/31/2005,"-3,569,000","-3,569,000","1,930,000","-2,897,000","-2,582,000","1,159,000","1,159,000","599,000","599,000","3,940,000",-,-,-,-,"-8,300,000",-,-,-,-,-,-,-,-,-,-,"-21,067,000","-21,067,000",-,"-4,108,000","-17,501,000","13,393,000",-,-,-,-,-,-,-,-,-,"-17,025,000","26,102,000","26,102,000","3,730,000","3,082,000","4,188,000","-1,106,000","648,000",-,-,"-308,000",-,-,-,-,-,"-870,000",-,-,-,"-1,871,000","15,397,000","1,466,000","13,931,000",-,-,-,-,-,"4,188,000","-1,106,000",-,"-3,569,000"
71,9/30/2005,"-28,397,000","-28,397,000","1,975,000","2,434,000","2,712,000","1,000,000","1,000,000","-357,000","-357,000","-21,596,000",-,-,-,-,"-11,853,000",-,-,-,-,-,-,-,-,-,-,"15,557,000","15,557,000",-,"-2,429,000","-7,889,000","5,460,000",-,-,-,-,-,-,-,-,-,"17,980,000","12,809,000","12,809,000","836,000","-4,451,000","4,114,000","-8,565,000","5,287,000",-,-,"-710,000",-,-,-,-,-,"-879,000",-,-,-,"177,000","13,931,000","-31,000","13,962,000",-,-,-,-,-,"4,114,000","-8,565,000",-,"-28,397,000"
72,6/30/2005,"13,215,000","13,215,000","1,910,000","-724,000","-163,000","949,000","949,000","110,000","110,000","1,100,000",-,-,-,-,"9,870,000",-,-,-,-,-,-,-,-,-,-,"-12,681,000","-12,681,000",-,"1,935,000","-1,342,000","3,277,000",-,-,-,-,-,-,-,"-11,000",-,"-14,605,000","-39,000","-39,000","-615,000","5,931,000","9,156,000","-3,225,000","-6,546,000",-,-,"-480,000",-,-,-,-,-,"-811,000",-,-,-,"17,000","13,962,000","495,000","13,467,000",-,-,-,-,-,"9,156,000","-3,225,000",-,"13,215,000"
