,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Other Short Term Investments,Long Term Equity Investment,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
27,6/30/2016,"925,635","162,624","162,624","162,624",-,-,-,-,-,0,0,-,"1,231","1,231",-,"150,299",-,"150,299",-,"569,668","579,774","65,359",910,"488,865","24,640","7,680","-2,426","27,891","27,891",-,-,"13,922",-,-,-,-,-,-,-,-,-,-,-,-,-,"925,635","843,642","838,458","572,422","572,422","266,036",-,"5,184","5,184","5,184",-,-,-,-,-,-,-,-,"5,184","81,993","81,993","24,682",-,"24,682","51,239","3,346","2,726",-,-,-,"81,993",-,"81,993",-,"81,993",-,-,"8,088","8,088",-
28,3/31/2016,"905,750","159,568","154,033","154,033",-,-,-,-,"5,535","5,535","5,535",-,"2,066","2,066",-,"144,261",-,"144,261",-,"557,573","568,227","72,715",815,"474,652","20,045","7,557","-3,097","28,245","28,245",-,-,"14,037",-,-,-,-,-,-,-,-,-,-,-,-,-,"905,750","826,790","822,440","561,567","561,567","260,873",-,"4,350","4,350","4,350",-,-,-,-,-,-,-,-,"4,350","78,960","78,960","24,682",-,"24,682","49,334","3,280","1,664",-,-,-,"78,960",-,"78,960",-,"78,960",-,-,"8,088","8,088",-
29,12/31/2015,"897,038","190,603","174,778","174,778",-,-,-,-,"15,825","15,825","15,825","3,716","2,066","2,066","13,747","131,546",-,"131,546",388,"530,394","541,032","63,776",774,"455,635","20,847","7,356","-3,282","2,420","2,420",-,749,"14,277","24,961","4,755","8,939","7,132",-,"4,135",-,"-10,684","1,693",662,"1,031","5,439","5,439","897,038","818,775","814,679","535,324","535,324","279,367",-,"4,084","4,084","4,084",-,-,-,-,-,-,-,-,"4,096","78,263","78,263","24,682",-,"24,682","48,795","3,217","1,569",-,-,-,"78,263",-,"78,263",-,"78,263",-,-,"8,078","8,078",-
30,9/30/2015,"793,723","156,614","136,594","136,594",-,-,-,-,"20,020","20,020","20,020",-,834,834,-,"129,497",-,"129,497",-,"469,616","477,327","48,943",638,"414,417","13,329","7,389",-322,"23,426","23,426",-,-,"13,736",-,-,-,-,-,-,-,-,-,-,-,-,-,"793,723","716,576","712,577","484,048","484,048","228,529",-,"3,999","3,999","3,999",-,-,-,-,-,-,-,-,"3,999","77,147","77,147","24,682",-,"24,682","48,304","3,107","1,054",-,-,-,"77,147",-,"77,147",-,"77,147",-,-,"8,078","8,078",-
31,6/30/2015,"764,008","142,014","126,899","126,899",-,-,-,-,"15,115","15,115","15,115",-,834,834,-,"127,897",-,"127,897",-,"455,674","463,463","43,762",787,"406,146","12,768","7,390",-399,"23,874","23,874",-,-,"13,715",-,-,-,-,-,-,-,-,-,-,-,-,-,"764,008","687,843","683,937","476,647","476,647","207,290",-,"3,906","3,906","3,906",-,-,-,-,-,-,-,-,"3,906","76,165","76,165","24,682",-,"24,682","47,810","3,033",640,-,-,-,"76,165",-,"76,165",-,"76,165",-,-,"8,073","8,073",-
32,3/31/2015,"753,552","149,698","130,638","130,638",-,-,-,-,"19,060","19,060","19,060",-,834,834,-,"121,188",-,"121,188",-,"445,316","453,165","50,828",857,"392,049","9,431","7,409",-440,"22,622","22,622",-,-,"13,894",-,-,-,-,-,-,-,-,-,-,-,-,-,"753,552","677,736","672,991","473,151","473,151","199,840",-,"4,745","4,745","4,745",-,-,-,-,-,-,-,-,"4,745","75,816","75,816","24,682",-,"24,682","46,300","2,972","1,862",-,-,-,"75,816",-,"75,816",-,"75,816",-,-,"8,075","8,075",-
33,12/31/2014,"749,477","144,288","132,078","132,078",-,-,-,-,"12,210","12,210","12,210","3,275",884,884,"13,545","121,277",-,"121,277",455,"446,492","454,471","54,051",805,"383,862","15,753","7,534",-445,"2,024","2,024",-,"2,016","14,066","23,573","4,755","8,667","6,479",-,"3,672",-,"-9,507",-,-,-,"2,614","2,614","749,477","674,486","669,581","443,624","443,624","225,957",-,"5,043","5,043","5,043",-,-,-,-,-,-,-,-,"4,905","74,991","74,991","24,682",-,"24,682","45,582","2,910","1,867",-,-,-,"74,991",-,"74,991",-,"74,991",-,-,"8,075","8,075",-
34,9/30/2014,"706,821","117,747","104,977","104,977",-,-,-,-,"12,770","12,770","12,770",-,884,884,-,"124,199",-,"124,199",-,"427,843","435,776","48,197",861,"374,555","12,163","7,541",-392,"22,534","22,534",-,-,"13,614",-,-,-,-,-,-,-,-,-,-,-,-,-,"706,821","634,028","630,178","426,831","426,831","203,347",-,"3,850","3,850","3,850",-,-,-,-,-,-,-,-,"3,850","72,793","72,793","24,682",-,"24,682","43,940","2,798","1,373",-,-,-,"72,793",-,"72,793",-,"72,793",-,-,"8,075","8,075",-
35,6/30/2014,"678,319","88,488","76,093","76,093",-,-,-,-,"12,395","12,395","12,395",-,899,899,-,"124,479",-,"124,479",-,"427,655","435,671","38,815",843,"381,687","14,326","7,602",-414,"23,038","23,038",-,-,"13,760",-,-,-,-,-,-,-,-,-,-,-,-,-,"678,319","606,950","602,978","418,378","418,378","184,600",-,"3,972","3,972","3,972",-,-,-,-,-,-,-,-,"3,972","71,369","71,369","24,682",-,"24,682","42,930","2,736","1,021",-,-,-,"71,369",-,"71,369",-,"71,369",-,-,"8,076","8,076",-
36,3/31/2014,"687,591","115,654","89,279","89,279",-,-,-,-,"26,375","26,375","26,375",-,916.205,916.205,-,"119,598",-,"119,598",-,"414,425","422,510","41,087",846.345,"369,211","11,367","7,615",-469.979,"23,058","23,058",-,-,"13,940",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"619,768","615,997",-,-,-,-,"3,771","3,771","3,771",-,-,-,-,-,-,-,-,-,"67,824","67,824","24,649",-,"24,649","40,393","2,670",112.252,-,-,-,"67,824",-,"67,824",-,"67,824",-,-,"8,071","8,071",-
