,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Non Current Deferred Liabilities,Non Current Deferred Revenue,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
31,6/30/2015,"97,080,076","5,396,710","5,393,710","1,347,858",-,"4,045,852","3,000","3,000","3,000",-,"15,028,646","277,009","14,751,637","3,164,585","11,250,877","67,201,265","68,131,252","20,111,028","11,133,194","36,887,030",-,"929,987",-,"5,327,294","5,327,294",-,-,"590,567",-,-,-,-,-,-,-,"3,535,594","3,513,325","22,269",-,"5,917,861","84,412,079","72,629,619","44,955,031","44,955,031","27,674,588","153,299","153,299",-,"1,453,249","1,453,249","1,453,249",-,"153,299","153,299","153,299","10,175,912","10,175,912",-,-,-,-,-,"12,667,997","12,667,997","12,667,997","1,231,500","11,436,497","8,107,525","3,477,611",-,"-217,502",-,"22,843,909","1,231,500","11,436,497",-,"9,132,403","21,765,708","7,900,903","10,329,211","4,935,501","133,062","133,062",781.5,-
32,3/31/2015,"98,377,783","7,658,344","7,561,307","1,269,816",-,"6,291,491","97,037","97,037","97,037",-,"14,756,355","363,085","14,393,270","3,360,812","10,703,500","66,177,669","67,099,042","19,775,494","10,973,719","36,349,829",-,"921,373",-,"5,630,460","5,630,460",-,-,"602,096",-,-,-,-,-,-,-,"3,552,859","3,524,625","28,234",-,"6,232,556","85,849,482","73,594,120","46,413,000","46,413,000","27,181,120","193,495","193,495",-,"1,552,724","1,552,724","1,552,724",-,"193,495","193,495","193,495","10,509,143","10,509,143",-,-,-,-,-,"12,528,301","12,528,301","12,528,301","1,231,500","11,296,801","7,934,820","3,445,707",-,"-152,491",-,"23,037,444","1,231,500","11,296,801",-,"8,975,442","21,999,439","7,743,942","10,702,638","3,141,331","132,910","132,910",781.5,-
33,12/31/2014,"96,685,535","7,844,224","7,760,832","1,289,965",-,"6,470,867","83,392","83,392","83,392",-,"13,301,717","308,175","12,993,542","3,507,868","9,156,932","65,749,394","66,668,956","19,461,292","10,982,794","36,224,870",-,"919,562","-230,413","6,954,768","5,617,564",-,"1,337,204","612,984","1,314,422","82,335","407,653","605,282","219,152",-,"-701,438","3,559,652","3,524,625","35,027",-,"6,230,548","84,349,639","73,582,053","46,634,173","46,634,173","26,947,880","1,592,676","192,676","1,400,000","1,567,951","1,567,951","1,567,951",-,"192,676","192,676","192,676","9,006,959","9,006,959","1,161,514",-,-,-,-,"12,335,896","12,335,896","12,335,896","1,231,500","11,104,396","7,807,119","3,409,506",-,"-180,994",-,"21,342,855","1,231,500","11,104,396",-,"8,776,244","20,304,031","7,544,744","9,199,635","1,438,803","132,313","132,313",781.5,-
34,9/30/2014,"97,228,342","9,199,707","9,121,941","1,445,877",-,"7,676,064","77,766","77,766","77,766",-,"13,645,281","296,913","13,348,368","3,635,815","9,384,017","64,653,726","65,572,359","19,112,009","10,854,095","35,606,255",-,"918,633",-,"5,550,730","5,550,730",-,-,"612,076",-,-,-,-,-,-,-,"3,566,822","3,524,625","42,197",-,"6,162,806","84,895,026","74,341,502","46,900,978","46,900,978","27,440,524","164,609","164,609",-,"1,327,524","1,327,524","1,327,524",-,"164,609","164,609","164,609","9,061,391","9,061,391",-,-,-,-,-,"12,333,316","12,333,316","12,333,316","1,231,500","11,101,816","7,642,995","3,377,714",-,"12,467",-,"21,394,707","1,231,500","11,101,816",-,"8,766,494","20,327,816","7,534,994","9,226,000","104,059","132,100","132,100",781.5,-
35,6/30/2014,"90,835,002","4,949,966","4,859,727","1,827,197",-,"3,032,530","90,239","90,239","90,239",-,"12,433,520","313,325","12,120,195","3,760,665","8,008,779","63,830,027","64,747,693","19,105,892","10,610,761","35,031,040",-,"917,666",-,"5,422,303","5,422,303",-,-,"625,006",-,-,-,-,-,-,-,"3,574,180","3,524,625","49,555",-,"6,047,309","78,666,247","69,829,255","43,740,492","43,740,492","26,088,763","161,631","161,631",-,"1,283,430","1,283,430","1,283,430",-,"161,631","161,631","161,631","7,391,931","7,391,931",-,-,-,-,-,"12,168,755","12,168,755","12,168,755","1,231,500","10,937,255","7,481,077","3,347,314",-,"40,308",-,"19,560,686","1,231,500","10,937,255",-,"8,594,575","18,490,817","7,363,075","7,553,562","2,693,835","131,911","131,911",781.5,-
36,3/31/2014,"88,530,360","5,062,303","4,970,237","1,671,052",-,"3,299,185","92,066","92,066","92,066",-,"10,679,056","314,807","10,364,249","3,873,985","6,191,571","63,218,310","64,135,078","18,896,070","10,360,827","34,878,181",-,"916,768",-,"5,359,311","5,359,311",-,-,"627,966",-,-,-,-,-,-,-,"3,583,414","3,524,625","58,789",-,"5,987,277","76,643,497","68,699,366","43,455,166","43,455,166","25,244,200","230,209","230,209",-,"1,462,725","1,462,725","1,462,725",-,"230,209","230,209","230,209","6,251,197","6,251,197",-,-,-,-,-,"11,886,863","11,886,863","11,886,863","1,231,500","10,655,363","7,309,912","3,302,402",-,"-25,261",-,"18,138,060","1,231,500","10,655,363",-,"8,303,449","17,136,769","7,071,949","6,481,406","1,511,169","131,389","131,389",781.5,-
37,12/31/2013,"85,162,391","3,324,072","3,224,499","1,573,361",-,"1,651,138","99,573","99,573","99,573",-,"9,172,628","376,131","8,796,497","3,966,130","4,531,786","63,156,483","64,073,159","18,705,216","10,291,514","35,076,429",-,"916,676","-252,624","6,681,140","5,282,212",-,"1,398,928","633,520","1,261,890","84,220","403,196","565,527","208,947",-,"-628,370","3,593,476","3,524,625","68,851",-,"5,915,732","73,856,859","67,118,612","42,457,605","42,457,605","24,661,007","1,660,455","260,455","1,400,000","1,368,922","1,368,922","1,368,922",-,"260,455","260,455","260,455","5,108,870","5,108,870","29,079",-,-,-,-,"11,305,532","11,305,532","11,305,532","881,500","10,424,032","7,188,004","3,232,014",-,"-64,159",-,"16,414,402","881,500","10,424,032",-,"7,712,056","15,793,357","6,830,556","5,369,325","2,144,826","130,516","130,516",431.5,-
38,9/30/2013,"84,427,485","3,985,564","3,867,755","1,941,944",-,"1,925,811","117,809","117,809","117,809",-,"8,681,143","371,370","8,309,773","3,319,114","4,692,180","62,742,672","63,659,042","17,911,149","10,174,623","35,573,270",-,"916,370",-,"4,799,396","4,799,396",-,-,"614,795",-,-,-,-,-,-,-,"3,603,915","3,524,625","79,290",-,"5,414,191","73,411,283","66,552,141","42,401,370","42,401,370","24,150,771","246,019","246,019",-,"1,491,797","1,491,797","1,491,797",-,"246,019","246,019","246,019","5,121,326","5,121,326",-,-,-,-,-,"11,016,202","11,016,202","11,016,202","879,010","10,137,192","7,074,287","3,192,981",-,"-198,062",-,"16,137,528","879,010","10,137,192",-,"7,412,287","15,504,537","6,533,277","5,367,345","1,499,590","130,194","130,194",431.5,-
39,6/30/2013,"83,229,005","4,029,856","3,905,369","1,350,015",-,"2,555,354","124,487","124,487","124,487",-,"5,588,761","378,235","5,210,526","1,819,691","3,085,086","65,044,801","65,971,866","18,021,812","11,433,911","36,516,143",-,"927,065",-,"4,355,508","4,355,508",-,-,"595,536",-,-,-,-,-,-,-,"3,614,543","3,524,625","89,918",-,"4,951,044","72,512,675","65,661,470","41,586,655","41,586,655","24,074,815","307,740","307,740",-,"1,421,067","1,421,067","1,421,067",-,"307,740","307,740","307,740","5,122,398","5,122,398",-,-,-,-,-,"10,716,330","10,716,330","10,716,330","876,796","9,839,534","6,887,070","3,112,666",-,"-227,771",-,"15,838,728","876,796","9,839,534",-,"7,101,787","15,269,672","6,224,991","5,430,138","1,524,769","129,417","129,417",431.5,-
40,3/31/2013,"82,811,957","3,130,837","2,535,861","1,231,091",-,"1,304,770","594,976","594,976","594,976",-,"6,080,975","420,144","5,660,831","959,199","4,400,742","64,997,150","65,924,267","17,469,138","11,415,733","37,039,396",-,"927,117",-,"4,386,380","4,386,380",-,-,"589,570",-,-,-,-,-,-,-,"3,627,045","3,524,625","102,420",-,"4,975,950","72,389,000","65,089,726","41,485,755","41,485,755","23,603,971","374,593","374,593",-,"1,530,118","1,530,118","1,530,118",-,"374,593","374,593","374,593","5,394,563","5,394,563",-,-,-,-,-,"10,422,957","10,422,957","10,422,957","874,627","9,548,330","6,645,195","3,061,783",-,"-225,953",-,"15,817,520","874,627","9,548,330",-,"6,795,912","15,317,486","5,921,285","5,769,156","3,233,295","128,953","128,953",431.5,-
41,12/31/2012,"83,008,803","2,116,560","2,113,560","1,983,615",-,"129,945","3,000","3,000","3,000",-,"6,563,327","488,966","6,074,361","1,032,276","4,739,437","65,645,097","66,570,957","17,776,953","11,559,377","37,234,627",-,"925,860","-219,229","5,921,717","4,448,779",-,"1,472,938","594,652","1,160,729","84,545","394,658","483,028","198,498",-,"-566,077","3,640,388","3,524,625","115,763",-,"5,043,431","72,806,210","65,611,253","41,370,451","41,370,451","24,240,802","2,474,482","1,074,482","1,400,000","1,512,717","1,512,717","1,512,717",-,"1,074,482","1,074,482","1,074,482","4,607,758","4,607,758","30,066",-,-,-,-,"10,202,593","10,202,593","10,202,593","872,500","9,330,093","6,477,276","3,025,520",-,"-240,264",-,"14,810,351","872,500","9,330,093",-,"6,562,205","15,012,333","5,689,705","5,682,240","3,568,680","128,177","128,177",431.5,-
42,9/30/2012,"81,085,233","2,034,922","2,034,922",-,-,"2,034,922",-,-,0,-,"7,150,848","526,844","6,624,004","1,121,325",-,"63,190,732","64,111,955","16,704,575","11,628,744","35,778,636",-,"921,223",-,"4,465,443","4,465,443","4,465,443",-,"589,035",-,-,-,-,-,-,-,"3,654,253","3,524,625","129,628",-,"5,054,478","71,139,706","64,007,258","41,038,857","41,038,857","22,968,401","592,154",-,-,"1,570,758","1,570,758","1,570,758",-,"592,154","592,154","592,154","4,969,536","4,969,536",-,-,-,-,-,"9,945,527","9,945,527","870,416","870,416","67,153","6,286,785","2,951,248",-,"-230,075","9,075,111","14,915,063","870,416","9,075,111",-,"6,291,274","14,636,801","5,420,858","5,561,690","3,526,768","127,403","127,403",431.5,-
43,6/30/2012,"80,807,578","2,492,548","2,491,548",-,-,"2,491,548","1,000","1,000","1,000",-,"7,602,238","544,938","7,057,300","1,188,465",-,"61,934,244","62,851,272","41,294,294","11,745,453","9,811,525",-,"917,028",-,"4,517,712","4,517,712","4,517,712",-,"592,498",-,-,-,-,-,-,-,"3,668,338","3,524,625","143,713",-,"5,110,210","71,177,671","62,548,807","39,694,013","39,694,013","22,854,794","975,575",-,-,"1,965,421","1,965,421","1,965,421",-,"975,575","975,575","975,575","5,687,868","5,687,868",-,-,-,-,-,"9,629,907","9,629,907","868,433","868,433","66,723","6,098,084","2,874,516",-,"-277,849","8,761,474","15,317,775","868,433","8,761,474",-,"5,961,569","15,424,917","5,093,136","6,663,443","4,171,895","126,588","126,588",50,-
44,3/31/2012,"79,186,887","2,626,132","2,626,132",-,-,"2,626,132",-,-,0,-,"7,195,296","517,620","7,195,296","1,000,294",-,"60,012,744","60,921,750","15,938,672","11,799,929","33,183,149",-,"909,006",-,"517,620","517,620","4,570,818",-,"580,033",-,-,-,-,-,-,-,"3,684,244","3,524,625","159,619",-,"5,150,851","69,758,199","60,912,943","40,263,973","40,263,973","20,648,970","461,977",-,-,"1,856,749","1,856,749","1,856,749","1,856,749","511,981","511,981","511,981","6,476,526","6,476,526",-,-,-,-,-,"9,428,688","9,428,688","9,428,688","866,489","8,562,199","5,969,236","2,857,556",-,"-331,258",-,"15,905,214","866,489","8,562,199",-,"5,744,444","15,550,706","4,877,955","6,988,507","4,362,375","126,476","126,476",431.5,-
45,12/31/2011,"77,924,287","1,607,357","1,604,507","1,449,547",-,"154,960","2,850","2,850","2,850",-,"8,234,988","561,834","366,886","1,077,708","6,228,560","57,655,100","58,845,260","14,419,490","12,020,229","32,405,541",-,"908,290","-281,870","6,144,388","4,611,773","4,611,773","1,532,615","581,435","1,096,327","86,120","366,218","445,610","198,379",-,"-514,892","3,701,019","3,524,625","176,394",-,-,"68,653,078","59,394,649","39,376,766","39,376,766","20,017,883","2,132,059","732,059","1,400,000","1,790,121","1,790,121","1,790,121","1,790,121","50,023","50,023","50,023","5,286,226","5,286,226","1,398,407",-,-,-,-,"9,271,209","9,271,209","931,499","864,585","66,914","5,867,165","2,828,986",0,"-356,441",-,"14,557,435","864,585","8,406,624",-,"5,570,190","13,742,873","4,705,605","5,336,249","3,731,742","125,683","124,989",431.5,693.974
46,9/30/2011,"77,863,891","3,580,836","3,575,836",-,-,"3,575,836","5,000","5,000","5,000",-,"7,779,354","605,557","6,011,960","1,161,837",-,"57,492,739","58,401,264","15,218,502","12,156,005","31,026,757",-,"908,525",-,"4,659,186","4,659,186","4,659,186",-,"569,495",-,-,-,-,-,-,-,"3,782,281","3,524,625","257,656",-,-,"68,488,765","59,482,389","39,844,898","39,844,898","19,637,491","551,471",-,-,"1,563,121","1,563,121","1,563,121",-,"142,927","142,927","142,927","6,748,857","6,748,857",-,-,-,-,-,"9,375,126","9,375,126","929,588","862,717","66,871","5,823,928","2,814,143",0,"-192,533",-,"16,123,983","862,717","8,512,409",-,"5,592,845","15,404,193","4,730,128","6,891,784","3,315,948","125,610","125,610",431.5,-
47,6/30/2011,"77,727,154","3,988,365","3,572,785",-,-,"3,572,785","415,580","415,580","35,580","380,000","6,492,265","502,986","6,492,265","1,219,686",-,"57,633,640","58,541,229","15,040,892","12,265,690","31,234,647",-,"907,589",-,"502,986","502,986","4,743,109",-,"567,107",-,-,-,-,-,-,-,"3,799,682","3,524,625","275,057",-,"5,310,216","68,482,960","59,229,215","40,630,387","40,630,387","18,598,828","452,091",-,-,"1,557,685",-,-,"1,557,685","567,144","567,144","567,144","7,128,916","7,128,916",-,-,-,-,-,"9,244,194","9,244,194","9,244,194","860,901","8,383,293","5,745,253","2,800,002",0,"-228,769","4,030","16,373,110","860,901","8,383,293",-,"5,444,512","16,079,353","4,583,611","7,696,060","4,123,275","125,487","125,487",431.5,-
48,3/31/2011,"67,881,208","1,082,406","1,072,106",-,-,"1,072,106","10,300","10,300","10,300",-,"6,507,165","413,737","6,507,165","1,262,089",-,"51,214,978","52,118,681","13,826,299","11,245,807","27,046,575",-,"903,703",-,"413,737","413,737","4,593,402",-,"431,292",-,-,-,-,-,-,-,"3,638,228","3,524,625","113,603",-,"5,024,694","59,373,690","50,548,099","35,328,537","35,328,537","15,219,562","441,196",-,-,"1,015,495","1,015,495","1,015,495","1,015,495","504,676","504,676","504,676","7,305,420","7,305,420",-,-,-,-,-,"8,507,518","8,507,518","8,507,518","743,385","7,764,133","5,534,909","2,367,556","4,898","-197,521",-,"15,812,938","743,385","7,764,133",-,"4,869,290","15,574,229","4,125,905","7,810,096","6,737,990","120,397","120,344",778,52.284
49,12/31/2010,"68,021,263","1,034,977","1,009,977","908,755",-,"101,222","25,000","25,000","25,000",-,"7,674,374","523,834","412,709","1,324,339","5,413,492","49,440,906","50,669,407","11,999,065","11,483,564","27,186,778",-,"902,941","-325,560","5,784,627","4,138,092","4,138,092","1,646,535","435,837","886,399","64,728","281,419","367,614","172,638",-,"-450,562","3,650,542","3,524,625","125,917",-,-,"59,663,568","49,805,284","35,247,716","35,247,716","14,557,568","2,491,556","866,555","1,625,001","1,070,701","1,070,701","1,070,701","1,070,701","80,877","80,877","80,877","6,215,150","6,215,150","2,872,429",-,-,-,-,"8,357,695","8,357,695","805,044","740,657","64,387","5,426,701","2,398,615","67,445","-205,220","4,189","14,572,845","740,657","7,617,038",-,"4,707,153","13,913,065","3,966,496","6,296,027","5,286,050","120,397","119,703",778,693.974
50,9/30/2010,"68,246,837","1,915,949","1,472,249",-,-,"1,472,249","443,700","443,700","18,700","425,000","7,662,715","536,702","7,662,715","1,425,717",-,"49,896,838","50,791,558","33,368,586","17,422,972","5,754,432",-,"894,720",-,"4,149,470","4,149,470","4,149,470",-,"421,352",-,-,-,-,-,-,-,"3,663,811","3,524,625","139,186",-,"5,107,524","60,015,064","48,654,623","33,989,020","33,989,020","14,665,603","1,142,103",-,-,"1,157,250",-,-,"1,157,250","1,211,683","1,211,683","1,211,683","8,991,508","8,991,508",-,-,-,-,-,"8,231,773","8,231,773","802,323","737,979","64,344","5,319,198","2,408,737","105,931","-192,554",-,"17,223,281","737,979","8,231,773",-,"4,567,962","18,434,964","4,567,962","10,203,191","8,730,942","120,397","119,364",778,"1,033"
51,6/30/2010,"68,153,616","1,173,712","1,163,712",-,-,"1,163,712","10,000","10,000","10,000",-,"8,097,572","487,692","8,097,572","1,481,541",-,"50,166,619","51,061,286","33,630,503","17,430,783",-,"5,729,126","894,667",-,"4,128,127","4,128,127","4,128,127",-,"422,557",-,-,-,-,-,-,-,"3,677,337","3,524,625","152,712",-,"5,038,376","60,051,772","47,522,671","33,561,948","33,561,948","13,960,723","2,059,653",-,-,"1,114,615",-,-,"1,114,615","2,158,957","2,158,957","2,158,957","9,255,529","9,255,529",-,-,-,-,-,"8,101,844","8,101,844","8,101,844","735,350","7,366,494","5,223,834","2,409,607","134,025","-197,197",-,"17,357,373","735,350","7,366,494",-,"4,424,507","18,780,980","3,689,157","11,414,486","10,250,774","120,397","119,091",778,"1,305"
52,3/31/2010,"68,439,222","1,164,974","1,154,574","1,033,269",-,"121,305","10,400","10,400","10,400",-,"8,508,122","403,476","8,104,646","1,509,805",-,"50,552,776","51,444,041","13,220,181","11,835,583","26,388,277","51,800,817","891,265","-356,776","4,093,297","4,093,297","4,093,297",-,"427,883",-,-,-,-,-,-,-,"3,692,170","3,524,625","167,545",-,"4,521,180","60,523,535","47,538,405","33,915,586","33,915,586","13,622,819","1,740,059",-,-,"1,048,473","1,048,473","1,048,473","1,048,473","1,870,763","1,870,763","1,870,763","10,065,894","10,065,894",-,-,-,-,-,"7,915,687","7,915,687","7,915,687","732,769","7,182,918","5,131,600","2,411,402","169,174","-255,181",-,"17,981,581","732,769","7,182,918",-,"4,223,517","19,119,575","3,490,748","11,936,657","10,782,083","120,397","118,753",778,"1,644"
53,12/31/2009,"68,880,399","1,379,677","1,359,558","1,226,223",-,"133,335","20,119","20,119","20,119",-,"8,167,593","386,984","508,624","567,607","6,704,378","49,181,364","50,429,157","11,913,437","12,041,617","26,474,103",-,"878,022","-369,771","6,008,877","4,131,577","4,131,577","1,877,300","435,845","846,804","63,961","272,312","345,421","165,110",-,"-410,959","3,707,043","3,524,625","182,418",-,-,"61,127,492","47,449,838","33,655,202","33,655,202","13,794,636","3,836,693","2,211,692","1,625,001","995,056","995,056","995,056","995,056","230,890","230,890","230,890","8,615,015","8,615,015","5,224,487",-,-,-,-,"7,752,907","7,752,907","794,775","730,235","64,540","5,076,884","2,442,947","225,702","-335,997",-,"16,367,922","730,235","7,022,672",-,"4,045,864","15,868,577","3,315,629","8,845,905","7,486,347","120,397","118,223",778,"2,174"
54,9/30/2009,"68,997,450","1,428,157","1,410,951","1,356,508",-,"54,443","17,206","17,206","17,206",-,"8,131,326","497,064","7,634,262","598,743",-,"51,335,898","52,203,772",-,-,-,"52,203,772","867,874","-357,079","3,941,710","3,941,710","3,941,710",-,"436,586",-,-,-,-,-,-,-,"3,723,773","3,524,625","199,148",-,"4,378,296","61,385,087","46,861,851","34,131,768","34,131,768","12,730,083","2,298,032",-,-,"1,241,576","1,241,576","1,241,576","1,241,576","2,927,268","2,927,268","2,927,268","10,354,392","10,354,392",-,-,-,-,-,"7,612,363","7,612,363","7,612,363","727,748","6,884,615","5,035,808","2,448,843","245,239","-419,286",-,"17,966,755","727,748","6,884,615",-,"3,888,590","20,166,275","3,160,842","13,281,660","11,870,709","120,397","118,082",778,"2,315"
55,6/30/2009,"69,913,217","1,210,678","1,208,378","1,148,428",-,"59,950","2,300","2,300","2,300",-,"8,650,758","495,324","8,155,434","610,777",-,"51,859,279","52,714,644",-,-,-,"52,714,644","855,365","-360,749","4,009,643","4,009,643","4,009,643",-,"442,162",-,-,-,-,-,-,-,"3,740,697","3,524,625","216,072",-,"4,451,805","62,513,053","46,754,707","34,350,708","34,350,708","12,403,999","901,422",-,-,"1,238,959","1,238,959","1,238,959","1,238,959","2,951,149","2,951,149","2,951,149","11,568,238","11,568,238",-,-,-,-,-,"7,400,164","7,400,164","789,914","725,472","64,442","5,003,551","2,448,851","261,396","-580,756",-,"18,968,402","725,472","7,400,164",-,"3,659,467","14,519,387","3,659,467","14,519,387","13,311,009","120,470","118,012",778,"2,458"
56,3/31/2009,"64,883,195","1,271,019","1,145,219",-,-,"1,145,219","125,800","125,800","35,800","90,000","8,278,647","591,802","7,217,277","469,568",-,"48,072,169","49,265,675",-,-,-,"49,265,675","845,971","-347,535","3,514,949","3,514,949","3,514,949",-,"386,157",-,-,-,-,-,-,-,"3,360,254","3,192,128","168,126",-,-,"57,981,356","42,477,356","32,932,424","32,932,424","9,544,932","1,565,234",-,-,"1,326,545",-,-,"1,326,545","1,076,577","1,076,577","1,076,577","11,535,644","11,535,644",-,-,-,-,-,"6,901,839","6,901,839","628,482","568,284","60,198","5,043,633","2,845,127","997,182","-622,409","4,188","18,437,483","568,284","6,333,555",-,"3,541,585","18,945,776","2,973,301","12,612,221","11,467,002","119,527","110,190",600,"9,338"
57,12/31/2008,"65,815,757","1,668,435","1,557,088","1,546,804",-,"10,284","111,347","111,347","21,347","90,000","8,537,028","617,821","583,176","485,838","6,850,193","46,497,538","47,644,716","12,848,070","11,004,275","23,792,371",-,"787,904","-359,274","5,348,277","3,633,256","3,633,256","1,715,021","388,855","771,128","55,081","260,888","312,696","142,463",-,"-382,273","3,375,624","3,192,128","183,496",-,-,"59,031,026","42,581,263","33,725,149","33,725,149","8,856,114","2,595,530","970,529","1,625,001","1,364,879","1,364,879","1,364,879","1,364,879","2,039,206","2,039,206","2,039,206","10,450,148","10,450,148","7,007,584",-,-,-,-,"6,784,731","6,784,731","632,278","567,463","64,815","5,062,754","2,897,907","1,071,327","-736,881",-,"17,234,879","567,463","6,217,268",-,"3,409,107","18,706,622","2,841,644","12,489,354","10,932,266","121,092","111,060",-,"10,031"
58,9/30/2008,"65,247,215","1,491,121","1,382,521","1,368,917","1,368,917","13,604","108,600","108,600","108,600",-,"8,803,861","370,420","8,433,441",-,-,"47,912,860","48,693,543",-,-,-,"48,693,543","780,683","-350,959","3,274,510","3,274,510","3,274,510",-,"374,181",-,-,-,-,-,-,-,"3,390,682","3,192,128","198,554",-,"3,648,691","58,830,531","42,501,293","34,169,233","34,169,233","8,332,060","1,712,859",-,-,"918,029","918,029","918,029",-,"2,929,242","2,929,242","2,929,242","12,481,967","12,481,967",-,-,-,-,-,"6,416,684","6,416,684","60,198",-,"60,198","5,037,799","2,861,495","1,085,384","-457,424",-,"18,898,651",-,"6,416,684",-,"3,026,002","15,411,209","3,026,002","15,411,209","14,028,688","120,448","110,286",-,"10,162"
59,6/30/2008,"65,893,428","1,644,157","1,630,407",-,"1,624,753","5,654","13,750","13,750",-,-,"8,991,825","243,050","8,748,775",-,-,"48,340,540","49,456,691",-,-,-,"49,456,691","774,076","-342,075","3,142,708","3,142,708","3,142,708",-,"368,542",-,-,-,-,-,-,-,"3,405,656",-,-,-,-,"59,374,372","41,925,690","33,441,834","33,441,834","8,483,856","1,822,339",-,-,"917,022","917,022","917,022",-,"1,939,211","1,939,211","1,939,211","12,770,110","12,770,110",-,-,-,-,-,"6,519,056","6,519,056","60,198",-,"60,198","5,023,817","2,853,649","1,090,285","-328,323",-,"19,289,166",-,"6,519,056",-,"3,113,400","21,228,377","3,113,400","14,709,321","13,078,914","110,190","110,190",-,-
60,3/31/2008,"66,085,573","1,783,153","1,770,453",-,"1,763,426","7,027","12,700","12,700",-,-,"9,048,424","372,067","8,676,357",-,-,"48,505,257","49,615,489",-,-,-,"49,615,489","773,624","-336,608","2,960,453","2,960,453","2,960,453",-,"366,065",-,-,-,-,-,-,-,"3,422,221",-,-,-,-,"59,597,611","41,533,010","33,642,684","33,642,684","7,890,326","4,310,957",-,-,"1,196,756","1,196,756","1,196,756",-,"1,884,477","1,884,477","1,884,477","10,672,411","10,672,411",-,-,-,-,-,"6,487,962","6,487,962","60,198",-,"60,198","4,940,723","2,849,320","1,107,324","-254,955",-,"17,160,373",-,"6,487,962",-,"3,065,741","19,044,850","3,065,741","12,556,888","10,786,435","110,031","110,031",-,-
61,12/31/2007,"64,875,639","1,785,978","1,737,940","1,719,509","1,719,509","18,431","48,038","48,038","48,038",0,"9,243,242","281,244","506,388","76,441","8,379,169","45,637,265","46,727,404","11,762,168","11,306,719","23,658,517","48,352,262","759,439","-330,700","4,393,400","2,768,542","2,768,542","1,624,858","370,765","731,153","55,117","249,432","302,429","124,175",-,"-360,388","3,444,989","3,196,433","248,556",-,-,"58,390,383","41,266,188","33,134,526","33,134,526","8,131,662","5,976,314","4,351,313","1,625,001","984,353","984,353","984,353",-,"1,470,584","1,470,584","1,470,584","8,692,944","8,692,944","5,697,212",-,-,-,-,"6,485,256","6,485,256","64,974",-,"64,974","4,815,585","2,848,752","1,129,233","-114,822",-,"15,178,200",-,"6,485,256",-,"3,040,267","16,648,784","3,040,267","10,163,528","8,425,588","109,852","109,852",-,-
62,9/30/2007,"60,008,123","1,703,877","1,303,880",-,"1,295,377","8,503","399,997","399,997",-,-,"8,183,034","180,019","8,003,015",-,-,"44,097,974","45,104,046",-,-,-,"45,104,046","680,498","-325,574","2,581,997","2,581,997","2,581,997",-,"332,197",-,-,-,-,-,-,-,"3,109,044",-,-,-,-,"53,770,119","38,473,179","30,907,417","30,907,417","7,565,762","4,273,464",-,-,"859,847","859,847","859,847",-,"647,437","647,437","647,437","9,516,192","9,516,192",-,-,-,-,-,"6,238,004","6,238,004","60,198",-,"60,198","4,827,583","2,897,499","1,465,421","-81,855",-,"15,754,196",-,"6,238,004",-,"3,128,960","16,401,633","3,128,960","10,163,629","8,859,749","106,752","106,752",-,-
