,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Commercial Paper,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
96,3/31/1999,"17,085,000","1,195,900","826,800",-,"801,600","25,200","369,100","369,100",-,-,-,-,-,-,"3,724,700","221,100","3,503,600",-,-,-,"10,707,400","10,949,600",-,-,-,-,"10,949,600","198,900","-43,300",-,-,"236,300",-,-,-,-,-,-,-,"264,700",-,-,"956,000","15,987,500","13,204,800","10,134,000","10,134,000","3,070,800","1,435,800",-,-,-,-,"399,500","399,500",-,-,"399,500","504,400","504,400",-,-,-,"443,000","1,097,500","1,059,700",-,-,-,"732,400",-,-,-,"327,300","37,800","1,564,100",-,"1,059,700",-,"795,000","1,963,600","795,000","903,900","77,100","78,903","78,903",-
97,12/31/1998,"16,648,900","1,476,600","894,900",-,"864,400","30,500","581,700","581,700",-,-,-,-,-,-,"3,680,400","191,900","3,488,500",-,-,-,"10,427,900","10,681,600",-,-,-,-,"10,681,600","205,600","-48,100",-,-,"231,100",-,-,-,-,-,-,-,"271,600",-,-,"561,300","15,600,400","13,321,100","10,150,700","10,150,700","3,170,400","1,299,500",-,-,-,-,"150,000","150,000",-,-,"150,000","510,500","510,500",-,-,-,"319,300","1,048,500","1,013,700",-,-,-,"693,800",-,-,-,"319,900","34,800","1,524,200",-,"1,013,700",-,"742,100","1,674,200","742,100","660,500",-,"78,636","78,636",-
98,9/30/1998,"12,385,400","1,884,800","644,300",-,"618,700","25,600","1,240,500","1,240,500",-,-,-,-,-,-,"2,966,200","203,900","2,762,300",-,-,-,"6,662,800","6,806,800",-,-,-,-,"6,806,800","100,400","-43,600",-,-,"182,900",-,-,-,-,-,-,-,"168,900",-,-,"519,800","11,408,100","8,932,000","6,625,100","6,625,100","2,306,900","1,445,700",-,-,-,-,"26,200","26,200",-,-,"26,200","572,600","572,600",-,-,-,"431,600","977,300","977,300",-,-,-,"660,900",-,-,-,"316,400",-,"1,549,900",-,"977,300",-,"808,400","1,576,100","808,400","598,800",-,"77,595","77,595",-
99,6/30/1998,"11,780,500","1,923,200","738,600",-,"682,100","56,500","1,184,600","1,184,600",-,-,-,-,-,-,"3,128,000","401,900","2,726,100",-,-,-,"6,029,100","6,167,300",-,-,-,-,"6,167,300","96,000","-42,200",-,-,"169,900",-,-,-,-,-,-,-,"171,000",-,-,"359,300","10,855,900","8,312,100","6,147,300","6,147,300","2,164,800","1,645,000",-,-,-,-,"20,400","20,400",-,-,"20,400","504,300","504,300",-,-,-,"374,100","924,600","924,600",-,-,-,"612,200",-,-,-,"312,400",-,"1,428,900",-,"924,600",-,"753,600","1,449,300","753,600","524,700",-,"75,033","75,033",-
100,3/31/1998,"10,611,600","1,740,000","650,800",-,"586,000","64,800","1,089,200","1,089,200",-,-,-,-,-,-,"2,622,500","276,300","2,346,200",-,-,-,"5,557,700","5,691,100",-,-,-,-,"5,691,100","91,900","-41,500",-,-,"157,400",-,-,-,-,-,-,-,"170,000",-,-,"364,000","9,887,800","7,799,000","5,758,100","5,758,100","2,040,900","1,415,300",-,-,-,-,"86,300","86,300",-,-,"86,300","397,800","397,800",-,-,-,"189,400","723,800","723,800",-,-,-,"575,000",-,-,-,"148,800",-,"1,121,600",-,"723,800",-,"553,800","1,207,900","553,800","484,100",-,"69,076","69,076",-
101,12/31/1997,"9,521,800","1,091,600","688,700",-,"626,800","61,900","402,900","402,900",-,-,-,-,-,-,"3,061,400","83,700","2,977,700",-,-,-,"4,791,200","4,914,500",-,-,-,-,"4,914,500","80,500","-42,800",-,-,"136,000",-,-,-,-,-,-,-,-,-,-,"441,600","8,866,300","6,854,400","5,071,700","5,071,700","1,782,700","1,315,900",-,-,-,-,"59,900","59,900",-,-,"59,900","469,200","469,200",-,-,-,"166,900","655,500","655,500",-,-,-,"530,600",-,-,"2,700","122,200",-,"1,124,700",-,"655,500",-,"655,500","1,184,600","655,500","529,100",-,"63,962","63,962",-
102,9/30/1997,"9,059,700","1,917,200","569,500",-,"509,900","59,600","1,347,700","1,347,700",-,-,-,-,-,-,"2,584,200","223,600","2,360,600",-,-,-,"4,120,400","4,229,300",-,-,-,-,"4,229,300","70,300","-38,600",-,-,"121,100",-,-,-,-,-,-,-,"128,400",-,-,"188,400","8,478,600","5,666,300","4,301,700","4,301,700","1,364,600","2,187,000",-,-,-,-,"68,800","68,800",-,-,"68,800","449,000","449,000",-,-,-,"107,500","581,100","581,100",-,-,-,"492,900",-,-,-300,"88,500",-,"1,030,100",-,"581,100",-,"452,700","1,098,900","452,700","517,800",-,"59,426","59,426",-
103,6/30/1997,"8,050,000","1,248,100","468,200",-,"416,900","51,300","779,900","779,900",-,-,-,-,-,-,"2,549,700","438,000","2,111,700",-,-,-,"3,852,400","3,961,100",-,-,-,-,"3,961,100","71,500","-37,200",-,-,"109,800",-,-,-,-,-,-,-,"101,900",-,-,"188,100","7,460,800","5,159,900","3,901,000","3,901,000","1,258,900","1,803,200",-,-,-,-,"39,800","39,800",-,-,"39,800","361,300","361,300",-,-,-,"96,600","589,200","589,200",-,-,-,"470,600",-,-,800,"117,800",-,"950,500",-,"589,200",-,"487,300","990,300","487,300","401,100",-,"60,026","60,026",-
104,3/31/1997,"7,240,600","1,379,300","412,600",-,"361,600","51,000","966,700","966,700",-,-,-,-,-,-,"1,928,600","158,000","1,770,600",-,-,-,"3,633,400","3,740,200",-,-,-,-,"3,740,200","69,300","-37,500",-,-,"97,700",-,-,-,-,-,-,-,-,-,-,"201,600","6,737,000","4,671,700","3,565,600","3,565,600","1,106,100","1,636,100",-,-,-,-,"14,900","14,900",-,-,"14,900","320,700","320,700",-,-,-,"93,600","503,600","503,600",-,-,-,"44,900",-,-,"-2,400","461,100",-,"824,300",-,"503,600",-,"503,600","839,200","503,600","335,600",-,"58,176","58,176",-
105,12/31/1996,"6,485,000","1,017,700","452,000",-,"404,300","47,700","565,700","565,700",-,-,-,-,-,-,"1,809,800","34,100","1,775,700",-,-,-,"3,382,600","3,491,100",-,-,-,-,"3,491,100","70,000","-38,500",-,-,"93,000",-,-,-,-,-,-,-,-,-,-,"181,900","5,977,500","4,552,000","3,392,200","3,392,200","1,159,800","1,003,600",-,-,-,-,"13,500","13,500",-,-,"13,500","325,300","325,300",-,-,-,"83,100","507,500","507,500",-,-,-,"429,500",-,-,"-1,800","79,800",-,"832,800",-,"507,500",-,"507,500","846,300","507,500","338,800",-,"58,920","58,920",-
106,9/30/1996,"6,783,300","1,372,600","424,200",-,"379,700","44,500","948,400","948,400",-,-,-,-,-,-,"1,886,600","150,200","1,736,400",-,-,-,"3,244,600","3,351,300",-,-,-,-,"3,351,300","69,300","-37,400",-,-,"90,600",-,-,-,-,-,-,-,-,-,-,"188,900","6,292,800","4,572,600","3,483,200","3,483,200","1,089,400","1,493,800",-,-,-,-,"15,700","15,700",-,-,"15,700","131,000","131,000",-,-,-,"79,700","490,500","490,500",-,-,-,"409,100",-,-,"-2,400","83,800",-,"621,500",-,"490,500",-,"490,500","637,200","490,500","146,700",-,"59,068","59,068",-
107,6/30/1996,"6,087,900","725,000","379,600",-,"338,600","41,000","345,400","345,400",-,-,-,-,-,-,"1,942,300","175,300","1,767,000",-,-,-,"3,142,900","3,247,500",-,-,-,-,"3,247,500","69,300","-35,300",-,-,"88,600",-,-,-,-,-,-,-,-,-,-,"189,100","5,614,400","4,340,300","3,340,100","3,340,100","1,000,200","1,052,800",-,-,-,-,"17,900","17,900",-,-,"17,900","134,400","134,400",-,-,-,"69,000","473,500","473,500",-,-,-,"389,900",-,-,"-1,000","84,600",-,"607,900",-,"473,500",-,"473,500","625,800","473,500","152,300",-,"59,092","59,092",-
108,3/31/1996,"6,202,700","1,432,400","431,500",-,"394,500","37,000","1,000,900","1,000,900",-,-,-,-,-,-,"1,620,900","81,900","1,539,000",-,-,-,"2,903,400","3,004,100",-,-,-,-,"3,004,100","67,600","-33,100",-,-,"83,600",-,-,-,-,-,-,-,-,-,-,"162,400","5,764,100","4,171,000","3,234,700","3,234,700","936,300","1,356,700",-,-,-,-,"18,400","18,400",-,-,"18,400","138,300","138,300",-,-,-,"79,700","438,600","438,600",-,-,-,"370,900",-,-,200,"67,500",-,"576,900",-,"438,600",-,"438,600","595,300","438,600","156,700",-,"58,112","58,112",-
109,12/31/1995,"5,620,600","1,105,400","452,700",-,"418,100","34,600","652,700","652,700",-,-,-,-,-,-,"1,540,500","63,700","1,476,800",-,-,-,"2,739,400","2,838,000",-,-,-,-,"2,838,000","67,600","-31,000",-,-,"82,600",-,-,-,-,-,-,-,-,-,-,"152,700","5,192,100","4,097,200","3,098,600","3,098,600","998,600","865,300",-,-,-,-,"14,900","14,900",-,-,"14,900","142,400","142,400",-,-,-,"72,300","428,500","428,500",-,-,-,"353,200",-,-,"1,900","73,400",-,"570,900",-,"428,500",-,"428,500","585,800","428,500","157,300",-,"58,224","58,224",-
110,9/30/1995,"5,667,700","1,102,100","372,500",-,"342,600","29,900","729,600","729,600",-,-,-,-,-,-,"1,716,400","155,800","1,560,600",-,-,-,"2,611,200","2,708,500",-,-,-,-,"2,708,500","68,300","-29,000",-,-,"82,100",-,-,-,-,-,-,-,-,-,-,"155,900","5,257,700","4,095,000","3,178,100","3,178,100","916,900","922,700",-,-,-,-,"15,500","15,500",-,-,"15,500","147,600","147,600",-,-,-,"76,900","410,000","410,000",-,-,-,"336,600",-,-,-100,"73,500",-,"557,600",-,"410,000",-,"410,000","573,100","410,000","163,100",-,"58,156","58,156",-
111,6/30/1995,"5,664,300","1,253,100","351,900",-,"325,400","26,500","901,200","901,200",-,-,-,-,-,-,"1,594,100","73,300","1,520,800",-,-,-,"2,584,000","2,678,100",-,-,-,-,"2,678,100","67,800","-26,300",-,-,"80,200",-,-,-,-,-,-,-,-,-,-,"152,900","5,272,000","3,890,200","2,999,400","2,999,400","890,800","1,131,800",-,-,-,-,"27,800","27,800",-,-,"27,800","152,000","152,000",-,-,-,"70,200","392,300","392,300",-,-,-,"319,500",-,-,"-1,500","74,300",-,"544,300",-,"392,300",-,"392,300","572,100","392,300","179,800",-,"58,172","58,172",-
112,3/31/1995,"5,105,600","918,400","301,000",-,"279,300","21,700","617,400","617,400",-,-,-,-,-,-,"1,555,600","83,400","1,472,200",-,-,-,"2,407,400","2,499,400",-,-,-,-,"2,499,400","67,400","-24,600",-,-,"76,800",-,-,-,-,-,-,-,-,-,-,"147,400","4,724,600","3,786,400","2,970,100","2,970,100","816,300","695,600",-,-,-,-,"16,900","16,900",-,-,"16,900","155,300","155,300",-,-,-,"70,400","381,000","381,000",-,-,-,"304,100",-,-,"-3,100","80,000",-,"536,300",-,"381,000",-,"381,000","553,200","381,000","172,200",-,"58,480","58,480",-
113,12/31/1994,"4,934,100","720,300","336,600",-,"316,900","19,700","383,700","383,700",-,-,-,-,-,-,"1,663,400","316,900","1,346,500",-,-,-,"2,324,300","2,416,100",-,-,-,-,"2,416,100","67,000","-24,800",-,-,"76,200",-,-,-,-,-,-,-,-,-,-,"149,900","4,568,300","3,705,900","2,820,100","2,820,100","885,800","606,000",-,-,-,-,"25,700","25,700",-,-,"25,700","159,800","159,800",-,-,-,"70,900","365,800","365,800",-,-,-,"292,400",-,-,"-5,900","79,300",-,"525,600",-,"365,800",-,"365,800","551,300","365,800","185,500",-,"58,240","58,240",-
114,9/30/1994,"5,228,400","976,200","326,400",-,"309,200","17,200","649,800","649,800",-,-,-,-,-,-,"1,532,700","230,700","1,302,000",-,-,-,"2,507,800","2,594,400",-,-,-,-,"2,594,400","66,800","-19,800",-,-,"76,200",-,-,-,-,-,-,-,-,-,-,"135,500","4,874,100","3,628,300","2,788,100","2,788,100","840,200","991,700",-,-,-,-,"26,800","26,800",-,-,"26,800","162,600","162,600",-,-,-,"64,700","354,300","354,300",-,-,-,"279,500",-,-,"-4,200","79,000",-,"516,900",-,"354,300",-,"354,300","543,700","354,300","189,400",-,"58,224","58,224",-
115,6/30/1994,"5,452,400","1,096,200","290,200",-,"265,900","24,300","806,000","806,000",-,-,-,-,-,-,"1,552,200","313,800","1,238,400",-,-,-,"2,596,100","2,684,700",-,-,-,-,"2,684,700","69,000","-19,600",-,-,"75,500",-,-,-,-,-,-,-,-,-,-,"132,400","5,110,600","3,599,200","2,753,200","2,753,200","846,000","1,257,700",-,-,-,-,"27,100","27,100",-,-,"27,100","164,500","164,500",-,-,-,"62,100","341,800","341,800",-,-,-,"266,200",-,-,"-3,400","79,000",-,"506,300",-,"341,800",-,"341,800","533,400","341,800","191,600",-,"58,184","58,184",-
116,3/31/1994,"5,232,200","947,800","295,600",-,"270,700","24,900","652,200","652,200",-,-,-,-,-,-,"1,626,200","430,600","1,195,600",-,-,-,"2,463,800","2,552,700",-,-,-,-,"2,552,700","68,000","-20,900",-,-,"74,800",-,-,-,-,-,-,-,-,-,-,"119,600","4,913,500","3,493,500","2,661,300","2,661,300","832,200","1,112,200",-,-,-,-,"25,400","25,400",-,-,"25,400","214,400","214,400",-,-,-,"68,000","318,700","318,700",-,-,-,"253,900",-,-,"-1,600","66,400",-,"533,100",-,"318,700",-,"318,700","558,500","318,700","239,800",-,"56,836","56,836",-
117,12/31/1993,"4,365,600","882,600","328,800",-,"303,800","25,000","553,800","553,800",-,-,-,-,-,-,"1,145,000","98,300","1,046,700",-,-,-,"2,165,400","2,250,500",-,-,-,-,"2,250,500","65,300","-19,800",-,-,"65,100",-,-,-,-,-,-,-,-,-,-,"107,500","4,075,200","3,024,100","2,298,300","2,298,300","725,800","641,800",-,-,-,-,"136,100","136,100",-,-,"136,100","207,700","207,700",-,-,-,"65,500","290,400","290,400",-,-,-,"233,300",-,-,400,"56,700",-,"498,100",-,"290,400",-,"290,400","634,200","290,400","343,800","15,000","50,980","50,980",-
118,9/30/1993,"4,067,900","607,000","274,000",-,"204,500","69,500","333,000","333,000",-,-,-,-,-,-,"1,125,400","67,600","1,057,800",-,-,-,"2,076,100","2,160,700",-,-,-,-,"2,160,700","64,600","-20,000","104,300",-,"63,000",-,-,-,-,-,-,-,-,-,-,"92,100","3,795,800","2,894,100","2,243,300","2,243,300","650,800","461,300",-,-,"109,200","109,200","56,000","56,000",-,-,"56,000","208,900","208,900",-,-,-,"66,300","272,100","272,100",-,-,-,"218,700",-,-,-,"53,400",-,"481,000",-,"272,100",-,"272,100","537,000","272,100","264,900",-,"49,472","49,472",-
119,6/30/1993,"3,935,200","890,500","479,400",-,"296,200","183,200","411,100","411,100",-,-,-,-,-,-,"1,038,800","28,800","1,010,000",-,-,-,"1,889,400","1,975,800",-,-,-,-,"1,975,800","63,900","-22,500",-,-,"62,500",-,-,-,-,-,-,-,-,-,-,"54,000","3,673,400","2,893,700","2,181,300","2,181,300","712,400","389,100",-,-,-,-,"120,100","120,100",-,-,"120,100","212,800","212,800",-,-,-,"57,700","261,800","261,800",-,-,-,"208,800",-,-,-,"53,000",-,"474,600",-,"261,800",-,"261,800","594,700","261,800","332,900",-,"49,320","49,320",-
120,3/31/1993,"3,895,500","895,600","416,000",-,"187,200","228,800","479,600","479,600",-,-,-,-,-,-,"1,067,400","45,800","1,021,600",-,-,-,"1,821,000","1,901,900",-,-,-,-,"1,901,900","57,600","-23,300",-,-,"65,300",-,-,-,-,-,-,-,-,-,-,"46,200","3,646,100","2,739,400","2,168,800","2,168,800","570,600","622,600",-,-,-,-,"74,700","74,700",-,-,"74,700","152,400","152,400",-,-,-,"57,000","249,400","249,400",-,-,-,"196,600",-,-,-,"52,800",-,"401,800",-,"249,400",-,"249,400","476,500","249,400","227,100",-,"49,216","49,216",-
121,12/31/1992,"3,779,300","884,200","526,200",-,"270,000","256,200","358,000","358,000",-,-,-,-,-,-,"906,000","38,700","867,300",-,-,-,"1,883,500","1,964,300",-,-,-,-,"1,964,300","57,100","-23,700",-,-,"64,300",-,-,-,-,-,-,-,-,-,-,"41,300","3,536,800","2,764,800","2,169,300","2,169,300","595,500","422,900",-,-,-,-,"153,500","153,500",-,-,"153,500","150,900","150,900",-,-,-,"44,700","242,500","242,500",-,-,-,"190,000",-,-,-,"52,500",-,"393,400",-,"242,500",-,"242,500","546,900","242,500","304,400",-,"49,092","49,092",-
122,9/30/1992,"3,579,600","623,500","394,000",-,"202,300","191,700","229,500","229,500",-,-,-,-,-,-,"871,900","25,300","846,600",-,-,-,"1,982,700","2,067,900",-,-,-,-,"2,067,900","58,900","-26,300",-,-,"52,300",-,-,-,-,-,-,-,-,-,-,"49,200","3,349,100","2,693,800","2,693,800","2,693,800",-,"397,500",-,-,-,-,"81,500","81,500",-,-,"81,500","127,500","127,500",-,-,-,"48,800","230,500","230,500",-,-,-,"178,200",-,-,-,"52,300",-,"358,000",-,"230,500",-,"230,500","439,500","230,500","209,000",-,"49,008","49,008",-
123,6/30/1992,"3,633,200","730,700","483,400",-,"203,500","279,900","247,300","247,300",-,-,-,-,-,-,"859,300","37,700","821,600",-,-,-,"1,941,600","2,026,200",-,-,-,-,"2,026,200","58,300","-26,300",-,-,"52,300",-,-,-,-,-,-,-,-,-,-,"49,300","3,412,600","2,677,200","2,677,200","2,677,200",-,"490,800",-,-,-,-,"129,800","129,800",-,-,"129,800","75,200","75,200",-,-,-,"39,600","220,600","220,600",-,-,-,"168,400",-,-,-,"52,200",-,"295,800",-,"220,600",-,"220,600","425,600","220,600","205,000",-,"48,960","48,960",-
124,3/31/1992,"3,493,000","716,300","468,100",-,"200,600","267,500","248,200","248,200",-,-,-,-,-,-,"808,400","42,700","765,700",-,-,-,"1,865,200","1,947,500",-,-,-,-,"1,947,500","55,200","-27,100",-,-,"51,200",-,-,-,-,-,-,-,-,-,-,"51,900","3,280,100","2,671,800","2,671,800","2,671,800",-,"354,700",-,-,-,-,"127,600","127,600",-,-,"127,600","75,700","75,700",-,-,-,"50,300","212,900","212,900",-,-,-,"161,300",-,-,-,"51,600",-,"288,600",-,"212,900",-,"212,900","416,200","212,900","203,300",-,"48,792","48,792",-
125,12/31/1991,"3,645,800","801,800","580,700",-,"235,700","345,000","221,100","221,100",-,-,-,-,-,-,"788,200","36,100","752,100",-,-,-,"1,829,900","1,914,700",-,-,-,-,"1,914,700","56,300","-28,500",-,-,"50,300",-,-,-,-,-,-,-,-,-,-,"175,600","3,439,200","2,658,500","2,138,200","2,138,200","520,300","442,600",-,-,-,-,"203,700","203,700",-,-,"203,700","81,100","81,100",-,-,-,"53,300","206,600","206,600",-,-,-,"155,800",-,-,-,"50,800",-,"287,700",-,"206,600",-,"206,600","491,400","206,600","284,800",-,"48,592","48,592",-
126,9/30/1991,"3,408,100","805,700","516,000",-,"225,400","290,600","289,700","289,700",-,-,-,-,-,-,"688,000","22,200","665,800",-,-,-,"1,759,900","1,849,800",-,-,-,-,"1,849,800","60,500","-29,400",-,-,"51,400",-,-,-,-,-,-,-,-,-,-,"103,100","3,208,100","2,593,700","2,593,700","2,593,700",-,"356,100",-,-,-,-,"126,300","126,300",-,-,"126,300","85,100","85,100",-,-,-,"46,900","200,000","200,000",-,-,-,"150,000",-,-,-,"50,000",-,"285,100",-,"200,000",-,"200,000","411,400","200,000","211,400",-,"48,432","48,432",-
127,6/30/1991,"3,273,400","781,300","508,900",-,"218,100","290,800","272,400","272,400",-,-,-,-,-,-,"608,500","24,700","583,800",-,-,-,"1,729,000","1,814,500",-,-,-,-,"1,814,500","57,400","-28,100",-,-,"51,600",-,-,-,-,-,-,-,-,-,-,"103,000","3,079,400","2,510,600","2,510,600","2,510,600",-,"359,300",-,-,-,-,"76,700","76,700",-,-,"76,700","85,400","85,400",-,-,-,"47,400","194,000","194,000",-,-,-,"145,000",-,-,-,"49,000",-,"279,400",-,"194,000",-,"194,000","356,100","194,000","162,100",-,"48,212","48,212",-
128,3/31/1991,"3,273,500","816,300","442,100",-,"194,100","248,000","374,200","374,200",-,-,-,-,-,-,"611,000","29,400","581,600",-,-,-,"1,689,500","1,777,700",-,-,-,-,"1,777,700","59,800","-28,400",-,-,"51,900",-,-,-,-,-,-,-,-,-,-,"104,800","3,085,300","2,461,700","2,461,700","2,461,700",-,"329,900",-,-,-,-,"156,000","156,000",-,-,"156,000","90,200","90,200",-,-,-,"47,500","188,200","188,200",-,-,-,"140,000",-,-,-,"48,200",-,"278,400",-,"188,200",-,"188,200","434,400","188,200","246,200",-,"47,968","47,968",-
129,12/31/1990,"3,559,100","1,066,400","496,000",-,"288,300","207,700","570,400","570,400",-,-,-,-,-,-,"595,200","8,300","586,900",-,-,-,"1,740,500","1,827,800",-,-,-,-,"1,827,800","59,000","-28,300",-,-,"51,700",-,-,-,-,-,-,-,-,-,-,"105,300","3,375,600","2,537,300","2,013,200","2,013,200","524,100","405,400",-,-,-,-,"290,000","290,000",-,-,"290,000","92,800","92,800",-,-,-,"50,100","183,500","183,500",-,-,-,"135,400",-,-,-,"48,100",-,"276,300",-,"183,500",-,"183,500","566,300","183,500","382,800",-,"47,948","47,948",-
130,9/30/1990,"3,111,400","736,200","345,100",-,"224,200","120,900","391,100","391,100",-,-,-,-,-,-,"497,600","11,700","485,900",-,-,-,"1,754,800","1,837,800",-,-,-,-,"1,837,800","58,100","-24,900",-,-,"51,800",-,-,-,-,-,-,-,-,-,-,"71,000","2,933,500","2,475,100","2,475,100","2,475,100",-,"284,800",-,-,-,-,"29,900","29,900",-,-,"29,900","95,100","95,100",-,-,-,"48,600","177,900","177,900",-,-,-,"129,800",-,-,-,"48,100",-,"273,000",-,"177,900",-,"177,900","302,900","177,900","125,000",-,"47,948","47,948",-
131,6/30/1990,"3,084,600","758,400","320,900",-,"218,600","102,300","437,500","437,500",-,-,-,-,-,-,"488,500","7,400","481,100",-,-,-,"1,710,500","1,795,200",-,-,-,-,"1,795,200","59,300","-25,400",-,-,"50,800",-,-,-,-,-,-,-,-,-,-,"76,400","2,911,600","2,482,300","2,482,300","2,482,300",-,"253,800",-,-,-,-,"31,800","31,800",-,-,"31,800","95,400","95,400",-,-,-,"48,300","173,000","173,000",-,-,-,"125,200",-,-,-,"47,800",-,"268,400",-,"173,000",-,"173,000","300,200","173,000","127,200",-,"47,856","47,856",-
132,3/31/1990,"2,938,900","730,600","286,500",-,"188,900","97,600","444,100","444,100",-,-,-,-,-,-,"455,700","21,100","434,600",-,-,-,"1,594,300","1,675,900",-,-,-,-,"1,675,900","60,000","-21,600",-,-,"51,400",-,-,-,-,-,-,-,-,-,-,"106,900","2,770,400","2,319,200","2,319,200","2,319,200",-,"273,500",-,-,-,-,700,700,-,-,700,"95,600","95,600",-,-,-,"81,400","168,500","168,500",-,-,-,"121,200",-,-,-,"47,300",-,"264,100",-,"168,500",-,"168,500","264,800","168,500","96,300",-,"47,692","47,692",-
133,12/31/1989,"2,975,400","716,000","445,300",-,"322,800","122,500","270,700","270,700",-,-,-,-,-,-,"466,900","18,100","448,800",-,-,-,"1,615,800","1,696,200",-,-,-,-,"1,696,200","60,300","-20,100",-,-,"51,800",-,-,-,-,-,-,-,-,-,-,"124,900","2,811,100","2,326,200","1,850,100","1,850,100","476,100","297,600",-,-,-,-,"1,400","1,400",-,-,"1,400","95,700","95,700",-,-,-,"90,200","164,300","164,300",-,-,-,"117,400",-,-,-,"46,900",-,"260,000",-,"164,300",-,"164,300","261,400","164,300","97,100",-,"47,596","47,596",-
134,9/30/1989,"2,918,300","667,500","311,400",-,"215,000","96,400","356,100","356,100",-,-,-,-,-,-,"449,300",-,"449,300",-,-,-,"1,629,200","1,710,500",-,-,-,-,"1,710,500","62,000","-19,300",-,-,"52,200",-,-,-,-,-,-,-,-,-,-,"120,100","2,758,400","2,276,100","2,276,100","2,276,100",-,"286,700",-,-,-,-,"10,300","10,300",-,-,"10,300","98,100","98,100",-,-,-,"87,200","159,900","159,900",-,-,-,"113,200",-,-,-,"46,700",-,"258,000",-,"159,900",-,"159,900","268,300","159,900","108,400",-,"47,512","47,512",-
135,6/30/1989,"2,869,300","632,100","369,000",-,"254,800","114,200","263,100","263,100",-,-,-,-,-,-,"409,000",-,"409,000",-,-,-,"1,656,900","1,736,100",-,-,-,-,"1,736,100","60,900","-18,300",-,-,"51,900",-,-,-,-,-,-,-,-,-,-,"119,400","2,713,000","2,203,200","2,203,200","2,203,200",-,"261,300",-,-,-,-,"60,100","60,100",-,-,"60,100","98,400","98,400",-,-,-,"90,000","156,300","156,300",-,-,-,"110,000",-,-,-,"46,300",-,"254,700",-,"156,300",-,"156,300","314,800","156,300","158,500",-,"47,420","47,420",-
