,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Account Payable,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
20,12/31/2003,"440,187","440,187","337,823","-179,397",-,"-112,404",-,-,"94,536","94,536",-,-,-,-,-,"279,035",-,-,-,-,"-91,810",-,-,"-45,892","-45,892","-45,892","-45,892",-,-,-,-,"-45,918","-2,142,360","-2,142,360","-1,167,651","-8,178,273","7,010,622",-,-,-,-,-,"-83,272",-,-,-,-,-,"-891,437","1,734,228","1,734,228","1,144,866","520,142","896,536","-376,394","624,724",-,-,"-54,155",-,-,-,-,-,"-91,887",-,-,"-28,229",-,"1,119,351","32,055","1,087,296",-,-,-,"-83,272",-,"896,536","-376,394",-,"356,915"
21,12/31/2002,"276,065","276,065","256,278","-203,756",-,"-203,756",-,-,"87,093","87,093",-,-,-,-,-,"151,055",-,-,-,-,"-14,605",-,-,"27,565","27,565","27,565","27,565",-,-,-,-,"-42,170","-2,022,427","-2,022,427","-168,113","-12,110,941","11,942,828",-,-,-,-,-,"-97,821",-,-,"9,690",-,-,"-1,766,183","1,855,049","1,855,049","-260,554","262,762","334,388","-71,626","-523,316",-,-,"-96,308",-,-,-,-,-,"-73,241",-,-,-,-,"1,087,296","108,687","978,609",-,-,-,"-97,821",-,"334,388","-71,626",-,"178,244"
22,12/31/2001,"843,377","843,377","283,020","-18,294",-,"-18,294",-,-,"119,614","119,614",-,-,-,-,-,"451,930",-,-,-,-,"7,107",-,-,"20,911","20,911","20,911","20,911",-,-,-,-,"-13,804","-386,024","-386,024","956,989","-9,097,053","10,054,042",-,-,-,-,-,"-91,924",-,-,"209,509",-,-,"-1,460,598","-525,996","-525,996","-1,504,825","6,900","250,000","-243,100","-1,511,725",-,-,"-30,664",-,-,-,-,-,"-73,899",-,-,"336,174",-,"978,609","-68,643","1,047,252",-,-,-,"-91,924",-,"250,000","-243,100",-,"751,453"
23,12/31/2000,"349,187","349,187","161,709","-14,804",-,"-14,804",-,-,"114,972","114,972",-,-,-,-,-,"80,337",-,-,-,-,"6,973",-,-,"30,078","30,078","30,078","30,078",-,-,-,-,"-23,105","-1,379,101","-1,379,101","154,762","-2,106,390","2,261,152",-,-,-,-,-,"-82,288",-,-,"11,886",-,-,"-1,463,461","1,178,866","1,178,866","468,004","-2,767","600,000","-602,767","470,771",-,-,"2,818",-,-,-,-,-,"-76,762",-,-,-,-,"1,047,252","148,952","898,300",-,-,-,"-82,288",-,"600,000","-602,767",-,"266,899"
24,12/31/1999,"1,400","1,400","194,100","-133,000",-,"-133,000",-,-,"90,600","90,600",-,-,-,-,-,"-139,800",-,-,-,-,"-10,500",-,-,"4,800","4,800","4,800","4,800",-,-,-,-,"-15,300","-1,854,400","-1,854,400","-351,500","-2,012,000","1,660,500",-,-,-,-,-,"-93,800",-,-,-,-,-,"-1,409,100","1,828,600","1,828,600","2,248,100","54,900","365,000","-310,100","2,193,200",-,-,"3,100",-,-,-,-,-,"-56,900",-,-,-,-,"898,300","-24,400","922,700",-,-,-,"-93,800",-,"365,000","-310,100",-,"-92,400"
25,12/31/1998,"-62,900","-62,900","146,800","-2,100",-,"-2,100",-,-,"52,100","52,100",-,-,-,-,-,"-284,000",-,-,-,-,"24,300",-,-,"23,200","23,200","23,200","23,200",-,-,-,-,"1,100","-431,400","-431,400","900,700","-4,172,200","5,072,900",-,-,-,-,-,"-63,700",-,-,-,-,-,"-1,268,400","648,500","648,500","-97,600","11,200","199,700","-188,500","-108,800",-,-,"110,100",-,-,-,-,-,"-41,600",-,-,"34,800",100,0,"154,300","710,200","-864,500",-,-,"-63,700",-,"199,700","-188,500",-,"-126,600"
26,12/31/1997,"22,700","22,700","122,400",-,-,-,-,-,"31,500","31,500",-,-,-,-,-,"-92,000",-,-,-,-,"-39,200",-,-,700,700,700,700,-,-,-,-,"-39,900","-1,365,300","-1,365,300","-762,600","-2,128,000","1,365,400",-,-,-,-,-,"-38,600",-,-,-,-,-,"-564,100","1,515,500","1,515,500","474,900","125,000","187,500","-62,500","349,900",-,-,"-116,500",-,-,-,-,-,"-28,400",-,-,-100,-100,0,"172,800","454,000","-626,800",-,-,"-38,600",-,"187,500","-62,500",-,"-15,900"
27,12/31/1996,"151,800","151,800","101,400",-100,-,-,-,-,"21,900","21,900",-,-,-,-,-,"5,900",-,-,-,-,"22,700",-,-,"5,100","5,100","5,100","5,100",-,-,-,-,"17,600","-782,600","-782,600","-207,900","-883,100","675,200",-,-,-,-,-,"-20,600",-,-,-,-,-,"-554,100","617,000","617,000","321,600","182,500","204,200","-21,700","139,100",-,-,"-20,400",-,-,-,-,-,"-25,000",-,-,-200,100,0,"-13,700","418,100","-404,400",-,-,"-20,600",-,"204,200","-21,700",-,"131,200"
28,12/31/1995,"210,200","210,200","81,300",100,-,-,-,-,"18,100","18,100",-,-,-,-,-,"122,400",-,-,-,-,"-11,700",-,-,"-7,200","-7,200","-7,200","-7,200",-,-,-,-,"-4,500","-664,200","-664,200","-274,500","-1,046,600","772,100",-,-,-,-,-,"-17,500",-,-,-,-,-,"-372,200","555,200","555,200","233,000","-18,500",-,"-18,500","251,500",-,-,"-17,200",-,-,-,-,-,"-20,600",-,-,-,-100,0,"101,100","316,900","-418,000",-,-,"-17,500",-,-,"-18,500",-,"192,700"
29,12/31/1994,"-52,600","-52,600","63,800",-,-,-,-,-,"17,700","17,700",-,-,-,-,-,"-111,600",-,-,-,-,"-22,500",-,-,"1,600","1,600","1,600","1,600",-,-,-,-,"-24,100","74,900","74,900","42,900","-646,800","689,700",-,-,-,-,-,"-12,400",-,-,-,-,-,"44,400","-44,300","-44,300","-205,200","-51,900","15,700","-67,600","-153,300",-,-,300,-,-,-,-,-,"-17,300",-,-,-,-,0,"-22,000","339,000","-317,000",-,-,"-12,400",-,"15,700","-67,600",-,"-65,000"
30,12/31/1993,"122,500","122,500","51,400",-,-,-,-,-,"17,000","17,000",-,-,-,-,-,"74,100",-,-,-,-,"-20,000",-,-,"1,900","1,900","1,900","1,900",-,-,-,-,"-21,900","87,700","87,700","756,400","-464,900","1,221,300",-,-,-,-,-,"-13,700",-,-,-,-,-,"-655,000","-176,300","-176,300","-363,200","56,800","204,600","-147,800","-420,000",-,-,900,-,-,-,-,-,"-12,200",-,-,-100,-200,0,"33,700","270,000","-303,700",-,-,"-13,700",-,"204,600","-147,800",-,"108,800"
31,12/31/1992,"-22,000","-22,000","43,400",-300,-,-300,-,-,"15,800","15,800",-,-,-,-,-,"-73,000",-,-,-,-,"-7,900",-,-,"6,400","6,400","6,400","6,400",-,-,-,-,"-14,300","-44,900","-44,900","-48,900","-353,500","304,600",-,-,-,-,-,"-9,700",-,-,-,-,-,"13,700","101,100","101,100","2,300","19,100","51,700","-32,600","-16,800",-,-,"1,700",-,-,-,-,-,"-9,200",-,-,-,-,0,"34,200","235,700","-269,900",-,-,"-9,700",-,"51,700","-32,600",-,"-31,700"
32,12/31/1991,"46,300","46,300","29,100",-400,-,-400,-,-,"5,300","5,300",-,-,-,-,-,"1,900",-,-,-,-,"10,400",-,-,-800,-800,-800,-800,-,-,-,-,"11,200","-153,500","-153,500","-36,400","-305,700","269,300",-,-,-,-,-,"-5,300",-,-,-,-,-,"-111,800","54,600","54,600","-59,800","-10,300",-,"-10,300","-49,500",-,-,"2,700",-,-,-,-,-,"-8,700",-,-,-800,-,0,"-52,600","288,300","-235,700",-,-,"-5,300",-,-,"-10,300",-,"41,000"
33,12/31/1990,"79,400","79,400","26,600",900,-,900,-,-,"5,400","5,400",-,-,-,-,-,"41,000",-,-,-,-,"5,500",-,-,"-5,700","-5,700","-5,700","-5,700",-,-,-,-,"11,200","-737,100","-737,100","-118,800","-304,800","186,000",-,-,-,-,-,"-6,400",-,-,-,-,-,"-611,900","623,300","623,300","371,500","-2,900",-,"-2,900","374,400",-,-,"1,200",-,-,-,-,-,"-8,600",-,-,"-2,500",-100,0,"-34,500","322,800","-288,300",-,-,"-6,400",-,-,"-2,900",-,"73,000"
34,12/31/1989,"53,600","53,600","13,900",-,-,-,-,-,"5,400","5,400",-,-,-,-,-,"31,500",-,-,-,-,"2,800",-,-,"3,200","3,200","3,200","3,200",-,-,-,-,-400,"7,600","7,600","391,500","-18,527,500","18,919,000",-,-,-,-,-,"-5,000",-,-,-,-,-,"-378,900","-13,400","-13,400","-49,800","-2,700",-,"-2,700","-47,100",-,-,"1,700",-,-,-,-,-,"-8,500",-,-,"-3,300",-,0,"47,800","275,000","-322,800",-,-,"-5,000",-,-,"-2,700",-,"48,600"
