,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Leases,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Investment Banking Profit,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Rental & Landing Fees,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Extraordinary,Preferred Stock Dividends,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Rent Expense Supplemental,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
35,9/30/2014,"21,200,000","10,219,000","12,858,000","8,535,000","8,535,000",-,"3,336,000",-,"239,000","748,000","2,639,000","270,000","591,000","1,386,000",-,"392,000","10,981,000",-,"6,734,000","6,734,000","1,907,000",-,"3,327,000","1,500,000",-,"1,351,000","1,899,000","704,000","432,000","272,000",-,"293,000","-636,000","19,742,000","1,584,000","1,070,000","514,000","611,000","17,313,000","16,867,000","8,039,000",-,"8,828,000","446,000","234,000","234,000","234,000","234,000",-,"9,000",-,-,-,-,-,"831,000","663,000","-70,000","168,000","168,000","168,000",-,"238,000",0,"-70,000",-0.01,-0.01,"10,515,790","10,515,790",-,"9,583,000","168,000","168,000","239,000","234,000","168,000",-,-,0,0
36,6/30/2014,"21,390,000","10,013,000","12,941,000","8,635,000","8,635,000",-,"3,299,000",-,"297,000","710,000","2,928,000","282,000","763,000","1,485,000",-,"398,000","11,377,000",-,"6,598,000","6,598,000","1,866,000",-,"3,291,000","1,441,000",-,"1,631,000","1,832,000","909,000","382,000","527,000",-,"407,000","-411,000","18,541,000","1,613,000","1,079,000","534,000","626,000","16,067,000","15,617,000","8,306,000",-,"7,311,000","450,000","235,000","235,000","235,000","235,000",-,"357,000",-,-,-,-,-,"2,795,000","504,000","2,035,000","2,291,000","2,291,000","2,291,000",-,"256,000",0,"2,035,000",0.19,0.19,"10,519,359","11,265,123",-,"9,602,000","2,291,000","2,291,000","297,000","235,000","2,291,000",-,-,0,0
37,3/31/2014,"21,782,000","10,085,000","12,935,000","8,760,000","8,760,000",-,"3,174,000",-,"265,000","736,000","2,850,000","291,000","609,000","1,515,000",-,"435,000","11,697,000",-,"6,488,000","6,488,000","1,826,000",-,"3,269,000","1,393,000",-,"1,542,000","2,467,000","788,000","376,000","412,000",-,"412,000","-1,009,000","22,238,000","1,661,000","1,115,000","546,000","558,000","19,780,000","19,338,000","9,749,000",-,"9,589,000","442,000","239,000","239,000","239,000","239,000",-,"784,000",-,-,-,-,-,"-681,000","-405,000","-514,000","-276,000","-276,000","-276,000",-,"238,000",-,"-514,000",-0.05,-0.05,"10,560,518","10,560,518",-,"9,076,000","-276,000","-276,000","265,000","239,000","-276,000",-,-,0,0
38,12/31/2013,"21,014,000","10,786,000","13,712,000","9,086,000","9,086,000",-,"3,586,000",-,"304,000","736,000","2,926,000","314,000","682,000","1,566,000",-,"364,000","10,228,000",-,"6,490,000","6,490,000","1,870,000",-,"3,117,000","1,503,000",-,"1,738,000","863,000","1,238,000","390,000","848,000",-,"-101,000","-336,000","17,307,000","1,642,000","1,116,000","526,000","839,000","14,560,000","14,103,000","7,987,000",-,"6,116,000","457,000","266,000","266,000","266,000","266,000","101,000","474,000",-,-,-,-,-,"3,845,000","406,000","3,183,000","3,439,000","3,439,000","3,439,000",-,"256,000",0,"3,183,000",0.30,0.29,"10,633,030","11,404,438",-,"10,450,000","3,439,000","3,439,000","304,000","266,000","3,439,000",-,-,0,0
39,9/30/2013,"20,346,000","10,266,000","13,382,000","9,146,000","9,146,000",-,"3,254,000",-,"291,000","691,000","3,116,000","334,000","683,000","1,724,000",-,"375,000","10,080,000",-,"6,323,000","6,323,000","1,884,000",-,"2,995,000","1,444,000",-,"1,297,000","1,266,000","934,000","349,000","585,000",-,"260,000","-296,000","16,389,000","1,634,000","1,096,000","538,000","702,000","13,783,000","13,272,000","8,310,000",-,"4,962,000","511,000","270,000","270,000","270,000","270,000",-,"1,184,000",-,-,-,-,-,"4,845,000","2,348,000","2,218,000","2,497,000","2,497,000","2,497,000",-,"279,000","-1,000","2,218,000",0.21,0.20,"10,718,918","11,482,226",-,"9,970,000","2,497,000","2,497,000","291,000","270,000","2,497,000",-,-,0,0
40,6/30/2013,"22,047,000","10,549,000","13,825,000","9,060,000","9,060,000",-,"3,729,000",-,"319,000","717,000","3,276,000","366,000","809,000","1,674,000",-,"427,000","11,498,000",-,"6,449,000","6,449,000","1,837,000",-,"3,143,000","1,469,000",-,"1,556,000","1,938,000","1,631,000","453,000","1,178,000",-,"-76,000","-1,211,000","16,018,000","1,641,000","1,109,000","532,000","694,000","13,409,000","12,972,000","8,531,000",-,"4,441,000","437,000","274,000","274,000","274,000","274,000",-,"680,000",-,-,-,-,-,"5,498,000","1,486,000","3,571,000","4,012,000","4,012,000","4,012,000",-,"441,000","-1,000","3,571,000",0.33,0.32,"10,775,867","11,524,510",-,"9,338,000","4,012,000","4,012,000","319,000","274,000","4,012,000",-,-,0,0
41,3/31/2013,"22,934,000","10,664,000","14,101,000","9,178,000","9,178,000",-,"3,886,000",-,"315,000","722,000","3,437,000","382,000","749,000","1,834,000",-,"472,000","12,270,000",-,"6,236,000","6,236,000","1,799,000",-,"3,027,000","1,410,000",-,"1,535,000","2,989,000","1,322,000","59,000","1,263,000",-,"188,000","-1,713,000","18,152,000","1,704,000","1,154,000","550,000","649,000","15,523,000","15,094,000","9,891,000",-,"5,203,000","429,000","276,000","276,000","276,000","276,000",-,"563,000",-,-,-,-,-,"3,632,000","1,009,000","2,250,000","2,623,000","2,623,000","2,623,000",-,"373,000",0,"2,250,000",0.21,0.20,"10,798,975","11,154,778",-,"8,951,000","2,623,000","2,623,000","315,000","276,000","2,623,000",-,-,0,0
42,12/31/2012,"17,961,000","10,324,000","13,971,000","9,366,000","9,366,000",-,"3,425,000",-,"329,000","851,000","3,647,000","438,000","855,000","1,934,000",-,"420,000","7,637,000","-124,000","6,257,000","6,257,000","1,820,000",-,"2,889,000","1,548,000",-,"1,600,000","792,000","-370,000","170,000","-540,000",-,"-518,000","-2,204,000","18,360,000","1,702,000","1,151,000","551,000","996,000","15,353,000","14,873,000","8,300,000",-,"6,573,000","480,000","309,000","309,000","309,000","309,000","518,000","699,000",0,0,0,-,-,"-1,904,000","-2,636,000","367,000","732,000","732,000","732,000",-,"365,000",-,"367,000",0.03,0.03,"10,777,204","10,884,921",-,"8,120,000","732,000","732,000","329,000","309,000","732,000",0,0,0,0
43,9/30/2012,"20,196,000","9,938,000","13,976,000","9,597,000",-,-,"3,220,000",-,"353,000","806,000","4,038,000","484,000","893,000","2,243,000",-,"418,000","10,258,000","-138,000","5,463,000","5,463,000","1,934,000",-,"2,781,000","1,538,000","-790,000","3,355,000","1,239,000","339,000","339,000",-,-,"1,229,000","-1,774,000","17,544,000","1,721,000","1,160,000","561,000","873,000","14,635,000","14,156,000","8,431,000","561,000","5,725,000","479,000","315,000","315,000","315,000","315,000","1,050,000","238,000","-6,000",0,"6,000",-,"6,000","1,110,000","770,000","-33,000","340,000","340,000","340,000",-,"373,000",-,"-33,000",0.00,0.00,"10,776,173","10,776,173","561,000","8,164,000","340,000","343,900","353,000","315,000","340,000","-6,000","-6,000",0,"-2,100"
44,6/30/2012,"21,606,000","9,548,000","13,992,000","9,744,000",-,-,"3,148,000",-,"360,000","740,000","4,444,000","519,000","1,391,000","2,534,000",-,"448,000","12,058,000","127,000","6,359,000","6,359,000","1,934,000",-,"2,847,000","1,578,000","603,000","2,805,000","1,764,000","400,000","400,000",-,-,"603,000","-1,773,000","17,048,000","1,663,000","1,117,000","546,000","922,000","14,142,000","13,693,000","8,729,000",-,"4,964,000","449,000","321,000","321,000","321,000","321,000",-,"368,000","-6,000",0,"6,000",-,"6,000","3,147,000","684,000","2,098,000","2,463,000","2,463,000","2,463,000",-,"365,000",-,"2,098,000",0.19,0.19,"10,775,695","11,556,011",-,"7,775,000","2,463,000","2,467,696","360,000","321,000","2,463,000","-6,000","-6,000",0,"-1,304"
45,3/31/2012,"21,553,000","10,846,000","15,461,000","10,173,000",-,-,"4,077,000",-,"460,000","751,000","4,615,000","549,000","1,358,000","2,708,000",-,"477,000","10,707,000","-60,000","5,111,000","5,111,000","1,912,000",-,"2,876,000","1,457,000","-1,134,000","2,829,000","2,075,000","752,000","752,000",-,-,"-60,000","-2,418,000","19,141,000","1,753,000","1,142,000","611,000","783,000","16,286,000","15,821,000","10,188,000",-,"5,633,000","465,000","319,000","319,000","319,000","319,000",-,"765,000","-40,000",0,"40,000",-,"40,000","719,000","66,000","328,000","653,000","653,000","653,000",-,"325,000",-,"328,000",0.03,0.03,"10,651,367","10,761,917",-,"8,428,000","653,000","689,328","460,000","319,000","653,000","-40,000","-40,000",0,"-3,672"
46,12/31/2011,"21,661,000","10,701,000","15,413,000","10,512,000","10,512,000",-,"3,532,000",-,"449,000","920,000","4,712,000","616,000","921,000","2,764,000",-,"411,000","10,960,000","143,000","6,154,000","6,154,000","1,982,000",-,"2,694,000","1,478,000","13,191,000","1,013,000","280,000","3,230,000","1,111,000","2,119,000",-,"140,000","-2,934,000","18,840,000","1,656,000","1,131,000","525,000","1,032,000","15,787,000","15,264,000","8,761,000",-,"6,503,000","523,000","365,000","365,000","365,000","365,000","-140,000","3,227,000","-682,000","101,000","581,000",-,-,"2,432,000","441,000","1,584,000","1,991,000","1,991,000","1,991,000",-,"407,000",-,"1,584,000",0.15,0.15,"10,281,397","11,124,523",-,"7,767,000","1,991,000","2,549,331","449,000","365,000","1,991,000","-682,000","-682,000",0,"-123,669"
47,9/30/2011,"27,092,000","10,490,000","15,853,000","11,205,000",-,-,"3,229,000",-,"584,000","835,000","5,363,000","704,000","1,700,000","2,959,000",-,"547,000","16,602,000","190,000","11,512,000","11,512,000","2,068,000","3,022,000","3,022,000","1,911,000","4,511,000","2,559,000","1,604,000","737,000","737,000",-,-,-,"-3,407,000","17,437,000","1,799,000","1,183,000","616,000","937,000","14,324,000","13,768,000","8,865,000",-,"4,903,000","556,000","377,000","377,000","377,000","377,000",-,"1,446,000","-261,000","176,000","85,000",-,"85,000","7,433,000","1,201,000","5,889,000","6,232,000","6,232,000","6,232,000",-,"343,000",-,"5,889,000",0.58,0.56,"10,116,284","10,464,395",-,"7,083,000","6,232,000","6,450,828","584,000","377,000","6,232,000","-261,000","-261,000",0,"-42,172"
48,6/30/2011,"12,069,000","11,246,000","17,048,000","11,320,000",-,-,"4,213,000",-,"597,000","918,000","5,802,000","843,000","1,968,000","2,991,000",-,"627,000","823,000","400,000","8,945,000","8,945,000","2,012,000",-,"3,009,000","1,967,000","1,957,000","-11,512,000","2,091,000","899,000","899,000",-,-,-,"-3,255,000","20,094,000","1,838,000","1,245,000","593,000","766,000","17,108,000","16,548,000","9,171,000",-,"7,377,000","560,000","382,000","382,000","382,000","382,000",-,"1,212,000","-2,807,000","159,000","2,648,000",-,"45,000","-12,875,000","-4,049,000","-9,127,000","-8,826,000","-8,826,000","-8,826,000",-,"301,000",-,"-9,127,000",-0.90,-0.90,"10,094,928","10,094,928",-,"7,991,000","-8,826,000","-6,901,761","597,000","382,000","-8,826,000","-2,807,000","-2,807,000",0,"-882,761"
49,3/31/2011,"25,490,000","12,179,000","17,922,000","11,929,000",-,-,"4,508,000",-,"517,000","968,000","5,743,000","839,000","1,811,000","3,093,000",-,"627,000","13,311,000","613,000","4,121,000","4,121,000","2,032,000",-,"3,101,000","1,828,000","261,000","5,309,000","2,722,000","546,000","546,000",-,-,-,"-3,814,000","20,081,000","1,795,000","1,189,000","606,000","646,000","17,255,000","16,691,000","10,168,000",-,"6,523,000","564,000","385,000","385,000","385,000","385,000",-,"1,475,000","-290,000","202,000","88,000",-,"88,000","2,780,000","731,000","1,739,000","2,049,000","2,049,000","2,049,000",-,"310,000",-,"1,739,000",0.17,0.17,"10,075,875","10,181,351",-,"8,365,000","2,049,000","2,262,745","517,000","385,000","2,049,000","-290,000","-290,000",0,"-76,255"
50,12/31/2010,"20,886,000","12,439,000","18,290,000","12,149,000","12,149,000",-,"4,690,000",-,"486,000","965,000","5,851,000","894,000","1,142,000","3,254,000",-,"561,000","8,447,000","598,000","7,042,000","7,042,000","2,036,000",-,"2,879,000","2,127,000","5,892,000","1,590,000","995,000","-664,000","755,000","-1,419,000",-,"-1,114,000","-5,129,000","18,494,000","1,819,000","1,212,000","607,000","883,000","15,372,000","14,888,000","8,800,000",-,"6,088,000","484,000","420,000","420,000","420,000","420,000","1,114,000","1,512,000","-2,370,000","370,000","2,000,000",-,"117,000","-3,595,000","-2,351,000","-1,565,000","-1,244,000","-1,244,000","-1,244,000",-,"321,000",-,"-1,565,000",-0.16,-0.16,"10,036,575","10,036,575",-,"7,310,000","-1,244,000","296,500","486,000","420,000","-1,244,000","-2,370,000","-2,370,000",0,"-829,500"
51,9/30/2010,"26,466,000","12,435,000","18,209,000","12,485,000",-,-,"4,246,000",-,"441,000","1,037,000","5,774,000","950,000","1,483,000","3,341,000",-,"635,000","14,031,000","75,000","4,627,000","4,627,000","2,212,000",-,-,"1,982,000","433,000","5,850,000","2,596,000","3,479,000","3,479,000",-,-,"-7,039,000","-5,396,000","16,395,000","1,769,000","1,150,000","619,000","651,000","13,549,000","13,052,000","8,402,000",-,"4,650,000","497,000","426,000","426,000","426,000","426,000",-,"357,000","-10,944,000","421,000","10,523,000",-,"123,000","-5,912,000","1,387,000","-7,647,000","-7,299,000","-7,299,000","-7,299,000",-,"348,000",-,"-7,647,000",-0.77,-0.77,"9,976,351","9,976,351",-,"7,039,000","-7,299,000","-185,400","441,000","426,000","-7,299,000","-10,944,000","-10,944,000",0,"-3,830,400"
52,6/30/2010,"29,153,000","12,900,000","12,900,000","12,887,000",-,-,"4,725,000",-,"457,000","1,062,000","6,231,000","1,031,000","1,618,000","3,582,000",-,-,"16,253,000","678,000","4,599,000","4,599,000","2,576,000",-,-,"2,023,000",-,"5,211,000",-,"1,264,000","1,264,000",-,-,"16,253,000","-8,105,000","16,745,000","1,795,000","1,182,000","613,000","644,000","13,867,000","13,372,000","8,789,000",-,"4,583,000","495,000","439,000","439,000","439,000","439,000","16,745,000","2,766,000","-508,000","508,000","126,000",-,"126,000","3,795,000","672,000","2,783,000","3,123,000","3,123,000","3,123,000",-,"340,000",-,"2,783,000",0.28,0.27,"9,956,773","10,029,776",-,"4,795,000","3,123,000","3,541,046","457,000","986,000","3,123,000","-508,000","-508,000",0,"-89,954"
53,3/31/2010,"31,969,000","13,749,000","13,749,000","13,475,000",-,-,"4,859,000",-,"448,000","1,097,000","6,130,000","1,122,000","1,478,000","3,530,000",-,-,"18,220,000","715,000","4,542,000","4,542,000","2,566,000",-,-,"1,976,000",-,"5,765,000",-,"5,970,000","5,970,000",-,-,"18,220,000","-9,805,000","17,254,000","1,785,000","1,172,000","613,000","517,000","14,506,000","14,019,000","9,158,000",-,"4,861,000","487,000","446,000","446,000","446,000","446,000","17,254,000","625,000","-521,000","521,000","601,000",-,"601,000","4,389,000","1,207,000","2,834,000","3,182,000","3,182,000","3,182,000",-,"348,000",-,"2,834,000",0.28,0.28,"9,177,468","10,005,254",-,"3,944,000","3,182,000","3,559,722","448,000","1,012,000","3,182,000","-521,000","-521,000",0,"-143,278"
54,12/31/2009,"23,050,000","11,559,000","17,645,000","11,405,000","11,405,000",-,"4,580,000",-,"327,000","1,333,000","6,086,000","1,472,000","658,000","3,365,000",-,"591,000","11,491,000","703,000","7,552,000","7,552,000","2,756,000",-,"3,014,000","1,782,000","9,168,000","1,596,000","1,475,000","2,049,000","397,000","1,652,000",-,"-1,884,000","-10,110,000","15,852,000","1,939,000","1,339,000","600,000","770,000","12,711,000","12,268,000","7,357,000",-,"4,911,000","443,000","432,000","432,000","432,000","432,000","1,884,000","2,026,000","-533,000","533,000",-,-,-,"-1,419,000","-1,225,000","-5,196,000","-194,000","-194,000","-194,000",-,"5,002,000",-,"-5,196,000",-0.60,-0.60,"8,634,565","8,634,565",-,"1,449,000","-194,000","152,450","327,000","432,000","-194,000","-533,000","-533,000",0,"-186,550"
55,9/30/2009,"25,989,000","11,423,000","18,523,000","11,620,000",-,-,"4,818,000",-,"722,000","1,363,000","7,100,000","1,710,000","1,237,000","3,698,000",-,"455,000","14,566,000","707,000","3,410,000","3,410,000","3,020,000",-,-,"1,557,000","-1,167,000","5,500,000","4,949,000",0,0,-,-,-,"-11,705,000","15,712,000","1,837,000","1,220,000","617,000","562,000","12,803,000","12,333,000","7,613,000",-,"4,720,000","470,000","510,000","510,000","510,000","510,000",-,"843,000","-1,391,000","594,000","797,000",-,"797,000","-1,976,000","-975,000","-2,241,000","-1,001,000","-1,001,000","-1,001,000",-,"1,240,000",-,"-2,241,000",-0.26,-0.26,"8,633,834","8,633,834",-,"-282,000","-1,001,000","-96,850","722,000","1,096,000","-1,001,000","-1,391,000","-1,391,000",0,"-486,850"
56,6/30/2009,"26,831,000","11,630,000","19,592,000","12,329,000",-,-,"5,235,000",-,"690,000","1,338,000","7,962,000","-2,082,000","-1,396,000","4,034,000",-,"7,406,000","15,201,000","662,000","4,878,000","4,878,000","2,729,000",-,-,"2,149,000",-,"7,167,000","2,164,000","632,000","632,000",-,-,"-302,000","-13,375,000","16,191,000","1,835,000","1,219,000","616,000","544,000","13,296,000","12,797,000","7,790,000",-,"5,007,000","499,000","516,000","516,000","516,000","516,000",-,"5,943,000","-829,000","829,000",-,-,-,"2,379,000","-845,000","2,419,000","3,224,000","3,224,000","3,224,000",-,"-805,000",-,"2,419,000",0.33,0.33,"7,241,515","7,269,518",-,"-1,745,000","3,224,000","3,762,850","690,000","516,000","3,224,000","-829,000","-829,000",0,"-290,150"
57,3/31/2009,"35,758,000","12,497,000","12,497,000","13,349,000",-,-,"6,258,000",-,"1,155,000","1,394,000","9,659,000","-2,543,000","-2,221,000","4,316,000",-,"10,107,000","23,261,000","688,000","5,398,000","5,398,000","2,533,000",-,-,"2,865,000",-,"7,332,000","5,201,000","1,498,000","1,498,000",-,-,"23,261,000","-13,380,000","16,237,000","1,750,000","1,128,000","622,000","405,000","13,562,000","13,041,000","8,768,000",-,"4,273,000","521,000","520,000","520,000","520,000","520,000","16,237,000","1,202,000","-765,000","765,000",-,-,-,"5,376,000","1,129,000","2,814,000","4,247,000","4,247,000","4,247,000",-,"1,433,000",-,"2,814,000",0.44,0.44,"6,370,815","6,431,027",-,"-883,000","4,247,000","4,851,344","1,155,000","1,098,000","4,247,000","-765,000","-765,000",0,"-160,656"
58,12/31/2008,"16,471,000","13,106,000","21,602,000","14,220,000","14,220,000",-,"5,971,000",-,"393,000","1,018,000","8,496,000","3,296,000","1,910,000","2,766,000",-,"524,000","3,365,000","741,000","6,733,000","6,733,000","2,559,000",-,"1,072,000","3,102,000",-,"618,000","-4,101,000","2,285,000","762,000","1,523,000",-,"-2,911,000","-8,535,000","10,641,000","1,450,000","1,003,000","447,000","521,000","8,193,000","7,638,000","4,027,000",-,"3,611,000","555,000","477,000","477,000","477,000","477,000","2,911,000","-791,000","-306,000","306,000",-,-,-,"-3,802,000","-2,013,000","-2,392,000","-1,789,000","-1,789,000","-1,789,000",-,"603,000",-,"-2,392,000",-0.48,-0.48,"4,957,049","4,957,049",-,"4,571,000","-1,789,000","-1,590,100","393,000","477,000","-1,789,000","-306,000","-306,000",0,"-107,100"
59,9/30/2008,"19,621,000","11,642,000","22,196,000","14,261,000","14,261,000",-,"5,965,000",-,"912,000","1,058,000","10,554,000","3,846,000","3,223,000","2,824,000",-,"661,000","7,979,000","678,000","7,082,000","7,082,000",-,-,-,-,-,"474,000",-,"10,000","10,000",-,-,"-265,000","-6,450,000","11,413,000","1,366,000",-,-,-,"5,803,000","5,198,000","5,198,000",-,-,"605,000",-,-,-,-,"4,244,000",-,"-247,000","247,000",-,-,-,"1,511,000","334,000","704,000","1,177,000","1,177,000","1,177,000",-,"473,000",-,"704,000",0.15,0.15,"4,543,963","4,547,578",-,"5,192,000","1,177,000","1,369,402","912,000","862,000","1,177,000","-247,000","-247,000",0,"-54,598"
60,6/30/2008,"20,315,000","10,621,000","20,027,000","13,121,000","13,121,000",-,"5,129,000",-,"800,000","977,000","9,406,000","3,520,000","3,087,000","2,050,000",-,"749,000","9,694,000",-,"7,411,000","7,411,000",-,-,-,-,-,"695,000",-,"127,000","127,000",-,-,"1,461,000","-5,830,000","9,352,000","1,220,000",-,-,-,"4,991,000","4,420,000","4,420,000",-,-,"571,000",-,-,-,-,"3,141,000",-,"-212,000","212,000",-,-,-,"4,921,000","1,511,000","3,224,000","3,410,000","3,410,000","3,410,000",-,"186,000",-,"3,224,000",0.73,0.72,"4,435,719","4,457,193",-,"4,791,000","3,410,000","3,556,905","800,000","795,000","3,410,000","-212,000","-212,000",0,"-65,095"
61,3/31/2008,"17,003,000","9,991,000","21,859,000","14,415,000","14,415,000",-,"5,138,000",-,"1,208,000","1,098,000","11,868,000","4,588,000","4,142,000","2,298,000",-,"840,000","7,012,000",-,"7,376,000","7,376,000",-,-,-,-,-,"476,000",-,"-504,000","-504,000",-,-,"-336,000","-6,010,000","9,025,000","1,245,000",-,-,-,"5,363,000","4,726,000","4,726,000",-,-,"637,000",-,-,-,-,"2,417,000",-,"-170,000","170,000",-,-,-,"1,798,000","588,000","1,020,000","1,210,000","1,210,000","1,210,000",-,"190,000",-,"1,020,000",0.23,0.23,"4,427,823","4,461,201",-,"3,981,000","1,210,000","1,324,405","1,208,000","774,000","1,210,000","-170,000","-170,000",0,"-55,595"
62,12/31/2007,"8,608,000","9,164,000","23,479,000","15,363,000","15,363,000",-,"5,096,000",-,"1,748,000","1,272,000","14,315,000","5,253,000","5,599,000","2,638,000",-,"825,000","-556,000",-,"7,433,000","7,433,000",-,-,-,-,-,"544,000",-,"1,011,000","109,000",-,-,"-4,413,000","-3,310,000","10,137,000","1,200,000",-,-,-,"13,746,000","13,034,000","4,822,000",-,-,"712,000",-,-,-,-,"-9,053,000",-,"-140,000","140,000",-,-,-,"-915,000","-1,183,000","215,000","268,000","268,000","268,000",-,"53,000",-,"215,000",-,-,-,-,-,"5,854,000","268,000","359,000","1,748,000","799,000","268,000","-140,000","-140,000",0,"-49,000"
