,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Defined Pension Benefit,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Due to Related Parties,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Current Capital Lease Obligation,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Long Term Provisions,Employee Benefits,Non Current Pension And Other Post-Retirement Benefit Plans,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number
69,9/30/2005,"1,325,749,711","369,310,919","32,907,997",-,"27,106,029","5,801,968",-,-,-,"336,402,922","336,402,922",-,-,-,-,"578,369,306","433,287,770","145,081,536",-,-,-,-,"201,919,095","204,362,234",-,-,-,-,"204,362,234","2,443,138",-,-,-,-,-,"7,308,721",-,-,-,-,-,-,-,"16,028,487",-,-,-,-,-,-,"152,813,183","1,279,634,023","360,618,314","360,618,314",-,"360,618,314",-,"302,991,811",-,-,-,-,-,-,"15,578,401","15,578,401","15,578,401",-,-,-,"130,990,488","130,990,488",-,-,-,-,-,-,-,"469,455,010","46,115,688","38,605,204","606,581","606,581","23,462,662","22,572,838","6,058,051","-1,980,119","1,293","7,510,483","169,595,692","38,605,204",-,"22,576,718","185,174,093","22,576,718","146,568,889","113,660,891","1,252,261","1,252,261",-
70,6/30/2005,"1,285,355,561","356,585,527","36,622,678",-,"31,319,667","5,303,011",-,-,-,"319,962,849","319,962,849",-,-,-,-,"560,057,664","423,081,364","136,976,299",-,-,-,-,"197,040,362","199,769,382",-,-,-,-,"199,769,382","2,729,020",-,-,-,-,-,"7,349,135",-,-,-,-,-,-,-,"16,188,341",-,-,-,-,-,-,"148,134,531","1,239,650,243","357,500,326","357,500,326",-,"357,500,326",-,"289,878,288",-,-,-,-,-,-,"14,573,991","14,573,991","14,573,991",-,-,-,"120,923,769","120,923,769",-,-,-,-,-,-,-,"456,773,870","45,705,318","38,099,937","606,022","606,022","21,532,351","23,142,857","5,058,296","-2,122,998",-,"7,605,381","159,023,705","38,099,937",-,"21,911,595","173,597,696","21,911,595","135,497,760","98,875,082","1,265,675","1,265,675",-
71,3/31/2005,"1,159,779,227","314,637,693","33,812,551",-,"29,184,840","4,627,711",-,-,-,"280,825,142","280,825,142",-,-,-,-,"502,637,103","365,542,513","137,094,590",-,-,-,-,"192,500,334","195,351,836",-,-,-,-,"195,351,836","2,851,502",-,-,-,-,-,"7,248,366",-,-,-,-,-,-,-,"15,713,166",-,-,-,-,-,-,"127,042,565","1,114,723,337","321,371,736","321,371,736",-,"321,371,736",-,"251,444,142",-,-,-,-,-,-,"13,535,068","13,535,068","13,535,068",-,-,-,"111,042,336","111,042,336",-,-,-,-,-,-,-,"417,330,055","45,055,891","38,526,381","607,619","607,619","22,412,522","22,873,020","4,151,663","-3,215,117",-,"6,529,510","149,568,717","38,526,381",-,"22,813,215","163,103,784","22,813,215","124,577,403","90,764,852","1,287,539","1,287,539",-
72,12/31/2004,"1,087,994,354","297,355,828","30,552,676",-,"25,612,510","4,940,166",-,-,-,"266,803,152","266,803,152",-,-,-,-,"479,753,366","345,995,096","133,758,271",-,-,-,-,"184,146,824","187,180,440",-,-,-,-,"187,180,440","3,033,615",-,-,-,-,-,"7,221,645",-,-,-,-,-,-,-,"15,231,894",-,-,-,-,-,-,"104,284,796","1,045,601,234","298,931,895","298,931,895",-,"298,931,895",-,"239,395,772",-,-,-,-,-,-,"15,321,922","15,321,922","15,321,922",-,-,-,"106,116,133","106,116,133",-,-,-,-,-,-,-,"385,835,512","42,393,120","36,223,326","606,267","606,267","20,472,914","23,402,826","4,541,306","-3,717,375",-,"6,169,794","142,339,459","36,223,326",-,"20,991,432","157,661,381","20,991,432","121,438,055","90,885,379","1,281,850","1,281,850",-
73,9/30/2004,"1,120,302,734","321,228,466","33,514,128",-,"27,638,720","5,875,409",-,-,-,"287,714,338","287,714,338",-,-,-,-,"469,455,743","344,369,975","125,085,768",-,-,-,-,"188,234,884","191,596,889",-,-,-,-,"191,596,889","3,362,005",-,-,-,-,-,"7,334,603",-,-,-,-,-,-,-,"16,534,634",-,-,-,-,-,-,"117,514,404","1,077,961,163","305,576,079","305,576,079",-,"305,576,079",-,"248,636,328",-,-,-,-,-,-,"12,999,420","12,999,420","12,999,420",-,-,-,"105,356,108","105,356,108",-,-,-,-,-,-,-,"405,393,228","42,341,572","36,113,514","605,609","605,609","19,548,974","23,220,014","4,482,258","-2,780,071","1,246","6,228,058","141,469,622","36,113,514",-,"19,578,880","154,469,042","19,578,880","118,355,528","84,841,399","1,280,203","1,280,203",-
74,6/30/2004,"1,130,269,849","336,017,396","36,364,849",-,"30,977,741","5,387,108",-,-,-,"299,652,548","299,652,548",-,-,-,-,"466,587,945","342,452,205","124,135,740",-,-,-,-,"183,126,690","186,911,651",-,-,-,-,"186,911,651","3,784,961",-,-,-,-,-,"7,447,545",-,-,-,-,-,-,-,"16,598,385",-,-,-,-,-,-,"120,491,888","1,089,001,159","303,483,713","303,483,713",-,"303,483,713",-,"270,445,534",-,-,-,-,-,-,"13,788,698","13,788,698","13,788,698",-,-,-,"102,135,263","102,135,263",-,-,-,-,-,-,-,"399,147,953","41,268,690","35,239,725","1,195,054","1,195,054","18,168,064","22,925,801","4,039,706","-3,009,487",-,"6,028,965","137,374,988","35,239,725",-,"18,641,340","151,163,685","18,641,340","115,923,960","79,559,111","1,276,825","1,276,825",-
75,3/31/2004,"1,136,826,451","317,471,785","33,827,509",-,"29,994,256","3,833,253",-,-,-,"283,644,276","283,644,276",-,-,-,-,"495,984,985","363,136,834","132,848,151",-,-,-,-,"182,934,725","187,118,411",-,-,-,-,"187,118,411","4,183,686",-,-,-,-,-,"7,637,409",-,-,-,-,-,-,-,"16,674,018",-,-,-,-,-,-,"116,123,529","1,099,275,752","305,422,972","305,422,972",-,"305,422,972",-,"285,496,382",-,-,-,-,-,-,"22,296,122","22,296,122","22,296,122",-,-,-,"96,271,580","96,271,580",-,-,-,-,-,-,-,"389,788,696","37,550,698","35,295,025","1,194,254","1,194,254","16,713,236","22,843,911","3,522,038","-1,934,338",-,"2,255,673","131,566,605","35,295,025",-,"18,621,007","153,862,727","18,621,007","118,567,702","84,740,193","1,291,288","1,291,288",-
76,12/31/2003,"1,003,687,382","284,697,010","27,773,293",-,"24,783,200","2,990,093",-,-,-,"256,923,717","256,923,717",-,-,-,-,"424,665,089","295,892,821","128,772,268",-,-,-,-,"177,069,768","181,712,901",-,-,-,-,"181,712,901","4,643,133",-,-,-,-,-,"7,814,143",-,-,-,-,-,-,-,"16,370,543",-,-,-,-,-,-,"93,070,829","966,761,653","261,827,073","261,827,073",-,"261,827,073",-,"251,841,922",-,-,-,-,-,-,"11,489,492","11,489,492","11,489,492",-,-,-,"89,642,074","89,642,074",-,-,-,-,-,-,-,"351,961,093","36,925,729","33,970,332","1,194,550","1,194,550","14,863,724","23,571,302","3,142,510","-2,517,973","1,239","2,955,397","123,612,406","33,970,332",-,"17,599,789","135,101,897","17,599,789","101,131,565","73,358,272","1,304,402","1,304,402",-
77,9/30/2003,"993,829,699","231,303,268","231,303,268",-,"3,615,845","227,687,423",-,-,-,-,-,-,-,-,-,"236,607,650",-,"236,607,650",-,-,-,-,"99,659,336","99,659,336",-,-,-,-,-,-,-,"8,863,503",-,-,-,"7,173,646",-,-,-,-,-,-,-,"14,642,787",-,-,-,-,-,-,"395,579,508","958,981,185","299,361,886","299,361,886",-,"299,361,886",-,-,"8,370,134","8,370,134",-,-,-,-,-,-,-,-,-,-,"397,031,914","397,031,914",-,-,-,-,-,-,-,"254,217,251","34,848,514","31,879,062","1,193,849","1,193,849","1,073,804","20,704,373",-,"8,905,717","1,319","2,969,452","428,910,976","31,879,062",-,"17,236,275","428,910,976","17,236,275","397,031,914","165,728,646","1,287,997","1,287,997",-
78,6/30/2003,"1,015,062,530","218,967,066","218,967,066",-,"4,009,722","214,957,344",-,-,-,-,-,-,-,-,-,"222,064,566",-,"222,064,566",-,-,-,-,"96,665,800","96,665,800",-,-,-,-,-,-,-,"12,339,999",-,-,-,"7,714,020",-,-,-,-,-,-,-,"15,422,633",-,-,-,-,-,-,"441,888,445","970,924,499","304,265,904","304,265,904",-,"304,265,904",-,-,"8,542,452","8,542,452",-,-,-,-,-,-,-,-,-,-,"408,113,257","408,113,257",-,-,-,-,-,-,-,"250,002,886","44,138,030","41,202,703","1,187,916","1,187,916","1,198,727","20,681,086",-,"18,134,973",-,"2,935,328","449,315,960","41,202,703",-,"25,780,069","449,315,960","25,780,069","408,113,257","189,146,191","1,287,997","1,287,997",-
79,3/31/2003,"989,264,712","215,642,284","215,642,284",-,"2,433,365","213,208,919",-,-,-,-,-,-,-,-,-,"215,685,471",-,"215,685,471",-,-,-,-,"96,061,903","96,061,903",-,-,-,-,-,-,-,"12,567,661",-,-,-,"7,671,240",-,-,-,-,-,-,-,"15,752,765",-,-,-,-,-,-,"425,883,388","957,953,528","294,939,207","294,939,207",-,"294,939,207",-,-,"8,340,652","8,340,652",-,-,-,-,-,-,-,-,-,-,"401,904,689","401,904,689",-,-,-,-,-,-,-,"252,768,980","31,311,184","28,440,542","1,186,316","1,186,316","1,234,902","20,650,536",-,"5,368,788",-,"2,870,642","430,345,232","28,440,542",-,"12,687,778","430,345,232","12,687,778","401,904,689","186,262,406","1,287,895","1,287,895",-
80,12/31/2002,"956,518,400","198,507,795","198,507,795",-,"2,553,053","195,954,742",-,-,-,-,-,-,-,-,-,"206,712,949",-,"206,712,949",-,-,-,-,"94,981,301","102,691,603",-,-,-,-,"102,691,603","7,710,302",-,"12,300,821",-,-,-,"8,159,540",-,-,-,-,-,-,-,"18,375,897",-,-,-,-,-,-,"417,480,097","925,096,638","298,251,016","298,251,016",-,"298,251,016",-,-,"10,227,416","10,227,416",-,-,-,-,-,-,-,-,-,-,"394,855,101","394,855,101",-,-,-,-,-,-,-,"221,763,105","31,421,762","28,541,111","1,191,517","1,191,517","4,735,657","20,728,521",-,"1,885,416",-,"2,880,651","423,396,212","28,541,111",-,"10,165,214","423,396,212","10,165,214","394,855,101","196,347,307","1,373,096","1,373,096",-
81,9/30/2002,"997,685,556","204,130,833","204,130,833",-,"3,381,510","200,749,323",-,-,-,-,-,-,-,-,-,"179,380,775",-,"179,380,775",-,-,-,-,"96,044,913","96,044,913",-,-,-,-,-,-,-,"9,917,425",-,-,-,"8,669,820",-,-,-,-,-,-,-,"19,550,230",-,-,-,-,-,-,"479,991,560","965,272,905","315,977,263","315,977,263",-,"315,977,263",-,-,"7,239,351","7,239,351",-,-,-,-,-,-,-,-,-,-,"385,362,369","385,362,369",-,-,-,-,-,-,-,"256,693,921","32,412,651","29,346,729","1,187,142","1,187,142","3,182,424","19,430,779",-,"3,229,615","2,316,769","3,065,922","414,709,098","29,346,729",-,"9,796,499","414,709,098","9,796,499","385,362,369","181,231,536","1,372,470","1,372,470",-
82,6/30/2002,"986,394,760","200,087,109","200,087,109",-,"4,636,890","195,450,220",-,-,-,-,-,-,-,-,-,"211,290,461",-,"211,290,461",-,-,-,-,"91,452,889","91,452,889",-,-,-,-,-,-,-,"11,482,808",-,-,-,"8,810,977",-,-,-,-,-,-,-,"20,131,139",-,-,-,-,-,-,"443,139,377","949,979,800","293,150,193","293,150,193",-,"293,150,193",-,-,"9,250,122","9,250,122",-,-,-,-,-,-,-,-,-,-,"406,143,327","406,143,327",-,-,-,-,-,-,-,"241,436,158","36,414,961","33,525,776","3,587,084","3,587,084","5,340,703","19,436,197",-,"5,161,793",-,"2,889,184","439,669,103","33,525,776",-,"13,394,637","439,669,103","13,394,637","406,143,327","206,056,217","1,372,348","1,372,348",-
83,3/31/2002,"1,067,842,494","233,755,579","233,755,579",-,"2,287,569","231,468,010",-,-,-,-,-,-,-,-,-,"294,824,086",-,"294,824,086",-,-,-,-,"92,825,542","92,825,542",-,-,-,-,-,-,-,"14,194,356",-,-,-,"9,227,592",-,-,-,-,-,-,-,"22,433,638",-,-,-,-,-,-,"400,581,702","1,028,955,506","316,555,149","316,555,149",-,"316,555,149",-,-,"13,854,834","13,854,834",-,-,-,-,-,-,-,-,-,-,"452,760,458","452,760,458",-,-,-,-,-,-,-,"245,785,065","38,886,989","35,816,167","3,583,466","3,583,466","7,548,473","19,409,878",-,"5,276,031","-1,681","3,070,822","488,576,625","35,816,167",-,"13,382,530","488,576,625","13,382,530","452,760,458","219,004,878","1,372,234","1,372,234",-
84,12/31/2001,"1,025,913,308","207,566,036","207,566,036",-,"3,103,906","204,462,130",-,-,-,-,-,-,-,-,-,"278,630,026",-,"278,630,026",-,-,-,-,"92,962,572","92,962,572",-,-,-,-,-,-,-,"11,862,009",-,-,-,"9,453,032",-,-,-,-,-,-,-,"22,926,013",-,-,-,-,-,-,"402,513,621","986,862,611","301,296,687","301,296,687",-,"301,296,687",-,-,"11,903,572","11,903,572",-,-,-,-,-,-,-,-,-,-,"421,853,600","421,853,600",-,-,-,-,-,-,-,"251,808,752","39,050,697","35,918,529","3,602,659","3,602,659","7,250,206","19,511,217",-,"5,556,108","-1,663","3,132,169","457,772,129","35,918,529",-,"12,992,516","457,772,129","12,992,516","421,853,600","214,287,564","1,380,849","1,380,849",-
85,9/30/2001,"1,006,731,643","218,961,429","218,961,429",-,"2,274,684","216,686,745",-,-,-,-,-,-,-,-,-,"257,001,991",-,"257,001,991",-,-,-,-,"95,698,854","95,698,854",-,-,-,-,-,-,-,"193,839,385",-,-,-,"9,432,723",-,-,-,-,-,-,-,"22,910,590",-,-,-,-,-,-,"208,886,671","968,770,525","281,532,260","281,532,260",-,"281,532,260",-,-,"8,096,772","8,096,772",-,-,-,-,"3,078,849","3,078,849","3,078,849",-,-,-,"74,620,333","74,620,333",-,-,-,-,-,-,-,"601,442,312","37,961,118","35,793,440","3,591,180","3,591,180","7,579,578",-,-,"24,622,683",-,"2,167,678","110,413,773","35,793,440",-,"12,882,850","113,492,621","12,882,850","77,699,181",-,"1,371,518","1,371,518",-
86,6/30/2001,"1,119,127,680","268,809,658","268,809,658",-,"3,374,976","265,434,682",-,-,-,-,-,-,-,-,-,"275,564,995",-,"275,564,995",-,-,-,-,"95,115,082","95,115,082",-,-,-,-,-,-,-,"204,017,299",-,-,-,"9,812,563",-,-,-,-,-,-,-,"24,809,664",-,-,-,-,-,-,"240,998,419","1,073,508,058","37,643,549","37,643,549",-,"37,643,549",-,-,"10,369,075","10,369,075",-,-,-,-,-,-,-,-,-,-,"80,464,454","80,464,454",-,-,-,-,-,-,-,"945,030,979","45,619,622","43,081,210","6,022,896","6,022,896","7,216,704",-,"8,092,762","37,934,371",-,"2,538,413","123,545,664","43,081,210",-,"18,271,546","123,545,664","18,271,546","80,464,454",-,"1,388,915","1,388,915",-
87,3/31/2001,"1,065,816,570","272,460,994","272,460,994",-,"2,811,588","269,649,406",-,-,-,-,-,-,-,-,-,"251,128,462",-,"251,128,462",-,-,-,-,"91,756,366","91,756,366",-,-,-,-,-,-,-,"173,358,614",-,-,-,"9,619,324",-,-,-,-,-,-,-,"24,415,872",-,-,-,-,-,-,"243,076,938","1,021,705,646","38,120,186","38,120,186",-,"38,120,186",-,-,"9,244,794","9,244,794",-,-,-,-,-,-,-,-,-,-,"69,704,388","69,704,388",-,-,-,-,-,-,-,"904,636,278","44,110,924","41,588,508","6,016,868","6,016,868","3,393,416",-,-,"32,179,966","-1,742","2,522,416","111,292,896","41,588,508",-,"17,172,636","111,292,896","17,172,636","69,704,388",-,"1,388,211","1,388,211",-
