,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Other Capital Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
102,3/31/1994,"1,484,000","57,200","32,500",-,-,"32,500",-,"24,700","24,700",-,-,-,-,-,"81,900",-,-,-,"81,900",-,-,"1,307,900","1,332,700",-,-,-,-,"1,332,700","16,700","-8,100","9,200","9,200","9,200",-,-,"3,900",-,-,-,-,-,-,-,-,-,-,-,-,"23,900","1,378,200","809,200","809,200","809,200",-,-,-,-,"7,900","7,900","7,900",-,"493,500","493,500","493,500",-,"63,200","63,200",-,-,"4,400","105,800","105,800",-,-,-,-,"32,800",-,-,-,"73,000",-,"169,000",-,"105,800",-,"105,800","662,500","105,800","556,700","524,200","30,962","30,962",-
103,12/31/1993,"1,417,200","62,300","39,400",-,-,"39,400",-,"22,900","22,900",-,-,-,-,-,"84,200",-,-,-,"84,200",-,-,"1,234,000","1,256,100",-,-,-,-,"1,256,100","12,700","-9,400","8,100","8,100","8,100",-,-,"3,700",-,-,-,-,-,-,-,-,-,-,-,-,"24,900","1,312,300","751,700","751,700","751,700",-,-,-,-,"8,100","8,100","8,100",-,"468,500","468,500","468,500",-,"74,600","74,600",-,-,"9,400","104,900","104,900",-,-,-,-,"35,300",-,-,-,"69,600",-,"179,500",-,"104,900",-,"104,900","648,000","104,900","543,100","503,700","30,962","30,962",-
104,9/30/1993,"1,341,500","67,700","67,700",-,-,"67,700",-,-,-,-,-,-,-,-,"76,900",-,-,-,"76,900",-,-,"1,152,800","1,155,100",-,-,-,-,"1,155,100","12,800","10,500","8,900","8,900","8,900",-,-,"3,400",-,-,-,-,-,-,-,-,-,-,-,-,"31,800","1,239,800","742,800","742,800","742,800",-,-,-,-,"7,500","7,500","7,500",-,"423,500","423,500","423,500",-,"60,200","60,200",-,-,"5,800","101,700","101,700",-,-,-,-,"34,800",-,-,-,"66,900",-,"161,900",-,"101,700",-,"101,700","585,400","101,700","483,700","416,000","30,962","30,962",-
105,6/30/1993,"1,289,700","46,000","46,000",-,-,"46,000",-,-,-,-,-,-,-,-,"75,000",-,-,-,"75,000",-,-,"1,130,000","1,154,100",-,-,-,-,"1,154,100","13,000","-11,100","7,900","7,900","7,900",-,-,"3,300",-,-,-,-,-,-,-,-,-,-,-,-,"27,500","1,191,700","713,400","713,400","713,400",-,"408,500",-,-,"7,200","7,200","7,200",-,"1,400","1,400","1,400",-,"56,500","56,500",-,-,"4,700","98,000","98,000",-,-,-,-,"31,400",-,-,-,"66,600",-,"154,500",-,"98,000",-,"98,000","155,900","98,000","57,900","11,900","30,962","30,962",-
106,3/31/1993,"1,239,200","47,500","47,500",-,-,"47,500",700,-,-,-,-,-,-,-,"68,700",-,-,-,"68,700",-,-,"1,092,500","1,117,300",-,-,-,-,"1,117,300","13,000","-11,800","8,600","8,600","8,600",-,-,"2,600",-,-,-,-,-,-,-,-,-,-,-,-,"19,300","1,144,000","692,900","692,900","692,900",-,"383,500",-,-,"7,300","7,300","7,300","7,300","1,600","1,600","1,600",-,"55,000","55,000",-,-,"3,700","95,200","95,200",-,-,-,-,"28,700",-,-,-,"66,500",-,"150,200",-,"95,200",-,"95,200","151,800","95,200","56,600","9,100","30,962","30,962",-
107,12/31/1992,"1,232,500","99,000","99,000",-,-,"99,000",-,-,-,-,-,-,-,-,"59,300",-,-,-,"59,300",-,-,"1,042,500","1,067,800",-,-,-,-,"1,067,800","12,700","-12,600","8,300","8,300","8,300",-,-,"2,600",-,-,-,-,-,-,-,-,-,-,-,-,"20,800","1,140,400","698,800","698,800","698,800",-,-,-,-,-,-,-,-,"373,500","373,500","373,500",-,"58,500","58,500",-,-,"9,600","92,100","92,100",-,-,-,-,"25,800",-,-,-,"66,300",-,"150,600",-,"92,100",-,"92,100","524,100","92,100","432,000","333,000","30,962","30,962",-
108,9/30/1992,"1,206,300","73,000","73,000",-,-,"73,000",-,-,-,-,-,-,-,-,"71,100",-,-,-,"71,100",-,-,"1,032,700","1,058,500",-,-,-,-,"1,058,500","12,300","-13,500","8,700","8,700","8,700",-,-,"2,400",-,-,-,-,-,-,-,-,-,-,-,-,"18,400","1,116,600","697,500","697,500","697,500",-,-,-,-,-,-,-,-,"373,500","373,500","373,500",-,"35,000","35,000",-,-,"10,600","89,700","89,700",-,-,-,-,"23,400",-,-,-,"66,300",-,"124,700",-,"89,700",-,"89,700","498,200","89,700","408,500","335,500","30,962","30,962",-
109,6/30/1992,"1,136,600","62,300","62,300",-,-,"62,300",-,-,-,-,-,-,-,-,"43,900",-,-,-,"43,900",-,-,"995,700","993,800",-,-,-,-,"993,800","11,900","13,800","9,000","9,000","9,000",-,-,"2,400",-,-,-,-,-,-,-,-,-,-,-,-,"23,300","1,050,500","691,500","691,500","691,500",-,-,-,-,"7,300","7,300","7,300",-,"315,200","315,200","315,200",-,"35,100","35,100",-,-,"1,400","86,100","86,100",-,-,-,-,"20,000",-,-,-,"66,100",-,"121,200",-,"86,100",-,"86,100","436,400","86,100","350,300","288,000","30,962","30,962",-
110,3/31/1992,"1,036,100","31,100","31,100",-,-,"31,100",-,-,-,-,-,-,-,-,"47,500",-,-,-,"47,500",-,-,"935,100","961,300",-,-,-,-,"961,300","12,700","-13,500","9,300","9,300","9,300",-,-,"2,500",-,-,-,-,-,-,-,-,-,-,-,-,"10,600","953,300","652,400","652,400","652,400",-,-,-,-,-,-,-,-,"243,500","243,500","243,500",-,"46,500","46,500",-,-,"10,900","82,800","82,800",-,-,-,-,"16,700",-,-,-,"66,100",-,"129,300",-,"82,800",-,"82,800","372,800","82,800","290,000","258,900","30,962","30,962",-
111,12/31/1991,"932,100","15,300","15,300",-,-,"15,300",-,-,-,-,-,-,-,-,"46,700",-,-,-,"46,700",-,-,"848,400","848,500",-,-,-,-,"848,500","11,700","11,600","8,800","8,800","8,800",-,-,"2,400",-,-,-,-,-,-,-,-,-,-,-,-,"10,500","872,800","605,800","605,800","605,800",-,"215,000",-,-,"5,300","5,300","5,300",-,"2,200","2,200","2,200",-,"38,800","38,800",-,-,"5,700","59,300","59,300",-,-,-,-,"14,000",-,-,-,"45,300",-,"98,100",-,"59,300",-,"59,300","100,300","59,300","41,000","25,700","30,962","30,962",-
112,9/30/1991,"847,100","11,200","11,200",-,-,"11,200",-,-,-,-,-,-,-,-,"58,000",-,-,-,"58,000",-,-,"752,300","772,000",-,-,-,-,"772,000","9,700","-10,000","8,300","8,300","8,300",-,-,"2,300",-,-,-,-,-,-,-,100,-,100,-,-,"14,900","799,700","585,000","585,000","585,000",-,-,-,-,-,-,-,-,"176,400","176,400","176,400",-,"29,500","29,500",-,-,"8,800","47,400","47,400",-,-,-,-,"11,800",-,-,-,"35,600",-,"76,900",-,"47,400",-,"47,300","253,300","47,300","205,900","194,700","30,962","30,962",-
113,6/30/1991,"777,900","12,600","12,600",-,-,"12,600",-,-,-,-,-,-,-,-,"60,300",-,-,-,"60,300",-,-,"683,700","699,600",-,-,-,-,"699,600","7,800","-8,100","7,700","7,700","7,700",-,-,"2,300",-,-,-,-,-,-,-,100,-,100,-,-,"11,200","732,500","556,100","556,100","556,100",-,-,-,-,-,-,-,-,"140,700","140,700","140,700",-,"25,700","25,700",-,-,"10,000","45,400","45,400",-,-,-,-,"9,900",-,-,-,"35,500",-,"71,100",-,"45,400",-,"45,300","211,800","45,300","166,400","153,800","30,962","30,962",-
114,3/31/1991,"734,000","30,200","30,200",-,-,"30,200",-,-,-,-,-,-,-,-,"60,200",-,-,-,"60,200",-,-,"621,700","632,700",-,-,-,-,"632,700","6,300","-4,700","7,700","7,700","7,700",-,-,"2,400",-,-,-,-,-,-,-,100,-,100,-,-,"11,700","701,400","548,800","548,800","548,800",-,-,-,-,-,-,-,-,"114,000","114,000","114,000",-,"25,900","25,900",-,-,"12,700","32,600","32,600",-,-,-,-,"8,300",-,-,-,"24,300",-,"58,500",-,"32,600",-,"32,500","172,500","32,500","139,900","109,700","30,962","30,962",-
115,12/31/1990,"706,200","24,200","24,200",-,-,"24,200",-,-,-,-,-,-,-,-,"71,900",-,-,-,"71,900",-,-,"590,600","600,500",-,-,-,-,"600,500","5,300","-4,600","6,500","6,500","6,500",-,-,"2,400",-,-,-,-,-,-,-,100,-,100,-,-,"10,500","675,600","538,300","538,300","538,300",-,-,-,-,-,-,-,-,"30,500","30,500","30,500",-,"92,600","92,600",-,-,"14,200","30,600","30,600",-,-,-,-,"6,900",-,-,-,"23,700",-,"123,200",-,"30,600",-,"30,500","153,700","30,500","123,100","98,900","30,962","30,962",-
116,9/30/1990,"670,000","41,000","41,000",-,-,"41,000",-,-,-,-,-,-,-,-,"72,200",-,-,-,"72,200",-,-,"539,700","547,800",-,-,-,-,"547,800","3,900","-4,200","6,200","6,200","6,200",-,-,"1,900",-,-,-,-,-,-,-,100,-,100,-,-,"8,900","640,800","532,400","532,400","532,400",-,-,-,-,-,-,-,-,"49,000","49,000","49,000",-,"43,300","43,300",-,-,"16,100","29,200","29,200",-,-,-,-,"5,700",-,-,-,"23,500",-,"72,500",-,"29,200",-,"29,100","121,500","29,100","92,300","51,300","30,962","30,962",-
117,6/30/1990,"615,500","56,700","56,700",-,-,"56,700","3,100",-,-,-,-,-,-,-,"66,300",-,-,-,"66,300",-,-,"477,500","483,400",-,-,-,-,"483,400","3,000","-2,900","5,600","5,600","5,600",-,-,"1,600",-,-,-,-,-,-,-,200,-,200,-,-,"7,600","587,300","501,400","501,400","501,400",-,-,-,-,-,-,-,-,"12,200","12,200","12,200",-,"63,700","63,700",-,-,"10,000","28,200","28,200",-,-,-,-,"4,600",-,-,-,"23,600",-,"91,900",-,"28,200",-,"28,000","104,100","28,000","75,900","19,200","30,962","30,962",-
118,3/31/1990,"552,900","49,300","49,300",-,-,"49,300",-,-,-,-,-,-,-,-,"52,300",-,-,-,"52,300",-,-,"437,300","442,700",-,-,-,-,"442,700","2,800","-2,600","5,100","5,100","5,100",-,-,"1,500",-,-,-,-,-,-,-,200,-,200,-,-,"7,200","529,800","491,600","491,600","491,600",-,-,-,-,-,-,-,-,-,-,-,-,"26,400","26,400",-,-,"11,800","23,100","23,100",-,-,-,-,"3,600",-,-,-,"19,500",-,"49,500",-,"23,100",-,"22,900","49,500","22,900","26,400",-,"30,962","30,962",-
119,12/31/1989,"363,800",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"343,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"24,200","24,200",-,-,"318,800","20,800","20,800",-,-,-,-,"2,200",-,-,-,"18,600",-,"45,000",-,"20,800",-,"20,800","45,000","20,800","24,200","24,200","30,962","30,962",-
120,9/30/1989,"462,100","27,900","27,900",-,-,"27,900",-,-,-,-,-,-,-,-,"70,600",-,-,-,"70,600",-,-,"350,600","354,300",-,-,-,-,"354,300","2,000","-1,700","4,300","4,300","4,300",-,-,"1,400",-,-,-,-,-,-,-,200,-,200,-,-,"7,100","439,600","400,000","400,000","400,000",-,-,-,-,-,-,-,-,"5,300","5,300","5,300",-,"24,000","24,000",-,-,"10,300","22,500","22,500",-,-,-,-,"2,900",-,-,-,"19,600",-,"46,500",-,"22,500",-,"22,300","51,800","22,300","29,300","1,400","30,962","30,962",-
121,12/31/1988,"363,800",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"343,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"24,200","24,200",-,-,"318,800","20,800","20,800",-,-,-,-,"2,200",-,-,-,"18,600",-,"45,000",-,"20,800",-,"20,800","45,000","20,800","24,200","24,200","30,962","30,962",-
122,12/31/1987,"184,100",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"163,600",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"13,200","13,200",-,-,"150,400","20,500","20,500",-,-,-,-,"1,200",-,-,-,"19,300",-,"33,700",-,"20,500",-,"20,500","33,700","20,500","13,200","13,200","30,962","30,962",-
123,12/31/1986,"140,800",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"124,900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,300","8,300",-,-,"116,600","15,900","15,900",-,-,-,-,600,-,-,-,"15,300",-,"24,200",-,"15,900",-,"15,900","24,200","15,900","8,300","8,300","30,962","30,962",-
124,12/31/1985,"63,800",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"55,400",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,000","5,000",-,-,"50,400","8,400","8,400",-,-,-,-,-,-,-,-,-,-,"13,400",-,"8,400",-,"8,400","13,400","8,400","5,000","5,000","30,962","30,962",-
